 	a10	a53	a15	a98	a85	a41	a12	a21	a56	a75	a41	a26	a75	a73	a25	a44	a38	a90	a9	a38	a4	a13	a9	a10	</S>
il	0.0274187	0.037759	0.0779406	0.06257	0.0607291	0.100985	0.0487261	0.113667	0.05394	0.15338	0.0824613	0.0386978	0.021864	0.0309419	0.0109605	0.00596553	0.00778766	0.00848463	0.00831098	0.010868	0.0106954	0.00604418	0.0060791	0.00527559	0.00844732
brigue	0.00435976	0.00532112	0.00876713	0.00853677	0.027083	0.0260587	0.0695133	0.082723	0.10643	0.122367	0.16368	0.141904	0.0557951	0.0306104	0.0251653	0.0069333	0.00762612	0.00461517	0.00303444	0.00454738	0.00644531	0.00613252	0.0179889	0.0270215	0.0373414
l'	0.0389584	0.0177768	0.0211767	0.0276848	0.0546918	0.0519096	0.0789775	0.0934874	0.0537189	0.0495498	0.0189844	0.00692122	0.00239067	0.00280332	0.00375179	0.00310071	0.00537511	0.0187695	0.0238647	0.0167838	0.0263778	0.030748	0.0565259	0.147044	0.148627
honneur	0.118203	0.0623553	0.0276545	0.0226099	0.0152502	0.0219448	0.0239095	0.0210662	0.0331804	0.0293243	0.0222853	0.0249465	0.0243535	0.045789	0.0709238	0.0765418	0.0579735	0.0648356	0.0547101	0.0425495	0.0428593	0.0259488	0.0202293	0.0203841	0.0301718
d'	0.165397	0.088741	0.0439541	0.05027	0.0252141	0.0420598	0.0424457	0.0503832	0.0455279	0.0430666	0.0263021	0.0288875	0.0265751	0.0277259	0.0441384	0.0389271	0.0237347	0.0209575	0.0216642	0.0231864	0.0222604	0.0196733	0.0163528	0.0214954	0.04106
être	0.155598	0.0929385	0.0670922	0.0646188	0.0427967	0.0475752	0.0635972	0.0540915	0.0541453	0.0401889	0.0294787	0.0235196	0.0124197	0.0114468	0.0104281	0.0181321	0.0176	0.0128586	0.0131728	0.0133016	0.014743	0.0163361	0.0297166	0.0391833	0.0550211
invité	0.10122	0.0771061	0.0645509	0.0470956	0.0384956	0.0403586	0.0501237	0.0771783	0.0584745	0.0417753	0.0236089	0.0185877	0.0155613	0.00926344	0.0121589	0.0196975	0.0257696	0.0298544	0.0191033	0.016755	0.0268462	0.027309	0.0523939	0.0502402	0.0564718
par	0.085024	0.0341412	0.0268526	0.0430133	0.0595161	0.0702351	0.0566059	0.0487195	0.021628	0.0191108	0.0121249	0.00681939	0.0060695	0.00639183	0.00462098	0.00801428	0.0165173	0.0246305	0.0164735	0.0141876	0.0241676	0.052314	0.0638042	0.0985246	0.180493
le	0.0803256	0.0521287	0.0377746	0.0505324	0.0262589	0.0527695	0.0392087	0.021465	0.0153274	0.0276659	0.0164081	0.0159127	0.0122506	0.0163716	0.00639059	0.0122552	0.0233177	0.0293604	0.016404	0.0262675	0.044412	0.0713859	0.0914318	0.0937422	0.120633
chef	0.0477208	0.0373248	0.0499727	0.0360916	0.0366395	0.0313286	0.0357658	0.0439415	0.0195676	0.0258684	0.0207137	0.0167222	0.0146612	0.0188648	0.0202774	0.0196462	0.0310986	0.0406231	0.0530494	0.0519106	0.044497	0.0548491	0.0597199	0.0803885	0.108757
</S>	0.0533103	0.0392614	0.0415396	0.0486612	0.0405956	0.0404034	0.0245821	0.0240142	0.0190371	0.0202981	0.0220454	0.021457	0.0210994	0.021864	0.0161936	0.017683	0.0203694	0.0186509	0.0249823	0.0348295	0.0470302	0.0517447	0.065681	0.101845	0.162822
