 	a23	a87	a40	a73	a58	a54	a73	a84	a57	a40	a73	a44	a38	a90	a69	a94	a53	a90	a69	a57	a82	a53	a90	a20	a69	a58	a4	a53	a15	a73	a69	a32	a20	a44	a4	a58	a57	a87	a23	a87	</S>
il	0.0360971	0.0369465	0.0380408	0.0522583	0.0401304	0.048047	0.0531028	0.0254122	0.044964	0.0511025	0.0518735	0.0781283	0.049164	0.035719	0.0365206	0.0233948	0.011031	0.0126805	0.0115423	0.0145957	0.012302	0.012702	0.0169628	0.0160306	0.00853094	0.0118766	0.00679403	0.0105971	0.00551109	0.0212668	0.00680568	0.00767563	0.00761356	0.0160099	0.0101215	0.00974503	0.017137	0.00973815	0.013042	0.0116639	0.0171224
y	0.0147573	0.0220576	0.0229597	0.0269802	0.0346338	0.0561963	0.0216462	0.021749	0.023665	0.0687786	0.0314267	0.0363529	0.02834	0.0403093	0.0599031	0.0196656	0.0105741	0.0202813	0.0106577	0.0102464	0.0105192	0.00761795	0.00588011	0.00763009	0.00576702	0.00552534	0.0115358	0.0138591	0.0236637	0.024821	0.0258747	0.0450174	0.0306152	0.0336336	0.0258293	0.0329996	0.0179987	0.0288154	0.0217206	0.0226071	0.0168883
a	0.0685036	0.0247514	0.0269207	0.0174964	0.0306174	0.0193093	0.0194643	0.0183522	0.00985309	0.0141918	0.0116332	0.00979612	0.00738421	0.00466123	0.00603986	0.00325671	0.0026822	0.00334917	0.0028438	0.00400449	0.00345942	0.00423121	0.00431638	0.00267187	0.00334133	0.00400652	0.00665401	0.00835599	0.0126132	0.0122642	0.0192001	0.0189777	0.0254453	0.0351024	0.0662946	0.0742856	0.0777997	0.0622062	0.0777776	0.0948646	0.081021
autant	0.0195097	0.0245269	0.0199696	0.0336634	0.0365104	0.0513104	0.040753	0.040513	0.0543827	0.0393293	0.0392894	0.0255009	0.0297486	0.0396806	0.0248135	0.033793	0.0402333	0.0389055	0.0455044	0.039936	0.0351028	0.0319605	0.0271078	0.0219812	0.020397	0.0229695	0.0317331	0.02042	0.0166026	0.0109833	0.011648	0.00568246	0.0052709	0.00489778	0.00413778	0.00235892	0.00188091	0.00176198	0.00144436	0.00217684	0.00160868
de	0.103655	0.0609496	0.067546	0.0413079	0.0475852	0.0372583	0.0158923	0.0318172	0.0310451	0.0382417	0.0391114	0.036301	0.0211325	0.0373423	0.0396199	0.0304046	0.0117181	0.0154821	0.0235783	0.0211319	0.0176753	0.0189473	0.00975487	0.0109345	0.0087532	0.00881203	0.0133154	0.0129507	0.0069431	0.0091632	0.00510164	0.00469805	0.00415919	0.00494478	0.0066418	0.00715539	0.0137789	0.0116377	0.0129572	0.0233383	0.0372167
couteaux	0.0297887	0.0141055	0.0148719	0.0148702	0.0127155	0.0153148	0.0166844	0.0111424	0.0115313	0.0120062	0.0163651	0.0191402	0.0245452	0.0211087	0.0157511	0.0298441	0.0192875	0.0199505	0.02082	0.031929	0.0156011	0.0253001	0.0235616	0.0291808	0.0210131	0.0256259	0.0149227	0.0201588	0.0123012	0.0184158	0.0197645	0.015436	0.0157947	0.0230206	0.0315779	0.0313389	0.0486041	0.0460627	0.060344	0.0738057	0.0563975
que	0.0234505	0.0174897	0.015572	0.0183399	0.0104609	0.0201537	0.0130126	0.0092283	0.0134325	0.0165328	0.0251036	0.0402357	0.0407746	0.0393181	0.0243581	0.0320049	0.0274838	0.034004	0.0397707	0.0483145	0.017257	0.0534862	0.041197	0.0553702	0.0475291	0.0465079	0.0297839	0.0348135	0.0143236	0.0201482	0.00652217	0.00381778	0.00389823	0.00514511	0.00777216	0.00521384	0.0141604	0.0134193	0.0182174	0.0254524	0.0269235
des	0.110664	0.0450481	0.0442286	0.0417914	0.0317658	0.0295332	0.0103765	0.0110624	0.00775366	0.0242465	0.0218348	0.0290872	0.0212157	0.0255253	0.0405173	0.0260294	0.00639836	0.0178613	0.0219279	0.0371426	0.0142661	0.0191228	0.00968357	0.0127583	0.00847858	0.010136	0.0105348	0.0094487	0.00318866	0.00855124	0.0061996	0.00741233	0.00949119	0.0099706	0.0158785	0.0185594	0.0269033	0.0363324	0.0439211	0.0405258	0.0746276
fourchettes	0.0316088	0.0183106	0.0148227	0.0135856	0.0070336	0.0139424	0.00435452	0.00388268	0.00403541	0.0105995	0.0161498	0.0137376	0.0109828	0.0157046	0.0202336	0.0186332	0.0102764	0.0165936	0.0171072	0.0204355	0.0362773	0.0317426	0.0463909	0.0620661	0.0512923	0.0475194	0.0619681	0.0461348	0.0329392	0.0437876	0.0209637	0.0189028	0.01377	0.0220709	0.0251984	0.0230854	0.0308819	0.0358571	0.0180045	0.0263197	0.0227974
</S>	0.170715	0.0472287	0.0410943	0.0174546	0.0207382	0.0149278	0.00957089	0.0100785	0.00913002	0.0181341	0.0200877	0.0219853	0.0106097	0.015865	0.0309529	0.0161228	0.00678915	0.0116326	0.0153555	0.0193599	0.0241326	0.0240486	0.0211391	0.025453	0.0103487	0.0150355	0.00965922	0.0140201	0.00516737	0.0282672	0.00704362	0.00836796	0.00793192	0.0153129	0.0180307	0.0218975	0.0516756	0.0394987	0.0258999	0.0365934	0.0626441
