 	a66	a87	a23	a62	a31	a21	a12	a21	a85	a98	a79	a7	a37	a47	a62	a88	a62	a88	a71	a9	a87	a23	a87	</S>
la	0.0344884	0.0378678	0.0333526	0.051196	0.0403191	0.0251041	0.022296	0.0189844	0.0222274	0.0295038	0.0245341	0.0236593	0.0380627	0.035094	0.0536055	0.0915923	0.0540309	0.0832754	0.0422124	0.070897	0.0412828	0.0531626	0.0197223	0.0535289
manière	0.00895792	0.0262884	0.0356884	0.0393176	0.0200273	0.0172832	0.00999123	0.0249176	0.096135	0.144016	0.273363	0.0871322	0.0820713	0.0245948	0.010221	0.00351135	0.00321864	0.00498025	0.00510167	0.006206	0.00660316	0.0336032	0.0236315	0.0131389
dont	0.206525	0.119294	0.0837282	0.0641068	0.0244523	0.0316444	0.0200595	0.0293586	0.0215428	0.0172232	0.021085	0.0188827	0.0226878	0.0175977	0.0115275	0.0184533	0.0310793	0.042567	0.0499085	0.0263594	0.0298312	0.0315975	0.0329041	0.0275843
il	0.0868764	0.0780811	0.0392613	0.0449966	0.026877	0.0157813	0.0276161	0.0268682	0.0532084	0.0563182	0.03196	0.0355883	0.0260574	0.0202534	0.0382627	0.0648488	0.0505827	0.0457413	0.0547344	0.0297867	0.0498644	0.03402	0.0432642	0.0191511
avale	0.101524	0.101024	0.0243655	0.0465482	0.0215766	0.0117086	0.0114375	0.0125793	0.0287014	0.0111582	0.0117446	0.0183993	0.0134393	0.00853712	0.0224565	0.0322774	0.0357674	0.0475235	0.0622167	0.0643694	0.0806634	0.0844992	0.0953835	0.0520992
les	0.0574276	0.0735563	0.0671563	0.0588313	0.0262863	0.0242287	0.0107286	0.0146351	0.0391435	0.0332235	0.0185877	0.0245972	0.0137049	0.018596	0.0274492	0.0348322	0.0521684	0.0450152	0.0872199	0.0477425	0.0653784	0.0490601	0.0330713	0.0773598
aliments	0.0369103	0.0315455	0.0328392	0.0199114	0.0126377	0.0206773	0.0234175	0.0239326	0.0349895	0.0440714	0.0644258	0.0705813	0.031415	0.0376721	0.0265636	0.0280709	0.0307842	0.0562135	0.101462	0.0674672	0.0736994	0.0456029	0.0462338	0.038876
est	0.0254075	0.0165455	0.02128	0.0167178	0.0202568	0.0388782	0.0537771	0.0307653	0.023052	0.0228163	0.0218755	0.0189426	0.0189247	0.0208503	0.0305871	0.0315378	0.041973	0.0856724	0.0553289	0.0761019	0.0973476	0.0567818	0.115215	0.059365
mauvaise	0.0203575	0.0100587	0.00754192	0.00589423	0.0121756	0.019287	0.0133998	0.00812522	0.00287021	0.00282744	0.00256289	0.00653104	0.00979576	0.0190722	0.0336103	0.0427296	0.0871213	0.0806142	0.0844561	0.117474	0.110978	0.0758493	0.0959934	0.130675
</S>	0.029066	0.0196898	0.0170911	0.0139625	0.0234112	0.0344523	0.020188	0.0140949	0.00637679	0.00675396	0.007062	0.00957785	0.0157719	0.0211266	0.0356765	0.0456912	0.0896941	0.0803424	0.0659895	0.091523	0.0832051	0.0678212	0.0772836	0.124149
