 	a23	a83	a9	a99	a23	a50	a4	a66	a53	a15	a44	a20	a15	a94	a32	a90	a4	a53	a90	a56	a98	a71	a9	a87	a23	a94	a98	a71	a24	a62	a93	a4	a53	a69	a76	a90	a15	a41	a18	a11	a21	a12	a75	a56	a98	a73	a75	a61	a96	a70	a4	a13	a3	a87	</S>
le	0.0388325	0.0407069	0.042852	0.015018	0.0200891	0.0206994	0.0148547	0.0140699	0.0251199	0.0381478	0.0282585	0.0486811	0.0662075	0.0296377	0.0167145	0.0174499	0.0152692	0.0147068	0.013119	0.0105076	0.0104228	0.0213808	0.0164998	0.00861014	0.0100098	0.0118718	0.00735229	0.00497925	0.00614923	0.010209	0.0167616	0.0097925	0.025139	0.0154853	0.0194503	0.0156386	0.0222753	0.0330894	0.0111658	0.0117971	0.0171596	0.0188505	0.0103063	0.0152674	0.00978114	0.0110132	0.00993951	0.0125991	0.0121071	0.0108865	0.00931216	0.0071497	0.00830832	0.0102486	0.0180487
défrichage	0.000537294	0.00130966	0.00658382	0.00848955	0.020735	0.0292534	0.0739114	0.0775166	0.0467357	0.0732894	0.0446486	0.0415976	0.126879	0.0950163	0.127017	0.0593688	0.0183519	0.0259131	0.0138385	0.00817878	0.00806501	0.00915904	0.00467892	0.0036908	0.00369166	0.00242058	0.00590696	0.0035283	0.00379317	0.00247207	0.00221829	0.00413542	0.00357239	0.00450935	0.00696484	0.00425181	0.0036008	0.00369527	0.00350005	0.0030258	0.00156467	0.00169726	0.00138529	0.00128393	0.000712072	0.00077344	0.000588848	0.000639823	0.000610358	0.000937681	0.00067945	0.000808995	0.000554747	0.000916505	0.00079463
est	0.0105065	0.0123988	0.0195778	0.00820015	0.0117455	0.0167081	0.01724	0.020244	0.0176909	0.0387485	0.0516712	0.0441814	0.0732035	0.0482422	0.0383082	0.0451088	0.0345351	0.0538634	0.0404467	0.0334384	0.0384997	0.0169032	0.0161059	0.0135649	0.0136107	0.0156574	0.0161672	0.0129646	0.0206672	0.0174822	0.017156	0.0212217	0.0165648	0.0140733	0.0215672	0.00663077	0.00608912	0.00716257	0.00582474	0.00471528	0.00490021	0.00431739	0.00612244	0.00548023	0.00497721	0.00197408	0.00213226	0.00297019	0.00280015	0.00248841	0.00294098	0.00304505	0.00409826	0.00539488	0.0076708
une	0.0190843	0.0158992	0.0197917	0.0134906	0.0182368	0.0271217	0.0166999	0.0157099	0.0106772	0.0164039	0.0245495	0.0208333	0.0537557	0.0316104	0.0383539	0.0367141	0.0358872	0.0405166	0.0285068	0.0298362	0.0309302	0.0194824	0.0220402	0.014494	0.0181931	0.0218488	0.0160291	0.0124358	0.0181951	0.0151285	0.0124042	0.0133275	0.0103088	0.0103477	0.0161666	0.0170055	0.0123961	0.0234467	0.0126871	0.0233002	0.0180316	0.0120572	0.0123656	0.016885	0.00912295	0.00421159	0.00271765	0.00481425	0.00639778	0.00842117	0.00883512	0.00742474	0.0082945	0.00860043	0.0179739
besogne	0.0135236	0.0092108	0.00728082	0.00862443	0.00806589	0.00740754	0.0057347	0.00678461	0.00970381	0.0075613	0.0193221	0.0212038	0.031271	0.0281526	0.0227653	0.0286611	0.0355054	0.0355834	0.0395158	0.043419	0.0641401	0.0676114	0.0617087	0.050007	0.0493362	0.0570628	0.0383265	0.0269466	0.0204778	0.021649	0.0227456	0.0210251	0.020549	0.0165911	0.0120134	0.00798552	0.00925993	0.00580277	0.00584673	0.00629451	0.00411875	0.00293874	0.00275393	0.00196354	0.00107137	0.000690273	0.000709634	0.00154067	0.00126103	0.00100895	0.00156108	0.000759011	0.00092829	0.000786237	0.00323159
trop	0.0154233	0.00834829	0.0065993	0.00779081	0.00661059	0.00526331	0.00341269	0.00235881	0.00596559	0.0116654	0.012705	0.0128481	0.0180217	0.0208182	0.0195641	0.0197015	0.0380404	0.0494249	0.0488367	0.052099	0.0442208	0.0569669	0.0892455	0.0666674	0.0763622	0.0609104	0.0336224	0.0230405	0.0177056	0.0193936	0.0219363	0.0168426	0.0149145	0.0109166	0.00403159	0.00421227	0.00377944	0.00317282	0.0021036	0.00233512	0.00213958	0.00225754	0.00293492	0.00279271	0.00194145	0.00113974	0.000949228	0.0019267	0.00435167	0.00551938	0.00627285	0.00638292	0.0059121	0.00355456	0.0140468
difficile	0.0109637	0.00647104	0.00617475	0.00612651	0.00564717	0.00504371	0.00411258	0.00266722	0.0033678	0.00595675	0.00625273	0.00662465	0.00845225	0.00964008	0.0132986	0.0118943	0.0149726	0.0279114	0.0472583	0.0427919	0.0451772	0.0431989	0.0760383	0.0613831	0.0676576	0.0640948	0.0496823	0.0384333	0.0281258	0.0337981	0.0314574	0.0285407	0.0197265	0.0170655	0.00930696	0.00843066	0.00633961	0.00701277	0.00467294	0.00487175	0.00513372	0.00453896	0.00689769	0.00630061	0.00405308	0.00255547	0.00259792	0.00459238	0.00919142	0.0074476	0.00888201	0.00998443	0.00899028	0.0105722	0.0176201
pour	0.0217451	0.0114796	0.00936252	0.00863535	0.00476116	0.00431499	0.00439123	0.003402	0.00310923	0.00658807	0.0062188	0.00603907	0.00917254	0.010757	0.016883	0.0258762	0.040209	0.0604393	0.0729685	0.0629091	0.0632342	0.0474348	0.0577441	0.0422694	0.046986	0.0444028	0.0241288	0.0322677	0.0179139	0.0156999	0.0160202	0.0166415	0.0120428	0.0129857	0.0109127	0.00878122	0.0070969	0.00572225	0.00661943	0.00690532	0.00442495	0.00511902	0.00658456	0.00659764	0.00443819	0.00316353	0.00453749	0.00648113	0.00854838	0.00757949	0.00943701	0.0108335	0.00917517	0.0115003	0.0165081
les	0.0188481	0.0112277	0.00992046	0.00813392	0.00945997	0.00633869	0.00482438	0.00333093	0.0057146	0.00903167	0.0129569	0.0167929	0.0174088	0.024761	0.0213026	0.0306048	0.0314097	0.0345074	0.0431281	0.043929	0.0383154	0.0360694	0.0259199	0.0146314	0.0211147	0.0189037	0.0105049	0.0126742	0.0107048	0.0118792	0.0123901	0.0112026	0.0158233	0.0116751	0.0165624	0.00887538	0.00775444	0.0109563	0.00755514	0.00665742	0.00978916	0.00679832	0.00579597	0.00563423	0.00418837	0.00479192	0.00841588	0.0162845	0.0296444	0.0406784	0.0463507	0.0410715	0.0349959	0.0320843	0.0396751
femmes	0.0170591	0.0116142	0.0114598	0.00726482	0.00620249	0.00392993	0.00557691	0.0053863	0.0036237	0.00477123	0.00425881	0.00565237	0.0112014	0.0175674	0.0370231	0.0460912	0.0533791	0.0363566	0.0651252	0.0497971	0.0390805	0.0350079	0.0287128	0.0214474	0.0234988	0.0242388	0.0213614	0.0287111	0.0206524	0.0196318	0.0232048	0.0222017	0.0268632	0.0218354	0.0246566	0.0153512	0.0114841	0.0105856	0.0111631	0.0128828	0.00878918	0.00880514	0.00542784	0.00419188	0.00224723	0.00335394	0.00631128	0.0110252	0.0108213	0.0103684	0.0148295	0.0099524	0.00804226	0.0139239	0.0359985
