 	a66	a87	a23	a97	a79	a53	a4	a58	a47	a31	a61	a75	a25	a20	a92	a21	a47	a56	a34	a96	a83	a93	a69	a44	a58	a82	a87	a10	a87	a23	a87	</S>
l'	0.0391444	0.0413551	0.0552301	0.0529798	0.0585444	0.0391907	0.0379721	0.0317572	0.0249537	0.0343019	0.0210654	0.0152243	0.0173551	0.0134446	0.00922004	0.00617494	0.00679309	0.00787456	0.00593727	0.00572181	0.0125075	0.0180491	0.0431605	0.0696531	0.0532523	0.064345	0.0441469	0.0308715	0.027539	0.03861	0.0273813	0.0462434
eau	0.00362324	0.00400343	0.00873987	0.0109799	0.0169111	0.05812	0.0542885	0.0909684	0.0772709	0.0931405	0.0909389	0.0772931	0.0545585	0.0536538	0.0571657	0.0341237	0.0239156	0.0136797	0.0147416	0.0117308	0.012647	0.0118296	0.0112575	0.0140504	0.010525	0.00842523	0.0156646	0.0131222	0.0144346	0.0114676	0.0130493	0.0136796
du	0.0436286	0.0449864	0.0542783	0.0538715	0.0407683	0.0276599	0.0724724	0.0560366	0.0276792	0.0132591	0.0145359	0.0128787	0.0117403	0.0312888	0.016127	0.0179137	0.0178417	0.0142359	0.0125223	0.0145309	0.02298	0.017863	0.0283781	0.0226179	0.0270411	0.0278855	0.0387544	0.0358174	0.0591062	0.0374752	0.038067	0.0457586
ruisseau	0.0612828	0.0409292	0.0447544	0.0595773	0.0484076	0.0398221	0.0463689	0.0306	0.0183809	0.0102702	0.0125222	0.0179795	0.0285942	0.0620543	0.0544306	0.0656087	0.0637641	0.0414398	0.026572	0.0261477	0.024095	0.0145243	0.0116578	0.0193558	0.0208291	0.013503	0.0185774	0.0161979	0.0111358	0.0153451	0.011382	0.0238905
a	0.039245	0.0334171	0.0172421	0.0243821	0.0228888	0.0212643	0.0453313	0.0368632	0.0342472	0.0239579	0.0225588	0.0275617	0.0387558	0.0401725	0.0620591	0.0393238	0.0523106	0.0272187	0.0184297	0.00796967	0.00703361	0.0084873	0.00879729	0.01631	0.0162891	0.0280685	0.0326807	0.0367186	0.0363026	0.040846	0.0369143	0.0963527
troué	0.0394469	0.0442784	0.027579	0.0345487	0.038721	0.0263522	0.0441814	0.0278042	0.0146163	0.0201598	0.0228496	0.0213422	0.0201561	0.0199385	0.0307809	0.03384	0.0333921	0.0381741	0.0360227	0.0250121	0.0260298	0.0306294	0.0269569	0.0332425	0.0246495	0.0295124	0.0310161	0.0359425	0.0328155	0.0395974	0.0295862	0.0608257
le	0.0633296	0.0446392	0.0280449	0.0164585	0.0168161	0.0117696	0.0297188	0.0374984	0.0285163	0.0281165	0.0182886	0.0224873	0.0193031	0.0141205	0.0146312	0.0104665	0.00565556	0.0101526	0.0108157	0.015456	0.0227692	0.0318635	0.0347564	0.0297781	0.0285487	0.0455806	0.0433254	0.0476902	0.0605968	0.054376	0.0503294	0.104101
barrage	0.0304394	0.0146196	0.0136641	0.0103719	0.0118829	0.0190215	0.0647054	0.101838	0.0789066	0.0917348	0.110623	0.0824383	0.0568798	0.0321508	0.0192644	0.0170066	0.00910012	0.0069651	0.00657498	0.00423656	0.00664427	0.00796574	0.00962829	0.00994756	0.0122138	0.0196287	0.0198307	0.0229743	0.0243821	0.0257597	0.0250541	0.033547
que	0.0890371	0.0598313	0.0528105	0.0165463	0.00991737	0.00358955	0.012587	0.01864	0.010433	0.0211159	0.018056	0.0160069	0.0110086	0.00519501	0.00427014	0.0039008	0.00224529	0.00399354	0.00456208	0.00783273	0.0253728	0.0490902	0.0535729	0.0594967	0.0650464	0.0652404	0.0633371	0.0551601	0.0521164	0.0585889	0.0466667	0.0347322
tu	0.115962	0.0872114	0.0726525	0.0465291	0.0323145	0.0188995	0.0229686	0.0115174	0.00789112	0.0147752	0.0127706	0.0127338	0.0175947	0.0258589	0.0230884	0.013037	0.0161385	0.0198098	0.0129498	0.0115256	0.0237924	0.0336788	0.0501981	0.0258093	0.0269873	0.0208791	0.0294047	0.0358442	0.0290216	0.0330724	0.0582124	0.0368709
as	0.0907536	0.0941564	0.0729664	0.0405256	0.0278751	0.0186266	0.0180596	0.0110533	0.00862483	0.0171366	0.0142136	0.0131779	0.018238	0.0302097	0.0256774	0.0147173	0.0172377	0.0186246	0.00949752	0.0131386	0.0184155	0.0275561	0.0421254	0.0376783	0.0370009	0.0261978	0.0377021	0.0421887	0.0352095	0.0373344	0.0503931	0.033688
construit	0.0988737	0.0765676	0.0860976	0.0418973	0.0282799	0.0200783	0.046724	0.0269948	0.0140519	0.015772	0.0186781	0.0135297	0.00975007	0.0146613	0.00656143	0.00511222	0.00839376	0.0121613	0.0110911	0.0213254	0.040351	0.0467706	0.046585	0.0319665	0.0321242	0.0265619	0.0277953	0.0237069	0.0196345	0.0281178	0.0388815	0.0609033
</S>	0.0878564	0.0533901	0.0614136	0.0379004	0.0319424	0.0269786	0.0459051	0.0311028	0.0227047	0.0222713	0.0188263	0.0190471	0.0174935	0.0113764	0.00621544	0.00618097	0.00549693	0.0121704	0.0113864	0.00520384	0.0141474	0.0264727	0.0228403	0.0281287	0.0463511	0.0358661	0.0455999	0.0474129	0.0389897	0.0376021	0.0391411	0.0825851
