 	a66	a87	a23	a87	a23	a79	a69	a11	a90	a15	a98	a85	a37	a66	a61	a21	a75	a85	a44	a66	a98	a44	a98	a85	a5	a11	a75	a85	a44	a13	a98	a6	a61	a83	a9	a87	a23	a87	</S>
oswala	0.0181116	0.0447155	0.0338074	0.0358345	0.0481674	0.0361229	0.0487155	0.0401788	0.0580537	0.0456748	0.0467476	0.0516313	0.03054	0.029119	0.02281	0.0315084	0.0137617	0.0131469	0.0097231	0.0142523	0.0156875	0.0121281	0.0162283	0.0110266	0.0112103	0.00992892	0.00842231	0.0125323	0.0119026	0.02505	0.0198835	0.0213672	0.0238699	0.0160765	0.0196822	0.0193692	0.0166751	0.0129347	0.0434024
était	0.00836537	0.00687414	0.00966929	0.0103779	0.0180165	0.0167873	0.0253052	0.0307829	0.0340021	0.0196626	0.019311	0.0204424	0.0298436	0.0171063	0.0181961	0.0281965	0.0470957	0.0488823	0.0793496	0.0422501	0.0208459	0.0223005	0.0196041	0.0166728	0.0161631	0.0124724	0.0123628	0.017351	0.0283149	0.0312716	0.0428509	0.0563693	0.0358849	0.0384651	0.016642	0.022789	0.0192817	0.0250341	0.0148068
en	0.0150829	0.00790375	0.00508636	0.00420608	0.00345287	0.00534256	0.00505727	0.0114371	0.0105007	0.0121645	0.0147949	0.0144921	0.0389457	0.0468276	0.0370948	0.0340015	0.0708048	0.063726	0.0313218	0.0195668	0.0116646	0.00604869	0.00447461	0.00474722	0.00653617	0.010037	0.00865965	0.00931376	0.00970435	0.0107762	0.0294221	0.0477715	0.0321519	0.0659543	0.0333645	0.0837846	0.0644198	0.0644104	0.0449484
train	0.0202639	0.0160647	0.015775	0.0163709	0.0120505	0.0183645	0.0172289	0.0173834	0.0170464	0.0246278	0.0309684	0.0220539	0.0345197	0.0321969	0.0318836	0.0268075	0.0486299	0.0340296	0.0296407	0.0421014	0.0572274	0.0568935	0.0301217	0.0247126	0.0189503	0.0203296	0.0136026	0.0173045	0.0222141	0.0174771	0.0223595	0.0392749	0.0380535	0.0568472	0.0108829	0.0147708	0.00845214	0.00668502	0.015833
de	0.0198372	0.0185491	0.0148656	0.0148413	0.0140985	0.0204322	0.0384197	0.0366443	0.0399823	0.0465896	0.0469211	0.050656	0.0493539	0.0523782	0.0461555	0.0505826	0.0398037	0.05979	0.0392644	0.0378825	0.0273002	0.0120489	0.0124393	0.00833499	0.00503431	0.00370726	0.00191499	0.00265507	0.00333888	0.00577095	0.00658542	0.0118678	0.0112658	0.017242	0.0204687	0.021534	0.0255643	0.035685	0.0301943
bavarder	0.00715607	0.0056357	0.00559772	0.00520554	0.00536385	0.00563982	0.0170125	0.0271137	0.0346209	0.0496874	0.068465	0.0348247	0.111628	0.0880182	0.0624617	0.037186	0.095041	0.065191	0.0773931	0.0711647	0.0418301	0.0190187	0.0103307	0.00984443	0.00558531	0.00335325	0.00308752	0.00517095	0.00318574	0.0040882	0.00273089	0.00328112	0.00208159	0.00163569	0.00228446	0.00142896	0.00165287	0.00289232	0.00211065
dans	0.0342663	0.0253527	0.0194242	0.0180724	0.0110231	0.016273	0.020553	0.0265387	0.0188497	0.0248667	0.0180403	0.0158961	0.0220158	0.0248586	0.0221591	0.0217279	0.0308491	0.0227412	0.0142923	0.00902687	0.00756176	0.00550713	0.00930824	0.0177932	0.018108	0.0281237	0.0427009	0.0449126	0.0351697	0.0464363	0.0438979	0.0729468	0.0430611	0.0508679	0.023469	0.0240035	0.0199003	0.0248651	0.0245394
la	0.0360019	0.0258389	0.0249002	0.0224332	0.00915426	0.0195623	0.016626	0.0204708	0.0121141	0.0168213	0.0169597	0.0164864	0.0165398	0.0180924	0.021584	0.0417075	0.032125	0.0224209	0.00904514	0.00473796	0.00529178	0.00265609	0.00377682	0.0043572	0.00434471	0.00763053	0.0125262	0.0134203	0.015832	0.0322632	0.0395003	0.0734939	0.0745943	0.062863	0.0488477	0.0565948	0.0517995	0.0496744	0.0369117
foule	0.0252951	0.0259172	0.0144675	0.015826	0.0127219	0.0174152	0.0197838	0.0157383	0.0131609	0.0134514	0.015069	0.0167004	0.0221044	0.0256926	0.0361359	0.0458052	0.0495955	0.0433511	0.0273493	0.0161863	0.0147728	0.00875385	0.00932987	0.00854824	0.00753808	0.00933011	0.0115707	0.010973	0.0110502	0.0274309	0.0305052	0.0493076	0.0572219	0.0497344	0.0456169	0.043707	0.0466125	0.042677	0.0435525
</S>	0.0321397	0.041236	0.0301086	0.0291949	0.0214311	0.0291846	0.0229503	0.0140316	0.0091115	0.00776129	0.0114112	0.015073	0.0116322	0.0116587	0.0157804	0.0356146	0.0258405	0.021183	0.00790749	0.00450445	0.00332842	0.00226851	0.00427797	0.00425525	0.00439938	0.005109	0.00528412	0.00634983	0.00750723	0.0228993	0.0265096	0.0344207	0.059848	0.0490131	0.0552075	0.0765081	0.0649134	0.0630064	0.107139
