 	a66	a87	a23	a20	a15	a54	a5	a12	a21	a5	a18	a96	a75	a5	a12	a96	a18	a21	a5	a21	a56	a93	a96	a62	a88	a9	a82	a10	a38	a83	a18	a9	a97	</S>
aujourd'	0.0885513	0.0987426	0.0958144	0.109309	0.105465	0.0755094	0.110779	0.0373601	0.0202264	0.0247111	0.0100198	0.00588661	0.00777946	0.00548204	0.00644956	0.00661588	0.00813343	0.00741518	0.01187	0.0158572	0.0108716	0.0102392	0.00731088	0.00955444	0.00784054	0.00570666	0.0145055	0.00846923	0.00960974	0.0118248	0.0103028	0.0130343	0.0107554	0.0179981
hui	0.00474984	0.00705367	0.0189844	0.0528378	0.160947	0.247419	0.133437	0.0907349	0.0614731	0.0107739	0.0120708	0.0244882	0.0269477	0.0278204	0.0148399	0.011233	0.00885779	0.0149944	0.0100143	0.012486	0.00295275	0.0112497	0.00541004	0.00259412	0.00192898	0.00439664	0.00206541	0.00130487	0.00090092	0.00159991	0.00192078	0.00277588	0.00436779	0.00436915
je	0.0555354	0.0578842	0.0450577	0.0331867	0.0277347	0.0281316	0.0349771	0.0451588	0.0511877	0.018165	0.0307685	0.0611077	0.0556722	0.0507126	0.0495984	0.0340652	0.0263216	0.0241353	0.0175978	0.0167039	0.017739	0.0201782	0.0144812	0.0102086	0.0137519	0.0129196	0.00917299	0.0236748	0.0187329	0.0230143	0.0117427	0.0227314	0.016152	0.0217987
vais	0.0264926	0.0215169	0.0181768	0.0105237	0.0105879	0.00440796	0.00704194	0.0137765	0.0293071	0.0291892	0.0436081	0.0310928	0.0256054	0.042651	0.0440522	0.035607	0.053395	0.0289981	0.0229602	0.0339795	0.026144	0.0329953	0.0275995	0.0312968	0.0224812	0.0139265	0.0147063	0.0246801	0.0155305	0.0221438	0.0561074	0.0567664	0.051999	0.0706529
manger	0.0614289	0.0262826	0.0174622	0.0135483	0.0107354	0.00876152	0.00704874	0.0169926	0.0475685	0.0798625	0.0861593	0.0874478	0.0418222	0.055423	0.0474839	0.0407148	0.0641376	0.0343111	0.0435824	0.0435808	0.0340955	0.0270417	0.0232858	0.0185851	0.0110829	0.0053457	0.00197167	0.00299123	0.00144274	0.00251673	0.00768685	0.00591189	0.00712349	0.0165646
de	0.0170721	0.00928427	0.00804856	0.0106242	0.0118182	0.0149416	0.0459286	0.0460343	0.0524294	0.0722435	0.075636	0.0760096	0.0601262	0.0366858	0.0338591	0.027485	0.0337835	0.0282958	0.0510887	0.0510875	0.0276397	0.0269658	0.0129138	0.0139888	0.0154099	0.0110012	0.00597167	0.0179263	0.00937994	0.0150367	0.0115028	0.0130972	0.0144409	0.0422436
la	0.011944	0.0101067	0.00835538	0.00971198	0.0118588	0.0139407	0.0307625	0.0398003	0.0514774	0.0538064	0.0656069	0.0705157	0.062957	0.05207	0.0460095	0.0435487	0.0623154	0.0239676	0.0356313	0.0313704	0.025044	0.0212349	0.0128916	0.012731	0.0129831	0.0113878	0.0099379	0.0269516	0.0143281	0.0262959	0.0159813	0.0172723	0.024432	0.0327719
viande	0.0166904	0.0119872	0.00903115	0.00649971	0.0113331	0.0135523	0.0221659	0.0400637	0.0700321	0.0574501	0.0786642	0.0884518	0.065096	0.0636007	0.0437214	0.0404354	0.0581406	0.0230172	0.031479	0.0234371	0.0290407	0.0186149	0.0134782	0.0122339	0.0113731	0.00919355	0.00546025	0.0225235	0.013024	0.0251073	0.0186117	0.0138243	0.0169709	0.0156947
fumée	0.0138387	0.0103618	0.00395843	0.00275905	0.00128877	0.00200612	0.00381562	0.00846005	0.0255427	0.0316979	0.0427533	0.0366032	0.0363858	0.0367357	0.0403922	0.0410473	0.0575332	0.0304301	0.0385449	0.0372855	0.0336241	0.0211442	0.0139501	0.0168736	0.0147095	0.00987702	0.0147653	0.0269546	0.0225737	0.0579368	0.106931	0.0471565	0.0744841	0.0375793
</S>	0.0430507	0.0330353	0.0158498	0.0101011	0.00585201	0.0087304	0.00832744	0.0109868	0.0161069	0.0181023	0.0372748	0.0389396	0.0310029	0.0349215	0.0450119	0.0342459	0.035545	0.0321163	0.0158847	0.0216284	0.0128562	0.0161605	0.0141697	0.0207894	0.0193758	0.0228081	0.0363249	0.0365395	0.0331068	0.0479698	0.0564776	0.0546964	0.0572567	0.0747547
