 	a66	a87	a97	a79	a5	a23	a75	a85	a98	a85	a21	a47	a31	a75	a56	a96	a24	a62	a47	a62	a47	a88	a38	a94	a93	a70	a13	a9	a3	a82	a10	a82	a3	a82	a97	a10	a97	</S>
l'	0.029741	0.0411592	0.0460352	0.050751	0.0456373	0.0798738	0.118309	0.106961	0.0533366	0.0312933	0.0194482	0.0114169	0.0111644	0.0131605	0.0169546	0.0177437	0.0150232	0.0161054	0.0170333	0.0145926	0.0139402	0.0113069	0.00939084	0.0175414	0.0139767	0.0135258	0.0115509	0.00958111	0.0105733	0.0120484	0.0127565	0.0113366	0.0100805	0.0132239	0.0126818	0.0145257	0.0158633	0.0303556
espèce	0.00785637	0.00921962	0.0145907	0.0453524	0.0782804	0.121592	0.0986957	0.142534	0.152157	0.0540445	0.0647727	0.0476232	0.0216221	0.0261584	0.0143137	0.00916321	0.00999466	0.00625882	0.0053124	0.00983476	0.00577857	0.00414266	0.004676	0.0034754	0.00327771	0.00239713	0.00430486	0.00220244	0.00109602	0.00218926	0.002046	0.0011372	0.00237191	0.00254796	0.00292645	0.0038179	0.00509426	0.0071414
d'	0.0502044	0.0385023	0.0242083	0.0176055	0.0352336	0.044049	0.0628548	0.0605578	0.0561989	0.0566343	0.0482274	0.0394383	0.0256858	0.0206797	0.0230115	0.0198333	0.0101448	0.0119765	0.0137386	0.0125914	0.0090366	0.012192	0.00565795	0.0053186	0.00503809	0.00360848	0.00646973	0.00577195	0.0189423	0.0084875	0.0232043	0.0237692	0.0298063	0.029845	0.0365931	0.0382864	0.0391475	0.0274484
igname	0.0591616	0.0342002	0.0221454	0.00721503	0.00588341	0.00364818	0.00704186	0.0035361	0.00578941	0.00762781	0.0173596	0.0129373	0.017707	0.01008	0.0146925	0.0165849	0.0295253	0.0454519	0.0959372	0.0807699	0.0549802	0.0859025	0.0731979	0.0330589	0.00986453	0.014838	0.0182089	0.00888524	0.0153683	0.0155572	0.0166384	0.0155435	0.01916	0.023749	0.0305446	0.0242005	0.0297415	0.0132664
que	0.0500576	0.0429367	0.0456357	0.0155042	0.0223657	0.016836	0.0242941	0.0183063	0.0123558	0.0187024	0.0209682	0.0200626	0.0358574	0.0327263	0.0532243	0.0640347	0.0697935	0.0773948	0.0881247	0.0637134	0.0516916	0.032847	0.0167619	0.0162191	0.00240694	0.00301065	0.00206761	0.00174694	0.00183185	0.00282558	0.00306586	0.00546237	0.00605803	0.00700375	0.00843849	0.00964951	0.0166459	0.0193726
tu	0.0869902	0.0683043	0.0595085	0.0305275	0.0259348	0.0189275	0.023489	0.0118848	0.0113225	0.010714	0.0116298	0.00773327	0.00917322	0.0072737	0.0142423	0.0246628	0.0377706	0.0477624	0.0532776	0.040399	0.0509246	0.0337926	0.0374863	0.0486498	0.0172373	0.0159971	0.0137579	0.00896647	0.00713712	0.0113277	0.0131022	0.00779938	0.0155289	0.0202262	0.0264724	0.0223832	0.0203089	0.0273745
as	0.0747239	0.0681635	0.0497541	0.0247349	0.0159843	0.0108459	0.0119326	0.00431171	0.00394992	0.0035496	0.00548152	0.00494272	0.00692957	0.00575603	0.0107582	0.0188368	0.0369491	0.0457898	0.0674618	0.0616408	0.0569352	0.0398762	0.0382141	0.0368111	0.0279065	0.0257859	0.0375073	0.0153688	0.0119107	0.0226261	0.01009	0.0103793	0.0146877	0.0211464	0.026465	0.0237079	0.0292557	0.0188292
acheté	0.0377794	0.0425424	0.0319959	0.023688	0.0141496	0.0128264	0.0137148	0.00754916	0.00669172	0.00545671	0.00664152	0.00645652	0.00592653	0.00386356	0.00643896	0.0113522	0.025321	0.041889	0.0520833	0.0581382	0.054824	0.0427099	0.0469106	0.0501518	0.025403	0.0392787	0.0438348	0.0171586	0.0143676	0.0273489	0.0121669	0.0165684	0.0203819	0.0294557	0.0374261	0.0303856	0.0480038	0.0291187
s'	0.0318377	0.0353508	0.0287741	0.0266615	0.028948	0.024291	0.0267622	0.0116041	0.0103429	0.00836876	0.0121582	0.00965755	0.00932195	0.00467015	0.00742555	0.0102589	0.0121078	0.0169323	0.0175739	0.0204835	0.0209339	0.0162267	0.018953	0.0204162	0.0162676	0.0356574	0.052015	0.0280629	0.0237341	0.0431627	0.0233003	0.0326353	0.0389389	0.0472117	0.0558183	0.0457243	0.0784027	0.0490079
appelle	0.0259826	0.0333347	0.0296928	0.0368848	0.0408081	0.0515173	0.0547145	0.0406168	0.0355274	0.0341487	0.0432775	0.0405442	0.0289229	0.02219	0.02299	0.0222745	0.0185443	0.0233989	0.022902	0.0221026	0.0165298	0.0125679	0.0121507	0.0148452	0.00931041	0.0156155	0.0237735	0.0108618	0.0159205	0.0170617	0.0156808	0.0159979	0.0258722	0.0234926	0.0282016	0.0194574	0.040097	0.0321888
