 	a66	a87	a23	a40	a36	a96	a62	a75	a6	a37	a66	a61	a5	a75	a85	a6	a36	a37	a34	a96	a61	a21	a92	a37	a69	a58	a82	a87	</S>
les	0.0533405	0.106138	0.105778	0.151014	0.0855601	0.0628173	0.0408782	0.0253605	0.0148517	0.0176411	0.0164714	0.0180893	0.013647	0.0107734	0.012057	0.0128586	0.0166096	0.0170348	0.0174205	0.0210606	0.0142192	0.014783	0.0153773	0.0131651	0.0178184	0.0188319	0.0188614	0.0209027	0.0466387
femmes	0.0190208	0.0366604	0.0549339	0.0561759	0.0623335	0.048107	0.0487268	0.0869997	0.140523	0.0921029	0.0574898	0.044571	0.0306283	0.0398153	0.0337607	0.0183238	0.0194918	0.0135117	0.0114916	0.00735787	0.00523474	0.00440012	0.00488174	0.00648788	0.00614241	0.0117728	0.00737788	0.025354	0.00632286
ont	0.0678788	0.137623	0.109276	0.0743839	0.0989123	0.0604878	0.0322243	0.0333067	0.0297423	0.0214324	0.0201515	0.013715	0.0161809	0.0293795	0.0259706	0.0254477	0.0187739	0.0148069	0.0169341	0.0190968	0.0147005	0.0107313	0.0137662	0.0127288	0.00853726	0.0143332	0.0109951	0.0392385	0.00924378
étalé	0.0330817	0.0260844	0.013871	0.0167883	0.0140435	0.024837	0.037775	0.0756784	0.0993434	0.0696467	0.0686744	0.0547078	0.0707251	0.0574238	0.0432201	0.0309373	0.0355419	0.0235698	0.0348023	0.0407207	0.021001	0.0136103	0.0156738	0.0114482	0.0105566	0.0129939	0.0120175	0.016129	0.0150973
des	0.0422833	0.028928	0.0328654	0.0470994	0.0614025	0.0835488	0.137551	0.121622	0.0443641	0.0359804	0.0326656	0.0362692	0.023144	0.0152209	0.0113858	0.0109241	0.0112331	0.0099705	0.0108046	0.0176149	0.0137266	0.0171871	0.0246259	0.0141574	0.0158247	0.0272119	0.0241922	0.0232696	0.0249272
nattes	0.0177643	0.0130141	0.012821	0.0128676	0.0161251	0.0166591	0.016663	0.02236	0.0303486	0.0354129	0.058982	0.0704922	0.0553883	0.0590435	0.0395615	0.0634628	0.0631655	0.075316	0.0677688	0.076732	0.0457389	0.0326822	0.0321167	0.0153295	0.0137341	0.0117314	0.00822412	0.00693529	0.00955964
là	0.0434104	0.0318996	0.0290304	0.0212191	0.017184	0.0113942	0.0139372	0.0164359	0.0130257	0.0125948	0.0154677	0.0120125	0.0133484	0.0173817	0.012626	0.0163142	0.018776	0.0230106	0.0278419	0.0391596	0.0343938	0.0586719	0.0777473	0.0612364	0.0811269	0.0808688	0.0637791	0.0485896	0.0875161
où	0.0514157	0.0366947	0.0201089	0.0165492	0.00894299	0.00554972	0.00718218	0.00386659	0.00352395	0.00468053	0.00708814	0.0106254	0.0157168	0.0297373	0.02078	0.0281788	0.0409412	0.0356946	0.0428653	0.0660635	0.0437493	0.0597959	0.0737119	0.0592872	0.061595	0.0691026	0.0584883	0.049195	0.0688695
il	0.0440171	0.0232615	0.0133074	0.00744527	0.00373066	0.00380094	0.00360376	0.00286555	0.0026541	0.0033003	0.00353286	0.00367536	0.00612076	0.00836685	0.00777122	0.0188019	0.0337445	0.0407806	0.0268707	0.0608446	0.0454997	0.0544638	0.0729045	0.0731865	0.0754421	0.121938	0.0775375	0.121811	0.0387203
y	0.046905	0.0374936	0.0170391	0.00623172	0.00386116	0.00185915	0.0036354	0.00508855	0.00339535	0.00325927	0.00671002	0.00988561	0.00822412	0.0202283	0.0157497	0.0249848	0.025685	0.0416701	0.0280237	0.0523484	0.0498624	0.0414204	0.0497477	0.0548057	0.0609601	0.0958319	0.0622906	0.112837	0.109967
a	0.0355208	0.0196537	0.0120412	0.00627821	0.0073619	0.00505414	0.0070122	0.00846067	0.00384748	0.00405395	0.00811001	0.0128788	0.00775451	0.0193521	0.0122601	0.0166603	0.0190505	0.0228045	0.0196704	0.0362006	0.0427656	0.0626535	0.0780177	0.0893065	0.0841611	0.107553	0.0764113	0.0982371	0.0768684
la	0.0277181	0.0139254	0.00889405	0.00769533	0.00756462	0.00899776	0.0151339	0.0168978	0.0109783	0.00975032	0.0116665	0.0099761	0.00661439	0.010976	0.00734247	0.00881547	0.00963689	0.0123037	0.013362	0.0197907	0.025612	0.0628706	0.0892481	0.0989817	0.10504	0.10615	0.106973	0.0848382	0.0822466
veillée	0.0701965	0.0369058	0.016645	0.0124445	0.0105547	0.00904332	0.0187673	0.0200389	0.00657585	0.00659067	0.00962753	0.0113715	0.00907993	0.0181867	0.0161162	0.0144745	0.0176017	0.0159005	0.0183641	0.0231557	0.023605	0.0415059	0.0655742	0.0600739	0.0725046	0.080262	0.0945447	0.0933128	0.106976
mortuaire	0.0396069	0.0338888	0.0193937	0.0145432	0.00873914	0.00288379	0.00264374	0.00202642	0.000778762	0.000944418	0.00168463	0.00385227	0.00370647	0.00641527	0.00831303	0.0084914	0.0086793	0.0113744	0.0202133	0.0330149	0.0427835	0.0703546	0.0812978	0.0724643	0.0879853	0.076183	0.0853053	0.0801776	0.172255
</S>	0.0413963	0.0298472	0.0201851	0.0136899	0.00880087	0.00544903	0.006999	0.0100697	0.00511956	0.00561066	0.00587202	0.0073779	0.00811789	0.0111105	0.0122355	0.0153337	0.0145398	0.0185836	0.0263667	0.0421505	0.042753	0.0584559	0.0665003	0.0636058	0.0680175	0.0946635	0.0919333	0.0949129	0.110302
