 	a66	a87	a23	a38	a93	a75	a85	a6	a36	a85	a47	a36	a15	a94	a37	a88	a61	a79	a94	a84	a82	a87	a23	a87	</S>
l'	0.0343175	0.0331646	0.0401648	0.0322302	0.0419078	0.0194716	0.0434385	0.034397	0.034277	0.0358238	0.0288577	0.0236933	0.0113928	0.0139941	0.0281576	0.0210707	0.0404328	0.028199	0.0330418	0.0490133	0.0726076	0.0955561	0.0595603	0.046327	0.0989032
antilope	0.00852293	0.00873995	0.0106968	0.0192245	0.0185059	0.0423414	0.0635436	0.117586	0.131227	0.108497	0.100106	0.104244	0.117613	0.0516317	0.0188309	0.0241788	0.00876151	0.00681329	0.00596032	0.00463091	0.00278543	0.00476715	0.00520833	0.0111175	0.00446594
se	0.0130047	0.0205212	0.0409564	0.078014	0.0842715	0.0720937	0.0440752	0.0559555	0.0573667	0.0734152	0.0762864	0.121603	0.106677	0.0423215	0.0104055	0.00413447	0.0119384	0.00937427	0.00432011	0.014201	0.008804	0.0172185	0.00916417	0.0161558	0.00772175
nourrit	0.036623	0.0279419	0.0238725	0.0109755	0.0104461	0.00883863	0.00824739	0.0158174	0.0348217	0.0708395	0.0691845	0.169765	0.151345	0.0979232	0.0515805	0.0187577	0.0300316	0.0254981	0.0250367	0.0201678	0.0206852	0.0243223	0.0160992	0.0182814	0.012898
de	0.0401372	0.0367153	0.0321199	0.0266829	0.0268496	0.0206143	0.0111072	0.013499	0.0195879	0.0229829	0.02183	0.0256483	0.016636	0.0184874	0.0270968	0.0266109	0.0465237	0.0700705	0.0509831	0.0545185	0.0483515	0.0639396	0.0707761	0.0728148	0.135416
feuilles	0.0559308	0.0344794	0.0258123	0.0180844	0.0182231	0.0117126	0.0172563	0.0200589	0.0214312	0.0214322	0.0214951	0.0254652	0.0168671	0.0173144	0.0328016	0.0263512	0.0494767	0.0735041	0.0588338	0.0659191	0.0588009	0.0793843	0.0633154	0.0663788	0.099671
de	0.0547107	0.0360509	0.0277227	0.0205502	0.0191129	0.00992871	0.0121451	0.0141101	0.0169996	0.0176644	0.016553	0.017457	0.0101807	0.0135402	0.0323466	0.0247857	0.062306	0.112898	0.0485093	0.0747805	0.0503716	0.0741912	0.0461919	0.0630882	0.123805
la	0.0365925	0.0335173	0.0297381	0.0268568	0.0202354	0.0146274	0.0155945	0.013391	0.0175115	0.0174056	0.0227324	0.0273749	0.0297613	0.040361	0.0426957	0.0661116	0.072441	0.0793483	0.0600964	0.0551299	0.0386154	0.0636033	0.0358106	0.0530883	0.0873597
plante	0.110873	0.0686904	0.0516232	0.042049	0.0370737	0.0405964	0.0315963	0.0145774	0.0217149	0.0198127	0.0255041	0.0237975	0.0254915	0.0164747	0.0294527	0.024431	0.0126956	0.0157538	0.034734	0.0262425	0.0440849	0.0663328	0.0492793	0.131495	0.0356243
aquatique	0.0541333	0.0466882	0.0415928	0.0428248	0.0387199	0.0278743	0.0111897	0.00548222	0.00817073	0.00708224	0.0110827	0.0139854	0.0138352	0.0173314	0.0266721	0.0197914	0.0215919	0.019552	0.0493647	0.059246	0.0592713	0.100704	0.0659743	0.0952936	0.142546
moo	0.0509225	0.0579505	0.0574519	0.0544298	0.0478746	0.0279002	0.0157464	0.0117173	0.014636	0.0118421	0.0141715	0.0244543	0.0187223	0.0221433	0.0281647	0.0185891	0.0309658	0.0222109	0.0437364	0.0614004	0.0570625	0.0800179	0.050922	0.0756125	0.101355
</S>	0.0325618	0.0345185	0.0333212	0.0329198	0.0254237	0.0166473	0.00736982	0.00593464	0.00952272	0.00859801	0.0107472	0.019168	0.0134901	0.0231254	0.0398034	0.0530158	0.0785189	0.074806	0.0677504	0.0691084	0.063039	0.0817105	0.0522498	0.0677202	0.0789293
