 	a87	a23	a10	a75	a47	a44	a84	a57	a53	a93	a62	a75	a85	a66	a62	a9	a75	a5	a61	a90	a93	a70	a61	a96	a93	a90	a84	a40	a75	a47	a5	a27	a10	a50	a75	a25	a90	a84	a38	a47	a88	a62	a88	a71	a11	a62	a83	a9	a87	a23	a87	</S>
dans	0.0209347	0.0270775	0.0263734	0.0267308	0.0404722	0.0556282	0.0304586	0.0231697	0.02612	0.0231529	0.0278057	0.0297479	0.0326853	0.0202634	0.0429573	0.0301658	0.0323428	0.0388036	0.0178021	0.016864	0.0161029	0.00919539	0.00790412	0.0136869	0.0144829	0.0121113	0.0157275	0.0182738	0.0185523	0.0241875	0.018732	0.0197178	0.0292219	0.0154453	0.0170409	0.0188267	0.0133553	0.0144656	0.00751985	0.00790242	0.00734498	0.00586175	0.00671542	0.00673367	0.00507946	0.00547274	0.00546975	0.00557186	0.00480985	0.00875736	0.00964444	0.0265305
ce	0.0161764	0.0172291	0.0139174	0.0167905	0.0125451	0.0102244	0.0143076	0.0182036	0.016062	0.0148331	0.0154837	0.0254132	0.020024	0.0283169	0.0131907	0.0157353	0.046592	0.0486219	0.0274075	0.0445914	0.0273479	0.0311323	0.0175689	0.0229502	0.0227228	0.0156316	0.0163382	0.0105631	0.0126935	0.0146943	0.0100343	0.0132189	0.0079993	0.00550671	0.00640896	0.00475128	0.00747266	0.0049671	0.00912721	0.0114942	0.0110896	0.011816	0.0127255	0.0167196	0.0224478	0.0200672	0.037471	0.0323744	0.0385747	0.0309455	0.0337297	0.0237498
village	0.0126994	0.0119223	0.0139974	0.0172952	0.0230123	0.0227839	0.0315473	0.0252337	0.0277466	0.0730283	0.0657386	0.0591913	0.032759	0.0433353	0.0296045	0.0293501	0.0229659	0.0268344	0.0151584	0.0186225	0.0283205	0.0259996	0.0221474	0.0155047	0.0278426	0.0228278	0.0217399	0.0281007	0.0244926	0.0236126	0.0330853	0.0176044	0.0158474	0.0133615	0.00783429	0.00976732	0.00903129	0.00658323	0.0062981	0.00428498	0.00466272	0.00298691	0.00392168	0.00336617	0.0010233	0.0016447	0.00137383	0.00257933	0.00205705	0.00279308	0.0024461	0.00403252
on	0.0333529	0.0182441	0.0151798	0.0172965	0.00887746	0.00972946	0.00933171	0.00700474	0.00274631	0.00436342	0.011886	0.0127709	0.00908782	0.01074	0.00601012	0.00953716	0.016413	0.0124829	0.0271017	0.0147235	0.0180885	0.0298368	0.0407028	0.043867	0.0358088	0.0277029	0.0253514	0.0477502	0.046438	0.0468474	0.0264736	0.0716956	0.0305369	0.00972583	0.0228681	0.00769899	0.0131909	0.00391541	0.0047677	0.00676285	0.00590433	0.0103634	0.00238754	0.00569363	0.00541245	0.00794733	0.0223444	0.0232641	0.0241117	0.0381369	0.0297191	0.00780586
ne	0.021836	0.0153399	0.0139573	0.0230187	0.0202961	0.0255851	0.0398169	0.019261	0.00812123	0.00613228	0.0096771	0.00794895	0.00952657	0.0158876	0.018725	0.0222684	0.0347776	0.0316522	0.0278575	0.0269962	0.0232949	0.0380511	0.0423044	0.0332794	0.0347574	0.0351614	0.0358435	0.0337821	0.0295008	0.0382521	0.0215726	0.0220929	0.0132557	0.0109842	0.00641623	0.0066685	0.00623572	0.00903032	0.0100059	0.0171982	0.0088038	0.0156689	0.00779479	0.0183875	0.0121573	0.0136416	0.0141946	0.0103887	0.00954824	0.00858693	0.00916715	0.00529176
veut	0.0196373	0.0188606	0.0160096	0.0172018	0.0127612	0.010308	0.0184347	0.00928914	0.00371577	0.00660011	0.00701814	0.00744404	0.00851884	0.0166051	0.0115061	0.0146029	0.0254443	0.0305356	0.0326004	0.0390926	0.033656	0.0314903	0.0325654	0.0445514	0.0261679	0.0378181	0.024906	0.0262134	0.0240147	0.0210663	0.0173904	0.0189895	0.0124911	0.00689426	0.00827068	0.00784145	0.0136574	0.0119961	0.0110996	0.0157448	0.0129994	0.0174752	0.0139382	0.0118857	0.00919537	0.0096907	0.0402587	0.0335248	0.0228539	0.0270311	0.0318506	0.0162853
plus	0.0269778	0.022082	0.0111849	0.0143984	0.011775	0.00389153	0.00854846	0.00497933	0.00286238	0.00334174	0.00360834	0.00700387	0.00856005	0.0131646	0.00901285	0.0122953	0.0310003	0.0319575	0.0335958	0.0463345	0.026227	0.0306158	0.0271398	0.039843	0.0364511	0.0357633	0.0286954	0.0351997	0.029576	0.0288049	0.0208182	0.0294454	0.0140477	0.00979217	0.01059	0.00740379	0.0151486	0.0115026	0.00902095	0.0145847	0.0136176	0.0160927	0.0223825	0.0200499	0.0102252	0.0110196	0.0244771	0.0269748	0.0203385	0.026649	0.0278498	0.0130788
de	0.0116675	0.00693387	0.0043344	0.00494011	0.00291254	0.0012721	0.00214194	0.00195606	0.00108826	0.00157735	0.00262858	0.0077195	0.00841608	0.0218898	0.0158351	0.0239095	0.044302	0.0489374	0.035629	0.0587494	0.0277648	0.0332544	0.0262597	0.0372032	0.036558	0.0331266	0.0221569	0.0219602	0.0222412	0.0218503	0.0179417	0.0218868	0.0120178	0.00858168	0.00795263	0.00767008	0.007321	0.00744857	0.0086164	0.0135934	0.00993398	0.0133743	0.0176202	0.013603	0.0178952	0.0163159	0.0339756	0.0424962	0.0304993	0.0365304	0.0386739	0.0268361
cette	0.0213738	0.00937845	0.0106942	0.00972592	0.00732801	0.00308904	0.00438795	0.00232671	0.00183962	0.00394802	0.00795342	0.0120853	0.0162454	0.0273629	0.0283624	0.0306623	0.0370556	0.0325204	0.0366499	0.0325612	0.0305121	0.0308146	0.026398	0.0280122	0.026982	0.0220642	0.0218956	0.0221374	0.0230675	0.0234517	0.0216692	0.0228422	0.021431	0.0141646	0.0146489	0.0132647	0.0165303	0.00957983	0.00858575	0.0180201	0.0107774	0.0122963	0.0141325	0.0113444	0.0125467	0.0115938	0.0202167	0.0273256	0.0243305	0.0291312	0.0365114	0.038171
femme	0.01663	0.00556469	0.00846458	0.00628095	0.00498157	0.00325665	0.0043622	0.00384211	0.00363241	0.00531618	0.00859293	0.0123512	0.019805	0.0329551	0.0332307	0.0376815	0.0403971	0.0280628	0.0417975	0.0286852	0.0343885	0.0394868	0.0358965	0.0342706	0.0378448	0.026421	0.0270324	0.0305217	0.0315519	0.0348562	0.0357717	0.0338402	0.0313328	0.0250867	0.0176262	0.017153	0.0149518	0.00804931	0.00647057	0.00912374	0.00643518	0.00709671	0.00902894	0.00701994	0.00821537	0.00797659	0.00900091	0.0115127	0.0108569	0.0144264	0.0200744	0.0107894
parce	0.0255841	0.0109309	0.0134257	0.00810018	0.00654534	0.0021549	0.00151052	0.000723403	0.000646855	0.0037658	0.00542726	0.0112609	0.0193352	0.0208184	0.0303484	0.0357172	0.0337901	0.0195381	0.0292925	0.0181704	0.0177253	0.0164404	0.0159591	0.0225569	0.0205107	0.0127217	0.00994032	0.0106831	0.0121116	0.0111855	0.0107329	0.013518	0.0141018	0.00766613	0.01034	0.00825578	0.012371	0.0099686	0.00558995	0.0195625	0.0167404	0.0150609	0.0185626	0.0274461	0.0239067	0.0234701	0.0455252	0.0551267	0.0544147	0.0630364	0.0724727	0.0252103
qu'	0.0219239	0.0142045	0.0123821	0.0100276	0.00614682	0.00196014	0.00177963	0.00102777	0.00133801	0.004186	0.00509104	0.0124006	0.0145496	0.0149171	0.0170696	0.0342315	0.0398762	0.0204853	0.031364	0.0172614	0.0210117	0.0210361	0.0215784	0.0312114	0.015583	0.0128602	0.015069	0.0129299	0.0190193	0.019906	0.0223071	0.0382629	0.0383328	0.0144277	0.0245828	0.0143786	0.0172179	0.0149643	0.00776442	0.0175254	0.0118463	0.0156076	0.0300703	0.0266854	0.0214371	0.0220365	0.0356713	0.030289	0.0307972	0.0257265	0.0469343	0.0207069
elle	0.0205019	0.014332	0.0110194	0.0109807	0.00808054	0.00270111	0.00256388	0.00156518	0.00149621	0.00353215	0.00545657	0.0130709	0.0144766	0.0158384	0.0151448	0.032277	0.0516644	0.0319486	0.050131	0.0251433	0.0271804	0.0297931	0.0268304	0.0479152	0.0202141	0.0162225	0.017177	0.0162272	0.0204919	0.0251233	0.0233948	0.0354125	0.037843	0.0117538	0.0238787	0.0121907	0.015344	0.0154479	0.0103361	0.0274393	0.0158501	0.0119925	0.0174835	0.016633	0.0128319	0.0149959	0.0261667	0.0218627	0.0173789	0.0146381	0.0227946	0.0152315
est	0.0342164	0.0213534	0.0235267	0.0214886	0.0211965	0.00929834	0.00872328	0.0026915	0.00162274	0.00489586	0.00794992	0.0127532	0.0177954	0.0230692	0.0278697	0.0318032	0.0300109	0.0180945	0.0229816	0.0118163	0.0130374	0.0162293	0.0147257	0.0243757	0.0171305	0.0111382	0.0139101	0.0106893	0.0155497	0.0170872	0.0173903	0.0364711	0.0397085	0.0169242	0.0301681	0.0222745	0.023523	0.0221326	0.0170945	0.0263936	0.0204204	0.0162186	0.0179315	0.0151622	0.0137783	0.0215271	0.0287841	0.02081	0.0198357	0.0173615	0.0317395	0.0173207
trop	0.0307576	0.0166756	0.0215909	0.0208596	0.023436	0.0161698	0.0154984	0.0100902	0.0109153	0.0181316	0.0146649	0.0195313	0.0241095	0.0283938	0.023086	0.0358956	0.0265421	0.0133039	0.0196666	0.011906	0.0131645	0.0101274	0.00972017	0.0184104	0.0151498	0.0103311	0.0116892	0.0121453	0.0138121	0.0153302	0.0144958	0.0275487	0.0288438	0.0114909	0.0193135	0.0165239	0.0177113	0.0218078	0.0145185	0.0280109	0.0223904	0.0224781	0.0278531	0.0185967	0.010494	0.0287013	0.02412	0.0222664	0.0184064	0.0243894	0.0348265	0.0141078
arrogante	0.0236701	0.0173902	0.02202	0.0166005	0.0209622	0.00678218	0.005249	0.004588	0.00499382	0.00752459	0.00652706	0.00975076	0.0149377	0.0126966	0.0350795	0.0332364	0.0298963	0.0131189	0.0158502	0.00846209	0.00876812	0.00881997	0.00762066	0.0127815	0.0109267	0.00741733	0.00745156	0.00682959	0.00759377	0.0081303	0.00862923	0.0147488	0.0159528	0.00812484	0.0140672	0.0110401	0.012281	0.0117148	0.0100679	0.0238713	0.0182428	0.0160506	0.0335106	0.021664	0.0332324	0.0516726	0.0523337	0.0524676	0.0440393	0.0467694	0.0587921	0.0450515
</S>	0.0232408	0.0162611	0.0232468	0.0197011	0.0230789	0.0108228	0.00578288	0.00290024	0.00314774	0.00714373	0.0101369	0.0134847	0.016445	0.0156291	0.0278105	0.0295464	0.0240555	0.011752	0.0177505	0.00838512	0.0133189	0.0105643	0.00877914	0.0134912	0.0115326	0.00579198	0.00655542	0.00699837	0.00801387	0.0100459	0.0110882	0.0148093	0.0200576	0.0101995	0.0161776	0.0158514	0.0187579	0.0192731	0.0158198	0.0365549	0.0305306	0.021397	0.0421039	0.025788	0.0329224	0.0384964	0.0423238	0.0364609	0.0329362	0.0336604	0.0486554	0.0307221
