 	a66	a87	a23	a50	a88	a71	a9	a38	a62	a96	a62	a21	a47	a88	a31	a62	a47	a62	a61	a62	a61	a37	a98	a92	a56	a93	a70	a93	a70	a54	a36	a26	a57	a87	a23	a40	a37	a83	a66	a71	a50	a62	a21	a5	a37	a5	a18	a54	a7	a37	a7	a26	a57	a87	a23	a87	</S>
la	0.0541923	0.0507775	0.0314249	0.0202303	0.0156218	0.0116891	0.0140415	0.00756437	0.0135716	0.00881402	0.00836146	0.0157476	0.0104547	0.0178421	0.0210315	0.0238035	0.0365521	0.0165135	0.00889356	0.00857322	0.00867609	0.0154001	0.0136378	0.0201686	0.0274669	0.0178586	0.0272071	0.0211791	0.0156115	0.00960544	0.00723656	0.00719058	0.0058065	0.00543667	0.00574757	0.00604678	0.00488802	0.0106625	0.00436842	0.00689744	0.0143752	0.0210296	0.0224242	0.0251924	0.0476803	0.015446	0.0165534	0.0192571	0.0292381	0.0172953	0.0251118	0.0174955	0.0211425	0.0128792	0.0197333	0.0167031	0.02165
manière	0.00213105	0.00522227	0.00733092	0.00827067	0.00398339	0.00461218	0.00696417	0.0260668	0.020186	0.0294613	0.0788265	0.0499619	0.0323293	0.0379639	0.019123	0.0300846	0.0301399	0.0315128	0.0402883	0.0363335	0.0319103	0.0204789	0.014326	0.0104453	0.00816261	0.0133946	0.128871	0.0423847	0.0111962	0.0138026	0.0263671	0.0117036	0.016256	0.0161222	0.0085959	0.0211515	0.0121792	0.00805309	0.0214768	0.0109143	0.0175851	0.00620719	0.00641046	0.00424311	0.0015021	0.00497619	0.00231484	0.00176419	0.00126635	0.000461344	0.00219774	0.000169196	0.000874519	0.000238538	0.000246308	0.000588096	0.000370692
dont	0.025921	0.0112132	0.0133726	0.0107688	0.00613695	0.00552837	0.00672605	0.0128162	0.0194832	0.00709803	0.027125	0.00698954	0.0169009	0.0174804	0.0245247	0.0265154	0.0116349	0.0409145	0.0270801	0.0503282	0.0562311	0.0522	0.041224	0.0496605	0.031447	0.0244647	0.0771082	0.0386485	0.0405618	0.0444736	0.0230021	0.0242141	0.0167566	0.00930575	0.00703037	0.00389816	0.00425938	0.0103699	0.00356791	0.00564565	0.00406196	0.00429859	0.00638	0.0035673	0.00315908	0.00489901	0.00237263	0.00348698	0.00310664	0.00378349	0.00298991	0.00223868	0.00372477	0.00265256	0.00638934	0.00741393	0.00284751
sa	0.0250335	0.0147215	0.0118154	0.00838989	0.00764248	0.00802219	0.00461586	0.00432698	0.00925471	0.00568774	0.0123971	0.00711999	0.00535603	0.0102287	0.00781226	0.0059494	0.00957326	0.0154679	0.0195312	0.0237165	0.0255447	0.0235727	0.0422064	0.0376062	0.0367708	0.0295084	0.0414422	0.0335653	0.0308499	0.0274487	0.024361	0.0176893	0.0239132	0.0154821	0.0133666	0.0206994	0.0174188	0.0501871	0.00936423	0.0114746	0.00555826	0.00817061	0.00842766	0.0101726	0.015673	0.0205402	0.021624	0.0212572	0.0145289	0.0107512	0.00877813	0.015794	0.0122942	0.0164412	0.0227699	0.026863	0.0112219
gorge	0.0101802	0.00369658	0.00194462	0.00248298	0.00491642	0.00684794	0.0101295	0.0137081	0.0223769	0.0122979	0.016597	0.00800751	0.00829757	0.0057887	0.01426	0.00982625	0.0153356	0.0253923	0.0145153	0.0140077	0.0132194	0.00761056	0.00797462	0.00708161	0.0124292	0.00864464	0.00785711	0.0102907	0.0118085	0.0149892	0.0192133	0.0201435	0.0271452	0.0271957	0.0308044	0.046361	0.0579597	0.0550824	0.0363266	0.0230926	0.0126154	0.0110159	0.00870666	0.0120809	0.0103304	0.0221575	0.0304913	0.0311791	0.0212009	0.01528	0.0167828	0.0122681	0.0107011	0.0171555	0.0315067	0.0508716	0.0198171
a	0.00922839	0.00493518	0.00302772	0.00149441	0.00203565	0.00237862	0.00561606	0.00421457	0.00816357	0.00365822	0.00540474	0.00609617	0.0111728	0.00959678	0.0245359	0.036975	0.0316452	0.0513661	0.0252744	0.0218841	0.0258275	0.0197143	0.0211496	0.0229056	0.0161994	0.0193318	0.0260518	0.0393091	0.0252663	0.0309575	0.0283199	0.032884	0.029571	0.0276488	0.0356405	0.0345168	0.0306118	0.0348524	0.0277449	0.0215917	0.0191476	0.0197883	0.0194093	0.015469	0.0124057	0.0107019	0.00815395	0.00703172	0.00767899	0.00525268	0.00571775	0.00457228	0.00424887	0.00525607	0.011585	0.0124967	0.012286
seché	0.0111072	0.00794829	0.00722679	0.00438887	0.0040866	0.00429899	0.00493126	0.00711978	0.00600754	0.00447426	0.00555955	0.00547512	0.0110447	0.012761	0.0100749	0.0162855	0.0114446	0.015934	0.0182125	0.0212423	0.0234935	0.0187049	0.0335282	0.0328109	0.0122467	0.0252861	0.0288154	0.0305681	0.018136	0.0239721	0.016351	0.0147804	0.0149367	0.0138983	0.0138322	0.0265005	0.0317912	0.0315517	0.0265823	0.0325353	0.0235762	0.0249864	0.0328648	0.0345402	0.0171216	0.0175214	0.0152821	0.0129803	0.0144684	0.0126076	0.019335	0.0180452	0.0198784	0.0148267	0.0179572	0.015903	0.0281602
il	0.0197216	0.0143236	0.0107193	0.00646245	0.00753216	0.00764405	0.00641329	0.00493667	0.00446622	0.00656036	0.00634881	0.00660092	0.010914	0.0106178	0.0121371	0.014299	0.0113893	0.0119867	0.013322	0.0194056	0.0250036	0.0135391	0.0280089	0.0233465	0.0166492	0.0223039	0.0208419	0.0237735	0.0204744	0.027268	0.0107796	0.0123328	0.0106849	0.0102974	0.00868805	0.0111914	0.0114694	0.0173534	0.0140423	0.0203176	0.0248435	0.0214931	0.0223893	0.0195466	0.0180254	0.0111714	0.015364	0.0193823	0.0311212	0.0258584	0.0250978	0.0297708	0.0339628	0.0303597	0.0359828	0.0273845	0.0540798
n'	0.0178013	0.0111482	0.00960507	0.00664397	0.00533317	0.00618936	0.00511803	0.00510135	0.00374862	0.00649986	0.00822865	0.00927527	0.0157947	0.0197459	0.0193925	0.0228354	0.0172727	0.010407	0.0151417	0.0231595	0.033851	0.0248674	0.049523	0.0476164	0.0362106	0.0391975	0.0307031	0.0295789	0.0318761	0.0311435	0.0119376	0.0121615	0.00915594	0.00894675	0.00692076	0.00666841	0.00787904	0.00906972	0.00793981	0.0113577	0.0118408	0.0132135	0.0138809	0.0108779	0.00986646	0.00627244	0.00874696	0.00987889	0.0154289	0.0195961	0.0199686	0.0284727	0.0223195	0.0257813	0.0215831	0.0266255	0.0505992
a	0.0120483	0.00886904	0.00608108	0.00491739	0.00479778	0.00595707	0.00463313	0.00554538	0.00613863	0.00707467	0.0106954	0.00963528	0.0172663	0.0171035	0.0266012	0.0290133	0.0236925	0.0203267	0.0239217	0.031155	0.0392752	0.029654	0.0422455	0.0356009	0.0302233	0.0342819	0.0222959	0.0223627	0.0264202	0.0259484	0.0109336	0.0140386	0.0100223	0.00816827	0.0099914	0.00876468	0.00999401	0.0113029	0.0100258	0.0133441	0.0136783	0.016584	0.0155485	0.0103841	0.0105509	0.00744291	0.00949277	0.00829885	0.0117559	0.0233587	0.0209865	0.0244803	0.0237456	0.025256	0.025537	0.0269407	0.0355925
pas	0.020972	0.0184805	0.011466	0.00624539	0.0046749	0.00443697	0.004125	0.00413379	0.00398061	0.00390608	0.00442317	0.00526368	0.00736058	0.00951149	0.0183744	0.0267253	0.0360648	0.0252559	0.0197376	0.0220403	0.0297557	0.0238514	0.0307927	0.0227604	0.0410361	0.0485979	0.0350513	0.0369456	0.0245919	0.0144743	0.00752368	0.0091975	0.00712337	0.00568385	0.00731965	0.00604944	0.0073322	0.00980699	0.00750014	0.0103479	0.0103961	0.015918	0.0153481	0.0126469	0.0143509	0.00922318	0.0134786	0.0119964	0.0226043	0.0253783	0.0323012	0.0307288	0.0339222	0.0244077	0.0272778	0.0175131	0.0395879
bu	0.0235794	0.0183848	0.0138841	0.00887174	0.00561148	0.00451594	0.00520835	0.00570134	0.00513064	0.00524219	0.00620597	0.00708583	0.0114217	0.0161158	0.0212309	0.0316863	0.0360586	0.0244765	0.0235842	0.0252683	0.0277084	0.0289845	0.0435853	0.0368473	0.0456983	0.0519106	0.0457403	0.0410318	0.0255136	0.0160252	0.00860341	0.00871657	0.00742313	0.00545389	0.00659958	0.00459403	0.00578589	0.00728723	0.00564832	0.00728637	0.00682881	0.011219	0.0109864	0.0087012	0.00824724	0.00594309	0.0075371	0.0056774	0.0123149	0.016445	0.0244269	0.019453	0.028429	0.0163778	0.0210808	0.0182679	0.0483565
depuis	0.018956	0.0194991	0.0132316	0.00980306	0.00744398	0.00600932	0.00593557	0.00651287	0.00546979	0.00561032	0.00609603	0.00889315	0.0130897	0.0179602	0.0240923	0.0334875	0.037061	0.0307944	0.0229905	0.0226806	0.0214795	0.027383	0.0278488	0.0293092	0.0452182	0.0370706	0.0260296	0.0282108	0.0158128	0.00916503	0.00577679	0.00706878	0.00493912	0.00395241	0.00534933	0.0033587	0.00557242	0.00916548	0.00494292	0.00600719	0.00547453	0.0160733	0.0139177	0.0148652	0.0115237	0.00665767	0.0112129	0.0108529	0.0252331	0.021554	0.0372454	0.0272041	0.0443369	0.0250127	0.0311679	0.0212246	0.0371658
un	0.0155213	0.0152083	0.00964596	0.00879835	0.00927919	0.00674561	0.00992759	0.00542522	0.0108338	0.00834138	0.00866313	0.0118054	0.0135024	0.0121633	0.0199038	0.0200613	0.0224909	0.0293934	0.017955	0.0174448	0.0184093	0.0218194	0.017481	0.0168646	0.0338678	0.0251414	0.0136252	0.0213798	0.0156978	0.0122502	0.0113405	0.0127257	0.0113534	0.0106395	0.0161856	0.0107706	0.0170121	0.0189918	0.0144319	0.0170601	0.0135283	0.0214703	0.0197328	0.0203962	0.0182639	0.0146262	0.0183454	0.0134164	0.0234278	0.0233177	0.0309104	0.0254979	0.0409338	0.0217786	0.0327754	0.0199478	0.0314733
moment	0.0256439	0.0159041	0.00916115	0.00849418	0.00816273	0.00714659	0.00960884	0.00499057	0.00980505	0.00694479	0.00823856	0.013915	0.0160659	0.0121099	0.0243161	0.0158163	0.021448	0.0232448	0.0188102	0.0163843	0.0157599	0.0161395	0.0106171	0.0145918	0.0238771	0.0127404	0.0113198	0.0136916	0.0195458	0.0174874	0.0143718	0.0171615	0.0165462	0.0123124	0.0159595	0.0137142	0.018135	0.0237077	0.0124149	0.0136643	0.0101635	0.0169008	0.0157312	0.0190893	0.0166448	0.0161402	0.0175913	0.0149568	0.0208604	0.0352087	0.0317573	0.0318995	0.0368256	0.023448	0.0341032	0.0246996	0.0440109
</S>	0.0303312	0.0177684	0.0118116	0.0102476	0.00912069	0.00715059	0.00681422	0.00698175	0.00691248	0.00477305	0.00466717	0.00620878	0.0105271	0.00747265	0.0193647	0.0105671	0.0171087	0.0211541	0.0135256	0.0115	0.0143655	0.0113129	0.00421624	0.00744717	0.0123659	0.00537057	0.00642004	0.00548858	0.00856556	0.00753881	0.00715518	0.00834057	0.0085315	0.00761339	0.00850191	0.00835264	0.00987952	0.013428	0.00899321	0.0082227	0.00833046	0.01378	0.0133425	0.0199095	0.0174891	0.0109089	0.0175592	0.0196429	0.043633	0.0598084	0.0624147	0.0487878	0.0540672	0.0402275	0.0624976	0.0457268	0.0557569
