 	a66	a87	a23	a10	a75	a79	a37	a93	a44	a75	a5	a21	a5	a75	a5	a37	a98	a47	a92	a85	a92	a61	a75	a79	a90	a69	a58	a82	a87	a23	a87	</S>
l'	0.0411695	0.0405994	0.0342966	0.0351964	0.0641451	0.0555927	0.0382297	0.0620985	0.0432512	0.0267434	0.0183592	0.0108389	0.0126709	0.0136828	0.0144055	0.013848	0.0110202	0.020186	0.0113822	0.0125221	0.00922674	0.0130018	0.0277884	0.0188272	0.048167	0.0277131	0.0527426	0.0510659	0.0368737	0.0435725	0.0376249	0.053158
avocat	0.0155298	0.0171553	0.0220553	0.0316963	0.0380932	0.0397502	0.0616277	0.0276707	0.0221191	0.0492206	0.038988	0.0353766	0.0693045	0.0186317	0.0401177	0.0407114	0.0638859	0.055651	0.0349658	0.0351252	0.0587745	0.0208577	0.0187451	0.024773	0.0240809	0.00774014	0.0105859	0.0122373	0.0120771	0.0108416	0.034238	0.00737273
qu'	0.0414911	0.0393386	0.039403	0.06305	0.0711947	0.0499983	0.0919362	0.0781808	0.110036	0.0543859	0.0598333	0.0446511	0.0284658	0.0265562	0.019762	0.012756	0.0139344	0.00519168	0.0045365	0.00620498	0.00445874	0.00579944	0.00791422	0.0109144	0.0159183	0.0108828	0.0123005	0.015153	0.015012	0.0100415	0.0205196	0.010179
on	0.0894808	0.051873	0.0296438	0.0187998	0.0119155	0.00885825	0.00603694	0.00962194	0.0117623	0.0147053	0.015544	0.0123024	0.0072213	0.0125268	0.00849432	0.00660648	0.00764818	0.0124627	0.00783507	0.0115952	0.00630242	0.0207521	0.0167768	0.038572	0.052726	0.0953963	0.0308884	0.0692153	0.0697089	0.063351	0.0850177	0.096359
m'	0.0759972	0.0613372	0.0422843	0.0201378	0.0168114	0.0143332	0.00384927	0.0162415	0.0138371	0.0258506	0.0382355	0.0493463	0.0228928	0.0589962	0.0393424	0.0278783	0.0226573	0.0169823	0.00884519	0.036683	0.0116732	0.0319755	0.0233987	0.0212004	0.0398276	0.0287073	0.0349456	0.0397632	0.0248601	0.0404132	0.0447066	0.0459897
a	0.0474026	0.0360191	0.0285601	0.020352	0.0161089	0.0219966	0.00713381	0.0110062	0.00837149	0.00769472	0.00777014	0.0120232	0.00967143	0.0429519	0.0318921	0.0352514	0.0268782	0.022216	0.0130699	0.0225305	0.0201768	0.0320472	0.0281983	0.0434051	0.0420671	0.0846758	0.0545064	0.0532563	0.0488938	0.0558956	0.0543642	0.0536131
donné	0.0249402	0.020851	0.0210829	0.0201161	0.0206651	0.0197901	0.0136644	0.013802	0.0132248	0.0102532	0.0113476	0.0128973	0.013018	0.0416999	0.0354819	0.0295257	0.0258302	0.0214584	0.0129317	0.026339	0.0281534	0.0280737	0.0276766	0.0409634	0.0379812	0.0993264	0.0604445	0.0579087	0.0606579	0.0536061	0.0407023	0.0555862
est	0.0183563	0.0146695	0.012341	0.0105373	0.00816095	0.00773958	0.00465088	0.00666407	0.00500972	0.00577986	0.00821667	0.0142978	0.0141621	0.0324773	0.0366908	0.0345901	0.0293549	0.0355052	0.0254556	0.0377478	0.0375912	0.0484321	0.0350458	0.0544224	0.0431048	0.0819422	0.0561954	0.0707345	0.066373	0.0562066	0.0396126	0.047932
devenu	0.0264626	0.0222078	0.0145545	0.0111731	0.00952392	0.00619464	0.0032852	0.00621251	0.00471452	0.00557236	0.00758519	0.0102948	0.00737229	0.0117698	0.0163577	0.0134942	0.00896442	0.0108491	0.00987666	0.0116005	0.0123797	0.0113017	0.0176469	0.0587348	0.0673062	0.0661999	0.0764373	0.100334	0.0794044	0.0877431	0.0733767	0.131069
mou	0.0274983	0.0230007	0.0117485	0.00635832	0.00447692	0.00421497	0.00219865	0.00460594	0.00384301	0.00591111	0.00964062	0.0115066	0.00545061	0.0108265	0.0129792	0.0135494	0.00814046	0.00774614	0.00514089	0.00907749	0.00683569	0.0152479	0.0200255	0.0586895	0.0530385	0.0573259	0.0791432	0.0904054	0.0808828	0.113937	0.0890675	0.147487
</S>	0.0414671	0.03549	0.0258253	0.0188733	0.0151031	0.00955745	0.00454871	0.0116329	0.00880492	0.00543644	0.00557503	0.00385737	0.00215412	0.00694487	0.0109303	0.0108624	0.00498273	0.00667375	0.00417508	0.0141287	0.0144824	0.0255624	0.0362817	0.0630978	0.0659955	0.0347291	0.0719312	0.0759331	0.0523837	0.0931935	0.0721911	0.147195
