 	a66	a87	a23	a87	a23	a83	a9	a24	a31	a5	a18	a90	a79	a44	a90	a57	a38	a90	a4	a90	a79	a44	a96	a88	a71	a54	a47	a6	a36	a37	a66	a11	a24	a38	a27	a30	a87	a23	a87	</S>
nous	0.0484335	0.0557393	0.0448683	0.0328807	0.0258771	0.0312268	0.00765449	0.0124906	0.00818726	0.0274181	0.0139062	0.0254862	0.0157252	0.0146933	0.0149311	0.0159689	0.0183983	0.0105741	0.0117492	0.0172768	0.0245117	0.0188799	0.0217883	0.0370172	0.0364512	0.037491	0.0450047	0.0317478	0.013969	0.0175861	0.0186634	0.0208427	0.023298	0.0185434	0.0169221	0.0179188	0.0175307	0.0282154	0.0264342	0.073699
avons	0.0210901	0.0146368	0.0156684	0.0160664	0.0181077	0.0126821	0.0170724	0.014341	0.0182466	0.0291615	0.0361146	0.0288827	0.0369755	0.0446952	0.0211569	0.035715	0.0262934	0.0482727	0.0447395	0.0418432	0.0354524	0.0251102	0.0239483	0.0171815	0.0209782	0.0143238	0.0195876	0.0309058	0.0327465	0.0211109	0.0129385	0.0202444	0.022089	0.0210897	0.026368	0.0301434	0.0255233	0.0199296	0.0235491	0.0150179
coupé	0.0251183	0.011153	0.0105698	0.00845628	0.00996819	0.00608894	0.0114974	0.00645307	0.0128828	0.0156571	0.0200873	0.00822916	0.00945067	0.00970048	0.00880451	0.012648	0.010545	0.03607	0.0319032	0.0310884	0.0185711	0.0106561	0.0125507	0.0170847	0.0213743	0.0148171	0.0279478	0.0420786	0.0278957	0.0324879	0.0352285	0.0450529	0.0569261	0.039683	0.0644641	0.0527247	0.0498884	0.054337	0.0529751	0.0268848
l'	0.0639091	0.0325995	0.0195591	0.012263	0.0155494	0.00753039	0.00879373	0.00741615	0.00537318	0.0084893	0.0086961	0.0112656	0.0123658	0.0121687	0.0136602	0.0124938	0.013681	0.0310853	0.0375166	0.0369138	0.0316657	0.0403137	0.0250855	0.0262218	0.0293127	0.0203915	0.0265646	0.034057	0.0207935	0.0250855	0.0206471	0.0233923	0.0298922	0.0222138	0.0513387	0.0265907	0.0340262	0.049024	0.0380993	0.0539546
arbre	0.0139943	0.0111275	0.0175609	0.0175921	0.0160424	0.018842	0.0423864	0.0329454	0.0300439	0.0201571	0.0299607	0.0136745	0.0265989	0.0154921	0.0328484	0.0254859	0.0291957	0.0374149	0.0427085	0.0301238	0.0224067	0.0198407	0.0245356	0.027502	0.0386168	0.0280674	0.0497361	0.0295296	0.032647	0.0510141	0.0309154	0.017276	0.0184718	0.0168332	0.0141877	0.0127196	0.0197792	0.014346	0.0184612	0.00891814
otomba	0.044018	0.0407393	0.0390158	0.0370227	0.0290337	0.045056	0.0411847	0.0436935	0.0488877	0.0482777	0.0421863	0.0345105	0.0453191	0.0285254	0.0300468	0.036051	0.0357244	0.0217207	0.01867	0.0145798	0.00936235	0.00807987	0.00873957	0.00615656	0.00886581	0.00836645	0.00920272	0.00978892	0.0157239	0.0303482	0.022088	0.00770066	0.0119946	0.0077569	0.00850004	0.012497	0.0247799	0.0161071	0.0200417	0.0296366
pour	0.0698911	0.0414535	0.0415862	0.023517	0.0232633	0.0339267	0.0224277	0.0212837	0.0106531	0.0334321	0.0281298	0.0419195	0.0712866	0.070902	0.0375733	0.0534623	0.0385696	0.0203956	0.0191629	0.0171351	0.0181556	0.0090463	0.00858999	0.0058461	0.00442733	0.00520286	0.00379905	0.00708428	0.0101497	0.0218074	0.0195732	0.00862456	0.0121123	0.0102868	0.0115624	0.0177863	0.0248657	0.0203706	0.0248795	0.0358592
tailler	0.0478561	0.0397921	0.0369092	0.0303967	0.0353353	0.0358934	0.0353148	0.0266786	0.0151378	0.0235643	0.0169653	0.0141451	0.0168114	0.0191177	0.0229377	0.0365281	0.0291264	0.0255248	0.0313316	0.0399207	0.0338318	0.0293781	0.0259197	0.0258373	0.0150497	0.0206204	0.0133008	0.0164131	0.0172595	0.022823	0.0141064	0.0163586	0.0142041	0.0152837	0.0253554	0.0191189	0.032911	0.0228684	0.0188983	0.0211747
un	0.0714276	0.0460844	0.0384458	0.0288563	0.0311613	0.0207003	0.0203238	0.0153107	0.0116095	0.0181197	0.0133737	0.0124974	0.014154	0.0137108	0.0205528	0.0260099	0.0217287	0.011527	0.0126003	0.0158132	0.0124388	0.0142788	0.0124998	0.0137956	0.00913134	0.011399	0.00711623	0.00976847	0.0156553	0.0346384	0.0320891	0.026518	0.0255302	0.0261492	0.0333514	0.0328097	0.0650344	0.047804	0.0467652	0.05922
masque	0.029089	0.0254933	0.0261031	0.0192507	0.0189678	0.0147572	0.0141473	0.0137032	0.012404	0.0202667	0.0180581	0.017356	0.0212969	0.0179557	0.0291346	0.0286454	0.0284715	0.0239801	0.0293685	0.0365489	0.0319251	0.0331438	0.0274003	0.0352994	0.0170692	0.0268369	0.0146324	0.0146342	0.014892	0.0213077	0.0311576	0.0248407	0.0250538	0.0227424	0.0176506	0.0248221	0.0498556	0.0404226	0.051116	0.0301993
</S>	0.0316385	0.0212392	0.0122615	0.00498911	0.00390572	0.00471434	0.0016403	0.00171225	0.000524867	0.00298451	0.00158486	0.00242053	0.00361427	0.0036137	0.00349961	0.00252723	0.0035535	0.00199603	0.0016788	0.00131629	0.00145079	0.00139244	0.00168684	0.00186366	0.00183636	0.00365431	0.00410049	0.015757	0.031315	0.0507543	0.0851075	0.0600886	0.0610285	0.0719387	0.0638594	0.0748954	0.0866095	0.0960456	0.10023	0.0749706
