 	a66	a87	a23	a79	a5	a36	a76	a94	a90	a20	a69	a58	a98	a47	a85	a5	a43	a56	a94	a90	a94	a7	a84	a87	a23	a87	</S>
donne	0.0570584	0.0717836	0.0829781	0.0640055	0.066186	0.0425978	0.0457751	0.0322582	0.0341895	0.0236977	0.0182695	0.0141819	0.0101744	0.00677494	0.00868368	0.0105435	0.0113537	0.0131775	0.0371483	0.0350526	0.0598075	0.0474684	0.0530832	0.0342897	0.0359252	0.0220887	0.0614472
de	0.0264802	0.0188651	0.0215495	0.0177979	0.0184372	0.0313601	0.0386198	0.047939	0.0476521	0.0554529	0.0448678	0.0654213	0.0461725	0.0658672	0.0453785	0.0367354	0.0390501	0.0346011	0.0360394	0.0438636	0.0424338	0.0351181	0.0315162	0.034608	0.0272463	0.0264172	0.0205098
l'	0.0704777	0.039292	0.040132	0.0365126	0.0317213	0.0359028	0.0234317	0.0168013	0.0166103	0.0176248	0.0139803	0.0227893	0.0277503	0.021142	0.00837655	0.00638783	0.00832707	0.00933904	0.0102874	0.0162611	0.0347233	0.0632597	0.0812465	0.0754056	0.0760844	0.0766767	0.119456
argent	0.0673235	0.0510581	0.0378571	0.0544191	0.0379879	0.0278419	0.00883507	0.0048942	0.00751466	0.0166598	0.054697	0.107639	0.0707939	0.135372	0.0744655	0.0425247	0.0527223	0.026368	0.0217379	0.0211709	0.0221106	0.0180672	0.0101024	0.00787928	0.00804364	0.00391944	0.00799398
pour	0.122655	0.0797044	0.0723261	0.0570552	0.0260873	0.0279114	0.0215077	0.0289249	0.0287656	0.0179976	0.0072264	0.00899637	0.0113185	0.0113493	0.00640432	0.00800464	0.00843019	0.00775423	0.00753113	0.00905586	0.0179726	0.0272836	0.0327952	0.0572387	0.0502967	0.0991375	0.14627
que	0.0760826	0.0329724	0.0226594	0.0148655	0.0127466	0.0158679	0.0190149	0.0267467	0.053247	0.0368085	0.0150001	0.0164047	0.0162812	0.0183052	0.0108127	0.00973222	0.0104501	0.0217019	0.023777	0.023803	0.0530207	0.0722561	0.0655273	0.0833202	0.0788805	0.0917174	0.077998
nous	0.0813553	0.0289172	0.0207496	0.0124053	0.013531	0.0121434	0.0113283	0.0102647	0.0113355	0.00879088	0.00422284	0.00591159	0.00840761	0.0106515	0.0157522	0.0178523	0.0235637	0.0288716	0.0326398	0.0317304	0.0702913	0.096175	0.0909241	0.113225	0.100874	0.0925164	0.0455697
achetions	0.0729107	0.0371599	0.023187	0.0113328	0.0108153	0.0109068	0.010482	0.0100937	0.0146804	0.0171885	0.0182126	0.0261879	0.0223261	0.0322566	0.0286009	0.0373537	0.0394775	0.041008	0.0480001	0.0454051	0.050958	0.0667408	0.0512936	0.0574107	0.0704567	0.0721345	0.0734203
le	0.0955469	0.0658464	0.0526769	0.0337435	0.016586	0.0271114	0.013515	0.0156076	0.0168536	0.0145152	0.00885729	0.0145524	0.0193235	0.0211611	0.0120566	0.00931646	0.0107038	0.00701908	0.00727803	0.00767484	0.0208756	0.0584986	0.0635886	0.0803464	0.0986628	0.0942227	0.11386
fil	0.0561462	0.0259411	0.0120423	0.00714984	0.00364464	0.00440953	0.00344024	0.00667832	0.011651	0.011867	0.00738106	0.0125448	0.0137289	0.0140917	0.0103205	0.00809348	0.0093756	0.0152329	0.0171405	0.0215337	0.0694874	0.119613	0.091039	0.098591	0.116789	0.12965	0.102417
pour	0.144225	0.0689873	0.031359	0.0147816	0.00609421	0.00621662	0.00393686	0.00356503	0.00347094	0.00455846	0.00237109	0.00783266	0.00974988	0.0111669	0.00530372	0.0085706	0.0185159	0.0239945	0.0323685	0.0377196	0.0559068	0.0770314	0.0803883	0.107503	0.083876	0.0861994	0.0643069
tendre	0.142258	0.0688662	0.0374353	0.0189297	0.00973962	0.0105758	0.00608292	0.00563987	0.00438126	0.00533842	0.00478041	0.0114278	0.00988324	0.0133014	0.00771779	0.0084699	0.0224952	0.0260257	0.0362631	0.0396558	0.0654569	0.07532	0.0602568	0.0726429	0.0684602	0.0710896	0.0975068
le	0.0690284	0.038939	0.0187135	0.010316	0.006802	0.00772006	0.00814738	0.00747333	0.00652643	0.00746305	0.00524611	0.0151417	0.0182311	0.0222087	0.0183002	0.0202493	0.0453385	0.0437214	0.0641752	0.070431	0.0888842	0.0788748	0.0655258	0.0747517	0.0595921	0.048778	0.0794209
filet	0.0567779	0.0459592	0.0240756	0.019838	0.00691297	0.00641595	0.00413695	0.00522246	0.00420751	0.00465429	0.00489684	0.0104654	0.0105639	0.0123253	0.0118706	0.0139954	0.0386577	0.0356706	0.0717212	0.0849532	0.0995836	0.0772439	0.0741494	0.0820118	0.0619983	0.0593853	0.0723069
</S>	0.076236	0.0576493	0.0543162	0.0422902	0.0276819	0.01771	0.0130792	0.0088873	0.00473015	0.00377965	0.00493643	0.00846186	0.00751547	0.0076921	0.00990534	0.00969366	0.0404345	0.0277495	0.0540317	0.0401679	0.0483171	0.0483928	0.0618592	0.0653907	0.0694579	0.0583916	0.131242
