 	a66	a87	a23	a13	a9	a53	a44	a75	a5	a18	a62	a47	a62	a83	a75	a5	a61	a75	a37	a26	a82	a97	a87	a23	a87	a23	a87	</S>
oponzo	0.0700333	0.0665527	0.0640812	0.0302689	0.029901	0.031065	0.056691	0.0662212	0.045356	0.0246096	0.0150785	0.0179017	0.0128373	0.0173523	0.027087	0.0269813	0.0337227	0.0182765	0.0365467	0.0249222	0.0287899	0.0224176	0.0276214	0.0237405	0.0239654	0.0417353	0.0313896	0.0848543
m'	0.0374561	0.0203002	0.0222345	0.0322182	0.0453282	0.0446067	0.0552699	0.0327289	0.034064	0.0276034	0.0340784	0.029014	0.0244597	0.0325906	0.028001	0.0340091	0.0352401	0.0449251	0.0427538	0.0501743	0.0509709	0.0477008	0.0330158	0.0332377	0.0471393	0.0306848	0.0277225	0.0224722
a	0.0335842	0.0245832	0.0329861	0.0239639	0.020199	0.0143757	0.0101516	0.00706825	0.00978671	0.00704088	0.0114974	0.0287012	0.0221171	0.0221125	0.0255304	0.0304259	0.0301582	0.0269791	0.0372822	0.0506783	0.0507845	0.0653117	0.0504098	0.0571056	0.104293	0.0644183	0.0757641	0.0626908
donné	0.0467392	0.0645261	0.0292008	0.0119434	0.0109877	0.0142127	0.0308708	0.039898	0.0340756	0.0227563	0.0358306	0.0361818	0.0831021	0.0652334	0.0322885	0.0436652	0.0401574	0.0334864	0.0272989	0.0288165	0.0135952	0.0162823	0.022498	0.0299241	0.019114	0.0255813	0.0359744	0.105759
la	0.0842551	0.0717232	0.0531032	0.0546194	0.0645633	0.0477454	0.0256825	0.0140833	0.0334453	0.02959	0.0310617	0.03619	0.030177	0.0184801	0.019965	0.0288871	0.0294753	0.0304337	0.0377446	0.0373219	0.0323232	0.0333384	0.0261566	0.0246422	0.027686	0.0253098	0.027026	0.0249706
petite	0.0648408	0.0420348	0.0385933	0.0164811	0.0158363	0.0289667	0.033021	0.0399963	0.0332146	0.021044	0.0134792	0.0179114	0.0334525	0.0478253	0.0594939	0.0737014	0.0480895	0.0364233	0.0644159	0.0443082	0.0363234	0.0447376	0.0263043	0.0301707	0.02292	0.0207445	0.0180424	0.0276277
part	0.0654505	0.064678	0.0439477	0.0179574	0.0148018	0.00852883	0.00991612	0.0141099	0.021518	0.0160111	0.0105139	0.0175648	0.0365415	0.0391092	0.042513	0.0632175	0.0686861	0.0415584	0.0677599	0.0467245	0.0809279	0.0426438	0.0292562	0.0325826	0.0361157	0.0257937	0.0217534	0.0198185
du	0.132509	0.134164	0.130378	0.0678779	0.0495281	0.027396	0.0141272	0.0124913	0.0165757	0.0187289	0.0151539	0.0130108	0.0134284	0.0130972	0.0125792	0.0259208	0.0272512	0.0199016	0.0286558	0.0174866	0.0268859	0.0253466	0.0222236	0.0241592	0.0397499	0.0246507	0.0258125	0.0209098
gibier	0.0624116	0.026841	0.0104174	0.00744074	0.00810639	0.00621873	0.00668507	0.00999724	0.01113	0.0171774	0.0111663	0.015211	0.0197212	0.0224997	0.0555975	0.0383539	0.066552	0.0636553	0.0553201	0.0369313	0.0637015	0.0559315	0.0578832	0.0508578	0.0509904	0.0687565	0.051748	0.0486974
</S>	0.0486026	0.0173022	0.0106876	0.00657626	0.00826347	0.00227677	0.003217	0.00543311	0.0061792	0.00966341	0.00368785	0.0071583	0.0148248	0.0202839	0.0302875	0.0327046	0.0598756	0.0412196	0.0424439	0.0168665	0.0576815	0.0587497	0.0601758	0.0636933	0.100044	0.112952	0.098169	0.0609812
