 	a15	a66	a10	a87	a23	a15	a47	a85	a5	a21	a5	a98	a47	a98	a47	a36	a2	a57	a50	a70	a93	a34	a12	a62	a88	a31	a47	a96	a75	a5	a18	a82	a87	a23	a25	a87	a23	a97	a38	</S>
il	0.0249214	0.0383627	0.0664122	0.0813843	0.0605221	0.083453	0.0640657	0.0530397	0.0695896	0.0282904	0.0308686	0.0145381	0.0115104	0.00599368	0.00653502	0.00315064	0.00420674	0.0056776	0.00590111	0.00762474	0.0115562	0.0247364	0.0127105	0.00718775	0.00903166	0.00855833	0.0099561	0.0131713	0.0104808	0.0126103	0.0123173	0.023369	0.0209943	0.0283249	0.0234688	0.0158409	0.0187364	0.0185842	0.0207986	0.0315185
y	0.020271	0.0149288	0.0169519	0.0167521	0.0316609	0.0382089	0.0241044	0.0434907	0.0503436	0.0676899	0.0369695	0.0130532	0.013899	0.0225275	0.0356687	0.0203888	0.0278345	0.0150133	0.017954	0.0131755	0.0132929	0.00949609	0.00759024	0.00719077	0.00888411	0.0151994	0.0149925	0.0232939	0.0265385	0.0398808	0.0557486	0.0368211	0.0364702	0.0299782	0.0319161	0.0285048	0.025296	0.019377	0.0192429	0.00939964
a	0.0368693	0.0326108	0.0158783	0.0264915	0.0257146	0.0148548	0.0204177	0.0166439	0.0385861	0.113496	0.167195	0.0460437	0.0302524	0.049788	0.0591006	0.0377593	0.0475708	0.0115704	0.0119213	0.00627285	0.00378265	0.00271968	0.00472723	0.00346712	0.00259205	0.00446289	0.00330959	0.00474284	0.00369186	0.00438505	0.00603284	0.00642744	0.0107998	0.00875252	0.00862783	0.0118609	0.0201115	0.0128019	0.0398008	0.0278658
un	0.0614456	0.0556678	0.0322912	0.0378379	0.0233753	0.014069	0.00897215	0.0111016	0.0304362	0.0262303	0.0292191	0.0347696	0.0166361	0.019688	0.0238657	0.0197016	0.0199445	0.0156687	0.0189326	0.0210196	0.0308906	0.0388511	0.0250582	0.024362	0.0306217	0.0231599	0.00948234	0.010476	0.0185063	0.0116917	0.0228613	0.0170606	0.0205538	0.018555	0.02229	0.02462	0.0229891	0.0256477	0.0303693	0.0510806
grand	0.0334132	0.0144842	0.0113137	0.0100853	0.0140446	0.0263703	0.0306624	0.0324129	0.0538535	0.0322656	0.0570919	0.045938	0.0626814	0.0598488	0.0370048	0.0547359	0.047684	0.0534221	0.0503381	0.0607825	0.039169	0.0272714	0.0256972	0.0147809	0.0085259	0.011489	0.00585725	0.00488785	0.00277982	0.00403172	0.00331943	0.00278974	0.00283246	0.00428174	0.00429417	0.00525111	0.0118353	0.00764646	0.0127881	0.0120384
espace	0.0217612	0.0168309	0.0105279	0.0183776	0.032523	0.0243288	0.0345248	0.0378536	0.0367238	0.0341363	0.0476695	0.0356682	0.0238867	0.0307942	0.0258547	0.034499	0.0383851	0.0410179	0.0433103	0.0508423	0.0467568	0.0455432	0.0450799	0.0319498	0.0313558	0.0285433	0.0190526	0.0180015	0.011211	0.0140361	0.00814363	0.00491017	0.00412429	0.00380546	0.00455974	0.00433148	0.00679032	0.00550276	0.00539637	0.0213899
entre	0.0482746	0.0474589	0.0424755	0.0444791	0.0313631	0.0226549	0.00722466	0.00822874	0.00775009	0.0162121	0.0168747	0.0132179	0.0124904	0.00982152	0.00748297	0.00746063	0.00706946	0.00345571	0.00470529	0.00516403	0.0114362	0.0148951	0.016294	0.0259277	0.0211316	0.0307975	0.0167236	0.0173405	0.0157913	0.027236	0.0222085	0.0229185	0.0448979	0.0418454	0.0412512	0.0597107	0.0775744	0.0414366	0.0515778	0.035141
ces	0.0594996	0.0279586	0.0129303	0.0160573	0.016353	0.0107733	0.0101812	0.0152945	0.0168519	0.0300744	0.0268364	0.0202874	0.0149436	0.0120105	0.0161594	0.00865456	0.0104036	0.0067629	0.0087268	0.00819031	0.0100737	0.0101647	0.01236	0.0162173	0.0166925	0.0291269	0.0251912	0.0234007	0.0323067	0.0364385	0.0297798	0.041207	0.0622406	0.0401237	0.035601	0.0488078	0.0631711	0.0331754	0.0430434	0.0419285
deux	0.0385465	0.0296167	0.0295833	0.0239942	0.01954	0.0133474	0.0150622	0.0159801	0.014331	0.0156115	0.0300491	0.0158797	0.0357026	0.0246258	0.0175733	0.0274844	0.0313882	0.0180207	0.0234334	0.0192365	0.0183183	0.0191796	0.0208981	0.0210401	0.0198384	0.027575	0.0257717	0.0244713	0.0224783	0.0247706	0.0167946	0.0294022	0.0269324	0.0360513	0.0362348	0.0325009	0.0418557	0.0320612	0.0265315	0.0382875
maisons	0.02709	0.0217691	0.0311205	0.0363721	0.0398802	0.0310001	0.0243905	0.0360602	0.0208959	0.00965226	0.00923292	0.00257199	0.0246717	0.0221783	0.0219875	0.0217918	0.0204326	0.016405	0.0174795	0.0147491	0.0175644	0.0299675	0.0281543	0.0224075	0.0301555	0.0348404	0.0258261	0.0244816	0.0166178	0.0278898	0.0192123	0.0211573	0.0240808	0.0283584	0.0277429	0.0363942	0.0486448	0.0287765	0.033299	0.0246975
</S>	0.0213931	0.0139552	0.0198631	0.029186	0.0194482	0.0143447	0.0101088	0.0119022	0.00641212	0.00534689	0.00617629	0.00276135	0.00714623	0.00810914	0.00880141	0.00655475	0.00771622	0.00923425	0.0104175	0.00886169	0.00893013	0.0140372	0.014564	0.0107688	0.0138869	0.0415249	0.0321927	0.0264944	0.0192963	0.0388321	0.0175962	0.0265519	0.0368153	0.0320872	0.0351755	0.0651025	0.118494	0.0607611	0.079254	0.0798959
