 	a23	a53	a90	a66	a11	a54	a73	a44	a53	a90	a56	a75	a56	a96	a75	a73	a84	a53	a20	a44	a57	a54	a73	a2	a75	a73	a26	a11	a0	a24	a9	a87	a23	a87	</S>
mon	0.0776907	0.0769154	0.0397497	0.0480691	0.0439177	0.0486546	0.0327684	0.0283131	0.0313517	0.038128	0.0330585	0.0225472	0.0198675	0.0166875	0.0113704	0.0268013	0.0126706	0.0126809	0.017981	0.0092783	0.0100396	0.0100336	0.0160163	0.0187584	0.0120719	0.0135085	0.0355726	0.0321018	0.0349394	0.034823	0.0236968	0.0179141	0.0221773	0.0209495	0.0488957
cadet	0.00668253	0.0169263	0.0430334	0.0293218	0.0436735	0.103646	0.0936682	0.0369388	0.0459237	0.0345028	0.0326081	0.0444377	0.0322188	0.0318691	0.0234825	0.0117902	0.0191712	0.0201266	0.0271094	0.0574852	0.0467715	0.0340967	0.0445947	0.0417949	0.0267991	0.0173427	0.012588	0.00321967	0.0026791	0.00271818	0.00305368	0.00134697	0.00211297	0.00219026	0.0040754
m'	0.0247288	0.0239777	0.0224969	0.0296156	0.0359835	0.0425134	0.0399349	0.0532003	0.0571728	0.0573784	0.0550796	0.0562461	0.0469177	0.0578825	0.0453542	0.0221	0.0370071	0.028049	0.0143488	0.0239411	0.0181359	0.0194228	0.0115774	0.0124839	0.0100892	0.0163478	0.0125132	0.0105138	0.0175412	0.0126724	0.0148461	0.0138347	0.0152352	0.023497	0.017361
a	0.0608156	0.0261983	0.0258056	0.0328411	0.0202297	0.023648	0.0148618	0.0257467	0.0301329	0.0835425	0.0653359	0.068482	0.0291952	0.0236111	0.0218189	0.0240117	0.0713045	0.0310911	0.0337387	0.0271447	0.0289816	0.03721	0.0283274	0.0209704	0.0192279	0.00422842	0.0114804	0.00495176	0.0113066	0.0123692	0.0145784	0.011045	0.0134719	0.0138414	0.0284537
calomnié	0.034715	0.0218498	0.0141981	0.0178437	0.0115711	0.0118997	0.0081112	0.00954209	0.0142114	0.0265515	0.0157993	0.0114008	0.0109485	0.00568866	0.0117228	0.0211184	0.0293073	0.0274248	0.0587975	0.0364425	0.0740163	0.0788474	0.0858156	0.108744	0.0706026	0.0288773	0.0263426	0.018982	0.0206589	0.0126073	0.01053	0.0137667	0.0163648	0.0185324	0.0161684
auprès	0.0952899	0.0781796	0.0529672	0.0693153	0.0580571	0.0451639	0.0336221	0.018212	0.0210702	0.0317904	0.0309321	0.0315538	0.0087383	0.010377	0.00680732	0.011608	0.0156553	0.00529053	0.00297662	0.00315742	0.00388204	0.00753131	0.0155281	0.0227928	0.0121013	0.00442991	0.0226803	0.0141714	0.0225997	0.0304992	0.034759	0.0462895	0.0334659	0.0425287	0.0559769
de	0.0392342	0.0232953	0.0135418	0.0199626	0.0214852	0.00564579	0.00335195	0.00246663	0.00408316	0.00610929	0.00922438	0.0143611	0.00482649	0.00736285	0.00535608	0.0100876	0.00798723	0.00274454	0.00169497	0.00227505	0.0023585	0.00539695	0.0122318	0.0240496	0.018374	0.0140112	0.0521174	0.0362385	0.062012	0.0881902	0.0849369	0.0883966	0.0932888	0.082399	0.130902
notre	0.0320194	0.020095	0.0145275	0.0193938	0.0156327	0.00814463	0.00482745	0.0035301	0.00454573	0.00502472	0.00560596	0.0136641	0.00759506	0.0092831	0.018298	0.0185553	0.0313118	0.020204	0.00965272	0.0145195	0.0137466	0.0272186	0.0344991	0.0716879	0.0397465	0.0243314	0.061803	0.0576877	0.0838037	0.0651662	0.058234	0.0365218	0.057473	0.0515868	0.040063
père	0.0261469	0.0225274	0.013875	0.0119845	0.00944811	0.00731374	0.00549653	0.00461223	0.00768177	0.00621164	0.0074693	0.0138977	0.00452216	0.00744746	0.0143587	0.0139964	0.0227161	0.0240508	0.0445043	0.0300632	0.0415748	0.0374231	0.0293286	0.0271877	0.0271826	0.0145923	0.0565328	0.0395448	0.0600835	0.0716688	0.0554565	0.0432783	0.071973	0.0622094	0.0636397
</S>	0.0458141	0.052125	0.0356101	0.0319803	0.025327	0.0160277	0.00786943	0.00641327	0.00720857	0.0103808	0.011094	0.0149011	0.00766047	0.0112003	0.0089092	0.0104591	0.0126028	0.00682625	0.00691736	0.00584591	0.00524208	0.00656218	0.00822629	0.0152718	0.0121323	0.00891739	0.0412729	0.0354684	0.0454127	0.0838282	0.062775	0.0603036	0.0690582	0.0669196	0.143437
