 	a66	a87	a23	a99	a38	a93	a75	a85	a6	a37	a56	a96	a56	a96	a12	a96	a70	a94	a92	a56	a70	a93	a4	a62	a88	a38	a9	a10	a87	a23	a87	a97	</S>
l'	0.0333399	0.0915714	0.0817915	0.0869049	0.0768656	0.0407422	0.0607214	0.0654524	0.0487438	0.0307784	0.0248372	0.0225405	0.0260301	0.0236849	0.020621	0.0161124	0.0175295	0.018502	0.0197117	0.0143501	0.00619077	0.0116084	0.0111818	0.0165785	0.0185388	0.0233657	0.0161692	0.015231	0.0155725	0.0113783	0.00798413	0.0041176	0.0212522
antilope	0.00642861	0.00834126	0.0151385	0.0153423	0.0305851	0.0937689	0.155952	0.175434	0.104903	0.076597	0.0536247	0.0652114	0.0408369	0.0191194	0.0104903	0.0125772	0.00867021	0.00990399	0.00985998	0.00682269	0.0095611	0.00703374	0.0044421	0.0103196	0.00305616	0.00608816	0.00351736	0.00293712	0.00578059	0.00496297	0.0055307	0.0042689	0.0128945
s'	0.0161666	0.0310759	0.0446082	0.0458106	0.055452	0.0506824	0.0760077	0.059255	0.0962611	0.0369923	0.022118	0.0244313	0.018265	0.01893	0.0106334	0.014592	0.00969539	0.01118	0.00776598	0.00901633	0.0108932	0.00577356	0.00771299	0.008652	0.0113805	0.0086558	0.014069	0.0148318	0.0331035	0.0304274	0.0487629	0.109504	0.0372942
est	0.0637761	0.0319265	0.0229536	0.0150384	0.0116166	0.0106162	0.0112031	0.00895843	0.0169881	0.0210693	0.0285167	0.0584029	0.0396047	0.0397229	0.0458802	0.0360091	0.0436942	0.0367445	0.0590392	0.0440771	0.067201	0.0162435	0.0139542	0.0183075	0.00809205	0.0157155	0.00952708	0.0267227	0.0312186	0.035452	0.036001	0.0308071	0.0449198
enfuie	0.0247929	0.0214533	0.0207276	0.0198251	0.0148365	0.0089907	0.0159245	0.0115581	0.0136516	0.018382	0.0337862	0.0473377	0.0490639	0.0642569	0.066351	0.0973292	0.0810035	0.0940163	0.0816725	0.0394604	0.0279009	0.01655	0.00970263	0.00848858	0.00678311	0.0105975	0.0104353	0.0120034	0.0138084	0.0152583	0.0192971	0.00996946	0.0147852
à	0.0910116	0.083135	0.0837936	0.103122	0.0426809	0.0186866	0.0263022	0.0311827	0.03046	0.0270725	0.0372472	0.0373867	0.0295307	0.0312563	0.0268329	0.0254232	0.0233965	0.0235585	0.0202476	0.0121404	0.00703894	0.00564084	0.00483936	0.00460809	0.00478757	0.00881539	0.00863094	0.011458	0.022842	0.0304661	0.0267189	0.0235626	0.0361239
cause	0.0515662	0.0478218	0.060124	0.0494118	0.0267115	0.0120913	0.0148017	0.0165851	0.0206998	0.017007	0.0233136	0.0201462	0.018851	0.0160952	0.0161807	0.0193835	0.0163518	0.0162725	0.0162864	0.0148936	0.0168909	0.0182461	0.0187668	0.0261676	0.0318757	0.0406056	0.0262714	0.0430857	0.039847	0.0638752	0.0420148	0.0711834	0.066575
du	0.068651	0.0520619	0.0680312	0.0557074	0.0468182	0.0275283	0.0268683	0.0185491	0.0207231	0.018124	0.0254768	0.0227891	0.0204832	0.017748	0.0147452	0.0182891	0.0145596	0.0154413	0.0172955	0.0167706	0.0165988	0.0152007	0.0148688	0.0161633	0.0233391	0.0283252	0.0264835	0.0333099	0.0421177	0.0447616	0.038904	0.0473134	0.0659529
bruit	0.0682046	0.0326092	0.0432258	0.0266405	0.0255703	0.0155683	0.0144941	0.0118617	0.0194305	0.0275667	0.0457551	0.0374295	0.0359398	0.0241464	0.01482	0.0180646	0.0100781	0.0116987	0.0098213	0.00809543	0.0141168	0.00776763	0.0126742	0.0158288	0.012978	0.0294855	0.0165861	0.0439683	0.0448808	0.0666202	0.0707315	0.0946301	0.0687115
des	0.0605378	0.0575119	0.0715359	0.0462275	0.0433821	0.0202682	0.0266606	0.0271567	0.0331424	0.031768	0.0410944	0.0360287	0.0351395	0.0272861	0.0171418	0.0236354	0.0125911	0.0124878	0.0091989	0.00693097	0.0133387	0.00689606	0.0137997	0.0113337	0.0109949	0.0182546	0.0188825	0.0255617	0.0302171	0.0381348	0.0332846	0.0460191	0.0935566
