 	a66	a87	a23	a99	a97	a87	a23	a83	a90	a15	a47	a92	a79	a20	a47	a85	a92	a37	a11	a62	a93	a56	a25	a44	a21	a5	a23	a75	a47	a36	a2	a57	a97	a87	a97	a99	a97	a99	a97	a9	a50	a94	a75	a6	a36	a47	a92	a61	a37	a21	a56	a34	a96	a43	a11	a70	a13	a9	a97	a87	a97	a10	a99	a97	a87	a97	a87	a23	a99	a97	a99	a87	</S>
cet	0.011791	0.0182577	0.0217276	0.0262146	0.0245088	0.0103599	0.0225806	0.00821416	0.00701434	0.0120744	0.0216156	0.03831	0.0275824	0.0211932	0.0102192	0.0069933	0.00806643	0.00575313	0.0125676	0.00670767	0.00854034	0.00860501	0.00964731	0.00790607	0.0106508	0.0134454	0.00695624	0.0123646	0.0208045	0.0182641	0.0146753	0.0190618	0.0156392	0.0133412	0.0117988	0.0122624	0.0124751	0.0181032	0.0188496	0.0134934	0.0235273	0.0215133	0.0163219	0.0106146	0.0158279	0.0237587	0.0252565	0.0388804	0.0219048	0.00826689	0.00853076	0.0040509	0.0042521	0.00711624	0.00855467	0.00879894	0.0115543	0.00545639	0.00783872	0.0122608	0.0148702	0.0159393	0.00982066	0.0151336	0.00736737	0.00746968	0.00661157	0.00720112	0.00673053	0.00730781	0.00631568	0.00693598	0.0153741
enfant	0.00169236	0.0015581	0.00283922	0.00192133	0.00717496	0.00836072	0.0128149	0.0218961	0.0377886	0.0777886	0.103039	0.136567	0.117097	0.0963533	0.0278243	0.0141599	0.0128753	0.00892397	0.0141904	0.0109754	0.0111745	0.0101229	0.0216466	0.00892223	0.00835255	0.00958904	0.00593359	0.00575591	0.00370474	0.00262407	0.0030488	0.0027653	0.00213483	0.00337902	0.00241572	0.00396008	0.00187904	0.00344615	0.00411116	0.00658672	0.00825716	0.0109955	0.0138698	0.024956	0.0137762	0.00784525	0.0131459	0.0136611	0.00784033	0.00825146	0.00857209	0.00629815	0.00630089	0.002409	0.00310434	0.00328672	0.00262923	0.00142276	0.000668169	0.000634784	0.00030281	0.000466841	0.000746753	0.000400602	0.000170603	0.000258681	0.000177546	0.000276728	0.000151298	0.000166156	0.000182295	0.000355766	0.00102638
ne	0.0146883	0.0125396	0.0140185	0.0125969	0.0144147	0.0117768	0.0129366	0.0143197	0.0175416	0.0199404	0.0216282	0.0307064	0.0371873	0.0288495	0.0659731	0.0393284	0.0181038	0.0196283	0.0201877	0.014573	0.0214202	0.0428498	0.0221134	0.0446672	0.03726	0.0264585	0.0311167	0.0331711	0.02688	0.0248193	0.0191811	0.0150939	0.0165352	0.0131552	0.0149719	0.014126	0.0122974	0.00970788	0.00664744	0.00703072	0.00711705	0.00931056	0.00750177	0.00866981	0.00495908	0.00270962	0.00261608	0.00253465	0.00148878	0.00223354	0.0021146	0.00306041	0.00383437	0.00189691	0.00298638	0.00385673	0.00433908	0.000943984	0.00117348	0.000493588	0.00056466	0.000882381	0.00112252	0.00154154	0.000877361	0.00220307	0.00260231	0.0017414	0.00206363	0.0049869	0.00480235	0.0149844	0.00734528
peut	0.0176633	0.0111574	0.00616158	0.00491907	0.00579269	0.00489008	0.00408561	0.00247571	0.00348347	0.00169293	0.00261531	0.00412551	0.0149864	0.021059	0.0350959	0.0201705	0.0192725	0.0241782	0.0202033	0.0187375	0.0268778	0.031109	0.0358912	0.0370203	0.0364313	0.0512316	0.0174231	0.0207135	0.0288901	0.028728	0.0209142	0.0193026	0.0288661	0.0225526	0.020601	0.0214737	0.0133837	0.0135795	0.00865237	0.00812245	0.00355218	0.00457643	0.00412381	0.0044676	0.00469731	0.00486602	0.00549372	0.00747059	0.00824824	0.0087125	0.00723004	0.00692351	0.00763851	0.00764306	0.00887627	0.0145266	0.0153344	0.00660024	0.00723139	0.00551031	0.00507234	0.00612879	0.0043659	0.00276316	0.00487494	0.00394955	0.00738265	0.00558652	0.00687526	0.0135587	0.0145431	0.0211603	0.0254857
plus	0.0465232	0.0218014	0.0198017	0.0140802	0.0137385	0.00676008	0.00465929	0.0047004	0.00524373	0.00222808	0.00184632	0.00596913	0.00475308	0.00464272	0.00500432	0.0132716	0.0186736	0.0151365	0.0129094	0.0225989	0.0254782	0.0165434	0.0189014	0.0206801	0.0166308	0.0296771	0.012797	0.0174877	0.0250407	0.0223593	0.0177854	0.0265979	0.024856	0.028133	0.0227697	0.0294555	0.0315674	0.0332699	0.0304946	0.0244427	0.0255968	0.0304276	0.015099	0.00971565	0.00464365	0.00382931	0.00401331	0.00382299	0.00354	0.00316374	0.00187906	0.00248417	0.00337652	0.00355501	0.00413285	0.00387896	0.00481125	0.00344558	0.0036733	0.00290571	0.00176678	0.00315925	0.00475984	0.00935039	0.00859925	0.0148128	0.0125943	0.0186271	0.0135379	0.00979057	0.012638	0.0151759	0.0178837
jouer	0.00805518	0.00764489	0.00633572	0.00743049	0.00676286	0.0075626	0.00602513	0.0040158	0.00285715	0.00116199	0.00090639	0.00105295	0.00173542	0.00256382	0.0123066	0.0265347	0.0326312	0.0251868	0.016362	0.0219272	0.0334174	0.0387769	0.0316418	0.0532451	0.0577625	0.0341189	0.0566616	0.048229	0.0424113	0.0285388	0.0285194	0.0208264	0.0285487	0.0260346	0.0221021	0.0226994	0.0220071	0.0178377	0.0169364	0.0177949	0.0131094	0.012087	0.00997939	0.00744836	0.00688795	0.00436612	0.00441335	0.00335152	0.00408389	0.00320337	0.00371532	0.00313859	0.00437133	0.00302766	0.00356078	0.00392559	0.00525199	0.00195454	0.00186359	0.00113478	0.00133713	0.00158131	0.00179625	0.00254102	0.00309074	0.00547422	0.00710816	0.00363076	0.00532737	0.00466566	0.00580174	0.00423127	0.00537074
au	0.0081207	0.00635852	0.00487993	0.00438714	0.00513677	0.00333658	0.00277283	0.000978536	0.000887169	0.000532181	0.000660807	0.000834965	0.00136278	0.00230148	0.0141488	0.0284506	0.0259033	0.0204074	0.012394	0.0178119	0.0316315	0.0350934	0.0284113	0.0676959	0.0746813	0.0404838	0.0644998	0.0676281	0.0581825	0.0319064	0.0385918	0.0252021	0.034754	0.0246123	0.0176531	0.0134116	0.0170353	0.0120157	0.00924368	0.00974612	0.00601703	0.00613432	0.0050197	0.00325434	0.00289472	0.00199507	0.00200282	0.00138359	0.00204804	0.00143362	0.00161572	0.000896827	0.00114977	0.00150404	0.00189872	0.00281705	0.00568923	0.00235591	0.00218398	0.00151991	0.00220411	0.00275461	0.00171404	0.00329082	0.00535556	0.00782772	0.0106881	0.00578103	0.00964988	0.00975237	0.0100803	0.0058197	0.00712127
ballon	0.00756688	0.00390223	0.00291583	0.00269508	0.00445691	0.00295908	0.00283792	0.00175218	0.00260944	0.00299487	0.00258195	0.00434547	0.00676255	0.00708626	0.00788267	0.0140074	0.0109193	0.0194491	0.0184872	0.0249119	0.056708	0.0389991	0.0748514	0.101419	0.0721621	0.030418	0.0906822	0.0485119	0.048187	0.0224581	0.0275899	0.0221886	0.0291729	0.0158065	0.0129434	0.00951449	0.00991118	0.0103056	0.00717985	0.00766911	0.00796762	0.00477675	0.00269461	0.00177573	0.00118524	0.00142361	0.00115825	0.00109457	0.00272666	0.00247212	0.00214382	0.00134805	0.00132372	0.00166961	0.00147919	0.00173984	0.00331575	0.00229941	0.00266264	0.00366303	0.00293711	0.00311536	0.00240674	0.00380217	0.00734733	0.00451388	0.00518663	0.00564735	0.00720851	0.00743383	0.00632658	0.0039735	0.00337813
parce	0.0176313	0.00990988	0.00630838	0.00920021	0.00526166	0.00349907	0.00240137	0.0021342	0.00260685	0.00380118	0.00291235	0.00476949	0.0101677	0.0125278	0.0111134	0.0287384	0.010997	0.0223879	0.0284123	0.0441398	0.0613438	0.0493761	0.0365662	0.049815	0.0675805	0.0233695	0.039006	0.0186793	0.0348722	0.0262843	0.0277428	0.0430799	0.0548791	0.0257903	0.0142769	0.00843127	0.00727841	0.00954197	0.006324	0.00333256	0.00890532	0.00457192	0.00184803	0.00119331	0.00137144	0.0029954	0.00222544	0.00151552	0.00418316	0.0023776	0.000653967	0.000459853	0.000411169	0.000771562	0.000686091	0.000975893	0.00166161	0.00218652	0.00261148	0.00344249	0.00333114	0.0026808	0.00262543	0.00591443	0.0116075	0.00704587	0.00563291	0.00957851	0.0153725	0.0111997	0.0120597	0.0126871	0.00872645
qu'	0.0223144	0.01987	0.018726	0.0197294	0.0156968	0.0173023	0.0142669	0.0122993	0.00785613	0.00447579	0.00505302	0.00728225	0.00753611	0.00824731	0.00605257	0.0163865	0.0164117	0.0184518	0.0254805	0.0288273	0.0526348	0.0316766	0.0371914	0.0423002	0.0474138	0.0252216	0.032615	0.0163048	0.0291271	0.0241903	0.0170092	0.0227875	0.0264905	0.0180668	0.0148892	0.0116306	0.00920407	0.00938778	0.00723703	0.00588167	0.00771027	0.00628852	0.0038831	0.00442344	0.00394437	0.00405209	0.00395451	0.0034553	0.0037727	0.00281845	0.00161823	0.00225235	0.00280377	0.00453729	0.0056771	0.00678608	0.00714621	0.00574612	0.00560857	0.00544876	0.00550061	0.00522422	0.00510797	0.00530575	0.00902422	0.00922458	0.00883941	0.014164	0.0171484	0.0160564	0.0139607	0.0137166	0.0112739
