 	a23	a83	a18	a98	a92	a85	a79	a44	a90	a75	a85	a37	a62	a61	a21	a18	a47	a61	a47	a88	a62	a83	a9	a99	a87	a23	a87	</S>
ibara	0.0715109	0.0705698	0.0437837	0.0421915	0.0446454	0.075083	0.0536802	0.0469061	0.053882	0.0514115	0.0478307	0.0536813	0.0344383	0.0506002	0.033919	0.034543	0.0128958	0.0187123	0.0161011	0.0132747	0.013563	0.0145829	0.0127603	0.0112678	0.0144757	0.0186912	0.0139939	0.0310048
est	0.0370148	0.0343691	0.029182	0.0289999	0.0261339	0.0263184	0.0280629	0.0339086	0.0696702	0.0561822	0.05211	0.0487088	0.0398396	0.0389014	0.0208346	0.0175825	0.039023	0.0218884	0.0157128	0.0378325	0.041136	0.0268986	0.0306059	0.0405387	0.0393078	0.034641	0.0402432	0.0443534
en	0.0270003	0.0127133	0.00928945	0.00927571	0.00579158	0.00763792	0.0111252	0.0106976	0.0136354	0.0116482	0.0166627	0.015652	0.0171609	0.0215669	0.016541	0.0106092	0.0118642	0.0123324	0.0158313	0.0580722	0.0667892	0.0519841	0.0615184	0.0907351	0.124846	0.0968197	0.117551	0.0746483
train	0.0372164	0.010362	0.00730876	0.00688613	0.00792458	0.0107658	0.0127637	0.0131665	0.0153617	0.0280605	0.0561764	0.0798648	0.0852627	0.0954021	0.103813	0.101304	0.0743712	0.0549863	0.0440304	0.0484624	0.0174291	0.0123613	0.0152917	0.0120996	0.012848	0.00937369	0.00791611	0.0191912
de	0.09089	0.0426252	0.036944	0.0385067	0.0215623	0.0232899	0.0317372	0.028794	0.0487112	0.0531757	0.0388167	0.0288143	0.0168555	0.0189157	0.0252166	0.0349931	0.0148711	0.0256929	0.038172	0.0543557	0.0278727	0.0191572	0.029914	0.0369665	0.0471655	0.0290056	0.0517353	0.0452433
danser	0.107748	0.0407629	0.0483163	0.0583465	0.0471398	0.0353016	0.0277197	0.0361164	0.0494637	0.0539839	0.0881978	0.0958665	0.0369156	0.0209726	0.022016	0.0315314	0.0202864	0.0234302	0.0171556	0.0233909	0.0279502	0.0111808	0.0111216	0.0117238	0.0119027	0.0105881	0.0181832	0.012688
le	0.0361935	0.0177911	0.020255	0.0186268	0.0193092	0.0166958	0.0130969	0.0128672	0.0154915	0.0164552	0.0192061	0.0260154	0.0246806	0.0283338	0.0407514	0.0469992	0.0581756	0.0684114	0.0501436	0.0937851	0.0750269	0.0344371	0.0403517	0.0396451	0.0330031	0.0391035	0.0367381	0.05841
kyebe-	0.0461695	0.0245687	0.0254852	0.023351	0.0184494	0.014955	0.0136494	0.0129665	0.0149828	0.0131594	0.0106842	0.00864226	0.00920521	0.0133451	0.016173	0.0151865	0.0364963	0.0345826	0.0544789	0.0693983	0.0703875	0.0592198	0.0571305	0.0907517	0.0620948	0.0524136	0.0572642	0.0748085
kyebe	0.0489671	0.0265177	0.0286396	0.0257938	0.0190367	0.0107353	0.0124873	0.0138815	0.0184786	0.0137799	0.0112841	0.00606618	0.00672113	0.0072986	0.00928061	0.0113456	0.0254551	0.0274618	0.0556129	0.0581468	0.0649793	0.067624	0.0626476	0.0939645	0.0659346	0.0597171	0.0625483	0.0855941
</S>	0.0523058	0.0327598	0.032366	0.0266479	0.0244001	0.0152448	0.0170072	0.0191519	0.0236935	0.0174248	0.0104267	0.00588227	0.00606548	0.00861942	0.0088872	0.00868129	0.0190615	0.0214088	0.0427728	0.0501812	0.0559656	0.0411015	0.0603503	0.0861197	0.0687384	0.0564041	0.0754674	0.112865
