 	a87	a10	a87	a23	a99	a13	a53	a20	a7	a75	a12	a61	a96	a44	a79	a44	a11	a83	a61	a54	a7	a54	a6	a36	a11	a66	a99	a11	a0	a75	a5	a18	a11	a9	a38	a36	a37	a66	a26	a27	a30	a57	a87	a23	a10	a87	</S>
la	0.0181875	0.0227978	0.0224278	0.0232469	0.0229472	0.0205722	0.0367631	0.0444993	0.0467117	0.0378649	0.0366995	0.0225418	0.0217281	0.0103438	0.00641033	0.00817016	0.00802225	0.0125108	0.0111456	0.0134631	0.014305	0.0176655	0.0138863	0.0146778	0.0198964	0.0148717	0.00897285	0.00603964	0.00494035	0.00546846	0.00536073	0.00344423	0.00584902	0.0106678	0.0143923	0.0182565	0.027557	0.0354042	0.0363208	0.0276161	0.0321347	0.035886	0.0395868	0.0371701	0.0394277	0.0248528	0.0382956
mère	0.00662902	0.0111617	0.0167202	0.0141108	0.0185482	0.0156747	0.021286	0.0253942	0.049062	0.0412233	0.0698684	0.0778425	0.0522928	0.0247454	0.0458736	0.0187133	0.025893	0.0177781	0.020059	0.0352925	0.0250464	0.0459761	0.0404736	0.0671663	0.0416895	0.0513877	0.0204009	0.0199062	0.0175159	0.0122658	0.0135105	0.0138422	0.00315085	0.00181058	0.00107129	0.00143484	0.00165482	0.00114923	0.00165532	0.000611874	0.0017438	0.00116281	0.00154808	0.00132258	0.00132677	0.00234517	0.000662214
l'	0.0114688	0.0101179	0.0114694	0.0126342	0.0113328	0.00735846	0.0110717	0.0243797	0.0248522	0.0379335	0.0450172	0.0678858	0.0473151	0.0318066	0.0698698	0.0589433	0.0577764	0.0686425	0.0469696	0.0384913	0.0236609	0.0148337	0.0476728	0.0237439	0.0145597	0.015857	0.0120189	0.0158057	0.00807703	0.00523296	0.00827968	0.00417441	0.00361203	0.00365887	0.00539863	0.0067595	0.00720438	0.00526472	0.00748907	0.00360255	0.00880311	0.00727982	0.0113617	0.0142777	0.00918744	0.0147942	0.00205316
a	0.00635019	0.00329098	0.00391352	0.00340146	0.00879949	0.00807065	0.0115664	0.00902337	0.00442749	0.0174145	0.0366461	0.0383027	0.0306171	0.0313269	0.0326586	0.0254455	0.0405489	0.0615271	0.100639	0.0855123	0.0712096	0.0667997	0.0689167	0.0370058	0.0495931	0.0366858	0.0168151	0.0151283	0.00989533	0.00951081	0.00987576	0.0112169	0.00373157	0.00321975	0.00205129	0.00194625	0.00183812	0.00293097	0.00158279	0.00352332	0.0021564	0.00170735	0.00212232	0.00310666	0.00194613	0.00233299	0.00366883
frappé	0.0188907	0.0266835	0.0305114	0.0451008	0.0422146	0.0479727	0.0400095	0.0209719	0.0247145	0.0163675	0.0202161	0.0187693	0.0246164	0.069519	0.0636577	0.061207	0.0657264	0.0624757	0.0320203	0.0260881	0.0214332	0.0245681	0.034573	0.0235734	0.0227479	0.0150312	0.00891508	0.00645817	0.00574431	0.00704749	0.00886876	0.0170358	0.00677739	0.00494802	0.00385259	0.00348496	0.00303013	0.00199098	0.00109584	0.00255265	0.00168044	0.0022469	0.00208589	0.00301358	0.00262902	0.00323807	0.00364403
parce	0.0116034	0.00870655	0.00666322	0.00665499	0.00473931	0.00533026	0.0059433	0.00731255	0.00642571	0.0174177	0.0169855	0.0191407	0.0175668	0.020214	0.0180719	0.0430614	0.0295542	0.0665891	0.0581893	0.0655015	0.0676512	0.0399991	0.0225623	0.00965651	0.00958838	0.00555111	0.00345046	0.00249387	0.00212215	0.00283	0.00393857	0.00203297	0.0064099	0.00792271	0.016386	0.0226893	0.0281701	0.0347383	0.0350366	0.038795	0.0328353	0.0307373	0.0347721	0.0406013	0.0179491	0.0210442	0.0243647
qu'	0.0251535	0.0146461	0.0122924	0.0128309	0.012499	0.0096883	0.00758205	0.0127094	0.0239903	0.0262565	0.0183665	0.0142548	0.0161495	0.0232457	0.0359607	0.0426374	0.0301402	0.0335003	0.0435457	0.0327048	0.04172	0.0240083	0.0249708	0.0116114	0.012322	0.00657398	0.00453946	0.00430379	0.00404484	0.00548303	0.00768498	0.00339594	0.0109794	0.0133352	0.0151237	0.0184951	0.0207853	0.0192681	0.0316273	0.0299385	0.0398042	0.026047	0.0316342	0.0432987	0.0290065	0.0373254	0.0345186
il	0.0233192	0.0180947	0.0246957	0.0218882	0.0244084	0.0207474	0.0198055	0.0260516	0.0716701	0.0417092	0.0433051	0.0380277	0.0218536	0.0240566	0.0256689	0.0305342	0.030014	0.0363263	0.029399	0.0242155	0.0221654	0.0177594	0.0234392	0.0128735	0.0137758	0.0107926	0.0117306	0.01442	0.0113018	0.016553	0.019116	0.0118692	0.0122122	0.0094905	0.0101322	0.0164662	0.0179595	0.00897661	0.0152647	0.00815258	0.0161629	0.0142755	0.015005	0.0150618	0.0151631	0.0190303	0.0250598
abîme	0.0333515	0.0423217	0.0426752	0.0323266	0.0376406	0.0309256	0.0211477	0.0167724	0.0108775	0.0137741	0.0151932	0.0129774	0.0104244	0.0103536	0.00765828	0.00800188	0.0089403	0.0170634	0.0180116	0.0155511	0.0186591	0.0168525	0.0151818	0.00830877	0.00833518	0.00849005	0.0100411	0.0134606	0.0124472	0.0169719	0.0174625	0.0102956	0.016296	0.0133975	0.0127398	0.0171236	0.0224496	0.0202377	0.0350782	0.0304614	0.0415369	0.0383269	0.0328011	0.0527424	0.029396	0.0427837	0.0321351
ses	0.0327644	0.0271508	0.0226916	0.0193017	0.0159561	0.0251357	0.0212139	0.01173	0.00880791	0.0146187	0.0233234	0.0143449	0.0188401	0.027364	0.0160435	0.0151266	0.0199488	0.0281618	0.0399962	0.0293822	0.0315787	0.0170812	0.0157421	0.0107238	0.0138856	0.00999476	0.0142513	0.0114459	0.0132754	0.0147087	0.0129047	0.00962385	0.0198068	0.0137987	0.0179531	0.0198088	0.0294913	0.0326478	0.0320624	0.0249281	0.0217022	0.0277366	0.0279271	0.0326792	0.0230378	0.0336827	0.0356192
vêtements	0.0270586	0.0159833	0.0124987	0.0136819	0.00888237	0.0123023	0.00664209	0.00268362	0.00257551	0.00298704	0.00422329	0.0040082	0.0038872	0.0118105	0.00763759	0.0120245	0.00905247	0.0146241	0.0200169	0.0208528	0.017579	0.0144468	0.0130147	0.0150022	0.0190901	0.0193844	0.0205033	0.0205335	0.020803	0.0267799	0.0278129	0.0197795	0.0295124	0.0256605	0.0316336	0.0323133	0.0324249	0.03894	0.0384897	0.033386	0.0308266	0.0410946	0.0433464	0.0435374	0.0439843	0.0573379	0.0293502
</S>	0.0312661	0.0202341	0.0180577	0.0222432	0.0164264	0.0146823	0.00923197	0.00642575	0.00641811	0.0040545	0.00528395	0.00490825	0.00934156	0.0198322	0.0160676	0.0226596	0.0143367	0.0160863	0.0178579	0.0184474	0.0160775	0.0103934	0.00729467	0.00589734	0.00762318	0.0062352	0.00503926	0.0052085	0.00604376	0.0117997	0.0139592	0.0104419	0.0208358	0.0185765	0.0276941	0.0298618	0.0350296	0.0441162	0.0426941	0.0423348	0.0317958	0.0450457	0.0490021	0.0524779	0.0387042	0.064092	0.0578641
