 	a87	a10	a27	a10	a27	a84	a10	a83	a34	a90	a25	a44	a94	a56	a0	a11	a50	a75	a98	a92	a85	a5	a96	a83	a47	a88	a9	a87	a23	a87	</S>
la	0.0786681	0.0780709	0.0549129	0.0356303	0.0209325	0.016713	0.0235784	0.0208691	0.0156168	0.0201774	0.0229349	0.0171496	0.0137351	0.0167281	0.0142402	0.0133799	0.0125062	0.0140506	0.020949	0.0370665	0.031238	0.0267144	0.0291246	0.0341468	0.0301538	0.0333364	0.0406558	0.0345744	0.0262289	0.0430327	0.122885
mère	0.00776265	0.0252346	0.0242303	0.0715532	0.0618641	0.0475571	0.0966882	0.126994	0.116435	0.101615	0.0793568	0.0455972	0.0480238	0.0309307	0.0217744	0.0240473	0.0214323	0.0190499	0.00871644	0.00570025	0.00361359	0.00193805	0.00269958	0.00140263	0.000705085	0.00137362	0.000623466	0.000699201	0.000349721	0.00134946	0.000682593
a	0.0233387	0.024833	0.0275033	0.0344763	0.0276505	0.0230779	0.0241307	0.0330925	0.0375098	0.0945591	0.0559963	0.0477429	0.11823	0.0821736	0.0952685	0.0610758	0.0524407	0.034156	0.0246026	0.0243368	0.0171996	0.00648588	0.00557134	0.00335492	0.00436465	0.00511133	0.00163568	0.00219277	0.00201547	0.00433071	0.00154288
renvoyé	0.014149	0.0118298	0.0104328	0.00788918	0.0115405	0.0142503	0.0233564	0.0311819	0.0176994	0.0272273	0.0425175	0.0507275	0.0627541	0.0553941	0.0611882	0.0681867	0.0903774	0.0832666	0.101209	0.0731141	0.029368	0.0101692	0.0114377	0.0141002	0.00715036	0.00870206	0.00759957	0.00892825	0.0100693	0.0124671	0.0217163
l'	0.0933794	0.0623115	0.0588888	0.0358873	0.0332441	0.0251634	0.0243645	0.0114049	0.00424915	0.00736956	0.0165733	0.0116444	0.00960278	0.00879471	0.0126218	0.0124954	0.020699	0.0245536	0.0249826	0.0301398	0.0484595	0.0917871	0.0392621	0.0390065	0.0319468	0.0212062	0.0282551	0.0303482	0.0303228	0.0358219	0.0752141
enfant	0.0532969	0.0259674	0.021788	0.0154895	0.0163625	0.0189071	0.0177543	0.00993153	0.00520115	0.00834764	0.0161594	0.0173752	0.0281313	0.0200233	0.0218452	0.014419	0.0175207	0.027176	0.0277133	0.0348816	0.0499709	0.0551476	0.0506219	0.0515469	0.060323	0.039824	0.070076	0.0665451	0.0578733	0.0492917	0.0304885
à	0.0658926	0.0484356	0.0407695	0.0314888	0.0185231	0.0177524	0.0177403	0.0120514	0.00889148	0.00780533	0.00694361	0.00464631	0.00231592	0.00221222	0.00183091	0.0013805	0.0017666	0.00343517	0.00686507	0.0124958	0.0199909	0.0425742	0.0428262	0.0422692	0.0643044	0.0427007	0.0625364	0.0781904	0.0836019	0.0678357	0.139927
la	0.0643962	0.0427325	0.0338374	0.0263808	0.0202179	0.0210428	0.019333	0.0182806	0.00847694	0.0197519	0.0307024	0.0204694	0.0241198	0.0137756	0.00909981	0.00483283	0.00791016	0.0110786	0.0139831	0.0229738	0.0284567	0.0506941	0.0577569	0.0404063	0.0752569	0.0450903	0.0412879	0.0454899	0.0597911	0.0549117	0.0674626
maison	0.0474802	0.0292139	0.0186731	0.0126226	0.0127563	0.0125623	0.00937788	0.00620301	0.00267148	0.00772345	0.0112306	0.00738513	0.00980544	0.00870181	0.00630211	0.00549642	0.00840692	0.0149346	0.0217123	0.0343626	0.0361	0.0430998	0.056447	0.049108	0.109686	0.0733164	0.114648	0.0913515	0.0633048	0.0596563	0.0156609
</S>	0.0321009	0.0243284	0.0240909	0.0178434	0.0161071	0.0124825	0.00954142	0.00466221	0.00267731	0.00325443	0.00357757	0.00379314	0.00508571	0.00403692	0.00455918	0.00293785	0.0026393	0.00441041	0.0072293	0.0139761	0.019513	0.04206	0.0403118	0.0387724	0.0933069	0.047478	0.06004	0.0821748	0.09532	0.0967193	0.18497
