 	a66	a87	a23	a87	a40	a2	a11	a12	a94	a98	a47	a7	a98	a47	a36	a56	a93	a70	a96	a66	a71	a38	a70	a66	a75	a12	a47	a96	a62	a96	a66	a62	a21	a5	a56	a75	a92	a44	a90	a44	a69	a58	a82	a87	a23	a83	a54	a79	a37	a6	a47	a37	a21	a5	a98	a47	a7	a26	a82	a87	a23	a99	a87	</S>
les	0.0170268	0.0222883	0.0268148	0.026111	0.0306227	0.0601972	0.0547578	0.058437	0.0463145	0.041623	0.0252286	0.0188273	0.0239948	0.0140463	0.00973727	0.0119629	0.0102344	0.0179517	0.0157114	0.0141071	0.016065	0.0129391	0.013967	0.0161277	0.0169809	0.0142713	0.0149406	0.0166538	0.0268296	0.0241575	0.0219539	0.0230068	0.0222618	0.0207746	0.0209084	0.0141226	0.010636	0.00782907	0.00789263	0.00776025	0.00690122	0.0040036	0.00271706	0.00299463	0.00270947	0.00371835	0.00398954	0.00285218	0.00385087	0.00843448	0.0150879	0.00627555	0.00662248	0.00541818	0.00580929	0.00630751	0.00495279	0.00422546	0.00482771	0.00408538	0.00379586	0.00324009	0.00317516	0.00793159
jeunes	0.00339375	0.00508084	0.00672196	0.00560469	0.0216731	0.0338535	0.0267371	0.039053	0.0408764	0.0409673	0.106813	0.069855	0.0659283	0.0594767	0.0329713	0.0343257	0.0233091	0.0155649	0.00909324	0.00918161	0.0130548	0.0178739	0.0128986	0.0178627	0.0192657	0.0241582	0.0175841	0.0107259	0.0205857	0.0190811	0.0148785	0.0220068	0.0213282	0.0143123	0.0160256	0.00992711	0.0130303	0.00559563	0.00425355	0.00190156	0.002274	0.00208695	0.0029673	0.00149247	0.00180268	0.00125484	0.00190411	0.00220542	0.00285491	0.0040173	0.00285537	0.00276083	0.00564099	0.00204198	0.00626035	0.00151012	0.00163118	0.001034	0.00100006	0.000918092	0.000657131	0.000555642	0.00294297	0.000500837
ont	0.0210494	0.0197806	0.0182705	0.0133867	0.0338326	0.0219842	0.0275662	0.0406493	0.0220138	0.0292979	0.0269843	0.0173906	0.0128015	0.018636	0.0174925	0.0266791	0.0342875	0.0212315	0.0501491	0.0347619	0.0313812	0.0238786	0.0355882	0.0248224	0.0228888	0.0259479	0.0315372	0.0327351	0.0202984	0.0190313	0.0155387	0.0219472	0.0192197	0.017265	0.020793	0.0140616	0.00914865	0.00654373	0.00761554	0.00447626	0.0107925	0.00879345	0.00901735	0.00634117	0.00666071	0.00494464	0.00532658	0.0041592	0.0033732	0.00525287	0.00452347	0.00431494	0.00287232	0.00111232	0.00177889	0.000459343	0.000422301	0.000532852	0.000532374	0.000646467	0.000387678	0.00082184	0.00308422	0.000886106
refusé	0.0339076	0.045626	0.0211655	0.0120616	0.0156984	0.018942	0.0117416	0.0363912	0.0264092	0.0315902	0.0215554	0.0182967	0.0163045	0.0244919	0.0175055	0.0132585	0.0149338	0.0165791	0.0130089	0.0101223	0.00970538	0.0139486	0.0110822	0.0161362	0.0142619	0.0158113	0.0148405	0.010951	0.00960643	0.00968685	0.0125476	0.0124294	0.011264	0.0107941	0.0152233	0.0158118	0.0220265	0.0149958	0.0194348	0.0206556	0.0145536	0.0147571	0.0133641	0.0221158	0.0182449	0.0147102	0.0157781	0.0125507	0.00993723	0.0109289	0.00986945	0.0137439	0.0108299	0.00747592	0.00857196	0.0076821	0.0117826	0.00889146	0.00760152	0.00884851	0.0102894	0.0136472	0.0156288	0.0173936
d'	0.0255031	0.015569	0.00835229	0.00329269	0.00543871	0.00554168	0.00484062	0.00811332	0.0060721	0.00956823	0.00939742	0.0127064	0.0128447	0.0123052	0.0171479	0.0218559	0.0274452	0.0167176	0.0195697	0.0113758	0.00996757	0.0144653	0.0147722	0.0149682	0.0167877	0.023692	0.0228083	0.0196486	0.0176149	0.00833026	0.0208631	0.0239402	0.0187014	0.0189598	0.0355391	0.0255079	0.0126052	0.0236143	0.023707	0.0258212	0.0289693	0.0222441	0.016652	0.0397968	0.0362336	0.0268593	0.0308921	0.0157833	0.00786183	0.0125693	0.00634676	0.00829151	0.00322945	0.00203503	0.00330806	0.0019305	0.00470945	0.00704331	0.00822489	0.00972167	0.011355	0.015152	0.00849581	0.0263232
aller	0.0109002	0.00385082	0.00269654	0.00107656	0.00237401	0.00213831	0.00170763	0.00131962	0.00128629	0.00203247	0.00246943	0.00513189	0.00609523	0.00672338	0.00842354	0.0145225	0.0197939	0.0157189	0.0287084	0.0203575	0.02028	0.0311702	0.0238689	0.0218183	0.0211757	0.0297732	0.0442858	0.0297945	0.0239384	0.0244287	0.0372909	0.0300577	0.0307856	0.0433889	0.0457832	0.0508816	0.0258946	0.0549401	0.0417479	0.0266919	0.0271588	0.0156427	0.0125767	0.0155673	0.0132333	0.0109216	0.00776639	0.00231443	0.00197013	0.00270771	0.00250361	0.002579	0.00267761	0.00166998	0.00299493	0.00223051	0.00236557	0.00361911	0.00854817	0.00716496	0.00920845	0.00975899	0.00597321	0.0135238
enterrer	0.020894	0.0106632	0.00624986	0.00285175	0.00208961	0.00265996	0.0017295	0.00105383	0.00127604	0.00156914	0.00146535	0.0027264	0.00304097	0.00365164	0.00483256	0.00895762	0.0124732	0.0120703	0.0263271	0.02331	0.0149997	0.0269666	0.0216591	0.0209634	0.0194763	0.0297728	0.0539458	0.0400707	0.0230356	0.0264076	0.0505503	0.0315746	0.0314411	0.0423191	0.032963	0.0534847	0.0311736	0.0366402	0.0401651	0.0295699	0.0314176	0.0177219	0.0162735	0.0242185	0.0158187	0.0130541	0.010984	0.0039924	0.00385525	0.00450277	0.00342608	0.00419719	0.00216731	0.00196247	0.0018998	0.00155101	0.00164596	0.0018898	0.00449177	0.00334993	0.00760899	0.00608351	0.00421869	0.00659755
mademoiselle	0.0388654	0.0150463	0.00532992	0.00204526	0.00104476	0.00116346	0.00076947	0.000527503	0.000732942	0.000662359	0.000845869	0.000999406	0.00122764	0.00099294	0.00182937	0.00474638	0.007053	0.00504165	0.0164299	0.0178008	0.0124308	0.0253678	0.0200347	0.026622	0.0199152	0.035104	0.053375	0.045058	0.0269207	0.037822	0.0783252	0.033386	0.0381001	0.0391966	0.0316825	0.0636361	0.0504761	0.0320947	0.0418887	0.0204304	0.0209562	0.00977523	0.010363	0.0162808	0.00969943	0.0124297	0.0125512	0.00514227	0.00299612	0.00381626	0.00362229	0.00424156	0.00110884	0.00207567	0.0018838	0.00277395	0.0028713	0.00181951	0.00212049	0.0018884	0.00292251	0.00255111	0.0030107	0.00807913
angondo	0.0367197	0.0210588	0.00818572	0.00404714	0.00128108	0.00181689	0.00130372	0.000700057	0.00109852	0.000969174	0.0015258	0.00266494	0.00453921	0.00316929	0.00597276	0.0117435	0.0191491	0.0136233	0.0212637	0.0203678	0.0145049	0.019797	0.0219062	0.0267709	0.0235134	0.0373235	0.0495009	0.0453637	0.0405663	0.0344507	0.0678471	0.0371001	0.0517399	0.0518081	0.0443805	0.0413263	0.0271588	0.0105375	0.0133502	0.0093182	0.00625999	0.00594166	0.00270454	0.00577622	0.0053328	0.00581032	0.00974465	0.0038813	0.00397807	0.00762117	0.00798972	0.00669326	0.00565236	0.00556387	0.00606124	0.00322432	0.00777288	0.00551558	0.00448334	0.00479734	0.00533524	0.00600481	0.01347	0.0109206
parce	0.0196237	0.0118828	0.00572358	0.00334301	0.0024355	0.0041813	0.00237764	0.00115273	0.00198666	0.00139214	0.00163399	0.0040315	0.00566076	0.00428894	0.00710109	0.00862753	0.0107179	0.0181772	0.0194482	0.0194538	0.0158372	0.0160673	0.0226599	0.0180767	0.0176778	0.0290904	0.058628	0.0325915	0.0352331	0.0357837	0.0446042	0.0233478	0.0339221	0.0456801	0.034825	0.0354425	0.0228595	0.0249733	0.024253	0.018185	0.0172662	0.0154677	0.0113518	0.0136192	0.0166185	0.0108512	0.0190169	0.0130303	0.0143154	0.0166594	0.0108226	0.0132435	0.0127222	0.00782105	0.00556073	0.0031176	0.00880089	0.00570277	0.00588842	0.00470641	0.0057118	0.00518929	0.0134481	0.00608994
