 	a23	a79	a20	a30	a35	a24	a25	a99	a79	a24	a25	a38	a75	a14	a44	a11	a10	a75	a41	a25	a87	a23	a79	a76	a69	a57	a9	a79	a76	a41	a66	a38	a14	a30	a14	a35	a38	a41	a12	a96	a83	a25	a87	</S>
il	0.0291817	0.0302681	0.056725	0.100882	0.0834036	0.0800747	0.0768683	0.0841415	0.0592438	0.109673	0.0402482	0.0433296	0.0152831	0.0105927	0.0116303	0.00627225	0.00220525	0.00258835	0.00413302	0.00338184	0.00534895	0.00547416	0.00329662	0.00475648	0.00400727	0.00261562	0.00263662	0.00365868	0.00439547	0.0044775	0.00303398	0.00350802	0.00407332	0.0039378	0.00410336	0.00671507	0.00584069	0.00975707	0.0119087	0.0119705	0.00825576	0.0128346	0.00870719	0.0145611
a	0.0018225	0.00549701	0.00522431	0.00630309	0.0141143	0.031255	0.0274813	0.0444232	0.032096	0.0588615	0.0402487	0.0381732	0.0347152	0.0375412	0.0428032	0.0197541	0.00829836	0.0149154	0.0154087	0.0175082	0.0176471	0.00960897	0.0106007	0.0262002	0.0307934	0.0401348	0.042012	0.0330654	0.0272469	0.021702	0.0149316	0.0139711	0.0161049	0.0134095	0.0137468	0.0145921	0.0170592	0.024029	0.0201984	0.0221729	0.0291796	0.0171851	0.0167316	0.0112325
planté	0.0096878	0.00620315	0.00698931	0.0096221	0.0248346	0.0537462	0.0471158	0.0320476	0.0277294	0.0337256	0.0319208	0.0147382	0.0123551	0.00838245	0.00778748	0.00541582	0.00356041	0.00666856	0.00379463	0.00479464	0.00451109	0.00323712	0.00499396	0.00647449	0.00750988	0.00833231	0.00717421	0.00990994	0.00878076	0.0107102	0.010864	0.0088371	0.0128425	0.0295103	0.0456545	0.0513387	0.069069	0.0456236	0.0531206	0.0624855	0.0509482	0.0400846	0.0512624	0.0456056
des	0.0301747	0.0292917	0.0417481	0.0351029	0.0146842	0.0174895	0.0122149	0.0065752	0.007295	0.00749779	0.0110412	0.00717505	0.00881432	0.0116026	0.0145813	0.012672	0.0271518	0.0383931	0.032336	0.0365267	0.0238977	0.0264376	0.0448749	0.0431039	0.0375453	0.0349821	0.031179	0.0323388	0.024493	0.0250191	0.030159	0.0277647	0.0160183	0.0140816	0.0203792	0.0118684	0.0149611	0.0124728	0.0209371	0.0164514	0.0232002	0.0212822	0.0167668	0.027418
caféiers	0.055955	0.0378672	0.0334201	0.0390668	0.0283867	0.0324427	0.0277191	0.0139547	0.0347308	0.0211726	0.0276583	0.0189212	0.023723	0.0255616	0.0346697	0.0345536	0.0268762	0.0300969	0.0227997	0.0235521	0.0143572	0.0137236	0.015977	0.0172616	0.0115122	0.013956	0.0133497	0.0171356	0.0127117	0.0088086	0.0200284	0.0149973	0.00795572	0.015919	0.0134949	0.0131078	0.0235365	0.0175112	0.0254188	0.0224737	0.0219484	0.0228746	0.02164	0.0271725
le	0.02628	0.0289536	0.0258322	0.03617	0.0289801	0.0337865	0.0239915	0.0185994	0.0138571	0.0156903	0.0165211	0.0276445	0.021017	0.041656	0.0847763	0.0823855	0.0925622	0.0670642	0.0540091	0.0321821	0.025587	0.0112007	0.00924669	0.00835409	0.00697203	0.00483702	0.00427182	0.00232507	0.00185023	0.00149121	0.00106614	0.00131118	0.00190552	0.00191576	0.00190383	0.00334526	0.00385178	0.00458282	0.0111702	0.0107046	0.0184764	0.0132489	0.0198065	0.0586165
long	0.0220586	0.0231137	0.0217328	0.0213434	0.0157381	0.0367022	0.0331445	0.0369826	0.0384842	0.0566061	0.0448442	0.0562498	0.0509354	0.0380524	0.037076	0.0298852	0.0320009	0.0268019	0.026939	0.0210366	0.0193346	0.0109711	0.0111384	0.013091	0.0143414	0.0165639	0.0157694	0.0114982	0.00883238	0.00933549	0.0064214	0.00517021	0.00527549	0.00411006	0.00481497	0.0089685	0.0049052	0.00866475	0.0153992	0.0185398	0.023438	0.0293406	0.0306096	0.0337389
de	0.0276094	0.0230815	0.0176657	0.0137351	0.0127763	0.0208011	0.0242603	0.0160661	0.016166	0.0191393	0.0141475	0.0130576	0.0155684	0.0162343	0.0253633	0.0250268	0.0163955	0.0192384	0.0197488	0.0122728	0.0174309	0.0107975	0.0132587	0.0213133	0.0176966	0.0163037	0.017552	0.0171584	0.0121828	0.0125281	0.00873667	0.00835363	0.0061947	0.00759915	0.00903418	0.012524	0.016001	0.026991	0.0507841	0.038644	0.0687824	0.0500681	0.0524604	0.119251
l'	0.0196454	0.016726	0.0132562	0.0196226	0.0115755	0.0216456	0.0225151	0.018763	0.0201044	0.0321956	0.0193975	0.0168917	0.0169255	0.0197538	0.028146	0.0250074	0.0216986	0.0319063	0.0301144	0.0200639	0.0255492	0.0177611	0.00966518	0.0147304	0.0098298	0.00773022	0.0069305	0.00852333	0.00545857	0.00690102	0.00536301	0.00586992	0.00753787	0.008262	0.0101669	0.0230168	0.0295874	0.033273	0.0514722	0.0387721	0.0603833	0.0433965	0.0484869	0.0953779
allée	0.0125702	0.0194558	0.0244752	0.0373439	0.01521	0.0197693	0.0271522	0.0190907	0.0180045	0.0388756	0.0358216	0.0140678	0.0215588	0.0196251	0.0260366	0.0283522	0.0341206	0.0480114	0.0362948	0.0310097	0.027598	0.0203522	0.0205683	0.0315776	0.0235593	0.0216605	0.020357	0.0140564	0.0163849	0.0113376	0.0120206	0.0140602	0.0141821	0.00933142	0.00924198	0.0148565	0.0150013	0.0183048	0.0239765	0.0224164	0.0282792	0.0230768	0.0250757	0.0358785
