 	a66	a87	a23	a40	a7	a75	a62	a75	a85	a47	a0	a37	a93	a4	a13	a75	a47	a62	a88	a71	a9	a99	a87	a23	a97	a87	a23	a10	a50	a96	a56	a25	a69	a90	a25	a79	a56	a75	a98	a79	a98	a85	a6	a75	a12	a61	a31	a18	a38	a75	a5	a37	a12	a96	a18	a71	a9	a10	a87	a23	a99	a97	</S>
les	0.0275993	0.0289404	0.0194422	0.0239907	0.0206194	0.019807	0.0261328	0.0287375	0.0382804	0.0411781	0.0542537	0.0359664	0.0347343	0.0248545	0.0291632	0.0288055	0.0207476	0.0261234	0.0247722	0.0255748	0.0290957	0.0193959	0.0186446	0.0246363	0.0260768	0.0407804	0.0211717	0.024568	0.0106001	0.0141382	0.0110855	0.0163516	0.00909385	0.0074009	0.0107392	0.00612203	0.00993604	0.00879561	0.00430651	0.00790236	0.00584295	0.00500579	0.0064955	0.00773929	0.00627256	0.00473448	0.0044101	0.0055468	0.00487907	0.00468569	0.00573378	0.00385984	0.00433736	0.00264107	0.00233168	0.00283184	0.00230804	0.00224506	0.00208628	0.00198956	0.00242232	0.00175881	0.00927725
chasseurs	0.00227477	0.00200625	0.00202535	0.00375073	0.00947998	0.0103416	0.0233445	0.0162451	0.0220643	0.0326916	0.0186105	0.00949808	0.00786687	0.0103418	0.00787949	0.00935718	0.00474693	0.00934826	0.00375847	0.00427767	0.00311165	0.00447852	0.00342802	0.00361384	0.00797128	0.00604401	0.00754173	0.0083271	0.00875174	0.013217	0.0111576	0.0155305	0.0174534	0.0304711	0.0834346	0.0584191	0.0926475	0.0896056	0.0575327	0.0264498	0.03417	0.0540402	0.0500587	0.0393319	0.0231964	0.0128274	0.0106427	0.00530356	0.00277498	0.000561008	0.00101379	0.000949703	0.0005973	0.000621379	0.000628517	0.000437433	0.000650362	0.000548319	0.000446225	0.000517144	0.000420275	0.000675611	0.000490573
sont	0.0182503	0.0144542	0.00894046	0.0145688	0.0267183	0.0374268	0.0488125	0.0314771	0.011192	0.0173286	0.00782254	0.00828387	0.0164332	0.0230809	0.0300713	0.0219602	0.0315887	0.0387087	0.0338665	0.0217419	0.0182615	0.0302197	0.0125162	0.0179425	0.0191935	0.0187193	0.0326231	0.0243492	0.0443528	0.0272005	0.0278967	0.0224906	0.0181836	0.0132205	0.0148262	0.0311573	0.0153689	0.0178721	0.0265408	0.00810624	0.00773564	0.0147676	0.00640656	0.00767116	0.00447407	0.00252147	0.00238079	0.00447325	0.00288304	0.00270622	0.000651098	0.000686515	0.000641589	0.00101683	0.00102522	0.00222015	0.00225387	0.00379452	0.00587051	0.0056829	0.00653337	0.00667273	0.0031627
revenus	0.0184589	0.016298	0.016783	0.0135587	0.0110662	0.010718	0.00929048	0.0126835	0.00703692	0.0113078	0.00774943	0.0117331	0.0150261	0.0142395	0.032173	0.0176957	0.0211713	0.0335509	0.010122	0.00866324	0.0119043	0.00950751	0.00931297	0.0147566	0.00800909	0.0137417	0.0119092	0.0142477	0.0275749	0.0220015	0.0277694	0.0166266	0.0230355	0.0174319	0.0261576	0.0196116	0.0143619	0.0274044	0.0219425	0.011582	0.011266	0.0259698	0.0240261	0.0407643	0.035023	0.0219929	0.0220704	0.0169514	0.0117325	0.0112859	0.00569867	0.00587397	0.00522744	0.00532539	0.00559867	0.0129701	0.0132887	0.0172865	0.0174931	0.0121431	0.00953558	0.00979588	0.0104661
bredouilles	0.0138244	0.00921951	0.00861382	0.0145832	0.0119358	0.0159957	0.0110259	0.0112485	0.0151315	0.0149146	0.0189252	0.020951	0.0241443	0.0161392	0.0413794	0.0183199	0.0251576	0.0214808	0.0203192	0.020427	0.0263696	0.028314	0.0269003	0.0294803	0.0159719	0.0195746	0.0166834	0.0174035	0.0277251	0.0233188	0.0224116	0.0173722	0.0126859	0.0108676	0.0107695	0.0112023	0.00839391	0.00877265	0.00888755	0.0122593	0.0145618	0.0114506	0.0124708	0.0105075	0.0117252	0.0196082	0.0214624	0.0212725	0.022844	0.0224551	0.0135909	0.0120598	0.00989653	0.00624243	0.00711199	0.00481132	0.00645537	0.0080801	0.0101277	0.0108903	0.00971057	0.0105661	0.0129983
parce	0.0392165	0.0280644	0.0252999	0.0251574	0.0146799	0.0199779	0.0158589	0.0164362	0.0121246	0.0168939	0.0137725	0.0230604	0.0313834	0.0267519	0.0354075	0.0265445	0.0276725	0.0280324	0.0234828	0.0253742	0.0246855	0.0429288	0.0243898	0.0275719	0.0254302	0.0152061	0.0175265	0.0138068	0.00939989	0.00874991	0.0080017	0.0103347	0.00804214	0.00648311	0.0135923	0.0158065	0.00847742	0.00973756	0.0100472	0.00789662	0.00670355	0.00489281	0.00460011	0.00473507	0.00362067	0.00267485	0.00269798	0.00303965	0.00418979	0.00382168	0.00318444	0.00675958	0.00698128	0.00867694	0.0126004	0.010613	0.0168237	0.0157891	0.0185932	0.0207626	0.0177709	0.016263	0.0208994
que	0.0370614	0.0273712	0.0229753	0.0165116	0.0105299	0.0132197	0.0192767	0.00828187	0.00816635	0.00930629	0.00977541	0.0170566	0.0246934	0.0197279	0.0279231	0.023782	0.02365	0.0290523	0.0258769	0.0234543	0.0236975	0.0323553	0.0246116	0.0201402	0.0266603	0.0194506	0.0183407	0.029121	0.0220594	0.0186761	0.0150385	0.0177442	0.014938	0.011817	0.0140178	0.0199929	0.0179586	0.0187989	0.0139684	0.0129131	0.00890516	0.00485632	0.00418372	0.00535147	0.00619252	0.00510852	0.00382032	0.00579387	0.00864618	0.00945877	0.00506364	0.0088203	0.00834049	0.00810867	0.010628	0.00710021	0.00861519	0.00986652	0.014627	0.0186314	0.0136525	0.0182172	0.0160195
l'	0.0641054	0.0274338	0.0138434	0.00812424	0.00652371	0.00741604	0.0107516	0.00958914	0.00535392	0.00316806	0.00496403	0.00626727	0.0194257	0.0119612	0.0124133	0.0148936	0.0162366	0.0231865	0.0274595	0.0223964	0.0214992	0.0220348	0.0217139	0.0167293	0.0166184	0.0135502	0.0113118	0.0140467	0.00939147	0.0103242	0.00671344	0.00832557	0.00623245	0.00604094	0.011638	0.0162082	0.0124102	0.0182311	0.0173594	0.0138932	0.0111071	0.00951512	0.00478591	0.00373482	0.00391741	0.00402622	0.00483675	0.00970271	0.0157671	0.0144358	0.00921136	0.0160987	0.017824	0.0224527	0.0267168	0.0192791	0.0219131	0.0241697	0.0419549	0.0419884	0.0382431	0.0345441	0.0139893
un	0.0422778	0.0196089	0.00995788	0.00583571	0.00273098	0.00185635	0.00342674	0.00510548	0.00319797	0.00761964	0.00818496	0.0120663	0.0194976	0.0151127	0.0147808	0.0208509	0.0214896	0.0249383	0.0248294	0.0241346	0.0236703	0.0204896	0.0244552	0.0217479	0.0287984	0.0274586	0.0157604	0.0304667	0.0121319	0.0162207	0.0131445	0.0230888	0.0130767	0.0135001	0.0203727	0.0107809	0.0221837	0.0226528	0.0114075	0.01422	0.0112143	0.00910859	0.00326675	0.00260799	0.00306017	0.00282599	0.00330461	0.00386343	0.0120107	0.00868995	0.00376078	0.00996575	0.0104509	0.0117464	0.0202897	0.0132397	0.0182622	0.0170584	0.0268107	0.030034	0.0307394	0.0399266	0.0346328
d'	0.0334708	0.0174587	0.0119096	0.0109849	0.0069965	0.00499171	0.00586721	0.0071953	0.0056946	0.0176282	0.0129197	0.0251961	0.0300393	0.0290528	0.0281062	0.0307138	0.0311778	0.0262693	0.0338127	0.0365946	0.0356576	0.0318064	0.0329839	0.0343275	0.0300549	0.0293154	0.020581	0.0290497	0.0154256	0.0140704	0.0105427	0.0163321	0.00817817	0.00846407	0.00824954	0.00768493	0.0132624	0.0100658	0.00502613	0.00776203	0.00653994	0.00244237	0.00199358	0.00250914	0.00278099	0.00239525	0.00174617	0.00264158	0.00648615	0.00502155	0.00248928	0.00395543	0.00451227	0.00538048	0.0101369	0.00642031	0.0160875	0.011693	0.022076	0.026903	0.0281577	0.0283683	0.0243433
