 	a82	a38	a9	a38	a21	a85	a41	a36	a75	a85	a5	a12	a21	a85	a36	a61	a21	a85	a36	a37	a21	a92	a56	a70	a93	a96	a0	a56	a70	a62	a83	a21	a75	a85	a15	a37	a54	a6	a37	a26	a38	a9	a30	a27	a2	</S>
beatsanyi	0.0269702	0.0767855	0.056539	0.0508988	0.0388856	0.0477018	0.0587254	0.0794827	0.078694	0.0627451	0.036783	0.0211052	0.0159455	0.011531	0.00661526	0.00934405	0.00472714	0.0106609	0.00769318	0.00899346	0.0102412	0.0108597	0.00566526	0.00647436	0.0132664	0.0177339	0.0141692	0.00997172	0.0061818	0.0165038	0.00778148	0.0102134	0.020902	0.00782416	0.0086931	0.00866585	0.00853004	0.00760129	0.0117486	0.0110037	0.00858804	0.00729322	0.01123	0.0119382	0.00932357	0.0267695
presse	0.0118815	0.0108675	0.0348729	0.0356975	0.026162	0.029064	0.0179653	0.0263966	0.0338068	0.0674914	0.0525887	0.0452938	0.0485061	0.0247238	0.0271073	0.0329601	0.0405952	0.0324066	0.0345724	0.0339575	0.0238294	0.0226369	0.0142493	0.0103615	0.005946	0.00632429	0.00552397	0.00718335	0.00346965	0.00365736	0.00219237	0.00252924	0.00338347	0.00840776	0.00833481	0.0105825	0.0160298	0.014141	0.0184585	0.0164018	0.0180788	0.0280285	0.0275092	0.0186478	0.0234155	0.0137602
les	0.0217019	0.00910397	0.0130199	0.0125581	0.00613719	0.00630753	0.00694669	0.0094294	0.0121982	0.0237355	0.0201621	0.0165737	0.0156533	0.0162526	0.0154928	0.0169726	0.0268947	0.0267547	0.0364029	0.0348574	0.0223407	0.0268931	0.0288604	0.0236935	0.00971342	0.0090505	0.00972886	0.0108982	0.00660813	0.0058725	0.00769262	0.00573659	0.00731334	0.00944283	0.0126561	0.0168076	0.0286044	0.0342635	0.0491293	0.0526343	0.0596516	0.0509901	0.0588857	0.0452104	0.0428785	0.0172885
mamelles	0.0269191	0.0220974	0.0116878	0.0083348	0.00390341	0.00362917	0.00498604	0.00685036	0.00309203	0.00423393	0.00233662	0.00244216	0.00395606	0.00556054	0.0064915	0.00470252	0.00751856	0.00683756	0.0129747	0.0141004	0.0122775	0.0160444	0.0196416	0.0337842	0.0403842	0.0502998	0.0678068	0.047941	0.0881724	0.0555592	0.107571	0.0726911	0.0627769	0.0305453	0.0213809	0.0122175	0.00848112	0.00687925	0.0109147	0.0112802	0.011856	0.0102131	0.00599681	0.00991348	0.00871219	0.0140044
avant	0.0131416	0.0104684	0.00534345	0.00692271	0.0038153	0.00360587	0.00575554	0.00589337	0.00463222	0.00429844	0.00530248	0.00769575	0.00640403	0.00891391	0.00858146	0.0101563	0.0134047	0.0132212	0.0248737	0.0163166	0.0160156	0.018346	0.0183777	0.0279019	0.0325	0.0300781	0.0402848	0.0463392	0.0435738	0.0432956	0.038418	0.0362595	0.0321501	0.0318707	0.0333579	0.0260546	0.0208158	0.027214	0.0312961	0.0249763	0.0306248	0.0411517	0.0307493	0.0300282	0.0374827	0.0320904
de	0.0393256	0.0146687	0.0156939	0.0153914	0.00867502	0.0069461	0.0135369	0.00588286	0.00882664	0.0122342	0.0162704	0.0151712	0.017234	0.0173649	0.0185432	0.0258946	0.0297663	0.0275768	0.0378763	0.0259587	0.0300612	0.0243698	0.0264994	0.0321337	0.0229805	0.0265377	0.032968	0.0373144	0.0250789	0.0210154	0.0196979	0.018482	0.0233856	0.0219254	0.0211658	0.0179032	0.0191213	0.0244403	0.0229937	0.0218251	0.025802	0.0240019	0.0255417	0.0205366	0.0214388	0.019942
faire	0.012358	0.00449337	0.00452836	0.00596214	0.00280205	0.00249762	0.00897653	0.00363753	0.0048171	0.00596558	0.00383787	0.00403948	0.00610515	0.00563823	0.00547999	0.0118346	0.0181514	0.0229981	0.0280596	0.0234563	0.0332056	0.0398289	0.040563	0.0472754	0.0306285	0.0362479	0.0363806	0.0567596	0.0398288	0.0345805	0.0364361	0.0295314	0.0221271	0.0539179	0.0258371	0.0300883	0.0281702	0.0237321	0.0251013	0.0217989	0.0209309	0.0197541	0.0246585	0.0193084	0.0227315	0.0149387
têter	0.0227944	0.0119639	0.00982997	0.0133703	0.00695092	0.00544815	0.0104414	0.0048513	0.00551022	0.00716145	0.00715497	0.00428486	0.00852261	0.00826131	0.00849335	0.0139917	0.0148247	0.014086	0.0222039	0.0154529	0.0272031	0.01563	0.0106089	0.0175535	0.0192791	0.0227105	0.0241327	0.0399095	0.0198163	0.0203843	0.0124343	0.0111955	0.0135757	0.0253364	0.0191483	0.0230603	0.0299047	0.0316851	0.0411176	0.042048	0.0469029	0.0494897	0.0601712	0.0536612	0.0559096	0.0515334
l'	0.0215959	0.0174814	0.0134335	0.0147375	0.0114081	0.00946762	0.0124941	0.00958364	0.00954862	0.00991774	0.0143016	0.00663349	0.0188119	0.018038	0.0175652	0.0284934	0.0299996	0.0243206	0.0291002	0.0207916	0.0332023	0.0181686	0.0127097	0.0149208	0.0136555	0.0142773	0.0115866	0.017361	0.00923509	0.0115844	0.00710755	0.00657633	0.00938708	0.0159193	0.0146328	0.0174955	0.0227667	0.0272588	0.0387526	0.035829	0.0405583	0.0405326	0.0572668	0.0564291	0.05226	0.0628027
enfant	0.0115746	0.0123886	0.00983785	0.0104364	0.0088038	0.00882103	0.0111827	0.0120777	0.00912708	0.0069017	0.00786373	0.00559196	0.0121643	0.0190421	0.0212082	0.0254062	0.042845	0.0301113	0.039475	0.0310015	0.0272075	0.0226112	0.0196085	0.0204556	0.0151413	0.0182664	0.013643	0.0221716	0.0126704	0.018221	0.00871856	0.00774035	0.0108818	0.0152718	0.0168128	0.0185919	0.0255546	0.0275809	0.0445099	0.0366268	0.040837	0.0343867	0.0349865	0.0583699	0.0462011	0.0470719
</S>	0.0162364	0.00800415	0.00915913	0.00519869	0.00489479	0.00401099	0.00247612	0.00203451	0.00278714	0.00166897	0.00361863	0.00210456	0.0150665	0.015271	0.0123	0.0104501	0.0101542	0.00987894	0.0108311	0.00892809	0.00968193	0.0081601	0.00416032	0.00292101	0.00296577	0.00349538	0.0024116	0.00867882	0.0024894	0.00512821	0.00179427	0.00169499	0.00264933	0.00760625	0.0117093	0.011071	0.0227905	0.0384268	0.05337	0.0510751	0.0702441	0.0991015	0.109825	0.125513	0.107731	0.0802318
