 	a66	a87	a23	a83	a18	a75	a85	a47	a85	a5	a12	a61	a21	a92	a37	a61	a83	a9	a87	a23	a18	a44	a4	a58	a53	a56	a44	a34	a75	a85	a92	a37	a21	a5	a36	a27	a82	a87	a23	a87	</S>
avec	0.0577535	0.100924	0.0805483	0.0861248	0.0920638	0.0677209	0.0886739	0.0650296	0.0141667	0.013421	0.00847218	0.00597275	0.00503522	0.00391417	0.00492497	0.00539847	0.00883869	0.01089	0.0110863	0.00889532	0.00798611	0.00968147	0.0112681	0.0104318	0.00871295	0.0132214	0.0243063	0.0179622	0.00977499	0.00398579	0.00645105	0.00505804	0.01069	0.00890742	0.0137416	0.0141424	0.0156064	0.0134353	0.0168692	0.0151757	0.0227372
toute	0.0102752	0.0139297	0.0142496	0.0199492	0.0304328	0.0414587	0.0404981	0.0306759	0.0379063	0.0721134	0.0663191	0.0619696	0.0625533	0.0396682	0.0634761	0.0291879	0.0532506	0.0399577	0.0484977	0.0242715	0.0274622	0.018741	0.0206482	0.0129581	0.00501952	0.00390289	0.00552137	0.00401513	0.00304588	0.00354209	0.0035567	0.00373117	0.0100993	0.0109262	0.00940233	0.00983514	0.0098483	0.0124156	0.00986781	0.00975073	0.00506988
l'	0.0340729	0.0211355	0.0128915	0.0142632	0.0282507	0.0544251	0.0534772	0.0472308	0.0386613	0.0615824	0.0415676	0.053068	0.0385374	0.0343473	0.0395742	0.0194519	0.027043	0.0265604	0.0303343	0.0179391	0.0190009	0.0194353	0.018905	0.0227669	0.0136804	0.00893934	0.00550287	0.00394255	0.00397801	0.00434405	0.0050588	0.00783606	0.0107941	0.0199075	0.024491	0.0258237	0.0176598	0.0241652	0.0227674	0.0241501	0.00243704
ostentation	0.0462509	0.00982411	0.0064922	0.00808747	0.010599	0.00830322	0.015462	0.0113598	0.0240705	0.0167096	0.0230347	0.017693	0.0255699	0.0236777	0.0526018	0.0462471	0.0611607	0.0617863	0.0407043	0.0264182	0.042285	0.0269732	0.0319242	0.027572	0.0274483	0.028255	0.0236959	0.0229621	0.0258312	0.0195997	0.0146922	0.025632	0.0196666	0.014416	0.0148175	0.0157195	0.0161143	0.0203208	0.0141685	0.0169232	0.0149299
dont	0.0275019	0.0251247	0.015293	0.0118943	0.0124337	0.00610922	0.013601	0.00702795	0.00780307	0.0125637	0.0287114	0.0204012	0.0276217	0.0476872	0.0705	0.0420745	0.070953	0.0441126	0.0389293	0.039163	0.0276968	0.025253	0.0290226	0.0319077	0.0216394	0.0146157	0.0229593	0.0180006	0.0243717	0.0301535	0.0293912	0.0238787	0.0259904	0.0125104	0.00774401	0.00735512	0.0108937	0.0090107	0.0159358	0.0128465	0.0293168
tu	0.0433069	0.0308069	0.0176724	0.00928055	0.00824085	0.00603634	0.00911785	0.00686943	0.0129029	0.023311	0.0270964	0.0471692	0.0538498	0.054212	0.0675588	0.0457527	0.0759686	0.0585003	0.0399309	0.0275769	0.0140713	0.0096402	0.0188988	0.0213232	0.0263727	0.0236566	0.025984	0.0270506	0.0224958	0.0195531	0.0134725	0.0138174	0.0203361	0.0131803	0.00896757	0.00947243	0.0128351	0.00692076	0.0131408	0.00760061	0.00604922
fais	0.0482731	0.0315902	0.01709	0.0116156	0.00887527	0.00837709	0.00759632	0.00574736	0.0106002	0.0203124	0.0224385	0.034874	0.0445342	0.0407853	0.0607768	0.0420353	0.0609631	0.058411	0.0541883	0.0340028	0.0170178	0.0132552	0.0209174	0.0248589	0.0250364	0.0196727	0.0182123	0.0173018	0.0139268	0.0162539	0.00930728	0.0156787	0.0200392	0.0260828	0.0145417	0.0217156	0.0246804	0.0156503	0.0260765	0.0130012	0.00368621
montre	0.0296683	0.0215873	0.0123765	0.0083941	0.00813287	0.00660529	0.0056135	0.00415136	0.0078002	0.0141505	0.0200818	0.0201265	0.0278101	0.0243832	0.039501	0.0212125	0.029655	0.0292754	0.0315192	0.0181116	0.0126438	0.00959506	0.0108714	0.017692	0.0240038	0.0184527	0.0251988	0.0331018	0.0246509	0.035224	0.0241424	0.0287668	0.0491255	0.0680592	0.0387759	0.0393723	0.0438554	0.032668	0.0417339	0.0317386	0.0101714
as-tu	0.0336826	0.032414	0.0177626	0.0152818	0.0112334	0.00670597	0.00639555	0.00397436	0.00497574	0.00559206	0.00803548	0.00787895	0.012471	0.0182233	0.022737	0.0196318	0.0212723	0.0259508	0.0238951	0.0219007	0.0177165	0.0124036	0.0172269	0.0183895	0.0231638	0.017346	0.01856	0.0321742	0.0428598	0.0538729	0.0327261	0.0548839	0.0709564	0.0618116	0.0294944	0.0304841	0.0366154	0.0430952	0.0311837	0.023627	0.0113946
vraiment	0.0366981	0.0364987	0.0272934	0.0160181	0.0133313	0.00682273	0.0103796	0.0065321	0.00682543	0.00855026	0.0106088	0.00907824	0.0104728	0.0203508	0.0303268	0.0204502	0.0302387	0.0318692	0.0271764	0.0223183	0.0178524	0.0102304	0.0166169	0.0271261	0.0343738	0.0247273	0.0284173	0.0222773	0.0313255	0.0300751	0.0232078	0.022902	0.0436709	0.0463491	0.0293523	0.0402385	0.0328869	0.0333696	0.0414771	0.0423168	0.0193668
