 	a66	a87	a23	a50	a96	a94	a93	a56	a0	a75	a85	a79	a6	a75	a5	a75	a92	a44	a13	a26	a57	a87	a23	a87	</S>
je	0.0459445	0.0291353	0.022625	0.0222032	0.0124429	0.0083393	0.00708732	0.00572308	0.00489151	0.00658516	0.0108851	0.0057086	0.00909585	0.01301	0.0203998	0.0528709	0.11199	0.110526	0.129683	0.0975102	0.047408	0.0482547	0.0583992	0.0424191	0.0768632
viens	0.0619679	0.0338783	0.0466226	0.041624	0.0221299	0.0159563	0.0154188	0.0149175	0.0297212	0.0436678	0.0413226	0.0379403	0.0431584	0.0319428	0.0395904	0.0444307	0.0358162	0.0417188	0.0461027	0.0714611	0.0657468	0.0597774	0.0368772	0.0461301	0.0320802
de	0.0314592	0.0183293	0.0175501	0.017131	0.0143213	0.0140903	0.0163381	0.01909	0.0195253	0.0209418	0.0193479	0.0181538	0.0188498	0.0158939	0.0215599	0.0329764	0.0459235	0.0988551	0.0789688	0.0854244	0.104376	0.0744837	0.0591162	0.0604399	0.0768539
semer	0.0793136	0.0427619	0.0397073	0.036837	0.0327559	0.0487306	0.0873598	0.0818463	0.043665	0.0180395	0.0209852	0.0447302	0.0357102	0.0214391	0.026676	0.0247808	0.0293679	0.043982	0.0498354	0.0282626	0.0353526	0.0272303	0.0284055	0.0207083	0.051517
l'	0.080363	0.057355	0.0617075	0.0393413	0.0350252	0.02577	0.0301788	0.0344251	0.0266301	0.0160787	0.0184247	0.0350746	0.0414942	0.0273672	0.0338221	0.0234471	0.0270557	0.0447913	0.0387135	0.0582168	0.0671475	0.0538337	0.0468502	0.0361045	0.0407823
oseille	0.0891576	0.0644955	0.0611383	0.0476478	0.0678851	0.0339191	0.029871	0.0436698	0.047011	0.035603	0.0288552	0.0300924	0.0386003	0.0181835	0.0329756	0.026704	0.0398889	0.0402252	0.0726398	0.0340774	0.0277096	0.0217548	0.0195531	0.0184116	0.0299307
dans	0.143645	0.108408	0.0848979	0.0763117	0.0594791	0.0363177	0.0261021	0.0247154	0.0201374	0.0132036	0.0110384	0.0131963	0.0218001	0.0221442	0.031613	0.0286938	0.0383891	0.0323307	0.0433336	0.0354407	0.0284131	0.0367855	0.0260562	0.0260655	0.0114812
mon	0.116424	0.0586247	0.0432285	0.0250917	0.0229959	0.0186518	0.0209653	0.0248588	0.0164185	0.00820312	0.0101278	0.0180883	0.0297625	0.0219876	0.0261987	0.0178201	0.0248705	0.0194074	0.0347114	0.0599306	0.0737677	0.0925554	0.0858603	0.0835257	0.0459239
champs	0.0470829	0.0195158	0.0142825	0.0160174	0.0136917	0.0273572	0.0257166	0.0203585	0.0209381	0.0157595	0.0131264	0.0116426	0.013834	0.00885553	0.0164472	0.0251363	0.0344656	0.0379201	0.0630352	0.0801307	0.087267	0.101133	0.0714189	0.113837	0.101031
</S>	0.0262072	0.00898147	0.00398429	0.00387215	0.0055031	0.00673612	0.005251	0.00559934	0.00308669	0.0018465	0.00194809	0.00123426	0.00531672	0.0032987	0.00740229	0.00818648	0.0129197	0.0220686	0.0362565	0.0659522	0.114964	0.157245	0.137037	0.196893	0.15821
