 	a66	a87	a23	a97	a38	a36	a37	a36	a21	a85	a5	a23	a76	a25	a92	a56	a61	a88	a31	a24	a61	a75	a92	a37	a90	a56	a96	a62	a83	a71	a83	a93	a94	a43	a90	a25	a75	a21	a61	a75	a5	a85	a47	a36	a2	a44	a53	a58	a84	a87	a23	a87	a97	</S>
la	0.038951	0.048737	0.0588162	0.0315114	0.0492105	0.0388202	0.0369368	0.039933	0.0269027	0.0131803	0.0155128	0.0115139	0.0165662	0.0144588	0.0132843	0.0134977	0.0120081	0.0240653	0.0192488	0.0164105	0.0115224	0.0130919	0.0264989	0.0144003	0.0116653	0.015006	0.0179643	0.0173627	0.0161079	0.0121128	0.0123127	0.00830459	0.00953347	0.0106158	0.00848684	0.00754653	0.00642174	0.0175245	0.0133209	0.0152969	0.019515	0.0179287	0.00960303	0.0114295	0.0100408	0.0153367	0.00879713	0.0124479	0.0158266	0.0110414	0.0139368	0.0149697	0.0123793	0.0220857
cour	0.00411383	0.0127561	0.0316578	0.0396078	0.052267	0.0305849	0.0712669	0.0711617	0.147555	0.049133	0.0367542	0.0115028	0.0236157	0.0221914	0.0288335	0.0173709	0.0327631	0.0225147	0.0210349	0.0254967	0.0609487	0.0161328	0.00823273	0.0147205	0.00987539	0.00748373	0.00450538	0.00995549	0.0120829	0.0183258	0.0106156	0.0123433	0.0113649	0.00956326	0.00437474	0.00405825	0.00268585	0.00155533	0.00312728	0.00350045	0.00229965	0.00322776	0.00307067	0.00225768	0.00284577	0.00265067	0.000884639	0.000798169	0.000411045	0.00063811	0.00058375	0.000831048	0.000917239	0.000949068
de	0.0232374	0.0186965	0.0159044	0.0107647	0.016663	0.0138781	0.0221921	0.0212436	0.0197329	0.0138729	0.0132428	0.011463	0.0195153	0.0184794	0.0234091	0.0235101	0.0243984	0.0297321	0.0337317	0.0332662	0.0242825	0.0349798	0.0373384	0.0445892	0.0401754	0.032523	0.0368953	0.0255375	0.0265574	0.0142093	0.0163787	0.01819	0.00990401	0.00614339	0.00728842	0.00513826	0.00596273	0.00251396	0.00303483	0.00250435	0.00524996	0.0064072	0.004821	0.0138012	0.0132547	0.0198651	0.0173705	0.0183826	0.0104145	0.0195282	0.021446	0.0187646	0.0166109	0.0130033
l'	0.0250698	0.0272112	0.0167908	0.0237834	0.00970365	0.0109976	0.0194277	0.0164433	0.0189739	0.0117686	0.0193031	0.0142664	0.0159148	0.0136025	0.0150074	0.016019	0.0225526	0.0234642	0.0227478	0.0225882	0.0250295	0.0215976	0.0211112	0.0257511	0.0177322	0.0204234	0.0180341	0.0226128	0.0210988	0.0233115	0.0245443	0.020864	0.0153487	0.0196675	0.0169322	0.0210872	0.0196884	0.0274221	0.0180528	0.0213532	0.0210576	0.0175967	0.0150392	0.0118535	0.0124478	0.0186665	0.0134759	0.0164369	0.0139388	0.0127164	0.0163225	0.0123978	0.0148254	0.0159266
école	0.0193525	0.0106048	0.0101344	0.0152239	0.00821037	0.010569	0.00585566	0.00728705	0.00493835	0.00942975	0.0140172	0.0126606	0.0143856	0.0251559	0.020831	0.0239737	0.0229408	0.0208813	0.0347128	0.031012	0.038293	0.021213	0.0177528	0.0318284	0.0240579	0.0322318	0.0229543	0.0266207	0.0288777	0.0306273	0.0384943	0.0324115	0.0405378	0.0441926	0.042882	0.0327305	0.0211143	0.0481671	0.02218	0.0184793	0.0130803	0.0101985	0.00590611	0.00279709	0.00268497	0.00370413	0.002747	0.00342544	0.00184549	0.00297227	0.00356837	0.00306552	0.00285906	0.00332316
est	0.0143428	0.00954751	0.00851999	0.00730959	0.00800875	0.00718088	0.00578278	0.0063851	0.00637769	0.0117885	0.0147723	0.0166638	0.0258985	0.0359626	0.0472208	0.057851	0.0602449	0.0569828	0.0561622	0.0554276	0.0447246	0.042723	0.0312651	0.036381	0.0294708	0.027877	0.0259516	0.027771	0.0210878	0.021122	0.015358	0.0168833	0.0124313	0.00839631	0.00661726	0.00438438	0.00417653	0.00195364	0.00229202	0.0018992	0.00232297	0.00342902	0.00259873	0.0033454	0.00477151	0.0058004	0.00798162	0.00792352	0.00748979	0.00907939	0.0148321	0.00888243	0.0105027	0.0158448
humide	0.0120987	0.00663768	0.00714308	0.010129	0.0105415	0.00828648	0.00536056	0.00834144	0.00728137	0.0112508	0.0126726	0.0121074	0.0168208	0.0220799	0.0321067	0.0331128	0.0484356	0.0507198	0.0486119	0.0460434	0.0577847	0.0359392	0.0342759	0.0585169	0.0456949	0.0371995	0.0347998	0.0331911	0.0254894	0.0219295	0.0156225	0.0208767	0.0119915	0.0101059	0.0114989	0.00753278	0.00745766	0.00399457	0.00472537	0.00403349	0.00563543	0.00860872	0.00573695	0.00755173	0.00933674	0.0082159	0.0104562	0.00893353	0.00589077	0.00698548	0.00790045	0.00588382	0.00846407	0.00795831
à	0.02928	0.0235205	0.0194816	0.00713976	0.00672772	0.00582376	0.00855063	0.00693369	0.00925238	0.0075559	0.0131649	0.0137289	0.0193648	0.0170605	0.0218561	0.0393601	0.026408	0.0201408	0.0265802	0.0280937	0.0224376	0.0305571	0.0215981	0.0265454	0.0200543	0.0138989	0.0185731	0.0257532	0.0134194	0.0175824	0.0103026	0.0132877	0.0150678	0.0161706	0.0153819	0.0128738	0.0126112	0.0130917	0.00842476	0.00858928	0.00668686	0.0103387	0.0067648	0.00930256	0.018613	0.0134584	0.0308688	0.0283834	0.0204144	0.0347564	0.038343	0.0295995	0.0309883	0.0352374
cause	0.0164941	0.0143862	0.00997941	0.00855737	0.00755836	0.00953783	0.00633555	0.00506722	0.00440252	0.00479868	0.0133352	0.0134854	0.02706	0.0357893	0.0464639	0.0719937	0.0696667	0.050257	0.0565354	0.0519678	0.0242564	0.0281239	0.0205868	0.0250461	0.0234489	0.0201976	0.0290116	0.0353213	0.0156112	0.0140696	0.0117785	0.0120807	0.0144331	0.0114729	0.011935	0.00965498	0.00819972	0.0113206	0.0070433	0.00856458	0.00642823	0.0069752	0.00646299	0.00843595	0.0115558	0.00879561	0.010814	0.00983575	0.00668583	0.0120494	0.0128217	0.00953844	0.0109796	0.012793
de	0.0266896	0.0189932	0.0143048	0.00847433	0.0096262	0.00717287	0.00466399	0.00457645	0.00494789	0.00632986	0.00993414	0.0127159	0.0172826	0.0200783	0.0270511	0.0286522	0.030165	0.031549	0.0304365	0.0296578	0.0179837	0.0219746	0.023663	0.0205221	0.0231107	0.0217129	0.0220942	0.0209629	0.0128965	0.00757975	0.0095144	0.00850319	0.00996769	0.00927389	0.0125184	0.0122042	0.013401	0.012424	0.00850121	0.00969307	0.0131849	0.0121837	0.0109934	0.021449	0.0228762	0.0231693	0.0324636	0.0380403	0.0221328	0.0332511	0.0312531	0.0322157	0.0316209	0.0333628
