 	a15	a66	a87	a23	a3	a38	a88	a71	a90	a79	a25	a79	a7	a75	a5	a12	a43	a54	a7	a44	a4	a57	a27	a10	a87	a23	a87	</S>
j'	0.058206	0.0373249	0.0278587	0.037836	0.0287206	0.0231814	0.0165901	0.0129873	0.0133871	0.0207857	0.0366682	0.0300333	0.0348805	0.0151502	0.0152088	0.012177	0.00686216	0.0268212	0.0402114	0.0539948	0.0687316	0.0512867	0.0286129	0.0434378	0.0366862	0.0427448	0.0626797	0.116935
ai	0.0443882	0.0402425	0.0366176	0.0325127	0.0249922	0.017466	0.0175783	0.0126148	0.0107061	0.0235016	0.0303945	0.0344318	0.0388247	0.04741	0.0309111	0.0764814	0.0375174	0.0495901	0.049297	0.0497186	0.0440247	0.0320509	0.0315213	0.0375502	0.0302917	0.0382227	0.0423378	0.0388039
abattu	0.0321115	0.019525	0.0231825	0.0214797	0.0171533	0.0156569	0.0120496	0.012857	0.0147447	0.0316777	0.0616371	0.0882066	0.0455721	0.0495716	0.0259286	0.0202762	0.0168565	0.0273972	0.0291463	0.0304631	0.035356	0.0481102	0.0457646	0.0591287	0.0510578	0.0580221	0.0624556	0.0446118
l'	0.0401683	0.0180867	0.0151663	0.0105533	0.0175388	0.0207345	0.0204966	0.0331967	0.0172601	0.0171947	0.0174739	0.0179079	0.047274	0.0545881	0.0614669	0.0409771	0.0405211	0.0451861	0.0444165	0.0642388	0.0633059	0.0303038	0.0557425	0.0576961	0.0254236	0.0534985	0.0453794	0.0242039
arbre	0.0228931	0.0193195	0.0231219	0.0182409	0.0247105	0.0232705	0.0181095	0.0125104	0.0101833	0.0138121	0.0228713	0.0449169	0.0805576	0.139156	0.161065	0.0715914	0.028879	0.0295534	0.040909	0.0321235	0.0383832	0.0197759	0.0331178	0.0280132	0.0110186	0.0141762	0.00975506	0.00796529
otsányii	0.0850769	0.0655961	0.0515507	0.0368526	0.0309555	0.0336413	0.0141972	0.00993993	0.00878019	0.00909146	0.012201	0.0402904	0.0224794	0.024896	0.0307563	0.0269902	0.0204367	0.0239012	0.0332994	0.0292016	0.0357888	0.0501754	0.048924	0.0523534	0.0684748	0.0419514	0.0405355	0.0516625
dans	0.0971555	0.0563568	0.0281834	0.0262276	0.0175063	0.00757857	0.00498586	0.00389304	0.00619228	0.0101411	0.014141	0.0339562	0.0139097	0.0257646	0.0300668	0.0181098	0.0322242	0.0398526	0.0569105	0.0463483	0.0618024	0.0552375	0.0663519	0.0720729	0.0598728	0.0469633	0.0384316	0.0297635
mon	0.048934	0.0297935	0.0222365	0.0179121	0.0143911	0.00959411	0.0115524	0.0130133	0.0176121	0.0208592	0.0269802	0.0457703	0.0308585	0.0362622	0.0762929	0.0268006	0.0301214	0.0271215	0.022811	0.0170297	0.028053	0.0687518	0.0454404	0.0510401	0.0704351	0.055287	0.0485583	0.0864879
champ	0.0786072	0.0443243	0.0310742	0.0223939	0.0173916	0.0199129	0.0209796	0.0156686	0.0101327	0.00442405	0.00489726	0.0106672	0.0087603	0.0114156	0.0273352	0.0170623	0.0202682	0.022232	0.018767	0.028197	0.0327118	0.0752734	0.0498481	0.0615111	0.0719093	0.0851338	0.0631229	0.125978
</S>	0.0470723	0.0224053	0.011991	0.00904599	0.00719596	0.00651562	0.0055354	0.00382887	0.00289099	0.00291244	0.00523243	0.00468203	0.00336773	0.00336222	0.00879938	0.00587527	0.012749	0.021549	0.0261175	0.0367618	0.0482926	0.11019	0.0943518	0.108623	0.11999	0.0934535	0.113084	0.0641248
