 	a66	a87	a23	a30	a13	a93	a34	a93	a34	a75	a21	a12	a47	a34	a56	a44	a57	a9	a87	a23	a87	</S>
c'	0.0983604	0.126696	0.143244	0.049627	0.0254228	0.0361331	0.0158286	0.0222376	0.0159979	0.00779835	0.00621076	0.00961904	0.010649	0.0194918	0.0296662	0.0381932	0.0529696	0.0476262	0.0634159	0.0566	0.0431927	0.0810206
est	0.0628999	0.0487659	0.0299873	0.03882	0.0263837	0.0184326	0.02662	0.0191532	0.0185552	0.0274689	0.0709487	0.051441	0.0369962	0.0352121	0.055414	0.0367338	0.055476	0.061619	0.0758436	0.0656606	0.0944237	0.0431446
vraiment	0.0424452	0.0366609	0.0321556	0.00797424	0.00356405	0.00545253	0.00789632	0.00615083	0.00723628	0.0109629	0.0139732	0.0216092	0.0152086	0.0192473	0.0291505	0.0269649	0.0551684	0.102528	0.121224	0.129785	0.184638	0.120004
toi	0.135642	0.0585554	0.0182471	0.0165249	0.014694	0.0233383	0.0264838	0.0327312	0.0309555	0.037697	0.0313082	0.0368302	0.0405269	0.095355	0.131577	0.0778109	0.0467147	0.0460835	0.0225039	0.0239223	0.0230726	0.0294259
qui	0.114236	0.0634282	0.0282049	0.0203328	0.0132514	0.0259206	0.0336063	0.0371909	0.0155762	0.0149845	0.0239016	0.0216383	0.0189085	0.0457419	0.0441537	0.0298155	0.0383356	0.0628458	0.0619455	0.0736766	0.149671	0.0626342
te	0.164371	0.105957	0.0581684	0.0277359	0.0254848	0.0417483	0.0764688	0.0705282	0.0300882	0.014341	0.0078899	0.00766345	0.0104065	0.0216119	0.0154268	0.0167645	0.0221325	0.0391228	0.052216	0.0494732	0.10307	0.0393305
prosterne	0.0956386	0.0657609	0.0503513	0.0363528	0.0358092	0.0727408	0.103796	0.0713599	0.0511056	0.0379234	0.0376738	0.0246046	0.0426845	0.0341873	0.0231968	0.0208126	0.0165344	0.0238271	0.0278919	0.0294835	0.0690863	0.0291787
devant	0.0642122	0.0443372	0.0348405	0.0111021	0.00509879	0.00439272	0.00587215	0.00580174	0.00807957	0.0103712	0.0237271	0.0218123	0.0247698	0.0478751	0.0587374	0.0318172	0.0588293	0.0801369	0.0966119	0.0858248	0.171191	0.104559
le	0.0415776	0.0322445	0.0358751	0.0130773	0.00878796	0.00959281	0.00806757	0.010679	0.0126932	0.0146122	0.0236639	0.019457	0.024142	0.0325903	0.0337484	0.0407676	0.0501609	0.0824112	0.109413	0.101686	0.103356	0.191396
chef	0.0617898	0.0518211	0.033471	0.0153288	0.0208084	0.0311095	0.0254214	0.0185765	0.013045	0.014958	0.0261136	0.0193443	0.0193068	0.0447272	0.0620439	0.0651904	0.0583354	0.0736321	0.086023	0.0860049	0.101933	0.0710156
traditionnel	0.0341246	0.0296251	0.029143	0.0094173	0.00634224	0.00660697	0.00466571	0.00300593	0.00223564	0.00333677	0.0106024	0.00695177	0.00929966	0.02372	0.0403512	0.0395188	0.0557327	0.0853044	0.119722	0.128194	0.120039	0.23206
</S>	0.0323592	0.0198158	0.0201831	0.0128425	0.0113512	0.00813048	0.00502079	0.0033997	0.00266897	0.00410852	0.0105478	0.00632431	0.00670248	0.0233218	0.0402729	0.0384576	0.0700137	0.0878188	0.106825	0.107403	0.140733	0.241699
