 	a66	a87	a23	a18	a9	a53	a90	a93	a4	a94	a62	a75	a92	a37	a96	a75	a5	a23	a75	a47	a37	a54	a92	a61	a62	a88	a50	a88	a50	a88	a71	a70	a75	a79	a44	a13	a26	a57	a97	a87	a23	a87	a23	a87	</S>
le	0.0261851	0.0543107	0.0746645	0.061221	0.0575508	0.0245309	0.0393803	0.0346121	0.0706333	0.034465	0.0220633	0.0173256	0.0200524	0.0160055	0.0195238	0.0119634	0.0214463	0.0248863	0.0276412	0.0246658	0.0178909	0.0232531	0.0158488	0.025756	0.0151116	0.0117406	0.0178329	0.0213042	0.0223293	0.00997954	0.00895697	0.0114702	0.0110582	0.00648765	0.0094058	0.0107323	0.00712024	0.00548929	0.0088423	0.00742377	0.00770569	0.00542655	0.0066311	0.00660644	0.0224696
manioc	0.00207589	0.00570096	0.0150638	0.0109423	0.0229823	0.0125673	0.037811	0.0333811	0.0673661	0.0728128	0.0541199	0.0758315	0.101909	0.0398657	0.0493651	0.0524705	0.0411686	0.041941	0.0369828	0.0451799	0.0331275	0.0458727	0.023843	0.0123567	0.00757552	0.00636924	0.00675895	0.0040607	0.00320818	0.00295373	0.00365685	0.0035473	0.00285146	0.00190339	0.00181764	0.00188488	0.00172793	0.00120459	0.00195042	0.000983646	0.00247056	0.00135646	0.00233958	0.00399557	0.00264639
que	0.0170477	0.0171139	0.0246479	0.0393082	0.0386209	0.0597695	0.0511406	0.0534105	0.104611	0.0975346	0.129511	0.0754155	0.0447292	0.0288371	0.0328805	0.0429166	0.0236278	0.0180758	0.0143991	0.01372	0.0125082	0.0116237	0.00690228	0.00544473	0.00362553	0.00322151	0.00375899	0.00227331	0.00150131	0.00176445	0.000702101	0.00231446	0.00142742	0.000912643	0.00169084	0.000627197	0.000911736	0.000754634	0.000991497	0.000412798	0.00105756	0.00145376	0.00171826	0.00397938	0.00110466
ma	0.0543744	0.0271266	0.0397907	0.0606437	0.0734733	0.0767987	0.0423427	0.0304249	0.0271549	0.0253588	0.028487	0.0280247	0.0286888	0.0353604	0.0367014	0.0279762	0.0231349	0.0233288	0.0184725	0.0182751	0.0174477	0.00998946	0.0145662	0.0119394	0.00718941	0.00544373	0.00769735	0.00743036	0.00391972	0.00398361	0.00317715	0.0049471	0.00467054	0.00510384	0.00617891	0.00737872	0.00621338	0.0063298	0.0109564	0.010807	0.016995	0.01117	0.0173966	0.0265763	0.0465542
tante	0.0326327	0.0412699	0.0238461	0.033657	0.0526648	0.0378529	0.0276272	0.0213691	0.00826869	0.0146445	0.01824	0.0289353	0.0228756	0.0344912	0.0324462	0.0410299	0.0193808	0.0204487	0.0163018	0.0146514	0.0186938	0.0179066	0.0171169	0.0163233	0.017182	0.0218382	0.0233794	0.0253263	0.026239	0.020596	0.0206103	0.0270907	0.0300832	0.0113641	0.012541	0.00944236	0.014077	0.00790711	0.0133559	0.0098278	0.015056	0.015433	0.0176247	0.0332939	0.0150577
paternelle	0.0297969	0.0203266	0.0223056	0.0269395	0.0263811	0.0425295	0.0264118	0.0152752	0.00948303	0.018855	0.0263741	0.0302739	0.031375	0.039067	0.0449558	0.0534992	0.0311262	0.0304235	0.02437	0.0147508	0.0151065	0.0102791	0.0100101	0.00869684	0.00540709	0.0098053	0.0153489	0.0130335	0.00708283	0.0102975	0.00824548	0.00909653	0.0146376	0.0153358	0.0213405	0.0243399	0.0216353	0.0194891	0.0270622	0.0173816	0.0280563	0.0186271	0.0243355	0.0383406	0.0424891
a	0.0407945	0.0190188	0.0222846	0.0222599	0.0169152	0.0257228	0.0203808	0.0170526	0.0160883	0.0239704	0.035298	0.0315415	0.030281	0.0473721	0.0357801	0.035642	0.0289711	0.0236472	0.0254384	0.015588	0.0143707	0.0113071	0.011774	0.0114	0.0100241	0.0128367	0.0170306	0.0191738	0.0104674	0.0153865	0.0125024	0.0109108	0.0155846	0.0124429	0.0184515	0.0213412	0.0195853	0.0164048	0.0214841	0.020419	0.0268513	0.0189829	0.0331818	0.0399969	0.0440421
préparer	0.025951	0.0205681	0.0280717	0.0323355	0.0323035	0.0423775	0.034808	0.0185814	0.0168042	0.017294	0.0235819	0.0177191	0.0164197	0.0214651	0.0181882	0.0222144	0.0217496	0.0173456	0.0203946	0.0140278	0.0104718	0.00603122	0.00643314	0.00854027	0.00734145	0.0111124	0.0120909	0.0136089	0.0134692	0.0250517	0.0174766	0.0195801	0.033111	0.0369661	0.0331267	0.0258824	0.0328879	0.0186894	0.0276552	0.0225464	0.0310421	0.0251103	0.0275174	0.0403896	0.0316672
s'	0.0297929	0.0249826	0.0184854	0.0185006	0.0175861	0.0204069	0.0174278	0.0189218	0.0159958	0.0255695	0.0194311	0.0263992	0.024988	0.030141	0.025112	0.0221817	0.0232778	0.0220802	0.0241389	0.0177517	0.0136728	0.010383	0.00852102	0.00822141	0.00831546	0.0078423	0.00667893	0.0147874	0.0179974	0.0171922	0.0197729	0.0109541	0.0259003	0.0204043	0.0292228	0.0249216	0.0269828	0.0154044	0.0337439	0.0340859	0.0312658	0.0241965	0.0380609	0.0561199	0.0521812
est	0.0491534	0.0436658	0.0388244	0.0386422	0.0372361	0.0418073	0.0351203	0.0278353	0.0266316	0.0282858	0.0298995	0.0317053	0.0317896	0.0336861	0.0293468	0.0264579	0.0248528	0.0190218	0.0198202	0.0155529	0.0131282	0.00974548	0.00799863	0.00779165	0.00817009	0.0068163	0.0074332	0.0116398	0.0141982	0.0115019	0.00911643	0.0101491	0.0143467	0.00915369	0.0130077	0.0136557	0.0182984	0.0113015	0.0185876	0.0224156	0.0196695	0.0197634	0.0235775	0.0286444	0.0405541
