 	a66	a87	a23	a99	a24	a31	a12	a75	a79	a25	a56	a76	a25	a56	a25	a69	a90	a92	a44	a94	a71	a82	a87	a23	a87	</S>
je	0.0976134	0.0415223	0.0510891	0.0327149	0.0243163	0.0186266	0.0115549	0.00770496	0.0100957	0.0135335	0.00942592	0.0106397	0.0117845	0.00847946	0.00764156	0.0241246	0.0283066	0.0369426	0.0568995	0.102381	0.0631523	0.0751532	0.0838444	0.0593389	0.0610892	0.0520249
m'	0.0465595	0.0323631	0.0309583	0.0403705	0.0457003	0.0435593	0.0396756	0.0479398	0.0165405	0.0469417	0.0350537	0.0347546	0.0245488	0.0323168	0.0281952	0.0293409	0.0570304	0.023036	0.0291416	0.0348879	0.0402514	0.0395216	0.0415189	0.0382635	0.0562522	0.0652777
en	0.0417058	0.0453044	0.0397877	0.042464	0.0343868	0.0276637	0.0189798	0.00993308	0.00662522	0.0144203	0.0136203	0.00919578	0.0114026	0.0135	0.0172399	0.0170789	0.0262604	0.0389601	0.04115	0.0618355	0.0434172	0.0624949	0.057541	0.0681104	0.101314	0.135608
vais	0.0239868	0.0171546	0.00673811	0.0193596	0.0241605	0.0218431	0.0554869	0.0979968	0.149112	0.220608	0.138012	0.110524	0.0561939	0.0291778	0.00420486	0.00231825	0.002279	0.00125864	0.00153338	0.00323364	0.00314141	0.0028224	0.00225425	0.00158753	0.00206307	0.00295007
rester	0.205978	0.0957288	0.0930626	0.102275	0.0667221	0.0300102	0.0233267	0.0128439	0.0192083	0.018218	0.00949864	0.0116976	0.0101577	0.0101001	0.00714308	0.00766327	0.00991169	0.0139587	0.0142388	0.0215647	0.0215244	0.0264932	0.0292945	0.0244572	0.039122	0.0758013
avec	0.153076	0.0684667	0.0663257	0.0537775	0.0279663	0.0154158	0.0113318	0.00786904	0.00788212	0.00344424	0.00329278	0.00325715	0.00430772	0.00726653	0.00689485	0.00826456	0.0125113	0.017559	0.0299635	0.0402047	0.0444901	0.0508984	0.0575909	0.0437779	0.126187	0.127978
le	0.100479	0.0810207	0.0601912	0.0789704	0.0487893	0.0426416	0.0249119	0.0247446	0.0124505	0.0106319	0.00847164	0.00930857	0.0178289	0.0226348	0.0220655	0.0181443	0.0199881	0.0317254	0.040644	0.0364921	0.0343025	0.0428892	0.037614	0.0477008	0.0802147	0.045144
malade	0.0566737	0.0246483	0.0151294	0.0207087	0.0129798	0.00971487	0.00619515	0.0049116	0.00469112	0.0033656	0.00424113	0.00429849	0.00826925	0.00940935	0.00889931	0.0175911	0.0241346	0.0299689	0.0611953	0.0693872	0.0746905	0.108283	0.0798002	0.113932	0.123842	0.10304
pour	0.0474899	0.0191495	0.0152188	0.0122095	0.00910003	0.00567811	0.00392916	0.00374777	0.00458257	0.00330843	0.00364965	0.00412225	0.00501248	0.00602166	0.00623206	0.0162712	0.0241681	0.0283831	0.0674119	0.0711198	0.0815889	0.0907019	0.0742347	0.100651	0.135769	0.160248
le	0.0437084	0.0210496	0.0130367	0.0172646	0.00989112	0.00462404	0.00265631	0.00302266	0.00306998	0.00272553	0.00369673	0.00547453	0.0086251	0.0151359	0.014134	0.0255933	0.0275158	0.0485729	0.090571	0.0762538	0.0612222	0.0991333	0.0608829	0.100653	0.127212	0.114275
détendre	0.0267466	0.0130382	0.00971232	0.0109622	0.00742398	0.00496719	0.00254736	0.00260201	0.00131073	0.00160781	0.0022322	0.00370431	0.0100881	0.0107574	0.0108548	0.0160059	0.0249331	0.039133	0.0758831	0.0670025	0.098899	0.112937	0.0935875	0.108752	0.127617	0.116695
</S>	0.0254225	0.00986192	0.00680706	0.00929287	0.00513333	0.00465905	0.00266942	0.00378428	0.00220921	0.00340605	0.00297181	0.00483651	0.00814917	0.00757295	0.00594326	0.0202312	0.0239377	0.0333321	0.0532593	0.0817696	0.0898783	0.128231	0.100154	0.130593	0.112395	0.1235
