 	a66	a87	a23	a13	a53	a15	a79	a21	a12	a96	a18	a88	a62	a21	a5	a56	a43	a96	a44	a75	a6	a37	a6	a36	a2	a57	a87	a23	a13	a38	a26	a70	a56	a92	a37	a85	a37	a6	a36	a27	a57	a87	a23	a99	a26	</S>
si	0.0392207	0.0334521	0.0241008	0.0268778	0.0770932	0.0775717	0.0716793	0.075221	0.0607304	0.0465021	0.0435413	0.0131969	0.018627	0.00879583	0.0118714	0.00965202	0.0081035	0.0105352	0.00784157	0.00740755	0.00537278	0.0086964	0.0060124	0.00555792	0.00469116	0.00530574	0.00432049	0.00552777	0.00456205	0.00506217	0.00587285	0.0063401	0.0054194	0.0067998	0.0112094	0.0100823	0.0133025	0.0207925	0.0244959	0.0279898	0.0179756	0.023813	0.0283175	0.017587	0.0224697	0.0304023
je	0.0065382	0.00972991	0.0114124	0.00432379	0.0094075	0.0220716	0.0132124	0.0142151	0.00950799	0.00873298	0.0233479	0.006124	0.0100294	0.0142087	0.0266344	0.0159232	0.0179449	0.0204007	0.0360222	0.0365047	0.0286581	0.0412964	0.0519028	0.060683	0.0453701	0.022289	0.0189351	0.0149966	0.00960697	0.00537233	0.00853186	0.00990654	0.00736214	0.00950404	0.0171723	0.0234877	0.0387759	0.0336406	0.0233939	0.0292371	0.0253049	0.0325149	0.0259285	0.0302946	0.0522744	0.0172683
vends	0.019502	0.0135257	0.0087759	0.00614595	0.00445739	0.00325531	0.00883045	0.0290948	0.0183216	0.0259894	0.0530066	0.0226253	0.0330832	0.0419725	0.0397574	0.0442648	0.0353254	0.032881	0.0449045	0.0377108	0.0471588	0.0723962	0.0435484	0.0436646	0.0300613	0.0108473	0.00687097	0.0081275	0.00577713	0.00314845	0.00474362	0.00729646	0.00476789	0.00298497	0.00394162	0.00631932	0.00895036	0.017886	0.00940457	0.0225653	0.0134743	0.0191712	0.0152452	0.010337	0.0333323	0.0245492
ma	0.116025	0.07778	0.0319547	0.0192949	0.00726041	0.00498374	0.00686734	0.00672575	0.00662095	0.00597476	0.0125016	0.0166082	0.0132399	0.0273198	0.0228805	0.0184929	0.0159999	0.0153011	0.018009	0.0256975	0.0172325	0.0218781	0.0128625	0.0104198	0.00876247	0.00879982	0.00999995	0.00937471	0.00438591	0.00384759	0.00880367	0.00584321	0.0114605	0.0291223	0.0263668	0.0297675	0.027988	0.0431481	0.0306221	0.0183247	0.0262392	0.0376102	0.0282452	0.0306899	0.0406267	0.0280409
parcelle	0.0118023	0.00521326	0.00411813	0.0034368	0.0055429	0.00445121	0.00218253	0.00226897	0.00170758	0.0016951	0.00449348	0.0149267	0.0124459	0.0539527	0.0181527	0.0443535	0.075281	0.0672185	0.0758963	0.0841827	0.0719791	0.0664483	0.0455848	0.0390489	0.0337569	0.0277257	0.0192841	0.0199049	0.0142164	0.00996163	0.0141245	0.0138759	0.00888039	0.00646921	0.00578005	0.00812471	0.00929077	0.0105443	0.00744857	0.00861008	0.00578776	0.0101157	0.0133571	0.00867597	0.0132	0.0144819
qui	0.0227642	0.013405	0.0126893	0.00746345	0.00722685	0.00559844	0.00640774	0.0186057	0.0143186	0.010135	0.0235488	0.0347474	0.0394762	0.0971401	0.0447721	0.0531068	0.0679449	0.0701117	0.0851657	0.0540771	0.0651083	0.0781617	0.036939	0.0154315	0.00765872	0.00912411	0.00476798	0.00377051	0.00402222	0.00449679	0.00605343	0.00454703	0.00440994	0.00338282	0.00400363	0.00269779	0.00337938	0.00494994	0.00496673	0.00721514	0.00565607	0.00790291	0.0062104	0.00463618	0.00504877	0.006754
boudera	0.0545324	0.0376559	0.0164096	0.00595084	0.00729448	0.00412146	0.0075814	0.0204356	0.0174231	0.0161804	0.0247574	0.026779	0.0322498	0.0412382	0.0310084	0.0329851	0.0355959	0.0393286	0.0430725	0.0491335	0.0339918	0.0509321	0.0225874	0.0173878	0.0124051	0.0142292	0.00726177	0.00740934	0.00843913	0.00560834	0.00687664	0.00680009	0.0069112	0.0101222	0.0160423	0.0128268	0.0133311	0.0194369	0.0103567	0.0237567	0.0224919	0.0260592	0.0291087	0.0228787	0.0333741	0.015641
contre	0.0496853	0.0538681	0.0286823	0.0263848	0.0167688	0.0149593	0.0166421	0.0230807	0.0162655	0.0130398	0.0270181	0.0143211	0.0322289	0.046985	0.0317186	0.0456101	0.0364006	0.0290526	0.028474	0.0186206	0.024775	0.0403755	0.013568	0.00863708	0.00471811	0.00301502	0.00163938	0.00190007	0.00285921	0.00483867	0.00963365	0.0132424	0.0123093	0.0141405	0.0115255	0.0124728	0.0140416	0.0170647	0.020673	0.0333072	0.0234683	0.033569	0.0219463	0.0162419	0.0379339	0.0322977
moi	0.0315686	0.0288324	0.0244635	0.014833	0.00999914	0.00697984	0.0114138	0.0181988	0.0163104	0.0159532	0.0248972	0.0100004	0.0160686	0.0292213	0.0250079	0.0440501	0.0324959	0.0283906	0.0303267	0.0205014	0.0202537	0.0212104	0.0101835	0.0116908	0.00566164	0.00393239	0.00319729	0.00374616	0.00521351	0.00632673	0.0106354	0.0183318	0.0143195	0.0148359	0.0180178	0.0188406	0.0256612	0.0294466	0.0326113	0.0474236	0.0376405	0.0325662	0.0364631	0.0335918	0.0447166	0.0539695
</S>	0.0414676	0.0283925	0.0234288	0.0113085	0.00510878	0.00452987	0.00516339	0.0078718	0.00650277	0.00696997	0.0132458	0.00591942	0.00909775	0.015176	0.0129909	0.0239641	0.0169047	0.017445	0.0173365	0.0153257	0.0139187	0.0146325	0.00903025	0.0106498	0.00459087	0.00312126	0.00235356	0.00272228	0.00311217	0.00484741	0.0109161	0.0191264	0.0241745	0.0367866	0.0473467	0.0389294	0.0386123	0.0451606	0.0384124	0.0473699	0.044199	0.0477629	0.0530675	0.0406848	0.0484538	0.0618682
