 	a23	a87	a40	a36	a24	a31	a12	a0	a21	a85	a5	a18	a24	a0	a96	a98	a7	a2	a98	a44	a90	a58	a11	a75	a41	a27	a40	a75	a47	a7	a2	a57	a87	a23	a24	a83	a75	a5	a61	a70	a61	a21	a5	a21	a37	a27	a53	a90	a25	a56	a75	a66	a61	a88	a71	a93	a70	a83	a54	a36	a26	a57	a87	</S>
les	0.0315143	0.0307553	0.0186236	0.0159617	0.024014	0.0300792	0.0311316	0.0869073	0.0555974	0.0559574	0.0685132	0.0523474	0.0197038	0.0122234	0.0124284	0.00951585	0.00630895	0.00672924	0.00812929	0.00864054	0.00963636	0.00837176	0.00714995	0.00823121	0.0079292	0.00496246	0.00516643	0.0052886	0.00484199	0.0104316	0.0050176	0.00664223	0.00742299	0.00654347	0.0108681	0.00956558	0.0169865	0.0171784	0.0168823	0.0164622	0.0190856	0.0228997	0.0107331	0.00959583	0.0128529	0.0129959	0.013332	0.00679542	0.0230962	0.0189675	0.0223938	0.0121669	0.00606922	0.00446088	0.00311006	0.00284465	0.0029858	0.00324229	0.00252521	0.00354355	0.00384316	0.00342236	0.00327789	0.00509901
enseignants	0.00754798	0.00910475	0.00651321	0.0197346	0.0432751	0.0559558	0.0427041	0.058539	0.0229555	0.0211933	0.0129439	0.00972895	0.010008	0.0101605	0.0111569	0.00809932	0.0118846	0.0157093	0.029199	0.0446844	0.0384454	0.0438065	0.0386143	0.037785	0.066624	0.0309042	0.0240064	0.017264	0.0207441	0.0182762	0.0168661	0.0122333	0.0198311	0.014151	0.0159144	0.00657142	0.00461675	0.0113994	0.0067522	0.00504598	0.00888753	0.0089185	0.0124346	0.0155004	0.0111936	0.00789004	0.00468932	0.00172804	0.0031478	0.00243421	0.00138683	0.000971088	0.00181385	0.00176729	0.00193081	0.00151027	0.00100624	0.000676342	0.000781782	0.0018569	0.00124507	0.00182718	0.00242864	0.00302388
n'	0.0381494	0.0191347	0.011257	0.0123925	0.0137198	0.0237779	0.0181687	0.0156836	0.0184583	0.0137887	0.0165435	0.0174248	0.00843294	0.0119434	0.00876509	0.0076928	0.0101623	0.0198936	0.0143158	0.0251459	0.0332563	0.0233751	0.0256612	0.0352086	0.0242738	0.0369952	0.0197742	0.0288972	0.0255665	0.0332867	0.0184845	0.0290966	0.0291493	0.0246389	0.0188725	0.0202248	0.0152352	0.0148192	0.0145342	0.0175815	0.00974257	0.0149248	0.00768797	0.0148652	0.00650076	0.00618206	0.0131597	0.0125331	0.0102321	0.00895918	0.00836926	0.00598669	0.0105503	0.00449756	0.0039746	0.00376412	0.00389546	0.00541692	0.00411369	0.00822932	0.00360287	0.00771277	0.00650316	0.00481344
ont	0.148301	0.081785	0.0606025	0.0378868	0.016041	0.0238974	0.0186934	0.0106731	0.0201423	0.0171722	0.0219848	0.0234079	0.014612	0.0126125	0.0108086	0.00914429	0.00988794	0.0117214	0.00931426	0.0100167	0.00980625	0.0111294	0.00923401	0.00895479	0.00980479	0.00708381	0.00881533	0.0067039	0.00822933	0.00917833	0.00686619	0.00757902	0.00677329	0.00653114	0.00778578	0.00558052	0.00693874	0.00704795	0.00753514	0.00790239	0.0186454	0.0182931	0.012566	0.011925	0.0192587	0.0180194	0.0186235	0.0173623	0.0191781	0.0117152	0.0159319	0.0125122	0.0096809	0.00436437	0.00534042	0.00261358	0.00396236	0.00621683	0.0074884	0.0108108	0.0051552	0.0101973	0.00563892	0.00631476
pas	0.0251132	0.0220471	0.0222644	0.0315775	0.0258109	0.0244283	0.0177123	0.0110922	0.0212543	0.0128406	0.00937136	0.013964	0.00778811	0.00836109	0.00956322	0.0101565	0.00984517	0.0149035	0.00758338	0.0100177	0.00824793	0.0172245	0.0131517	0.0155399	0.0151001	0.0128511	0.013018	0.0263038	0.0158989	0.0176714	0.0133122	0.0197693	0.0195214	0.0227032	0.0212485	0.0167894	0.0220272	0.0157271	0.0158325	0.0177454	0.0196599	0.0367017	0.0337681	0.0295571	0.0272344	0.0205986	0.0140753	0.0150372	0.0173761	0.0130572	0.0119084	0.0182022	0.0151532	0.0124596	0.00931481	0.00283104	0.00401845	0.00848609	0.00460586	0.00575088	0.00337665	0.00658235	0.00498615	0.00988015
fait	0.0111445	0.00509344	0.00397597	0.00387418	0.0019223	0.00238183	0.00253528	0.00166276	0.00237402	0.00391594	0.00528249	0.00494386	0.00486416	0.00612484	0.0062403	0.00792083	0.0100943	0.0100517	0.0136664	0.0176132	0.0193214	0.0267354	0.034299	0.0300005	0.0316104	0.0279695	0.0293924	0.0351547	0.0261356	0.020038	0.0196274	0.0326358	0.0289585	0.0401303	0.0395484	0.0370309	0.0328538	0.0215863	0.028177	0.0304587	0.0314747	0.0297143	0.0253303	0.023012	0.0148389	0.0124723	0.00817152	0.00942344	0.00874894	0.00553711	0.00667694	0.00961565	0.00909826	0.00695901	0.00837085	0.00524769	0.00564366	0.00842863	0.00728426	0.0118046	0.00592804	0.00962884	0.00730874	0.0119349
cours	0.0137388	0.0106106	0.00901041	0.00617585	0.00294518	0.00318247	0.00284982	0.00255991	0.00633639	0.0047488	0.00833076	0.0102411	0.00890802	0.0129301	0.0169034	0.0152077	0.0119426	0.0161397	0.0192196	0.0199473	0.0201267	0.0277098	0.0446948	0.0348107	0.0427364	0.0355453	0.0357808	0.0324047	0.0248989	0.0197609	0.0186383	0.0269479	0.0187735	0.0256272	0.0192606	0.0239968	0.0174799	0.0110456	0.012944	0.0166236	0.0183188	0.0170143	0.0113648	0.015076	0.0104379	0.0110339	0.0108253	0.0106539	0.00998274	0.00590898	0.00455576	0.00335797	0.00657861	0.00614487	0.0087296	0.0111514	0.0118284	0.0118824	0.0162158	0.0177122	0.0167822	0.0180851	0.0144532	0.0201708
aujoud'	0.0139569	0.00982649	0.00843326	0.00511534	0.00177466	0.00340133	0.00246118	0.00348565	0.00542825	0.004445	0.0060579	0.00800189	0.00787603	0.0126229	0.0148915	0.0178557	0.0127098	0.0205473	0.0220052	0.0267431	0.0260796	0.035786	0.044723	0.0395084	0.0395675	0.0395183	0.0388227	0.037	0.0306686	0.02812	0.0219206	0.0363668	0.0215368	0.0316005	0.0285045	0.0302218	0.023064	0.0151055	0.0156716	0.0180037	0.0225731	0.0203113	0.01255	0.00953748	0.00713163	0.00597964	0.00642407	0.00561246	0.00675789	0.0050846	0.00351038	0.00338907	0.00463829	0.00342133	0.00533147	0.00494672	0.00652338	0.00503857	0.00628946	0.0102776	0.00697509	0.00907744	0.00756503	0.0116248
hui	0.00848341	0.00821188	0.00537699	0.00248487	0.00138477	0.00283969	0.00237628	0.00403759	0.00439731	0.00411133	0.00597873	0.00771588	0.00384062	0.00776715	0.0099925	0.0168015	0.0124433	0.0216874	0.0257149	0.0250151	0.0286699	0.0338748	0.0447988	0.0371942	0.0326937	0.0380529	0.0305766	0.0424603	0.0350923	0.035288	0.0299236	0.0551533	0.0293143	0.0421321	0.025864	0.0277945	0.0219843	0.0171345	0.016586	0.0198577	0.0148518	0.0122099	0.00803521	0.00810337	0.00519388	0.0051726	0.00439492	0.00675816	0.00678533	0.0065132	0.0053579	0.00473505	0.00504252	0.00375449	0.00524864	0.00508852	0.00742956	0.0064931	0.00625169	0.00919086	0.0101133	0.0129306	0.00919092	0.00604744
parce	0.01342	0.00898227	0.00745403	0.0025595	0.00120104	0.00227327	0.00287881	0.00302103	0.00411787	0.00545299	0.00740426	0.00552224	0.00610945	0.00899666	0.0101672	0.0219771	0.0154425	0.0219642	0.0324611	0.0319863	0.0313687	0.0368788	0.0557826	0.0504187	0.0435763	0.0487215	0.0380197	0.0336925	0.0322001	0.0261996	0.0212456	0.0332023	0.0196682	0.0296062	0.0246171	0.0228069	0.0191639	0.0175366	0.0157555	0.0143129	0.0127615	0.0105055	0.00837272	0.00658406	0.00500419	0.00523463	0.00397924	0.00301292	0.00461923	0.0050111	0.00371133	0.00283091	0.00490558	0.00327754	0.00869739	0.00680464	0.00690019	0.00589675	0.00586648	0.012761	0.0071356	0.0124606	0.0107658	0.0147359
