 	a66	a87	a23	a83	a75	a79	a7	a93	a56	a75	a85	a5	a21	a5	a18	a21	a12	a43	a0	a10	a87	a23	a87	</S>
la	0.0703376	0.0964322	0.0400234	0.0124231	0.0162452	0.0102461	0.00564623	0.0032441	0.00326332	0.00481143	0.00990934	0.0112591	0.0162064	0.0276175	0.042766	0.0357696	0.0546041	0.0592658	0.0436395	0.0671346	0.0623061	0.0854429	0.0766552	0.144751
panthère	0.0394424	0.059101	0.0818583	0.202507	0.138596	0.107104	0.0818937	0.0445909	0.0411291	0.0590951	0.0481662	0.0259627	0.0226848	0.00752433	0.0121138	0.00770988	0.00779513	0.00196527	0.00102785	0.00129706	0.00182214	0.00167241	0.00318374	0.00175765
est	0.0313348	0.0286926	0.0367648	0.0501789	0.0828518	0.153255	0.177993	0.12912	0.0688777	0.0456439	0.0372659	0.0274354	0.0152701	0.00531497	0.0169427	0.0101333	0.0134445	0.00540165	0.0090153	0.00440548	0.0111085	0.00886762	0.0240194	0.00666191
à	0.0134448	0.00497433	0.00824426	0.0140556	0.0239449	0.0567758	0.184094	0.0800243	0.0564467	0.0628696	0.0257963	0.0407222	0.0180469	0.0385098	0.0405256	0.0351781	0.0498586	0.0336919	0.0363713	0.0508688	0.0299468	0.0302427	0.0272216	0.0381452
l'	0.0518792	0.0240855	0.0197539	0.0116994	0.0232405	0.0605617	0.0655159	0.0433912	0.0376312	0.0415406	0.0690777	0.0805065	0.0757692	0.0686366	0.0343528	0.0385503	0.0429017	0.0313753	0.0283216	0.026117	0.0293316	0.031929	0.0322004	0.0316314
affût	0.05719	0.0252527	0.0196233	0.00867466	0.0171794	0.0377316	0.0757753	0.0744234	0.0748402	0.0685764	0.0603183	0.0521301	0.0632965	0.0521647	0.0561215	0.0493479	0.0475216	0.0231963	0.0158049	0.0200246	0.0225486	0.0260102	0.0221187	0.0301291
de	0.0371575	0.0234081	0.0164021	0.00839799	0.0170837	0.0267936	0.0276165	0.0157409	0.0145293	0.0122832	0.0275472	0.0252707	0.0275826	0.0394471	0.0444561	0.0594304	0.066293	0.0624857	0.0801048	0.0736545	0.0625539	0.0645187	0.0718586	0.0953837
la	0.0562918	0.038339	0.0184277	0.0119759	0.0285555	0.0359766	0.0403382	0.0222461	0.0220594	0.0268993	0.0327811	0.0327807	0.0361681	0.0405559	0.0287656	0.0390818	0.0524704	0.0401518	0.0508098	0.0592834	0.0400291	0.0470992	0.083364	0.11555
gazelle	0.0328494	0.0186222	0.0131621	0.00833195	0.0102842	0.0151263	0.0258209	0.0272535	0.0353705	0.0260158	0.0306462	0.0297471	0.0298861	0.031936	0.0366498	0.061187	0.062359	0.0608378	0.0617167	0.0846475	0.0682326	0.080487	0.093564	0.0552661
</S>	0.0382322	0.0349775	0.0142573	0.00792374	0.0190323	0.0370088	0.0398488	0.026503	0.023854	0.0189512	0.0311716	0.0309339	0.0339132	0.0329918	0.0513272	0.0572524	0.0681056	0.069851	0.0546792	0.0483505	0.0463101	0.0532424	0.0569309	0.104351
