 	a66	a87	a10	a87	a97	a99	a54	a15	a47	a36	a43	a31	a88	a71	a75	a5	a0	a21	a98	a15	a25	a79	a44	a98	a92	a79	a75	a12	a18	a62	a21	a92	a90	a79	a56	a44	a96	a37	a98	a47	a36	a2	a57	a87	a23	a87	a97	a99	a10	</S>
ils	0.0244643	0.0259428	0.0262314	0.0374521	0.0225644	0.0274068	0.0329272	0.0756792	0.0480896	0.0695028	0.0930673	0.0355525	0.0214638	0.0186331	0.0151966	0.00854611	0.00762025	0.00862577	0.010246	0.00641873	0.00768809	0.00787886	0.0104454	0.0129169	0.0127957	0.0110725	0.00860554	0.0109652	0.0126749	0.0144511	0.0115465	0.0207905	0.0258479	0.0175016	0.0119267	0.00553627	0.00723735	0.00704785	0.00649838	0.00627726	0.00958087	0.00827061	0.0146318	0.00758806	0.0151674	0.0114121	0.0133106	0.0174785	0.0238525	0.0333724
ont	0.012566	0.0105911	0.0119169	0.0179473	0.0252603	0.031896	0.0285199	0.0298612	0.0226525	0.0138809	0.0278673	0.0324215	0.02526	0.0185486	0.015666	0.0145239	0.029573	0.0256842	0.0230748	0.0319523	0.0278105	0.0370109	0.0178832	0.0132692	0.0129657	0.00755991	0.0100387	0.00573866	0.00334065	0.00535912	0.00628813	0.00426328	0.00321136	0.00506458	0.00811919	0.011739	0.0180383	0.0219148	0.0207011	0.0336715	0.0363095	0.0355033	0.0227901	0.0235719	0.0270833	0.0299901	0.0330862	0.0245589	0.0288267	0.0146288
enterré	0.0209518	0.0166966	0.00820254	0.00872946	0.00791045	0.00664696	0.00345658	0.00235759	0.00230751	0.00228367	0.00270232	0.00727181	0.00889699	0.0157673	0.018859	0.0270452	0.0625867	0.063177	0.0427893	0.0640542	0.0613071	0.0586921	0.034404	0.0208534	0.0105442	0.00723459	0.0099921	0.00770681	0.00215262	0.00378934	0.0047046	0.00257891	0.00403863	0.00444605	0.00660197	0.00985758	0.0163338	0.0177796	0.0158128	0.0207014	0.0216424	0.0174743	0.0243918	0.0155884	0.0259618	0.0372757	0.0429914	0.0380926	0.0433901	0.0209668
les	0.0359033	0.0300242	0.0209611	0.0130242	0.013838	0.00855937	0.00577444	0.00521668	0.00240373	0.0037833	0.00321778	0.0080364	0.00955614	0.0129374	0.0212906	0.0184941	0.0231205	0.032296	0.0214743	0.0234922	0.0225682	0.0194951	0.0259442	0.0287069	0.0223505	0.0208197	0.020896	0.0234981	0.0340899	0.032186	0.0309948	0.0493228	0.0555423	0.0228849	0.0427273	0.0152162	0.0131571	0.0110613	0.0101362	0.0105038	0.0125184	0.00964377	0.0159083	0.0124025	0.0112317	0.0190951	0.0250724	0.024327	0.0149715	0.0293242
feuilles	0.0163588	0.0116821	0.0101658	0.00858805	0.0114966	0.014551	0.014146	0.0166231	0.0157321	0.016317	0.0114819	0.0157593	0.0134795	0.014255	0.0213655	0.0214573	0.0370191	0.0421454	0.0382077	0.0535123	0.0497611	0.0554684	0.0537818	0.0439578	0.0358724	0.033641	0.0465156	0.0297425	0.029973	0.0316042	0.0252303	0.0341967	0.022585	0.012219	0.0117871	0.00723563	0.0078667	0.00442053	0.00286949	0.00321973	0.00279784	0.00283365	0.00338404	0.00253984	0.00500354	0.00534563	0.00783993	0.00818447	0.00712993	0.00864971
du	0.033978	0.0253677	0.0165841	0.0127931	0.0097323	0.00729325	0.00594491	0.0067299	0.00571118	0.00987132	0.0101646	0.0183813	0.0210439	0.03214	0.0372	0.0347797	0.0781849	0.0759278	0.0351909	0.0769835	0.0431499	0.0529674	0.024325	0.0341632	0.0355693	0.0493039	0.0363106	0.01351	0.00571477	0.00510551	0.00899043	0.00711764	0.0122543	0.00792971	0.00670142	0.00368336	0.0039443	0.00258673	0.00329762	0.00327636	0.00413742	0.00295959	0.00636513	0.00322748	0.0064614	0.00638581	0.0103941	0.0117145	0.0113647	0.0230863
manguier	0.00835972	0.00512056	0.00231897	0.00224596	0.00321305	0.00516167	0.00424057	0.00471748	0.00563928	0.00560003	0.00426765	0.0170883	0.0137928	0.0252588	0.0235737	0.0304532	0.0508565	0.0429449	0.0640136	0.0558296	0.045854	0.0320789	0.0320915	0.0351552	0.0516139	0.114752	0.0652976	0.05868	0.0298268	0.0227952	0.00949371	0.0179237	0.0106533	0.0167108	0.0137158	0.0118784	0.00818683	0.00337966	0.00315845	0.00375678	0.0033513	0.00224623	0.00474028	0.00232061	0.00459636	0.00561892	0.00441482	0.00455134	0.00467268	0.00178872
qu'	0.0280573	0.0264743	0.0117132	0.0133366	0.00710134	0.00460658	0.0030553	0.00204339	0.00210458	0.0025041	0.00193961	0.0112801	0.00883972	0.0214348	0.0205506	0.0182714	0.0511246	0.0506509	0.0642366	0.0787068	0.0415414	0.0577809	0.0281952	0.0341282	0.0339724	0.0518742	0.0331748	0.0206784	0.0126038	0.00801999	0.0142969	0.00945557	0.0201614	0.0199166	0.0197864	0.0124802	0.00920705	0.00472939	0.00571463	0.00780959	0.00949168	0.006005	0.0161094	0.0116677	0.0177299	0.0207418	0.0138543	0.0149761	0.01169	0.00417504
ils	0.0532389	0.0348646	0.0185944	0.0164486	0.0151246	0.0125991	0.00913965	0.00752176	0.00940581	0.0102696	0.0103073	0.013282	0.0129752	0.0139843	0.0117705	0.0118343	0.0160628	0.0207376	0.0136671	0.0153996	0.00799521	0.0119943	0.00478777	0.00666491	0.00548214	0.00672123	0.00684365	0.00499183	0.00446269	0.00399795	0.00637084	0.0043901	0.00867341	0.00793139	0.00815225	0.00605138	0.0122227	0.00741414	0.0187393	0.0195287	0.0322327	0.0288417	0.0445567	0.0371413	0.0563825	0.0667442	0.0605525	0.0584307	0.0829919	0.0414819
ont	0.028312	0.0200349	0.0127451	0.0104691	0.00824496	0.00506945	0.00488006	0.00336035	0.00203642	0.00258518	0.00152386	0.00988853	0.0087511	0.0181165	0.0165854	0.0192607	0.0345174	0.0408698	0.0385138	0.0351367	0.0264903	0.0310654	0.022822	0.0225298	0.0228618	0.0269083	0.0254559	0.0247329	0.0187325	0.0126575	0.0242703	0.019236	0.0343888	0.0331794	0.0307019	0.022127	0.0169519	0.011053	0.0074295	0.00750117	0.00827015	0.0066053	0.0172179	0.00979458	0.030877	0.0314118	0.0276023	0.0350912	0.0346961	0.0364372
