 	a66	a87	a10	a87	a97	a10	a53	a90	a98	a15	a7	a15	a98	a85	a5	a12	a61	a12	a75	a79	a56	a43	a11	a10	a9	a10	a97	a87	a97	</S>
il	0.0622389	0.0729298	0.0851225	0.071313	0.0712214	0.0598876	0.0374151	0.0191752	0.0193943	0.0239751	0.0286765	0.0210061	0.0353149	0.0496034	0.0173242	0.00775631	0.00808357	0.00924173	0.0119449	0.0300884	0.0333362	0.036831	0.0318408	0.0242321	0.0206866	0.0207711	0.0183061	0.0300234	0.0175285	0.0247313
y	0.0103064	0.00857653	0.00960929	0.00706343	0.0079405	0.00773469	0.0110568	0.0166529	0.0272436	0.0818696	0.150286	0.0522599	0.111568	0.135721	0.06976	0.0710582	0.0708986	0.0333513	0.0207114	0.00849101	0.00858961	0.00799348	0.00904551	0.00573363	0.00856751	0.00673297	0.00903975	0.00778141	0.0109734	0.0133831
a	0.0327296	0.0213586	0.0255467	0.0177773	0.0212457	0.0195674	0.0166905	0.0133565	0.0135647	0.0186211	0.0297767	0.0226778	0.0354128	0.0323571	0.015703	0.0152523	0.00672973	0.00526232	0.00758775	0.0183471	0.0279672	0.0291391	0.0378873	0.0196024	0.0222905	0.0534426	0.0834015	0.0830197	0.113315	0.14037
le	0.0528673	0.0868619	0.0783874	0.0635925	0.0525595	0.0394083	0.0261186	0.00500632	0.00441136	0.00586802	0.0070849	0.0158811	0.0228188	0.0258354	0.0202692	0.0274118	0.0736342	0.0607898	0.04871	0.0297711	0.0388902	0.0214233	0.0262292	0.0352554	0.0262471	0.0249379	0.0296152	0.0181992	0.0138348	0.0180803
clair	0.201699	0.132141	0.0892761	0.0722372	0.0476924	0.0503372	0.0350528	0.0331178	0.0286956	0.0315805	0.0265656	0.0202517	0.0178589	0.0171514	0.0163335	0.0231513	0.01707	0.0125252	0.0110012	0.00873014	0.00563071	0.00873282	0.00534832	0.0103755	0.00785033	0.00692682	0.011835	0.0192944	0.0120646	0.0194724
de	0.120806	0.0941831	0.0772487	0.0617562	0.0489589	0.0543605	0.0303915	0.0168638	0.014977	0.0155248	0.0115755	0.0115161	0.0104742	0.0213976	0.0194225	0.0245196	0.0288333	0.0291146	0.0255853	0.0305313	0.0206505	0.0350487	0.0344209	0.0235344	0.0271927	0.0213864	0.0182928	0.0238521	0.0187035	0.0288773
lune	0.164118	0.0758631	0.0601038	0.0394024	0.0361513	0.0305301	0.0114117	0.00934224	0.0104048	0.0190817	0.0110434	0.00597287	0.00586069	0.0061458	0.00761741	0.0165158	0.0125615	0.0121646	0.013916	0.0104296	0.00859221	0.0138742	0.015534	0.0336354	0.0570544	0.0635052	0.0686971	0.0741906	0.0636915	0.0425884
cette	0.17259	0.0808057	0.0620944	0.0409446	0.0257601	0.0248931	0.0144458	0.00549207	0.00403892	0.0049424	0.00561518	0.00870382	0.0152007	0.0181956	0.0169202	0.0166061	0.0154859	0.00974576	0.0101843	0.00776391	0.0108802	0.0130332	0.0143049	0.0288398	0.0468837	0.0560521	0.0813528	0.0799367	0.0818865	0.0264013
nuit	0.0935406	0.049522	0.0475647	0.0425371	0.047418	0.0437246	0.0160201	0.00572895	0.00570082	0.00435029	0.00495548	0.0029538	0.00918821	0.0262286	0.0272288	0.0181898	0.0152237	0.0116701	0.0119318	0.00683866	0.00800608	0.00849742	0.0106592	0.0199991	0.0327069	0.0504773	0.100269	0.113841	0.0951004	0.0699277
</S>	0.0450086	0.0276933	0.0222844	0.0199659	0.0127971	0.0142602	0.00521182	0.00131832	0.00162166	0.0028745	0.00247022	0.00363155	0.0079944	0.0109767	0.00890355	0.00818351	0.00605703	0.00520101	0.00658828	0.00395918	0.00342375	0.00478521	0.00672111	0.0108446	0.0264935	0.0483306	0.149311	0.195533	0.188433	0.149122
