 	a66	a87	a23	a83	a9	a82	a13	a57	a13	a83	a62	a31	a47	a96	a18	a4	a57	a54	a47	a44	a34	a47	a88	a71	a38	a93	a94	a70	a93	a56	a44	a38	a12	a96	a5	a18	a27	a62	a12	a18	a25	a87	a23	a97	a87	a23	a87	a23	a97	</S>
la	0.0340232	0.0401294	0.0264999	0.038452	0.0471463	0.033943	0.0253015	0.0224651	0.0143418	0.0226966	0.0293328	0.0291484	0.0257617	0.0183758	0.00899067	0.00859998	0.00757087	0.010493	0.0106359	0.0133954	0.0156327	0.0136427	0.0184559	0.0161693	0.0176007	0.0242708	0.0534102	0.0585789	0.0245659	0.0303849	0.0256334	0.0192809	0.0127537	0.0129483	0.0107017	0.00878417	0.0113017	0.0175386	0.011407	0.0113029	0.0097114	0.0165577	0.0117885	0.0108086	0.0101675	0.010146	0.0100207	0.0116862	0.012756	0.0146896
manière	0.000934179	0.00217923	0.00250645	0.00260548	0.00385412	0.00641786	0.010586	0.0160128	0.0115079	0.0132838	0.0190063	0.0249126	0.0189412	0.0411316	0.0413765	0.0843873	0.0532356	0.0663449	0.0856916	0.0813835	0.0711705	0.0773804	0.0486286	0.0417903	0.0500288	0.0307719	0.0223849	0.0181773	0.0131689	0.0105646	0.0061873	0.00383772	0.00358634	0.00238118	0.00144549	0.00114186	0.00124887	0.00152117	0.00110198	0.0011533	0.000683357	0.000358672	0.000638763	0.000581813	0.000331165	0.000271342	0.00090336	0.000448615	0.00143018	0.00038246
dont	0.0463192	0.0317245	0.0257218	0.0131851	0.0174973	0.0223116	0.026111	0.0386906	0.0300548	0.0335479	0.0149909	0.00954605	0.013833	0.0201016	0.036073	0.0577421	0.0478834	0.0788135	0.0630292	0.0447122	0.0714412	0.0432181	0.022244	0.0209514	0.0257623	0.0159804	0.00661197	0.00769872	0.00287778	0.00419977	0.00467434	0.00335251	0.00258139	0.00399241	0.00404518	0.00261234	0.00237378	0.0040555	0.00489958	0.00319637	0.00536017	0.00314628	0.00464619	0.00509506	0.00491761	0.00812736	0.0148873	0.00820229	0.0144516	0.00250834
ils	0.0166592	0.0132569	0.00813103	0.00842054	0.0079872	0.0171626	0.011452	0.0205181	0.0492655	0.0939459	0.0401427	0.025573	0.0281097	0.0209781	0.0154401	0.0127916	0.0218034	0.0433487	0.0338957	0.0318082	0.0459966	0.0417302	0.0501549	0.0418261	0.0489662	0.0341408	0.0261559	0.021857	0.014052	0.0126497	0.0157584	0.0074892	0.00258811	0.00507698	0.00534308	0.0018318	0.00324096	0.0052828	0.0149039	0.0110283	0.00952534	0.00477069	0.00518649	0.00440946	0.00574629	0.00731488	0.0116042	0.00856918	0.00890808	0.00320241
ont	0.0311857	0.00885957	0.00453583	0.00582393	0.00601498	0.0099752	0.00869132	0.0178008	0.0215456	0.0295262	0.0199497	0.0252628	0.041663	0.0303821	0.0347465	0.0272495	0.0477052	0.0436119	0.0461918	0.0460548	0.0417146	0.0413001	0.0479086	0.0470268	0.0477308	0.0352123	0.0344831	0.0290451	0.0220127	0.0141641	0.0177535	0.0164855	0.00716755	0.00681262	0.0074401	0.00203895	0.00347399	0.00409287	0.00619366	0.00448576	0.00500289	0.00235018	0.0034359	0.00315528	0.00470862	0.00740004	0.00961511	0.00636826	0.00826228	0.0063825
déboucher	0.0263606	0.0168125	0.0107727	0.00983621	0.00875845	0.0132735	0.0103306	0.0107475	0.00928804	0.00895184	0.00783714	0.015446	0.0215767	0.021347	0.0294199	0.0417452	0.0458704	0.0715969	0.0390979	0.0563409	0.0563168	0.0477484	0.043389	0.0192114	0.021192	0.0150906	0.00896218	0.00872752	0.0092818	0.00682103	0.00832436	0.0147428	0.0118856	0.0228318	0.0232484	0.0169135	0.0151701	0.0118004	0.0123535	0.013239	0.0105615	0.00488141	0.00453319	0.00474825	0.00740199	0.0136472	0.0218032	0.0178292	0.0228942	0.0290398
mon	0.0190445	0.0193412	0.0141742	0.0125684	0.0127173	0.0168415	0.01416	0.0172345	0.0166453	0.0107295	0.00818458	0.0095065	0.0156074	0.0148759	0.0221966	0.0247494	0.0252162	0.0347837	0.0260147	0.026121	0.0263598	0.033399	0.021182	0.0207746	0.0169767	0.00983996	0.0125851	0.0159851	0.0172096	0.0125871	0.0181684	0.0135524	0.0194372	0.0224998	0.0200961	0.0137217	0.0105078	0.00806168	0.0148622	0.0206923	0.011206	0.00539243	0.0121878	0.0153132	0.0170015	0.0276414	0.0521024	0.045419	0.0601165	0.044409
étang	0.0195267	0.0224188	0.012161	0.00615976	0.00659221	0.00765144	0.00503409	0.00356576	0.00370807	0.00331606	0.00269729	0.00444002	0.0116292	0.0108174	0.0203532	0.0190124	0.0253804	0.0247651	0.0236836	0.0195397	0.0217238	0.0193698	0.013497	0.0112962	0.00771285	0.00819047	0.0170142	0.0273178	0.00952931	0.0141747	0.0158601	0.0212797	0.0279963	0.0248752	0.0204662	0.0207367	0.0159341	0.0113282	0.0154341	0.0231212	0.0147391	0.00972893	0.015734	0.023324	0.0217641	0.0352874	0.0684174	0.0606572	0.108966	0.0420718
m'	0.0147439	0.0276094	0.0203404	0.0116631	0.0150053	0.0178369	0.013184	0.00940812	0.00558682	0.00875335	0.00394892	0.00468972	0.0116925	0.0131557	0.0207131	0.0272321	0.0266665	0.0261277	0.0269098	0.0210224	0.0252171	0.0207273	0.00748382	0.00979409	0.00565002	0.00507116	0.00654203	0.00619161	0.00275299	0.00647643	0.00838553	0.0162607	0.0223947	0.0249462	0.0167307	0.0186277	0.012296	0.0067552	0.0179311	0.0255348	0.0274601	0.01043	0.0169707	0.0203133	0.025625	0.0313418	0.0726802	0.0520388	0.0948861	0.0561956
a	0.0106257	0.013119	0.00843361	0.0068045	0.00770683	0.00836617	0.00654899	0.00518144	0.00641159	0.0100122	0.00519232	0.00954839	0.0179231	0.026284	0.0270568	0.0410822	0.0406565	0.048205	0.0392079	0.0526615	0.0507707	0.0369484	0.0363974	0.0291511	0.0240769	0.0156382	0.0143314	0.0134869	0.00592296	0.00621789	0.00604267	0.0115415	0.00687509	0.0158443	0.018996	0.0172171	0.0117383	0.00647989	0.0123132	0.0103774	0.0158881	0.0120138	0.0209565	0.0157009	0.0198647	0.027246	0.0346606	0.0299786	0.0452392	0.0370565
énervé	0.019142	0.0149647	0.0138839	0.00902162	0.0108699	0.0125206	0.00995533	0.00763928	0.0105837	0.0116964	0.00744203	0.00693211	0.00978452	0.0106458	0.0166669	0.0251924	0.023247	0.0320249	0.0336237	0.0339136	0.0361414	0.0325246	0.0296715	0.0272319	0.0202338	0.0125187	0.00950093	0.00710548	0.00748533	0.00487413	0.00724846	0.0168232	0.00443974	0.01174	0.0179628	0.0114222	0.00887233	0.00518404	0.0147399	0.011142	0.0125843	0.00978545	0.0168693	0.0129963	0.0143082	0.0360282	0.0425488	0.0524507	0.0661167	0.119699
