 	a66	a87	a97	a79	a4	a70	a96	a93	a90	a25	a98	a85	a6	a0	a54	a36	a37	a75	a21	a5	a43	a11	a93	a4	a11	a21	a12	a18	a27	a75	a6	a36	a2	a82	a97	a10	a97	a87	</S>
cette	0.0203054	0.0383897	0.0474608	0.0419258	0.0588903	0.0907004	0.0524083	0.0616949	0.0446705	0.029388	0.0190919	0.0178998	0.0153843	0.0144339	0.0145432	0.0133772	0.0124176	0.0149407	0.0109058	0.00659837	0.00441628	0.0050063	0.00846637	0.0140671	0.0114851	0.0153737	0.0161541	0.025269	0.0428873	0.0269804	0.0123777	0.0145979	0.0178587	0.0160714	0.0267711	0.0222442	0.0354668	0.0222047	0.0368752
femme-ci	0.00859336	0.0113032	0.0089906	0.0104757	0.0142362	0.0307288	0.0327454	0.0341709	0.108477	0.0334812	0.0470534	0.0332709	0.0205578	0.0369095	0.0414035	0.0378465	0.0610408	0.0642155	0.0758186	0.0373139	0.0252509	0.0226706	0.0431432	0.0179615	0.0076041	0.0086317	0.0205527	0.012611	0.0249789	0.0134555	0.00593651	0.0071176	0.00362776	0.00258239	0.00783953	0.0070444	0.00665026	0.00969347	0.00401547
est	0.0277032	0.0392856	0.0334848	0.0491623	0.0487746	0.059118	0.0648992	0.027467	0.0252655	0.0306049	0.0163797	0.0353617	0.0454711	0.0517174	0.0344463	0.0338589	0.0383204	0.0245953	0.0209185	0.0266278	0.0266991	0.00873295	0.00928449	0.00973629	0.00769388	0.00751668	0.0101234	0.0163936	0.0163987	0.0126101	0.0113416	0.0122143	0.0150889	0.0158038	0.0178878	0.0189935	0.0209882	0.0196903	0.00934041
en	0.0236711	0.0122163	0.0137622	0.0140248	0.0154713	0.00674988	0.0147878	0.00962634	0.00801228	0.00954386	0.00864624	0.0297915	0.0373524	0.0431595	0.0375256	0.0349556	0.0471759	0.0371566	0.0298343	0.0194297	0.0421398	0.0209362	0.0300122	0.0224916	0.0185735	0.0129437	0.0294012	0.0355536	0.0267667	0.0276658	0.0310778	0.0218038	0.0188055	0.0253476	0.0334315	0.0306034	0.0308453	0.0334353	0.0552722
train	0.016232	0.018362	0.0290843	0.0376991	0.0271852	0.0106703	0.0155998	0.0162672	0.014685	0.020566	0.0149132	0.0285223	0.046387	0.0371895	0.0350254	0.0320515	0.0434975	0.0282297	0.0308602	0.0345732	0.0221869	0.0406163	0.0371248	0.038774	0.034573	0.0366192	0.0324362	0.0299792	0.0247357	0.0154276	0.0165142	0.0207356	0.0207955	0.0142626	0.0219586	0.0153433	0.0169979	0.00860097	0.0147182
de	0.00557881	0.00394214	0.00797056	0.0067252	0.0192522	0.0257634	0.0214256	0.0363122	0.0645949	0.0646715	0.0643812	0.0612205	0.0565331	0.0457331	0.0218026	0.0175192	0.0102352	0.00923713	0.0046237	0.00632393	0.00448985	0.00724412	0.00897759	0.012068	0.0135903	0.0198605	0.0232593	0.0265467	0.0209257	0.0267585	0.0227944	0.0205788	0.0188909	0.0254261	0.0294011	0.034171	0.0348555	0.0414792	0.054836
peigner	0.0088947	0.0097384	0.0156223	0.0116185	0.0198238	0.0156827	0.021253	0.0217759	0.0220583	0.0207309	0.0223639	0.0425734	0.0482686	0.0732135	0.077679	0.0847624	0.0871018	0.107223	0.0511352	0.0542103	0.0393211	0.0310246	0.0250757	0.0116204	0.0109315	0.00961147	0.00842971	0.00618356	0.00684599	0.00411412	0.00246463	0.00216239	0.00259679	0.0031892	0.00310214	0.00375088	0.00274598	0.00552023	0.00557992
ses	0.0172933	0.00756858	0.0119841	0.0200465	0.0121118	0.009678	0.00982004	0.0148039	0.00787279	0.0114578	0.00929423	0.0155073	0.0183278	0.0177411	0.0153013	0.0180895	0.0186169	0.0495464	0.0168268	0.0277345	0.0348019	0.031733	0.035178	0.0270943	0.0558328	0.0492943	0.0343704	0.0424702	0.046834	0.0471868	0.045818	0.0312434	0.0355674	0.0400279	0.0276195	0.0205237	0.0157015	0.0220295	0.0270506
cheveux	0.0461479	0.0129863	0.0245545	0.0243927	0.0180734	0.0138265	0.0216	0.0240494	0.0138261	0.0170603	0.0113805	0.019184	0.0176977	0.0206483	0.0256658	0.0227415	0.0214174	0.0274601	0.0194846	0.0243816	0.0273538	0.0292891	0.0337918	0.0253866	0.0367604	0.0293142	0.0319067	0.0320277	0.0205732	0.0373286	0.0324271	0.0290886	0.0355956	0.0434871	0.030457	0.0218645	0.0176074	0.0298659	0.0292963
devant	0.0311404	0.0178508	0.0283608	0.0396166	0.0432749	0.0374889	0.0365063	0.0348045	0.0296638	0.017597	0.0125554	0.0157531	0.0125813	0.0131899	0.00959246	0.00994188	0.00864608	0.00883131	0.0109153	0.00961764	0.0109825	0.0119587	0.0209026	0.0164136	0.0200395	0.0239851	0.0203972	0.0276688	0.0271272	0.0372547	0.0332785	0.0233149	0.0233862	0.0353473	0.0366628	0.0339786	0.0305236	0.045661	0.0931888
le	0.0158489	0.011476	0.0230782	0.034666	0.0159843	0.0101568	0.0130117	0.0130645	0.0110132	0.0158442	0.0169996	0.0218443	0.023052	0.0239394	0.0162741	0.0180726	0.0121772	0.0130351	0.0153422	0.0170324	0.0156585	0.0178736	0.0220784	0.0123585	0.0182667	0.0286702	0.0239703	0.0272094	0.0267421	0.0361973	0.0396129	0.0268679	0.026768	0.0408468	0.048008	0.0434383	0.0395942	0.0459766	0.11795
miroir	0.0189109	0.0113475	0.0161461	0.0202481	0.0147354	0.00799189	0.0109229	0.0123526	0.0132548	0.0226323	0.0259241	0.0321512	0.0324507	0.0336077	0.0280448	0.0311181	0.0250253	0.024629	0.0238581	0.0268629	0.0204805	0.0266382	0.0294216	0.014427	0.0190633	0.0246512	0.0250414	0.0215927	0.0191314	0.0303434	0.0312344	0.0264011	0.0250726	0.0368408	0.0388755	0.0395648	0.0304698	0.0349158	0.07362
</S>	0.00985101	0.0085928	0.00996193	0.0132662	0.00707126	0.0041244	0.00456862	0.00421889	0.00685909	0.0097178	0.00890942	0.0105579	0.0122115	0.00947143	0.0064433	0.00712598	0.00459107	0.00375252	0.00379311	0.00554453	0.00364563	0.0100494	0.0150368	0.0166415	0.0277345	0.0332649	0.0353987	0.050795	0.0477544	0.0673305	0.0683098	0.0566141	0.0700984	0.083343	0.0604656	0.0593977	0.0520851	0.0424835	0.0489186
