 	a66	a87	a23	a30	a53	a15	a20	a75	a56	a90	a92	a61	a21	a12	a96	a18	a62	a21	a12	a21	a6	a37	a7	a26	a82	a87	a23	a99	a27	</S>
sa	0.0540672	0.0697399	0.0695633	0.05554	0.0726452	0.0467963	0.0321308	0.0139574	0.0165682	0.0182557	0.0178937	0.0212019	0.0148938	0.00982726	0.00638133	0.00672399	0.00579162	0.00476325	0.00977965	0.0130125	0.0239788	0.0440348	0.0594134	0.0542636	0.0353947	0.0429388	0.0430552	0.0410378	0.0420803	0.0542694
mère	0.00645883	0.0090889	0.0171764	0.0231915	0.0384213	0.0645194	0.0442082	0.0538004	0.0322232	0.0799707	0.0924485	0.103483	0.0976279	0.0753381	0.0510564	0.0226122	0.0243517	0.0625382	0.0256881	0.0249676	0.00626537	0.00343583	0.00262831	0.00359086	0.00300088	0.00382559	0.00351831	0.00488947	0.0129328	0.00674176
lui	0.0607598	0.0808965	0.0701537	0.0430596	0.0440001	0.0940232	0.0555582	0.0407537	0.0146007	0.0228493	0.0196193	0.0242095	0.0161206	0.0287487	0.0443468	0.0279579	0.00849126	0.00673147	0.0134618	0.0155923	0.0244389	0.0214583	0.0192235	0.0191701	0.0362728	0.0290438	0.0177692	0.0260774	0.0579337	0.0166776
a	0.0420689	0.0131048	0.00588348	0.00577906	0.00651915	0.028715	0.0474682	0.116514	0.0439888	0.0464415	0.0252758	0.0197906	0.0102359	0.011406	0.00833404	0.00800784	0.00590279	0.00543852	0.0137269	0.0144443	0.0180608	0.0296037	0.0360375	0.0454606	0.0568509	0.0534406	0.0889018	0.0533738	0.0366641	0.10256
donné	0.047853	0.0320205	0.0279118	0.0455605	0.0340459	0.0885599	0.0381317	0.0334778	0.0921501	0.0774078	0.0846694	0.0429739	0.0421319	0.0403084	0.0329657	0.0353607	0.03108	0.0273678	0.0248612	0.0358531	0.0132259	0.00948098	0.0110312	0.00950319	0.00615672	0.00623599	0.00602436	0.00493585	0.00507779	0.0136367
un	0.0424868	0.0213158	0.01894	0.0162494	0.0152338	0.021123	0.0301901	0.03902	0.0456432	0.0403656	0.0326273	0.0334303	0.0236423	0.0201147	0.0159145	0.0167118	0.0136488	0.0135162	0.0191644	0.0238919	0.0273995	0.0386359	0.0411136	0.0483581	0.0592531	0.0444204	0.0846663	0.0431646	0.040588	0.0691704
morceau	0.0313134	0.0229882	0.0122687	0.0110899	0.00869325	0.015799	0.0213319	0.032551	0.0329044	0.0310087	0.0312843	0.0310642	0.0245071	0.0246972	0.019437	0.021187	0.0163613	0.0145837	0.0169137	0.0189076	0.026247	0.0462888	0.0606213	0.072206	0.0595339	0.0571232	0.0738859	0.0580105	0.0622569	0.0449348
de	0.0403219	0.0172604	0.00487996	0.0023847	0.0034401	0.00626032	0.00761586	0.0080806	0.00724968	0.00770122	0.00684328	0.00758789	0.00730851	0.00526269	0.00485632	0.0162717	0.0164393	0.00980731	0.0270034	0.0267433	0.0333485	0.0486065	0.0882175	0.126499	0.0834039	0.0731086	0.108793	0.0773372	0.0792878	0.0480792
viande	0.0348338	0.0166837	0.00676155	0.00430417	0.00358066	0.00601369	0.00756248	0.00592465	0.00449384	0.0041992	0.00343451	0.00403461	0.00648946	0.00696284	0.016012	0.0277293	0.0288792	0.0320256	0.0574038	0.057673	0.0544486	0.0698712	0.0906526	0.118158	0.066211	0.0504597	0.0855986	0.0685877	0.0436774	0.017333
</S>	0.0469994	0.0253374	0.00825048	0.00722708	0.00712276	0.0147739	0.0242431	0.00966812	0.00643563	0.00752254	0.00417991	0.00711247	0.00520195	0.00563844	0.0115058	0.0237274	0.0255359	0.0279448	0.0635538	0.0673682	0.027464	0.0414928	0.081001	0.100002	0.0384846	0.052361	0.0675336	0.0710032	0.0690051	0.0523034
