 	a66	a87	a23	a87	a23	a99	a30	a93	a56	a44	a98	a47	a92	a79	a98	a6	a36	a75	a92	a37	a75	a5	a36	a47	a85	a6	a85	a47	a7	a47	a37	a26	a27	a30	a87	a23	a10	a83	a75	a6	a37	a47	a37	a6	a37	a98	a85	a0	a47	a96	a62	a21	a12	a18	a4	a57	a82	a87	a23	a87	</S>
ngolo	0.0231208	0.0283676	0.0253573	0.0250484	0.0270351	0.0262287	0.0299195	0.0361972	0.027463	0.0653396	0.0800217	0.0492831	0.0589607	0.0403035	0.0334138	0.0341431	0.0174276	0.0135177	0.0128591	0.00753771	0.00902839	0.00856049	0.00731616	0.00779326	0.00525236	0.00848126	0.00627732	0.0105828	0.00930938	0.00658867	0.00898892	0.00807593	0.00418372	0.00466449	0.00679209	0.00632684	0.0122542	0.0138968	0.0143541	0.0108818	0.00788015	0.00732394	0.00947598	0.0100243	0.0098505	0.0131624	0.00605811	0.00789338	0.00373613	0.00620053	0.00790555	0.0101874	0.00863277	0.0129935	0.0066923	0.00771304	0.00450374	0.00386193	0.00478662	0.00464162	0.0153222
et	0.00346367	0.00391185	0.00550641	0.005014	0.00890041	0.0248576	0.0276005	0.038806	0.060185	0.039955	0.0568101	0.0831745	0.0259591	0.0218689	0.0172569	0.0687462	0.0466504	0.0805082	0.031823	0.0294556	0.0603272	0.0445162	0.0251594	0.0177779	0.0124326	0.0267364	0.0388996	0.0118485	0.0149705	0.00325154	0.00655597	0.00643706	0.0068336	0.00658127	0.00265235	0.00620817	0.000555591	0.000648713	0.0014101	0.000698884	0.000652211	0.000513614	0.000410001	0.000358127	0.00118921	0.00215165	0.00122436	0.00121148	0.000415429	0.000508015	0.000595624	0.000839062	0.00156492	0.00125745	0.000941058	0.00136337	0.000690784	0.00174696	0.00231491	0.00302603	0.00207088
obateme	0.00778012	0.00601608	0.00932538	0.00744146	0.00583805	0.0159016	0.0142869	0.0227679	0.0332743	0.0185358	0.024139	0.0276451	0.0215354	0.030034	0.0301947	0.0723139	0.0490258	0.0437037	0.0333403	0.0345359	0.0307976	0.0412589	0.0284405	0.0268624	0.0215065	0.0519939	0.0489166	0.0286706	0.0187566	0.00885475	0.0181514	0.0236618	0.0166768	0.0210536	0.00662947	0.0193047	0.00195051	0.0020596	0.00713193	0.00452801	0.00625405	0.00291622	0.00575596	0.00376563	0.00365393	0.00523265	0.00228671	0.00279986	0.000947307	0.000455033	0.000479306	0.000533064	0.00158365	0.00183309	0.00257902	0.00230209	0.00416951	0.00741388	0.00332272	0.00486851	0.00200627
se	0.0394613	0.0215616	0.0142155	0.0135839	0.0131507	0.0150113	0.00915036	0.00970698	0.0169246	0.0179524	0.0205063	0.0231826	0.0158714	0.0196429	0.0258326	0.0238579	0.0372147	0.0369657	0.0596154	0.0383432	0.0194358	0.0308617	0.00861761	0.0105362	0.0156289	0.00706321	0.0117802	0.00663399	0.0200514	0.0132433	0.0217726	0.0248035	0.0190455	0.0136317	0.0110766	0.0112212	0.00234101	0.00194362	0.00730582	0.00942049	0.0111636	0.0215566	0.014394	0.0100264	0.00875426	0.00926443	0.0127797	0.0152649	0.0170553	0.0118029	0.00798878	0.00428451	0.007543	0.00982749	0.0150084	0.0103566	0.0150207	0.0186367	0.0119717	0.0164743	0.01266
sont	0.0569369	0.0368924	0.0290465	0.0356265	0.0438674	0.0148541	0.00796114	0.00684874	0.00673743	0.00579112	0.0043528	0.00682282	0.00757039	0.0114787	0.0124407	0.00766223	0.0106298	0.0188018	0.0337778	0.0270831	0.0308914	0.0215959	0.0143056	0.0117191	0.0307235	0.0130324	0.0270666	0.00319357	0.0208224	0.00835133	0.0204634	0.0106275	0.00575676	0.00462018	0.00476128	0.00972078	0.00136308	0.0023168	0.0115132	0.0176879	0.0137126	0.0157471	0.0206335	0.0156959	0.0233019	0.0200811	0.0218687	0.0211841	0.0236952	0.0222659	0.0214943	0.0118264	0.0138226	0.0184373	0.0227714	0.0133699	0.00779179	0.00540885	0.00812575	0.0099204	0.0131302
mariés	0.0587881	0.0278326	0.0242596	0.0253937	0.0217268	0.0144991	0.0075951	0.00923034	0.0137082	0.0187647	0.0103825	0.0156127	0.0265101	0.0326411	0.0273046	0.0133525	0.0148396	0.0192253	0.0186714	0.0254236	0.0226412	0.0208854	0.011087	0.0104428	0.0250592	0.0177261	0.0137505	0.0107948	0.0191921	0.0170855	0.0266531	0.0285013	0.0156028	0.0194687	0.0062938	0.010989	0.00381767	0.00469903	0.00816788	0.00785308	0.00659702	0.00379866	0.00799688	0.00768637	0.0134576	0.0169721	0.0161414	0.0190021	0.0237926	0.0215476	0.0170017	0.0177957	0.0142436	0.0189331	0.0199431	0.0143496	0.00792797	0.00421507	0.00297478	0.00476882	0.0143816
avec	0.0460436	0.0269473	0.0187153	0.0212198	0.0176487	0.00657966	0.00191073	0.00324172	0.00295644	0.00551856	0.00337072	0.00456531	0.0110924	0.0162359	0.0177648	0.00862951	0.0175959	0.021099	0.0261954	0.0368334	0.0295169	0.0406812	0.0105216	0.0144925	0.0250456	0.00875687	0.0155921	0.0138691	0.0192401	0.0202352	0.020264	0.0365978	0.0234588	0.0148967	0.00891612	0.0090518	0.00442997	0.00923985	0.00638793	0.00978381	0.00970022	0.00581405	0.0119881	0.0104802	0.01536	0.0201277	0.0160897	0.0197355	0.014375	0.024904	0.0212376	0.0261793	0.0244612	0.0273222	0.0269182	0.0160046	0.0190693	0.00796994	0.00488345	0.00725182	0.0149857
deux	0.023131	0.00999888	0.0103709	0.00773288	0.00503138	0.00472598	0.00324638	0.00383518	0.00574048	0.00985817	0.00882645	0.00839632	0.0172016	0.0231902	0.0188047	0.0205038	0.0223006	0.0345375	0.0407359	0.0321498	0.0405621	0.0551788	0.0131128	0.0244883	0.0303786	0.0105972	0.0170773	0.0224939	0.0396062	0.0284916	0.0476991	0.0454865	0.0416805	0.0248428	0.0211758	0.0170321	0.00954976	0.0139053	0.0116386	0.00904814	0.00678772	0.00445218	0.00328725	0.00305982	0.0014418	0.00190139	0.00136414	0.00236879	0.00217599	0.00509425	0.00603698	0.00562326	0.0112435	0.0127591	0.0170828	0.0182159	0.0116503	0.0131481	0.00808747	0.0108238	0.0190318
filles	0.0342632	0.016072	0.0163166	0.0154568	0.0115235	0.0113903	0.0118136	0.0130617	0.0126042	0.0156276	0.0197034	0.0155334	0.0211477	0.0247496	0.0223562	0.0230759	0.0180602	0.0240219	0.023877	0.0159943	0.0264656	0.0333997	0.0128833	0.0175258	0.0178331	0.0102979	0.0130598	0.0144336	0.0270572	0.0149012	0.0285133	0.0270668	0.0232576	0.014723	0.012983	0.010072	0.0063739	0.00945167	0.0101532	0.00964078	0.00727216	0.00717829	0.0066635	0.00771773	0.00398956	0.00593208	0.00573615	0.00987054	0.00832504	0.00990182	0.00655972	0.00529925	0.0139366	0.0147689	0.0232679	0.0306307	0.0181419	0.0218137	0.0337613	0.0304285	0.022063
de	0.0409722	0.030813	0.0279692	0.0228062	0.0201842	0.0128021	0.0130241	0.0147545	0.0111452	0.0138893	0.0066022	0.0051273	0.0123659	0.0164118	0.00946159	0.0126984	0.0118654	0.0164609	0.023393	0.0169762	0.017038	0.0294339	0.0216624	0.0199277	0.0170294	0.0165276	0.0246056	0.0160705	0.0294006	0.0155474	0.0414459	0.0394957	0.0385997	0.0238221	0.0233409	0.0193689	0.00820655	0.0185087	0.0220567	0.012514	0.00942595	0.00593507	0.00466671	0.00478458	0.00141825	0.001751	0.00146855	0.00236241	0.0031217	0.00524433	0.00626972	0.00575468	0.010277	0.0107552	0.0138557	0.0125229	0.00936093	0.0174575	0.0215199	0.0214475	0.0362756
la	0.0362134	0.0193357	0.0146538	0.012463	0.0111037	0.00667164	0.00975798	0.00969726	0.00672972	0.00737939	0.00348297	0.00296948	0.00778559	0.0100784	0.00644963	0.00432756	0.00542444	0.00755076	0.0135102	0.0121484	0.0121906	0.0124383	0.00880253	0.0106124	0.0237314	0.00796564	0.0132355	0.00674485	0.0235684	0.0113717	0.0334763	0.0250477	0.0251997	0.0137638	0.0116488	0.0113817	0.00441387	0.0102493	0.016644	0.0176619	0.0149342	0.0115981	0.0139092	0.00966146	0.0079487	0.00860304	0.00500806	0.00732245	0.00837654	0.0175193	0.0149414	0.0176131	0.0220103	0.0278158	0.0398954	0.033107	0.0250598	0.0515322	0.0424112	0.0511513	0.0616998
même	0.0191433	0.008233	0.00950099	0.00871411	0.0056547	0.00836449	0.00858541	0.0089803	0.00750205	0.0118831	0.00991935	0.00992907	0.0156532	0.0201198	0.0131703	0.015764	0.0127618	0.0112289	0.0164719	0.0156949	0.0141799	0.015557	0.0201613	0.0263659	0.0282159	0.0219994	0.0238337	0.0176281	0.0388434	0.0143769	0.0354343	0.0250518	0.0223922	0.00860917	0.00503513	0.00671742	0.0027607	0.00489965	0.0204574	0.0140236	0.0104853	0.00699707	0.0114383	0.0133997	0.011708	0.00986737	0.00683029	0.0110995	0.00767456	0.0122149	0.00849653	0.00719101	0.0115496	0.0165312	0.0304864	0.0359735	0.0240295	0.0509879	0.0387453	0.038459	0.0320174
famille	0.0181691	0.00688141	0.00592617	0.00453088	0.00350404	0.00347197	0.00285174	0.00369356	0.00340673	0.00992705	0.00972679	0.00738152	0.0170988	0.0193908	0.0120841	0.0128935	0.00992226	0.00751117	0.0109192	0.0108869	0.010712	0.0102298	0.00732871	0.0187576	0.0260364	0.0130213	0.0185193	0.0188884	0.0369437	0.0083962	0.0396127	0.025362	0.0360797	0.0128927	0.00681868	0.0117356	0.001901	0.00333758	0.0153919	0.00950309	0.00646081	0.00660798	0.00793422	0.00390941	0.00570171	0.00511571	0.00243635	0.00326539	0.00206315	0.00506243	0.0103059	0.0119587	0.0200637	0.0251772	0.032702	0.0589352	0.044733	0.0722142	0.0626148	0.0682174	0.0328746
