 	a66	a87	a97	a3	a79	a90	a69	a40	a98	a92	a79	a37	a56	a75	a25	a69	a75	a92	a56	a75	a85	a47	a36	a26	a57	a3	a83	a99	a30	a93	a62	a21	a12	a62	a88	a75	a92	a6	a37	a56	a92	a56	a75	a47	a37	a44	a26	a3	a97	a99	a84	</S>
le	0.0226822	0.0283318	0.0392486	0.0249028	0.0323752	0.0286852	0.0343417	0.0343525	0.0513991	0.0695656	0.0556621	0.0642767	0.0429665	0.0410308	0.0206432	0.0240353	0.021073	0.016977	0.018444	0.0121983	0.0162189	0.0124364	0.00815143	0.00952601	0.00750903	0.00676755	0.00716321	0.00552498	0.00633904	0.00624389	0.00750084	0.00929365	0.00780257	0.00932336	0.0142799	0.0119	0.00910902	0.00549195	0.00500135	0.0065822	0.0166382	0.00907846	0.00815294	0.00779967	0.00614114	0.0116137	0.00923452	0.0112997	0.0114188	0.0156055	0.0115357	0.0261248
poisson	0.000838663	0.00297406	0.00469393	0.00784636	0.00849844	0.0370988	0.0654735	0.0619514	0.0650389	0.0579397	0.0751829	0.0977533	0.13394	0.0541328	0.069941	0.0385329	0.0587005	0.0217327	0.0203889	0.0133519	0.0189101	0.0120072	0.00475096	0.00492012	0.00534109	0.00483907	0.00338474	0.00305029	0.00393995	0.00395304	0.00557685	0.00510679	0.00346334	0.00658445	0.00574043	0.00436189	0.00202059	0.000869107	0.000398704	0.000697092	0.00054288	0.000513327	0.000505117	0.000269595	0.000211945	0.000354503	0.000162681	0.000227125	0.000195363	0.000263323	0.000449001	0.000378661
fumé	0.0139055	0.014121	0.00967144	0.00485094	0.00988843	0.00772664	0.0121722	0.0240622	0.0228917	0.0329651	0.0264755	0.0287661	0.059213	0.0398457	0.0366812	0.0475454	0.0574364	0.0477131	0.0355971	0.0475215	0.0339125	0.0357432	0.0301366	0.0376025	0.0289035	0.0329881	0.0308261	0.03149	0.0272242	0.0204967	0.0189935	0.0189525	0.0141711	0.010971	0.00535999	0.00339497	0.00323632	0.00254245	0.00221347	0.00216423	0.00256737	0.0016488	0.00196376	0.00306802	0.00227965	0.00235912	0.00234889	0.00189169	0.00263337	0.00223371	0.00465932	0.00197307
que	0.0216008	0.0149714	0.011131	0.00415992	0.00666589	0.00640272	0.00557029	0.00642263	0.0101184	0.0261538	0.0254803	0.0205542	0.052104	0.037504	0.0371247	0.0347826	0.0328399	0.0306264	0.0245179	0.0317609	0.0358476	0.0328025	0.029781	0.0233411	0.0265839	0.029877	0.022972	0.0141709	0.0107279	0.0104697	0.0069796	0.0109697	0.00888008	0.0107225	0.00882075	0.00663587	0.00763111	0.00741304	0.00465432	0.00464311	0.00373941	0.00406587	0.00603726	0.0148639	0.0137495	0.0186803	0.0219342	0.0282062	0.0280244	0.0225007	0.0293305	0.054452
tu	0.0549388	0.037435	0.0173795	0.00754583	0.012624	0.00799976	0.00793827	0.0108813	0.00781025	0.0133076	0.0101692	0.00622023	0.0088146	0.00601634	0.00686262	0.00804253	0.0111348	0.0149675	0.0145394	0.0201266	0.0158138	0.0269409	0.0499629	0.0382704	0.0464097	0.0391229	0.0416574	0.0329442	0.0336944	0.0326325	0.0244627	0.0265203	0.0253393	0.0313169	0.0381151	0.0314873	0.0349255	0.0386886	0.0137567	0.0154166	0.012135	0.00646675	0.00365867	0.0038429	0.00400446	0.00336393	0.00334551	0.00716166	0.00743571	0.00573985	0.00887944	0.0117339
m'	0.0324591	0.0247157	0.0196537	0.0151083	0.0129254	0.0112783	0.0101252	0.0135049	0.0118905	0.0149959	0.0162349	0.00974421	0.0118396	0.0120603	0.0143596	0.0106707	0.0109693	0.0144704	0.0102041	0.0124703	0.0112657	0.0142395	0.0275801	0.0348	0.0341197	0.0304781	0.035514	0.024714	0.0230145	0.0212278	0.0177823	0.0199419	0.0175425	0.0304055	0.0316729	0.0353791	0.0324758	0.0332247	0.022797	0.0265492	0.0288291	0.0177734	0.010187	0.013487	0.00851011	0.0115157	0.010403	0.0181238	0.0124489	0.0106675	0.0192216	0.0244277
as	0.0214926	0.0270911	0.0236548	0.012682	0.0138543	0.00620801	0.0148948	0.0253201	0.0103688	0.0136414	0.0110656	0.0106785	0.00790826	0.0104959	0.00868402	0.00901813	0.00863894	0.0105719	0.00978532	0.0101127	0.0103204	0.0124099	0.016777	0.0191244	0.0187631	0.0215086	0.0363549	0.0322609	0.0254671	0.0341827	0.0296878	0.0397897	0.0310342	0.0399282	0.0365501	0.0308338	0.0311254	0.0277547	0.0277807	0.0324314	0.0294013	0.0149608	0.0113598	0.00746183	0.0105522	0.00733197	0.00951931	0.0178285	0.0148403	0.0112401	0.0239119	0.0213401
donné	0.0294509	0.0517747	0.0599956	0.0315459	0.0340899	0.0110124	0.0181781	0.0263894	0.023458	0.0118592	0.0123732	0.0130233	0.00830984	0.0112216	0.0128782	0.00910413	0.0151002	0.017209	0.0224817	0.0178894	0.0149595	0.0153027	0.0148504	0.0121626	0.0110956	0.0136724	0.016813	0.0134806	0.0116097	0.0218302	0.0219729	0.0218613	0.0135487	0.0213173	0.0135703	0.0183394	0.0187036	0.0164011	0.0151909	0.022512	0.0203408	0.00809516	0.0106902	0.00903371	0.014295	0.0130373	0.0148236	0.0251389	0.0266293	0.0195761	0.0345796	0.0372215
est	0.0126955	0.0155137	0.0194927	0.0175732	0.0150093	0.00877706	0.00685303	0.00715128	0.00425248	0.00345209	0.00377998	0.00375441	0.00316701	0.00439003	0.00749892	0.00390029	0.00634998	0.00844353	0.00997056	0.0064674	0.00542502	0.00687006	0.00897087	0.0103798	0.0109904	0.0104139	0.0124318	0.0114128	0.0093313	0.0152318	0.0106536	0.0129462	0.0122342	0.0128839	0.010505	0.012291	0.0120848	0.012191	0.0139187	0.0173367	0.0230798	0.012736	0.0262986	0.0289196	0.0466717	0.0484197	0.0617804	0.073685	0.080181	0.0666343	0.0764726	0.0581261
déjà	0.0104569	0.00968023	0.0131136	0.0119797	0.00905018	0.00491678	0.00464702	0.00594077	0.00315907	0.0049114	0.00455762	0.00542192	0.00588515	0.00706721	0.010632	0.00885257	0.00979213	0.0137421	0.0127133	0.0103838	0.00854259	0.0109445	0.0147076	0.0171969	0.0162308	0.0159037	0.0154649	0.0125468	0.00930296	0.0111887	0.0070848	0.0109147	0.0123497	0.0115766	0.0107446	0.0104589	0.0110727	0.0125785	0.013774	0.0127103	0.0180309	0.0101801	0.0189115	0.0195488	0.0347966	0.0432761	0.0446176	0.0722281	0.0730133	0.0672728	0.0824584	0.103468
