 	a66	a87	a97	a87	a97	a79	a15	a79	a47	a36	a2	a27	a11	a93	a98	a47	a36	a56	a11	a93	a13	a98	a47	a7	a90	a15	a47	a0	a54	a75	a37	a96	a83	a24	a62	a88	a71	a9	a99	a97	a87	a3	</S>
il	0.0203029	0.0323591	0.0250298	0.0200315	0.0219625	0.0280907	0.0242086	0.0200345	0.0251019	0.0321289	0.0484862	0.0676323	0.0705997	0.0802958	0.0666597	0.0477956	0.0260734	0.0281525	0.0152988	0.0119166	0.0174974	0.0107453	0.00765392	0.0088412	0.00858925	0.0114095	0.00856365	0.0107927	0.0132868	0.00925624	0.00692003	0.00766392	0.00979417	0.0121906	0.0112011	0.0154496	0.0138933	0.0188469	0.0153384	0.0150957	0.017993	0.0125528	0.0242636
chasse	0.00746116	0.00863595	0.0103436	0.00955955	0.0133031	0.018928	0.0170754	0.0182914	0.0350368	0.0411681	0.0360887	0.0281655	0.0236049	0.0238889	0.0192731	0.0254746	0.0238996	0.0284658	0.0424527	0.0467576	0.0478671	0.0563474	0.0299522	0.0197785	0.0199977	0.0180847	0.021468	0.0263289	0.0261926	0.0109963	0.00946087	0.00899503	0.0102419	0.018859	0.0168696	0.0271023	0.0291908	0.0224927	0.0173802	0.0220574	0.0145757	0.0290749	0.0188117
les	0.0307735	0.0122016	0.01217	0.00980498	0.010957	0.0104157	0.0125205	0.012791	0.0236277	0.0398856	0.0297166	0.0290515	0.031993	0.0563589	0.0436021	0.0525263	0.0506299	0.0429295	0.0473206	0.0282633	0.023955	0.0399126	0.0260439	0.0267924	0.0104904	0.00682366	0.0129182	0.0127598	0.00888448	0.0096623	0.00707328	0.00741201	0.00394221	0.00500654	0.00590701	0.00572612	0.0119646	0.0135721	0.0131155	0.0305019	0.0218813	0.047256	0.0608594
poules	0.102349	0.0624589	0.0327513	0.0222311	0.0221622	0.0218816	0.0173037	0.0110736	0.0152343	0.0167544	0.0113696	0.00819861	0.0084704	0.0160936	0.014561	0.0134799	0.0150969	0.00646728	0.00680734	0.00566826	0.00611814	0.00982132	0.0146033	0.0259381	0.0360927	0.0320271	0.0372483	0.0524369	0.0359044	0.0272931	0.0181526	0.0264632	0.0262351	0.0333567	0.0191593	0.0290499	0.0301568	0.0225424	0.0203944	0.0156349	0.0120447	0.0127839	0.0261301
qui	0.0332541	0.0223359	0.0177948	0.0176046	0.0157821	0.0155414	0.0118075	0.00899273	0.00905281	0.00724346	0.0120236	0.0119317	0.0217533	0.029747	0.040334	0.0697282	0.045306	0.0310346	0.0212737	0.0184092	0.0194035	0.024329	0.0244099	0.0317356	0.0323345	0.0229988	0.0255795	0.0261703	0.0245468	0.0182025	0.0217478	0.0177406	0.017671	0.0150198	0.0128878	0.0184712	0.0217423	0.0252869	0.0335323	0.0292495	0.0226931	0.0315342	0.0217624
entrent	0.0285335	0.0224911	0.0119189	0.0105803	0.00461717	0.00721309	0.00701517	0.00360511	0.00691681	0.0130787	0.025102	0.0133581	0.037926	0.0673387	0.0630433	0.101246	0.0722836	0.047842	0.0592276	0.0353408	0.0499598	0.0258791	0.00885802	0.00690567	0.00358064	0.00313503	0.0018593	0.00267176	0.00316296	0.00408834	0.00759528	0.00907972	0.0119022	0.0120862	0.0111265	0.0179606	0.0172615	0.0162342	0.0292806	0.029173	0.0250163	0.0325471	0.0319585
dans	0.0440628	0.0203005	0.0186361	0.0143307	0.0125262	0.00956487	0.00799411	0.0041794	0.0052261	0.0061454	0.0204435	0.0124104	0.0253224	0.0419609	0.0485	0.040555	0.0681242	0.040324	0.0408284	0.0236277	0.026926	0.0208864	0.0137289	0.010471	0.0078513	0.00606146	0.00598956	0.0123042	0.0171114	0.0150831	0.020371	0.0230083	0.0152216	0.012636	0.0104636	0.0150292	0.0186235	0.0255117	0.03545	0.0408932	0.0387771	0.0515145	0.0510243
la	0.0722475	0.0332419	0.0347181	0.024233	0.0158867	0.0136312	0.013458	0.00654559	0.00834049	0.0108518	0.0137475	0.0140048	0.0175235	0.0306961	0.0219564	0.0171309	0.0369259	0.029588	0.0278418	0.0150398	0.0204488	0.00955776	0.00482101	0.00418957	0.00283857	0.00435383	0.00349073	0.00505335	0.0107797	0.0147212	0.0236687	0.0252576	0.0252894	0.0241658	0.0174364	0.0287036	0.0286354	0.0328243	0.0531397	0.0567717	0.0423104	0.0660353	0.0378981
maison	0.0185418	0.0113069	0.0144949	0.0110183	0.0150128	0.0123906	0.0137339	0.00681236	0.00760165	0.00886655	0.0111355	0.00786749	0.01356	0.0155411	0.0125124	0.0145194	0.0184679	0.0143033	0.0154099	0.0169599	0.0204397	0.017941	0.0142663	0.0180793	0.0117223	0.0158448	0.0132372	0.0182039	0.0234926	0.0253005	0.0306238	0.0326522	0.025755	0.0285871	0.0198159	0.0350757	0.0392674	0.0632609	0.0461068	0.0624725	0.0522467	0.071455	0.0540968
</S>	0.0219015	0.0128719	0.0111391	0.00759893	0.00603761	0.0089146	0.00623724	0.00603092	0.00650375	0.00555077	0.00871679	0.008889	0.00817906	0.0133447	0.016941	0.0208053	0.0332239	0.0186277	0.0279437	0.0220197	0.0271586	0.023748	0.0178365	0.0176238	0.0113384	0.0111276	0.00726567	0.00848847	0.00859384	0.00773715	0.0119439	0.0137984	0.0188989	0.0140338	0.00945723	0.0232118	0.0225908	0.0378384	0.0516165	0.0766205	0.0702691	0.0976535	0.139672
