 	a15	a10	a30	a53	a98	a92	a37	a21	a96	a70	a21	a47	a21	a47	a88	a71	a62	a21	a85	a44	a98	a47	a5	a61	a41	a6	a37	a66	a7	a26	a57	a10	a99	a87	a23	a97	a87	a97	</S>
il	0.0635168	0.0432358	0.0395419	0.0350007	0.0688173	0.032635	0.0513292	0.048879	0.0715973	0.0393081	0.0271209	0.0132958	0.0110743	0.0118526	0.00874637	0.0121174	0.00901989	0.0073654	0.00719459	0.00517134	0.00651525	0.00586066	0.00541779	0.00428943	0.00206589	0.00509662	0.0106297	0.0127749	0.0272702	0.0411368	0.0370453	0.034174	0.025076	0.0329883	0.0273992	0.0316159	0.0300937	0.0281123	0.0256182
se	0.00552004	0.00697476	0.0102762	0.0196541	0.0240318	0.0491465	0.0426682	0.0433636	0.0442483	0.0553836	0.0438394	0.0485235	0.0275354	0.0442898	0.0231442	0.0417103	0.0570224	0.0127297	0.0157166	0.0205112	0.0229302	0.0212702	0.0178533	0.0163569	0.0190264	0.0204804	0.0279134	0.0251474	0.0278139	0.0243663	0.0180276	0.0166744	0.0215265	0.0188623	0.0142178	0.0164694	0.0154241	0.0124483	0.00690133
trouve	0.008092	0.00648626	0.00489077	0.00705892	0.00981435	0.020995	0.0229931	0.0337018	0.0493154	0.0798934	0.0926415	0.103236	0.0751252	0.107084	0.0366192	0.0534528	0.0417593	0.0196374	0.00922582	0.0130647	0.0107023	0.0130323	0.00652846	0.00649115	0.01035	0.00413704	0.00531148	0.00467979	0.00685759	0.00958872	0.00867354	0.00722129	0.00847562	0.0127942	0.0117656	0.0171507	0.0151242	0.0246947	0.0213343
là	0.0185375	0.0254489	0.0280829	0.0407585	0.0311803	0.0441923	0.0455964	0.0512965	0.0306443	0.0263386	0.0180185	0.0155251	0.0235905	0.0208067	0.0129312	0.00961009	0.0162163	0.0209172	0.0226414	0.0320673	0.0380731	0.0345229	0.0377932	0.0380972	0.077843	0.0284098	0.0378	0.0264147	0.0125842	0.0129193	0.00978785	0.00813888	0.0147063	0.015999	0.0154219	0.0170418	0.0153861	0.00915826	0.0155021
où	0.0787604	0.0476416	0.0263223	0.0277062	0.0115051	0.028408	0.0366726	0.0304265	0.0487565	0.0592184	0.0515675	0.052851	0.0463247	0.0399716	0.0182947	0.0289803	0.0169668	0.00626194	0.00930772	0.00651125	0.00701638	0.00429054	0.00596679	0.00382146	0.00604877	0.0113916	0.0132812	0.0114349	0.0121872	0.0107255	0.00665632	0.0106424	0.0113918	0.0173794	0.019878	0.0281122	0.0300121	0.0477928	0.0695157
on	0.0376709	0.0173317	0.00962587	0.0105222	0.00792749	0.0197968	0.0263929	0.0203357	0.0429315	0.0596196	0.0472241	0.0395534	0.0322325	0.0309375	0.0200477	0.038185	0.0253933	0.0138729	0.0112772	0.0121077	0.0107121	0.0115745	0.0130211	0.0103622	0.0121376	0.0134526	0.0170851	0.0185122	0.0304228	0.0313475	0.0281968	0.0357662	0.0337662	0.0414081	0.0324878	0.0378443	0.0317404	0.0334696	0.0337072
vend	0.0701176	0.0356416	0.0154188	0.0149958	0.00710961	0.0106887	0.0151892	0.012363	0.0359025	0.0422494	0.0206397	0.0187133	0.0352307	0.0222122	0.024049	0.0332381	0.0290689	0.0248471	0.0144188	0.0184665	0.00886884	0.0128674	0.019738	0.013123	0.0180846	0.0152018	0.0225562	0.0178257	0.0223856	0.0241811	0.0213904	0.0352953	0.0298977	0.0460271	0.0393551	0.051596	0.0295632	0.0402279	0.0312545
la	0.072632	0.039934	0.0104431	0.00994283	0.00612248	0.0068759	0.00820733	0.00807022	0.0173409	0.021679	0.0147046	0.0136963	0.022358	0.0162822	0.0153135	0.0199918	0.0164341	0.0103597	0.00851745	0.00809539	0.00425826	0.00484968	0.0060284	0.00387109	0.0121382	0.0160814	0.0280192	0.0265582	0.0397343	0.0485591	0.0358956	0.0585627	0.055065	0.0827453	0.0529421	0.0681947	0.0393514	0.0466327	0.0235118
viande	0.0636992	0.0454893	0.0509735	0.0340951	0.0192072	0.0140604	0.0198096	0.0114852	0.0319057	0.0302476	0.0169123	0.0110309	0.0138593	0.0135477	0.0102185	0.0182666	0.013247	0.00918446	0.00779984	0.00710207	0.0049351	0.00798649	0.0179268	0.0201684	0.016125	0.0148628	0.022684	0.0201621	0.0204034	0.0242482	0.015775	0.0239002	0.0215016	0.0420611	0.0496172	0.0607657	0.057484	0.070488	0.0467635
</S>	0.0347837	0.0249931	0.0140792	0.0126955	0.00908076	0.0091491	0.00966026	0.00749522	0.0148107	0.0112621	0.00884004	0.0067027	0.00687085	0.00737958	0.00717891	0.00825735	0.00873966	0.00388524	0.00392888	0.00211839	0.00143164	0.00177728	0.00391403	0.00257038	0.00412444	0.00780752	0.0126353	0.0107529	0.0129461	0.0188232	0.013644	0.0208196	0.0212606	0.0502169	0.051555	0.0988935	0.105663	0.167421	0.181833
