 	a66	a87	a23	a83	a96	a12	a5	a23	a54	a47	a15	a7	a47	a37	a54	a15	a7	a44	a38	a9	a38	a4	a57	a4	a44	a57	a13	a4	a13	a71	a9	a99	a87	a23	a87	a23	a97	a87	a97	</S>
vous	0.041788	0.0452453	0.0404507	0.0320534	0.0381433	0.031264	0.0439335	0.0656983	0.0276958	0.0257578	0.0200608	0.0109543	0.0118251	0.0103859	0.00901451	0.0104551	0.0131111	0.0148331	0.0361307	0.0238689	0.0348339	0.0365804	0.022759	0.0204998	0.0229045	0.0182402	0.019248	0.0176389	0.0300484	0.029548	0.019351	0.0200944	0.0263168	0.0176271	0.0175648	0.0166337	0.0181641	0.0193873	0.010883	0.0290072
montrez	0.0197335	0.0138036	0.0176692	0.0213135	0.0239775	0.0335553	0.0211347	0.0381152	0.058885	0.0616996	0.0738809	0.0677534	0.0707748	0.0289191	0.0222306	0.023269	0.0357231	0.0186114	0.0139633	0.019658	0.0144193	0.0161385	0.0210986	0.027665	0.0326157	0.0163362	0.0132062	0.0111283	0.0101545	0.0118596	0.0117543	0.0121289	0.010834	0.0096687	0.011803	0.0135474	0.0149219	0.0145984	0.020296	0.021155
de	0.0387022	0.0213561	0.0194398	0.0323188	0.0275167	0.0392349	0.0158037	0.0292066	0.0195017	0.0222914	0.0283675	0.0579547	0.0616847	0.0532623	0.0593926	0.0198942	0.0218448	0.0123186	0.0235637	0.0273712	0.00849939	0.0201678	0.0122398	0.0103051	0.009425	0.0119393	0.0171821	0.0176798	0.0195946	0.017104	0.0233394	0.0124746	0.0184708	0.0186996	0.0238076	0.0204657	0.02715	0.0208701	0.0375051	0.0220538
la	0.0677357	0.0357903	0.0257301	0.0176108	0.0212908	0.0158911	0.018023	0.0148374	0.00746843	0.00756447	0.00465923	0.0125886	0.00897004	0.0107486	0.0155128	0.00471757	0.00567746	0.00995505	0.0181014	0.0148393	0.0169924	0.0170624	0.0201995	0.020576	0.0229434	0.0276605	0.0326244	0.0270173	0.0217342	0.0329792	0.0371783	0.0232656	0.0517573	0.0453466	0.0482112	0.0501731	0.0370023	0.039487	0.0363654	0.0537115
gloutonnerie	0.0790283	0.075125	0.0653886	0.0550698	0.087909	0.0443261	0.0690823	0.0526737	0.0376749	0.038725	0.0278534	0.046999	0.0298674	0.0268461	0.0290677	0.0332541	0.0284247	0.029069	0.0349752	0.0187673	0.0159525	0.0117076	0.00456143	0.00469916	0.00278262	0.00341335	0.00535913	0.00361029	0.00571009	0.00472551	0.00342557	0.00239742	0.00270813	0.00185262	0.00303918	0.00188271	0.00197401	0.00388661	0.0022216	0.00396385
en	0.0622165	0.061781	0.0522886	0.0362541	0.0320274	0.0299369	0.0295826	0.0180607	0.0158104	0.0114966	0.0116365	0.0515285	0.0334104	0.0328565	0.0341948	0.043618	0.0387129	0.0314636	0.0367783	0.0290787	0.0286256	0.0206523	0.0171126	0.0184522	0.0144329	0.0130741	0.0277886	0.0176526	0.0140091	0.0161806	0.0110075	0.0228868	0.0108988	0.00989341	0.011257	0.00817023	0.00981961	0.0089182	0.00641835	0.0200163
mangeant	0.051333	0.0568204	0.0512201	0.0550075	0.0416417	0.0398864	0.0288229	0.0259525	0.0213481	0.0205388	0.0254247	0.0669874	0.0344452	0.0236881	0.0269429	0.0208113	0.0168056	0.0212803	0.0244833	0.0214726	0.0229247	0.0215943	0.0187368	0.0198044	0.0135694	0.0121585	0.0171383	0.0117055	0.00760366	0.00874195	0.00660934	0.0188078	0.00870517	0.0102464	0.0180523	0.012853	0.0235642	0.0199097	0.0234133	0.0289483
de	0.078129	0.042761	0.0280308	0.0279896	0.0211371	0.0218492	0.0207648	0.0161255	0.0129727	0.0141192	0.00933154	0.0160365	0.0135042	0.00963419	0.00708903	0.0106363	0.0094549	0.0137399	0.0118333	0.0086665	0.0108953	0.0243622	0.0278321	0.0218147	0.0224082	0.0233752	0.0382877	0.0276653	0.0232567	0.0280485	0.0175468	0.038328	0.0220537	0.0311683	0.0451156	0.0282564	0.0541438	0.0429447	0.0418193	0.0368724
man	0.105341	0.0704892	0.0354006	0.0375409	0.0298273	0.0263453	0.0231134	0.0170315	0.0146069	0.015346	0.0127812	0.018612	0.0162508	0.0119477	0.0130671	0.0133524	0.0160452	0.0351352	0.0544712	0.0485167	0.0557027	0.0526847	0.0284428	0.0243094	0.021622	0.0118532	0.0151371	0.0106664	0.00750448	0.0088125	0.00392164	0.00884687	0.0075534	0.00708908	0.0130791	0.00971224	0.0131758	0.0284828	0.0202454	0.0359367
gues	0.103181	0.0609345	0.0215171	0.0227161	0.0162063	0.0148868	0.0139327	0.0121575	0.011177	0.0131467	0.0102136	0.0199582	0.0236574	0.0192684	0.00857413	0.0114111	0.0188442	0.0549707	0.0357399	0.0255034	0.0198731	0.0235303	0.0152363	0.016123	0.0103648	0.00773868	0.00953787	0.00944695	0.0133213	0.0144504	0.00869828	0.0165169	0.0141892	0.0170049	0.0294527	0.0267915	0.0413586	0.0571086	0.0523743	0.0788854
