 	a87	a23	a87	a10	a87	a99	a54	a6	a37	a85	a37	a98	a47	a37	a26	a21	a47	a24	a31	a62	a88	a75	a85	a66	a62	a47	a21	a85	a5	a18	a31	a24	a62	a83	a70	a83	a13	a9	a10	a87	a23	a99	a3	</S>
les	0.0191387	0.0178371	0.019122	0.027354	0.0325926	0.0349532	0.0403218	0.0419884	0.0485836	0.057207	0.0451722	0.0741121	0.0489518	0.056561	0.0385428	0.0253832	0.0141323	0.0108062	0.00987981	0.0129996	0.0130349	0.0132097	0.0155247	0.0164183	0.0199833	0.0285051	0.0312811	0.0311722	0.0237136	0.0146708	0.0128888	0.00861371	0.00617462	0.00614544	0.00506373	0.00703162	0.00447144	0.00387744	0.00464022	0.00461657	0.00686601	0.00864574	0.00812791	0.0296837
enfants	0.0016973	0.0025977	0.0076767	0.00869021	0.0171525	0.0238898	0.0273162	0.0461737	0.0513578	0.0673604	0.0629167	0.0648812	0.105865	0.0875843	0.124399	0.151368	0.0286172	0.0413184	0.0153692	0.0100814	0.0143748	0.00637869	0.00502742	0.00706075	0.00366282	0.00213879	0.00215	0.00194292	0.000840925	0.000512209	0.000521843	0.000265283	0.000275955	0.000177834	0.000284483	0.000476438	0.000692062	0.000767872	0.000541263	0.000817441	0.00123848	0.000856068	0.00135987	0.00132233
qui	0.0435453	0.0524039	0.0518656	0.0217841	0.0818561	0.0455711	0.0270814	0.0147898	0.0289271	0.0149184	0.0288228	0.0205088	0.0268809	0.0320119	0.0338863	0.0429568	0.03353	0.0375499	0.0270406	0.0280306	0.0440733	0.0365146	0.0312776	0.0192875	0.0325578	0.0227988	0.0333772	0.0141528	0.00743156	0.00430429	0.00467231	0.00210665	0.00138508	0.00140591	0.00149809	0.0019007	0.00289137	0.00482277	0.00266613	0.00500301	0.00472758	0.00480366	0.0161483	0.00623175
ont	0.0286862	0.0142717	0.00968712	0.00416917	0.00540619	0.0034607	0.00607317	0.00700228	0.00727827	0.00532793	0.00589703	0.00944304	0.0140191	0.01259	0.0179973	0.0246266	0.0350166	0.0665242	0.0417345	0.0425248	0.0377291	0.0269439	0.0147122	0.0128258	0.0166249	0.0115779	0.0183209	0.0176035	0.0159535	0.0156005	0.0141984	0.0125888	0.0132604	0.0143947	0.0206778	0.0312511	0.0346033	0.0412295	0.0425531	0.0528829	0.0556961	0.0409041	0.0440369	0.0320946
accepté	0.0150359	0.00883358	0.00419213	0.0023106	0.00396934	0.00358271	0.00580643	0.00222785	0.00355103	0.0019312	0.00369335	0.00483416	0.0126828	0.0140668	0.0172509	0.0254389	0.0373419	0.0716531	0.0969484	0.0961632	0.106135	0.052055	0.0543259	0.0507318	0.061242	0.0271462	0.0276205	0.0317033	0.00782731	0.0173679	0.0100795	0.0120194	0.00657257	0.00678181	0.00773847	0.00713635	0.00819858	0.00907324	0.00905105	0.0126926	0.00992343	0.00994221	0.0142151	0.00890676
d'	0.0146953	0.0129709	0.0115201	0.00717426	0.00641711	0.00535866	0.00705125	0.00463662	0.00811183	0.00685211	0.00925377	0.0190223	0.0291604	0.0217824	0.0265235	0.0483938	0.0826067	0.0489052	0.0960008	0.0495273	0.0509925	0.0751683	0.0295494	0.022022	0.0312516	0.0137183	0.0176168	0.0141864	0.0141759	0.00697802	0.0127141	0.0116515	0.0136286	0.0183783	0.0136562	0.0157094	0.014208	0.0157916	0.0138164	0.0154037	0.0125807	0.01917	0.0176173	0.0140508
aller	0.0264655	0.0324094	0.0266855	0.0251946	0.027064	0.0106603	0.00459132	0.00167415	0.00346841	0.00425735	0.00620425	0.00797769	0.0183446	0.0176039	0.0218994	0.053795	0.0633122	0.0577347	0.0600849	0.0305697	0.0283784	0.0548397	0.0358868	0.0246982	0.0318914	0.0278477	0.0272815	0.0258583	0.0186198	0.0135936	0.0140522	0.00951003	0.0110741	0.00914953	0.00990922	0.0159817	0.0173744	0.0170584	0.0159011	0.0149608	0.0101532	0.0185841	0.0251899	0.022209
au	0.0383111	0.016015	0.00775943	0.00487466	0.00476931	0.00457868	0.00169519	0.00235327	0.00296206	0.0033718	0.00335348	0.00317788	0.00249335	0.00184812	0.00268572	0.00479782	0.00601514	0.00466315	0.00656811	0.00893712	0.00905492	0.0258169	0.0172025	0.0108251	0.0225809	0.0322182	0.0199784	0.0102186	0.0125556	0.00906665	0.0202898	0.0130295	0.0178712	0.00820133	0.0202463	0.0440785	0.0676821	0.0722469	0.048941	0.0765962	0.0919769	0.108495	0.0718136	0.0377831
front	0.0401704	0.0244867	0.0144986	0.00625825	0.00668369	0.00502605	0.00289387	0.00259939	0.00334053	0.00288969	0.0028486	0.00215864	0.00405523	0.00423951	0.00849882	0.0116131	0.0195203	0.0170963	0.0184313	0.0234784	0.022811	0.0518259	0.0235291	0.0124375	0.0399363	0.0418383	0.0350556	0.0240663	0.0131564	0.0115288	0.020197	0.0111351	0.0263241	0.0116801	0.0185793	0.020464	0.0302961	0.0377423	0.0344145	0.0593919	0.0719466	0.0609417	0.0580961	0.0418186
sont	0.0605358	0.0345821	0.025602	0.0234466	0.0287049	0.0195978	0.00651114	0.00615945	0.00869767	0.00741804	0.00975136	0.00903032	0.0127156	0.0116856	0.0160285	0.0197752	0.0105347	0.00778075	0.00592826	0.0170574	0.0247534	0.0142988	0.0218452	0.0216976	0.0272359	0.0409098	0.0214528	0.00978062	0.00783514	0.00495992	0.0109728	0.0118682	0.0223709	0.0199596	0.0251753	0.0259624	0.0359357	0.0435061	0.0246285	0.0400775	0.0304868	0.0538345	0.0591722	0.0597372
des	0.0429599	0.0214417	0.0147056	0.0155615	0.0156708	0.0104884	0.00664999	0.00316085	0.0040451	0.00434001	0.00609159	0.00432769	0.0115566	0.0111878	0.0195696	0.0159426	0.0197466	0.0201763	0.0164557	0.037575	0.0381932	0.0202087	0.0425712	0.0417875	0.0420251	0.0460697	0.0288182	0.018707	0.0111187	0.0101407	0.0140268	0.0161031	0.0198998	0.0161384	0.0245872	0.0267653	0.0321505	0.0332124	0.0230455	0.0329616	0.0235497	0.0368905	0.056522	0.0428536
kamikazes	0.0341295	0.0107046	0.00674702	0.00691765	0.00977235	0.00895548	0.00686091	0.00280475	0.00485137	0.00510416	0.00684079	0.00636042	0.00848336	0.0102573	0.0110617	0.00854167	0.0128303	0.0118123	0.0132955	0.027098	0.0287053	0.0218266	0.0284391	0.0262984	0.0349763	0.0471784	0.0358128	0.0272562	0.00932079	0.0116775	0.0168737	0.0150804	0.0240975	0.0181916	0.0238965	0.0223063	0.0275937	0.0268104	0.0259812	0.0474456	0.0479477	0.046048	0.0780485	0.0947582
</S>	0.0284086	0.0166983	0.00983794	0.0106421	0.0114604	0.00866445	0.00582082	0.00562793	0.00889377	0.00623684	0.00563079	0.00236839	0.00314202	0.00271545	0.0034748	0.00396264	0.00761007	0.00590727	0.00779224	0.0115315	0.00886332	0.0108118	0.0115983	0.0119158	0.0165648	0.0404015	0.0329201	0.0297719	0.0138152	0.0159246	0.0190946	0.0131861	0.0172425	0.0189406	0.0276818	0.0299912	0.0342657	0.0369501	0.038987	0.0543793	0.0704575	0.0766077	0.0641238	0.139078
