 	a66	a87	a23	a79	a53	a94	a21	a12	a43	a31	a61	a75	a85	a5	a43	a75	a85	a6	a0	a43	a75	a85	a6	a0	a85	a25	a44	a94	a11	a75	a56	a11	a93	a13	a38	a62	a5	a37	a26	a82	a87	a23	a87	</S>
celui	0.0764322	0.0608331	0.0631319	0.0451259	0.0221236	0.0206196	0.0203253	0.0162697	0.0520034	0.0319911	0.023737	0.0189589	0.0187544	0.0177197	0.0209038	0.0118474	0.0107357	0.0102258	0.0112519	0.0058526	0.00700818	0.00573904	0.00736287	0.00968706	0.0135921	0.0205661	0.018668	0.0225296	0.0145773	0.0123015	0.0119056	0.0133439	0.0168899	0.0181054	0.0172573	0.0117846	0.0141727	0.0212498	0.0300923	0.0252104	0.0319712	0.026937	0.0272846	0.0429203
qui	0.00770532	0.00960691	0.00900526	0.00837111	0.0116287	0.0127391	0.0104672	0.0136062	0.0232843	0.0383863	0.028475	0.0272594	0.0407115	0.0311074	0.0522537	0.0231003	0.0360574	0.0185131	0.0225153	0.0237565	0.0363366	0.0299409	0.0338532	0.0364466	0.0347049	0.0348719	0.0295597	0.0196905	0.0239147	0.0187139	0.0137537	0.0177303	0.0160155	0.0239283	0.0272752	0.0218958	0.0293715	0.0167282	0.0164691	0.0181401	0.0144543	0.0142069	0.014944	0.00850436
m'	0.0174706	0.00957642	0.00760167	0.00496093	0.00776479	0.0129247	0.0143693	0.0208747	0.0346033	0.0568952	0.0555083	0.0455854	0.0562662	0.0484639	0.0369966	0.0349087	0.0554693	0.0342111	0.0531409	0.0407078	0.0358997	0.0271896	0.016861	0.0124131	0.0155586	0.0214228	0.027694	0.0243739	0.0286213	0.0195322	0.00925256	0.00533401	0.0036942	0.00534962	0.00506992	0.0031977	0.00346036	0.00417825	0.00534281	0.00840891	0.0107087	0.0139009	0.0208432	0.023393
a	0.0376967	0.0169333	0.0107383	0.00863918	0.00425957	0.00297656	0.00347388	0.00565592	0.0046869	0.00628086	0.00871226	0.00724329	0.00818441	0.00849823	0.00562341	0.0061073	0.0100846	0.0181027	0.0243476	0.0317635	0.0377311	0.0578722	0.0344304	0.0394046	0.0219806	0.0143202	0.0151063	0.0176302	0.0263398	0.0252591	0.0231743	0.0127592	0.0115392	0.0163457	0.0405007	0.0285619	0.0491987	0.0472364	0.0483613	0.0407273	0.0364116	0.0398679	0.0467301	0.0385027
fait	0.0840048	0.0525267	0.0210011	0.014927	0.0145626	0.00875935	0.0101942	0.0141972	0.0131639	0.0140877	0.0138608	0.0110624	0.0120117	0.0135268	0.00862208	0.016989	0.0252393	0.0376151	0.041731	0.0645013	0.0720189	0.0610343	0.0433143	0.0404609	0.0237409	0.0145845	0.0128016	0.0125317	0.0143697	0.0141978	0.0116193	0.0100475	0.00742309	0.0176653	0.0194359	0.0113774	0.0199851	0.0115372	0.0114311	0.0140241	0.0122054	0.0164367	0.0209432	0.0142298
goûter	0.0257535	0.0157964	0.00911788	0.00674105	0.00802295	0.0207851	0.0190295	0.0264976	0.0221865	0.0133196	0.0155966	0.0145343	0.011864	0.0129766	0.0126847	0.0367608	0.0402435	0.0592311	0.0350464	0.0577541	0.0380558	0.0380981	0.0403393	0.0680164	0.0457216	0.0238726	0.0196009	0.0210563	0.0192945	0.0218773	0.0198076	0.0209765	0.0180514	0.0223986	0.0143477	0.0052387	0.0131827	0.00713793	0.00934356	0.011418	0.0128201	0.0123472	0.0142057	0.0188496
des	0.0207008	0.0121153	0.00656623	0.00318848	0.00275324	0.00352926	0.0036296	0.00927908	0.00822015	0.0117415	0.0138814	0.0112719	0.0111777	0.0117213	0.0116887	0.0186523	0.0366585	0.0565468	0.0525	0.0420565	0.0337764	0.0242821	0.0177961	0.0198917	0.0195298	0.0223164	0.0205226	0.027274	0.0246734	0.02889	0.024197	0.0213076	0.0203518	0.0292032	0.0276385	0.0104909	0.0268263	0.0283474	0.0261947	0.0412091	0.0512812	0.0399268	0.0477379	0.0184565
beignets	0.0115703	0.0065734	0.00353945	0.00289315	0.00241073	0.00257544	0.00271438	0.00595511	0.00654128	0.00829519	0.0081754	0.00925471	0.0089977	0.0113885	0.0128047	0.0144214	0.0305137	0.052218	0.0402169	0.0491427	0.0348121	0.0413428	0.0485307	0.0465673	0.0370733	0.0285218	0.016593	0.0224114	0.0222189	0.0176764	0.02043	0.02318	0.0212327	0.0353672	0.0415304	0.0161114	0.0294635	0.0293503	0.0240842	0.0309315	0.0391483	0.0282485	0.0366872	0.0182848
et	0.0296634	0.0172945	0.0190517	0.0207475	0.0129826	0.00880582	0.0118924	0.0226639	0.0121268	0.0125848	0.0143252	0.0145624	0.0112007	0.0143152	0.0105424	0.0143538	0.0153889	0.0361722	0.0276695	0.0213972	0.017901	0.0141872	0.013808	0.0118955	0.0116818	0.013574	0.0131596	0.0284239	0.025093	0.0239121	0.0259423	0.0262397	0.0160352	0.0229142	0.0220513	0.0132545	0.014088	0.0203924	0.0329857	0.0370516	0.0459382	0.0451248	0.0703604	0.0862444
du	0.0209415	0.0109815	0.0118888	0.0146125	0.00840597	0.00755219	0.0103035	0.0178972	0.00914077	0.00987483	0.0139924	0.0127121	0.01084	0.0123716	0.00992583	0.0138135	0.0145687	0.0253995	0.0233865	0.0165501	0.0129995	0.0124798	0.0100669	0.0105772	0.0128965	0.0168341	0.0168935	0.021611	0.0198145	0.0189629	0.0188789	0.0200598	0.0170394	0.0248489	0.034289	0.0213841	0.0242448	0.0408962	0.0573123	0.0452824	0.0570676	0.0632772	0.0671113	0.0800132
