 	a87	a23	a87	a23	a96	a75	a6	a37	a85	a6	a37	a85	a6	a61	a96	a62	a83	a66	a75	a21	a75	a93	a70	a93	a70	a13	a9	a99	a87	a23	a87	</S>
mes	0.0373455	0.0494736	0.0373507	0.0413584	0.0340023	0.0505196	0.0572004	0.124796	0.104462	0.0649637	0.0253386	0.0161171	0.0185669	0.019569	0.0331164	0.0316993	0.0229606	0.0134362	0.0138284	0.0157471	0.0212809	0.0147501	0.0190122	0.0177183	0.0170814	0.0170914	0.0152951	0.0149734	0.0135587	0.0136825	0.010341	0.0133635
parents	0.00443525	0.0080831	0.0108652	0.0126965	0.015462	0.0310202	0.0555535	0.119636	0.219152	0.201572	0.104951	0.0613941	0.0179264	0.01038	0.00355573	0.0025892	0.00288706	0.00275317	0.00158354	0.00204889	0.00427174	0.0025098	0.00569846	0.00748419	0.00782981	0.00991649	0.0113664	0.0113752	0.00986447	0.0117713	0.0158109	0.0135555
paternels	0.0660522	0.0314218	0.0236347	0.0116318	0.00974713	0.0321346	0.0358543	0.0586794	0.0704571	0.0663255	0.0985177	0.0620375	0.028107	0.00900762	0.0141941	0.0112113	0.0136642	0.00773165	0.00544718	0.00388294	0.00872947	0.00761064	0.00925339	0.0210468	0.0148217	0.0253831	0.0342342	0.0436451	0.0429383	0.0445124	0.0617286	0.0263566
se	0.034538	0.0169858	0.0126962	0.00588958	0.0026997	0.00313781	0.00291066	0.00335841	0.00502	0.00847715	0.0131291	0.00817953	0.00895339	0.0061276	0.0180474	0.0161932	0.0162906	0.023406	0.0232473	0.0147614	0.023718	0.0280902	0.0324044	0.0483918	0.0488369	0.0951873	0.0816399	0.0861212	0.064594	0.0974457	0.0975934	0.0519281
sont	0.156492	0.0859236	0.0639446	0.0296134	0.0243452	0.0205765	0.00607169	0.0101989	0.0145971	0.0204878	0.0286789	0.0512525	0.0605536	0.0407823	0.0542986	0.0353759	0.0559094	0.0140379	0.0192953	0.0132059	0.0153195	0.0100477	0.0118585	0.00915047	0.011229	0.0140184	0.0183476	0.0164251	0.018787	0.0238469	0.0278205	0.0175086
accordés	0.146539	0.0786343	0.0619468	0.0292377	0.0164752	0.011972	0.00349682	0.00430696	0.00663797	0.00808784	0.010912	0.0303956	0.0493519	0.0441099	0.0501108	0.0380728	0.050863	0.020814	0.0210535	0.0159314	0.0219631	0.024452	0.0245411	0.0128986	0.0201375	0.0120134	0.0340078	0.0338872	0.0461047	0.0314175	0.0256772	0.0139504
avec	0.103727	0.0349626	0.0209479	0.0177344	0.00941513	0.00567557	0.00310435	0.00317161	0.00399155	0.00519933	0.0106678	0.017013	0.0154897	0.0150702	0.0173651	0.0195133	0.0490548	0.0302362	0.02099	0.0264755	0.0222764	0.0248523	0.0499089	0.0312316	0.0407337	0.0306636	0.0602957	0.0548144	0.0765283	0.049733	0.0526939	0.0764635
ma	0.045824	0.0286309	0.0228075	0.0225488	0.0180629	0.0123272	0.00852874	0.00835209	0.0107152	0.0123672	0.011343	0.0114772	0.012932	0.0125211	0.0143418	0.0122847	0.0212933	0.0116405	0.0143815	0.0209499	0.0382659	0.0355563	0.0692887	0.0575064	0.0876155	0.0735588	0.0710216	0.0603509	0.0575846	0.0437163	0.0430641	0.0291416
famille	0.0382326	0.0441376	0.0371846	0.0470646	0.026588	0.02251	0.0165723	0.0227306	0.0165088	0.0150063	0.0164967	0.019148	0.0250923	0.0412591	0.0302458	0.0247504	0.0319013	0.0209055	0.0222277	0.0177666	0.0248911	0.0123814	0.0207548	0.0162754	0.0329792	0.0305516	0.0425383	0.0472293	0.042166	0.0520777	0.0481178	0.0937086
maternelle	0.0348957	0.0399283	0.0261414	0.0333465	0.0292948	0.0245171	0.0260595	0.0292945	0.0285448	0.0229149	0.0142757	0.00865042	0.00985084	0.0102448	0.0110971	0.00965846	0.0113646	0.00558484	0.0117269	0.0140114	0.0239215	0.0163661	0.0348156	0.0257608	0.040915	0.0338055	0.0729853	0.0735882	0.0804851	0.0666495	0.0527678	0.0765367
</S>	0.0477629	0.0460051	0.0351865	0.0448434	0.0327639	0.0169031	0.012956	0.0154714	0.0135419	0.0155725	0.017694	0.0169614	0.0269704	0.0315052	0.0404745	0.0464112	0.0448811	0.0253835	0.0399624	0.0402796	0.0403813	0.0210841	0.0188451	0.027799	0.0359732	0.0304279	0.0355525	0.0416731	0.0328631	0.0320641	0.0329445	0.038862
