 	a23	a87	a23	a20	a73	a0	a32	a20	a73	a32	a54	a73	a94	a53	a90	a13	a54	a44	a84	a87	</S>
il	0.0823846	0.0591838	0.126938	0.0619813	0.150322	0.0404716	0.0305785	0.0334561	0.0533294	0.0489362	0.0336177	0.0222796	0.0170641	0.0280881	0.0335529	0.0254676	0.0283923	0.0179014	0.0173551	0.0273442	0.0613552
est	0.0131784	0.015818	0.0198318	0.0252998	0.0472121	0.045531	0.0860611	0.114849	0.0545439	0.0238851	0.0295694	0.0201355	0.0138302	0.0247772	0.0210641	0.0248403	0.0275007	0.0415178	0.0532034	0.10681	0.190541
en	0.0114987	0.00839215	0.00914539	0.00830035	0.0107288	0.0152041	0.0314329	0.0348542	0.028231	0.0225091	0.0184145	0.0243607	0.0475124	0.102338	0.0566741	0.117544	0.0922946	0.129093	0.0772355	0.0912241	0.0630124
train	0.0289945	0.0190348	0.0111509	0.0112091	0.0092247	0.0191592	0.0450483	0.0649297	0.0851352	0.111583	0.175323	0.0750066	0.0833486	0.0337284	0.0203468	0.0180099	0.0177844	0.0254606	0.0392444	0.0438029	0.0624756
de	0.0911051	0.0180855	0.0358197	0.0139902	0.0174511	0.0219626	0.0582709	0.0372701	0.0177625	0.0145613	0.020292	0.0153309	0.0195296	0.0802822	0.0590479	0.0709074	0.0450499	0.0616585	0.0459383	0.0873662	0.168318
bêcher	0.0327525	0.0195772	0.0221173	0.0115317	0.0116836	0.0147608	0.0170894	0.0134141	0.0226133	0.0454396	0.0649815	0.0674632	0.0471382	0.0783347	0.0945285	0.082856	0.0612912	0.0634612	0.0642064	0.0670425	0.0977173
dans	0.052382	0.0180658	0.0179845	0.00991258	0.00592338	0.00443267	0.00637755	0.00485503	0.0111576	0.0106574	0.027252	0.0253721	0.0492014	0.0390515	0.064861	0.100128	0.090442	0.122192	0.0736365	0.130527	0.135587
sa	0.0682411	0.0285188	0.0346828	0.0286762	0.0168042	0.0197248	0.02816	0.0248162	0.0244757	0.0358526	0.0533884	0.0691562	0.0600317	0.0818211	0.0881338	0.0659652	0.0398488	0.0530778	0.0630371	0.0613819	0.0542057
plantation	0.0455064	0.0208357	0.0159709	0.00576227	0.00397805	0.00721022	0.0115173	0.018233	0.0418689	0.0473101	0.0719591	0.085412	0.0735344	0.0537879	0.111194	0.109077	0.0638762	0.053527	0.0552691	0.0613468	0.0428228
</S>	0.0266931	0.0110204	0.00740822	0.00879547	0.00388131	0.00767691	0.0112374	0.00667149	0.00976351	0.0146869	0.0566968	0.0268775	0.0344577	0.0818314	0.113557	0.0979646	0.098636	0.107784	0.0873953	0.114601	0.0723639
