 	a87	a23	a87	a10	a83	a62	a31	a88	a0	a75	a5	a61	a21	a5	a18	a61	a62	a0	a24	a9	a99	a97	a87	a23	a34	a25	a56	a25	a92	a34	a35	a25	a90	a13	a53	a93	a96	a75	a25	a94	a12	a35	a75	a44	a90	a25	a21	a47	a56	a70	a83	a71	a9	a99	a87	a23	a97	a99	a97	</S>
pour	0.0545956	0.0677167	0.0327034	0.0186136	0.0235954	0.0258853	0.0154557	0.0180801	0.0104393	0.0103294	0.00998458	0.0106316	0.0147021	0.0173494	0.0240211	0.0133446	0.00987216	0.00675683	0.00902778	0.00490417	0.00418767	0.00654204	0.00530459	0.00720599	0.00646557	0.0158208	0.0144027	0.0190917	0.0243786	0.0171312	0.019748	0.0246521	0.0128336	0.0121239	0.0201354	0.00979448	0.0138219	0.0099261	0.0159674	0.0119709	0.0150792	0.0163261	0.0141011	0.0131254	0.0159865	0.0122702	0.0173692	0.0173666	0.013064	0.01567	0.0190511	0.0153076	0.0193361	0.0168467	0.0171163	0.0155939	0.0214406	0.0168994	0.0199976	0.0185388
arriver	0.0162365	0.0152675	0.0170337	0.0170615	0.016961	0.0172332	0.0172072	0.0242237	0.0193972	0.01454	0.0156788	0.0126386	0.0256167	0.0147739	0.0220967	0.020561	0.0154848	0.0421511	0.0342238	0.0355495	0.0501289	0.05472	0.0701841	0.040562	0.0355226	0.0336651	0.0213521	0.0199809	0.0218752	0.014375	0.0180074	0.0171547	0.0119074	0.0109399	0.0161636	0.00816941	0.00546214	0.00513866	0.00939439	0.00965462	0.0133366	0.00905501	0.00649643	0.0034403	0.00266401	0.00342668	0.00258595	0.00284631	0.00295145	0.00287087	0.00459346	0.00398518	0.00447662	0.00321657	0.00406947	0.00567251	0.00544141	0.00750959	0.00796669	0.0151006
chez	0.0140794	0.0165426	0.0179182	0.0165566	0.016021	0.0196017	0.026746	0.0320098	0.0419861	0.0253686	0.0224398	0.0187744	0.0170682	0.00808155	0.0203784	0.0203778	0.00975289	0.00749669	0.0146642	0.00879757	0.00495464	0.0109204	0.00628894	0.00895444	0.00823919	0.0104249	0.00826015	0.00955871	0.00955583	0.00895063	0.0108516	0.0225161	0.0216713	0.0262263	0.0227317	0.0453601	0.0310973	0.0283467	0.03269	0.0294323	0.0271241	0.0352122	0.0282382	0.0228923	0.0179181	0.0249075	0.0189584	0.0114715	0.00546628	0.00305509	0.00462021	0.00484265	0.00566531	0.00468862	0.00758817	0.00914011	0.0118716	0.00661243	0.0103164	0.00771818
nous	0.0261969	0.0132672	0.0214342	0.0113257	0.0133999	0.0099988	0.0168161	0.0157555	0.0151184	0.00789919	0.0109246	0.0193933	0.0106996	0.0206144	0.027362	0.0142061	0.0199401	0.00880474	0.0101581	0.00662413	0.00617731	0.00696741	0.00966008	0.00725158	0.0109373	0.00627031	0.00992346	0.00607635	0.010219	0.0135455	0.0191499	0.0170261	0.0262795	0.0294097	0.021592	0.0387476	0.0263319	0.0307	0.0294918	0.0339026	0.0253912	0.0262038	0.0357762	0.026381	0.0406154	0.0262265	0.0223522	0.0137536	0.0178679	0.0161164	0.00852718	0.00901002	0.0105039	0.0100134	0.00834442	0.00880376	0.007924	0.00813222	0.00887201	0.0095864
il	0.0223727	0.0126285	0.011425	0.00689918	0.00893311	0.00771081	0.00886235	0.0163793	0.0150771	0.00759337	0.0134453	0.027952	0.0124304	0.026627	0.0181949	0.0130562	0.0257302	0.0311248	0.0123334	0.0244928	0.0333323	0.0123203	0.021605	0.0235381	0.0567328	0.015456	0.0132494	0.00616423	0.00865071	0.0249706	0.0294685	0.0276711	0.0260666	0.0422966	0.021466	0.0217801	0.026112	0.0268155	0.0208376	0.0153875	0.0102154	0.010197	0.0127734	0.00995753	0.0110073	0.0102813	0.0110231	0.0130846	0.00679371	0.012157	0.00624118	0.00722795	0.00981697	0.00696075	0.00940804	0.0104372	0.0139913	0.00984612	0.0139454	0.00744554
faut	0.0112825	0.0107992	0.010301	0.00803618	0.0112045	0.0109388	0.0119544	0.00880226	0.00583286	0.00414016	0.0058713	0.0171731	0.0161321	0.0131739	0.0145566	0.00998642	0.0237923	0.0298186	0.0119397	0.0303863	0.0300957	0.0181222	0.0186269	0.0267699	0.0405897	0.0207804	0.0205538	0.0178014	0.0303476	0.044758	0.0490624	0.0633219	0.0508452	0.0710591	0.0363092	0.047295	0.0314822	0.0346112	0.0155562	0.00655567	0.00381973	0.00175537	0.00203562	0.00152867	0.00166483	0.00135271	0.00171692	0.00303143	0.00166839	0.00407463	0.000835134	0.00244579	0.00314814	0.00321057	0.0043606	0.003916	0.00478539	0.00318117	0.00710568	0.00369739
suivre	0.0353806	0.0317693	0.0260958	0.0202756	0.0154086	0.0189426	0.0121409	0.00892089	0.00567559	0.0044067	0.00323081	0.00399893	0.00949779	0.00586391	0.0098817	0.00881432	0.0121949	0.0131999	0.0144595	0.0170659	0.0167124	0.0246372	0.0204802	0.0259971	0.0295243	0.036066	0.0257905	0.0400023	0.0709994	0.0618036	0.0335746	0.0449836	0.0282172	0.0246838	0.0179438	0.0130301	0.00751067	0.00765944	0.00602693	0.00324419	0.00341065	0.00166317	0.00190918	0.00251919	0.00260274	0.00320959	0.00571836	0.00911512	0.00651589	0.0117958	0.00515852	0.00923389	0.0133025	0.013637	0.0172612	0.0145507	0.016358	0.0149747	0.0208451	0.0101071
le	0.07092	0.0445501	0.0399987	0.017976	0.0174395	0.0175966	0.00920904	0.00944601	0.00560423	0.00396013	0.00227268	0.00248143	0.00784827	0.00957582	0.0155992	0.0101228	0.00845146	0.00811979	0.00975149	0.00591592	0.00661496	0.0114559	0.0108879	0.0156329	0.0207777	0.0280652	0.0270139	0.0329153	0.0451853	0.0256181	0.0191492	0.0141591	0.0090941	0.0101749	0.00947066	0.00780495	0.00722808	0.00644168	0.00798114	0.00426649	0.00474402	0.00414666	0.00613174	0.00941354	0.0129667	0.00895548	0.0178	0.0207022	0.0187877	0.041213	0.0183759	0.0204778	0.0258132	0.0221176	0.0228597	0.0180866	0.0233659	0.0231699	0.0217918	0.0223036
côté	0.0106622	0.00391091	0.00811066	0.00459373	0.00377146	0.00417612	0.00356376	0.00272886	0.00273998	0.00211833	0.00191834	0.00610451	0.0124452	0.0157911	0.0445197	0.0270879	0.0208598	0.0190129	0.038646	0.0212962	0.019705	0.0310326	0.036035	0.0447157	0.0519274	0.0208604	0.0398584	0.0284606	0.0518532	0.0320987	0.0240601	0.0119802	0.0158949	0.00981832	0.0127985	0.012737	0.00496283	0.00822806	0.0136677	0.0129777	0.0134905	0.00802166	0.0121257	0.0100678	0.00636404	0.00537086	0.0109005	0.011893	0.00833214	0.0145964	0.00752541	0.0127697	0.0139623	0.0134516	0.01691	0.0162644	0.0183616	0.0139938	0.0421087	0.00576017
droit	0.0356822	0.0122525	0.0267189	0.00968709	0.00783522	0.00896261	0.0126406	0.0094011	0.010379	0.0147747	0.0118341	0.0136233	0.0308297	0.0265488	0.0554785	0.0549772	0.0254278	0.0254714	0.0435316	0.0281044	0.0237669	0.0263916	0.0204187	0.0280903	0.023147	0.0215435	0.0153737	0.0129699	0.0187022	0.0124574	0.0107585	0.012276	0.0084979	0.00580054	0.00418149	0.00486682	0.00202418	0.00272289	0.00329516	0.0040078	0.00413695	0.00310306	0.00475228	0.00476238	0.00497145	0.00406663	0.00831666	0.0123959	0.00926558	0.0103361	0.00588628	0.00973947	0.0106171	0.0126665	0.0205741	0.0239406	0.0282132	0.0314875	0.0398471	0.025468
