 	a66	a87	a23	a79	a5	a23	a85	a5	a12	a21	a5	a0	a61	a96	a21	a5	a25	a79	a56	a98	a47	a25	a69	a58	a57	a3	a97	a87	a23	a87	a97	a3	</S>
cette	0.051313	0.0521931	0.0618711	0.0371734	0.0271005	0.0271388	0.0190652	0.011773	0.0143015	0.00600703	0.00458376	0.00270002	0.00273243	0.00459688	0.00607522	0.0090878	0.0141175	0.00812343	0.0119722	0.0188424	0.0186934	0.0284813	0.0308603	0.0499825	0.0293271	0.0581122	0.0485934	0.0790008	0.0569068	0.0524242	0.0606641	0.0233013	0.072884
manière	0.0057615	0.0143444	0.0308802	0.0769104	0.179789	0.085091	0.0608185	0.0504223	0.0879216	0.0544146	0.016347	0.0122419	0.0159729	0.0480229	0.0407534	0.0613203	0.0413078	0.0181567	0.026718	0.0249678	0.0144013	0.00534779	0.00449559	0.00242806	0.00143645	0.00108676	0.000849934	0.00211573	0.00118028	0.00220638	0.00456599	0.0045131	0.00320983
de	0.054758	0.0282681	0.0206447	0.0158279	0.0105591	0.0182355	0.0315296	0.0209658	0.00959822	0.0145196	0.0124825	0.00880738	0.00673233	0.0069897	0.00902676	0.00609452	0.00877806	0.0202999	0.00950734	0.0232951	0.0228377	0.037146	0.0263811	0.0428207	0.0414983	0.0560947	0.0691994	0.0856022	0.0722299	0.0510264	0.0465839	0.0805122	0.0311475
tenir	0.0724578	0.0522616	0.0153293	0.00597363	0.00412759	0.0123981	0.0204485	0.0211552	0.0161903	0.0302094	0.0724478	0.0331356	0.0490264	0.0293785	0.0291437	0.0364673	0.0620908	0.0216265	0.02016	0.0177572	0.0158709	0.0200555	0.0168261	0.0193271	0.0213396	0.0187124	0.0232547	0.0215504	0.0309199	0.0518665	0.0498257	0.0553708	0.0332954
le	0.215958	0.146144	0.0484768	0.0102635	0.00502762	0.00595131	0.00723113	0.00454097	0.00746253	0.0046724	0.00663929	0.00453088	0.00858675	0.0157451	0.023513	0.0323588	0.0531821	0.0226792	0.0447957	0.0378185	0.0194157	0.0159447	0.0110367	0.0119228	0.0112505	0.00949902	0.0174104	0.0234458	0.0177391	0.0310455	0.04536	0.0227501	0.0576015
fil	0.0767905	0.0684977	0.0378041	0.017354	0.0120505	0.0105175	0.011174	0.00872786	0.010546	0.0208803	0.0234805	0.0153216	0.011653	0.0114827	0.0142328	0.0141819	0.0177143	0.0287002	0.0636404	0.0822141	0.0652556	0.0375643	0.0188271	0.0299698	0.0222448	0.0202638	0.0292791	0.0332653	0.0469544	0.0268321	0.0276072	0.0479605	0.0370121
fatigue	0.0686197	0.0725397	0.0566454	0.0260746	0.0205292	0.0244038	0.0186593	0.0171845	0.0231946	0.029825	0.0361245	0.0433783	0.0382663	0.0346524	0.0322606	0.0240449	0.0240301	0.0249317	0.0447637	0.032101	0.0220985	0.0125664	0.00894202	0.0112488	0.00974102	0.010776	0.0152371	0.023363	0.0318789	0.0256934	0.0361682	0.0527782	0.0472793
les	0.082943	0.071013	0.0592298	0.0177265	0.0142141	0.00906594	0.00824982	0.007071	0.00885023	0.021087	0.0229734	0.0119922	0.0139821	0.0166692	0.0263205	0.0280883	0.0235411	0.0298418	0.0386862	0.0419523	0.0351801	0.0262064	0.0219371	0.0202473	0.0295467	0.0312489	0.0480796	0.0338561	0.0481905	0.0261083	0.0286927	0.0520215	0.0451873
mains	0.053913	0.0426285	0.0204467	0.0148254	0.00965006	0.0095199	0.0121986	0.0163038	0.0180522	0.015727	0.0125607	0.0104245	0.00954863	0.0130982	0.0157252	0.0126679	0.0161117	0.0164309	0.0212578	0.0273548	0.0242758	0.0285187	0.0378216	0.0381683	0.0552263	0.0482117	0.0650803	0.0490116	0.0637545	0.0501387	0.0456338	0.0572307	0.0684825
</S>	0.0552961	0.0419438	0.0359118	0.0185728	0.0147776	0.00912584	0.00917333	0.00955234	0.0134271	0.0114786	0.00923032	0.00991956	0.00956622	0.0228576	0.0187329	0.0177993	0.021585	0.0159413	0.0237799	0.0307971	0.0264959	0.0247342	0.0351306	0.0416672	0.0509007	0.0509237	0.055492	0.0458041	0.0685607	0.0518159	0.0455538	0.0524768	0.0509759
