 	a66	a87	a97	a87	a23	a87	a23	a50	a90	a62	a12	a62	a88	a24	a62	a93	a90	a93	a70	a98	a13	a11	a90	a69	a4	a57	a40	a36	a37	a70	a83	a66	a26	a82	a57	a3	a97	a87	a97	a87	a97	a87	</S>
l'	0.0299893	0.029413	0.0219108	0.034003	0.0191922	0.0254247	0.0237276	0.0145175	0.0151447	0.0123926	0.0165308	0.0177397	0.0106308	0.00601322	0.0122554	0.0212026	0.0166307	0.0173096	0.0197237	0.0125234	0.0273512	0.0273233	0.0245512	0.0219546	0.0257284	0.0341058	0.0397321	0.0279506	0.0245056	0.0352845	0.0340477	0.0274571	0.034332	0.0400847	0.015451	0.0196568	0.0206226	0.0169335	0.0195013	0.0142978	0.0323787	0.0225506	0.0379232
autre	0.00257032	0.00346005	0.00551166	0.00528003	0.00807572	0.0115403	0.0247279	0.0234664	0.0199067	0.0180859	0.0175029	0.0686777	0.0531516	0.0357237	0.0570654	0.107106	0.0461895	0.0520357	0.0500415	0.0245823	0.0343932	0.0370644	0.0366795	0.0281448	0.042011	0.0361484	0.0411969	0.0250199	0.0144738	0.0166709	0.00853256	0.00966057	0.00487722	0.00620873	0.00223176	0.00265688	0.00322569	0.00235072	0.00223501	0.00218339	0.00387565	0.00424639	0.00121096
chose	0.0220317	0.00798212	0.0157318	0.0113645	0.0135686	0.0282381	0.0459399	0.0551108	0.0697608	0.052476	0.0375391	0.059251	0.0821695	0.0437331	0.0422212	0.0898855	0.0315843	0.0320925	0.0351586	0.0110655	0.0148661	0.0199065	0.0137169	0.00818599	0.0138502	0.0253964	0.0139973	0.0177438	0.00815034	0.00650469	0.00496051	0.009011	0.00594588	0.0108712	0.00416157	0.00618535	0.0040415	0.00423678	0.00526416	0.00503554	0.0040373	0.00596806	0.00105844
qu'	0.191413	0.080074	0.0997158	0.0375861	0.0107408	0.00840651	0.00916548	0.00819507	0.0186605	0.0188064	0.0232445	0.0192644	0.0354071	0.0296266	0.0292864	0.042657	0.0162919	0.0159062	0.015827	0.00998737	0.0177704	0.0240363	0.0127127	0.0112829	0.0103705	0.00594452	0.00398986	0.00506675	0.004491	0.00632538	0.00611478	0.00639744	0.00505514	0.00358251	0.00655446	0.010142	0.00968114	0.0145372	0.0133331	0.0174783	0.02695	0.0151427	0.042779
il	0.0904281	0.0353935	0.0502297	0.0280565	0.0141016	0.00861526	0.00952861	0.00698961	0.0109339	0.0114797	0.0127587	0.00925795	0.0180505	0.0166908	0.0128513	0.0191943	0.0189155	0.0170983	0.0126043	0.0219513	0.0143982	0.0186911	0.0184034	0.0236921	0.0330764	0.0242804	0.0247074	0.0275114	0.0219501	0.0305347	0.0349258	0.0197583	0.0169798	0.0207993	0.0147738	0.0213626	0.0171607	0.0193627	0.0186966	0.0259121	0.0371123	0.0300762	0.0607052
m'	0.0378777	0.0257184	0.0229872	0.019234	0.0140011	0.0111116	0.0121376	0.00780706	0.00898309	0.00935057	0.019928	0.0108684	0.0193945	0.0219458	0.0137988	0.0296605	0.0292976	0.0301295	0.0305722	0.0444158	0.0327103	0.0398492	0.0353573	0.0330628	0.0318962	0.0325301	0.0259664	0.0233253	0.0218819	0.00798404	0.0252088	0.010903	0.0132895	0.00505777	0.0103011	0.0207656	0.0119554	0.0211296	0.0311102	0.0224901	0.0284101	0.0478759	0.0477201
a	0.0396815	0.0186125	0.0111821	0.0177928	0.0184446	0.0168628	0.0240615	0.020981	0.0163918	0.0212792	0.0192639	0.0109771	0.0173006	0.00932542	0.00739672	0.0259166	0.0467776	0.0447257	0.0426707	0.0633988	0.0470853	0.0603715	0.0449106	0.0448842	0.0391763	0.0457986	0.041424	0.0329167	0.0252529	0.00570764	0.0141816	0.00990886	0.00901951	0.00433526	0.00432988	0.00737633	0.00360572	0.00867187	0.0102504	0.0116928	0.0113138	0.012675	0.0120685
promise	0.0471013	0.0296589	0.0159884	0.0259079	0.0201168	0.0201955	0.0236745	0.0241373	0.0234342	0.0277014	0.0224417	0.0182576	0.0216744	0.00495575	0.00716837	0.02716	0.0482261	0.0317118	0.0346047	0.0206922	0.0145091	0.011698	0.00954479	0.00932249	0.0087222	0.0151484	0.0183448	0.0202504	0.0236377	0.00973055	0.0220006	0.0196203	0.0284728	0.0150222	0.0172343	0.0307286	0.0172564	0.0400947	0.0351978	0.0457874	0.0353661	0.0356361	0.0218651
c'	0.0146668	0.0170028	0.0147221	0.0156482	0.00959263	0.0116402	0.0143135	0.0078756	0.0078918	0.00860763	0.00545853	0.00514345	0.00513705	0.00236414	0.00254381	0.00691532	0.00836823	0.0108514	0.0126494	0.0158257	0.0121627	0.00930179	0.00572138	0.00681249	0.00658439	0.00685398	0.00831499	0.0129905	0.0232257	0.0160044	0.0508825	0.0350308	0.0545757	0.0138682	0.0299319	0.0540823	0.0453899	0.0535837	0.0754785	0.0424671	0.0686192	0.0737431	0.0971567
était	0.0448062	0.0313443	0.025389	0.0282286	0.0157579	0.0093308	0.0104195	0.0126512	0.0146975	0.0158585	0.0149471	0.00862302	0.0151188	0.0119754	0.0109223	0.0231029	0.0458297	0.0507975	0.0604987	0.0489821	0.0647411	0.0316233	0.0206435	0.0247959	0.0168559	0.0237112	0.0169124	0.0136418	0.0116691	0.0132067	0.0183168	0.0168415	0.0208586	0.0198049	0.0166996	0.0212458	0.0149632	0.0202568	0.0183293	0.0231337	0.0204057	0.0229479	0.0291141
