 	a87	a79	a15	a92	a37	a38	a21	a96	a61	a0	a21	a85	a73	a2	a53	a15	a73	a58	a84	a53	a90	a4	a57	a58	a61	a47	a88	a62	a31	a88	a9	a75	a47	a6	a36	a26	a57	a97	a87	a23	a87	</S>
il	0.0530341	0.0498572	0.0832488	0.102266	0.0556231	0.102066	0.131822	0.08408	0.0568073	0.0244116	0.0159757	0.0163125	0.0130979	0.00734215	0.0125948	0.00459706	0.00387238	0.00207297	0.00159187	0.00160499	0.00204554	0.00395806	0.00300083	0.00419973	0.00311695	0.00206595	0.00150294	0.0016315	0.00186593	0.00615936	0.00741717	0.00526454	0.00683228	0.00898458	0.0153938	0.0137362	0.016673	0.0159834	0.0138694	0.0145939	0.0132421	0.0161845
y	0.00144175	0.00106114	0.00180045	0.00373026	0.0218846	0.0308546	0.0387371	0.0823434	0.0631046	0.0581273	0.0394437	0.0625083	0.0445267	0.0217755	0.0199749	0.0231933	0.0271225	0.0278104	0.0222586	0.0162286	0.0139656	0.00920704	0.00856304	0.00750275	0.0079577	0.00785262	0.00827179	0.00850279	0.0126803	0.0180785	0.0304959	0.0375271	0.0293592	0.0376178	0.0293185	0.0271756	0.0283968	0.0203968	0.0185808	0.012054	0.0124324	0.00613531
a	0.0115721	0.00557812	0.00453339	0.00655133	0.0110781	0.0492977	0.0628017	0.0753339	0.0427744	0.0571621	0.0287627	0.0362461	0.0244831	0.0054369	0.00516265	0.00266223	0.00307458	0.00301611	0.00209229	0.00144997	0.00205214	0.00275577	0.00200459	0.0026617	0.0016808	0.0023861	0.00345153	0.00658134	0.00838295	0.00903795	0.0181936	0.0291207	0.0316589	0.06039	0.0356597	0.0483822	0.0573358	0.0519567	0.0414948	0.0399161	0.0457935	0.0600337
de	0.0261049	0.015177	0.0105111	0.0134555	0.0111651	0.0167138	0.0261218	0.0649867	0.0668112	0.0510408	0.0922579	0.0733673	0.0555152	0.0454764	0.039262	0.0488575	0.0469727	0.0364997	0.0312665	0.0302016	0.0186883	0.0124229	0.0218575	0.0143805	0.0159743	0.0131244	0.0119906	0.00615816	0.00625454	0.00465752	0.00424092	0.00364147	0.00352498	0.0043895	0.00399735	0.00674734	0.00483269	0.00871303	0.00665719	0.00637833	0.00797488	0.0116289
vieilles	0.0219412	0.00785445	0.00622071	0.00722247	0.0135762	0.0232208	0.0354648	0.0532399	0.0432227	0.0400793	0.0283812	0.0303623	0.0406178	0.0334074	0.0312469	0.0259048	0.0299606	0.0327251	0.0270175	0.020281	0.0223436	0.015161	0.0198326	0.0137639	0.0154575	0.010355	0.00716	0.00670568	0.00790139	0.00902841	0.0102922	0.01057	0.0166986	0.0330445	0.0293748	0.0312241	0.0323895	0.0328807	0.0323188	0.0285587	0.0268702	0.0361215
pirogues	0.0261088	0.02206	0.0246548	0.0263179	0.0210503	0.0278237	0.0206517	0.0463987	0.0546492	0.0435502	0.046835	0.0318614	0.0323986	0.0215213	0.03389	0.0219324	0.0295233	0.0188242	0.0212675	0.022312	0.0193534	0.0151839	0.0153159	0.0152358	0.029572	0.0390683	0.0210094	0.0153754	0.0117884	0.0118939	0.0100786	0.00930153	0.0111702	0.017302	0.0172157	0.0150299	0.0237289	0.0266361	0.0191305	0.022912	0.0216582	0.018409
sur	0.0144586	0.0148293	0.0125202	0.0156846	0.0269134	0.0345052	0.0403582	0.0252172	0.0184099	0.0219836	0.0163987	0.014952	0.0159416	0.0175344	0.0143028	0.0165734	0.0175979	0.0146509	0.011791	0.012701	0.0146127	0.0178588	0.0248402	0.026366	0.0214068	0.0181239	0.0194186	0.0229419	0.0187868	0.0166327	0.0158106	0.0120303	0.0165672	0.0379997	0.0352743	0.034464	0.0307338	0.0559759	0.0402022	0.0406675	0.03989	0.062072
le	0.0284953	0.0212812	0.0127828	0.0147385	0.0223202	0.0226874	0.0227334	0.0173206	0.0102805	0.0113534	0.0100104	0.0113645	0.0079937	0.0118245	0.0122748	0.0158731	0.0185085	0.0111923	0.00756684	0.0101462	0.0114909	0.018251	0.0191225	0.0172787	0.0141408	0.0104433	0.0104034	0.0110648	0.0113815	0.0177886	0.0125052	0.0116948	0.0197939	0.0309567	0.0484448	0.0428155	0.0608088	0.0713298	0.0593756	0.0606659	0.0697245	0.0697705
débarcadère	0.0272494	0.0369895	0.0424443	0.0435999	0.0368202	0.0280721	0.0465807	0.0395905	0.0290201	0.0234581	0.0267373	0.0376949	0.0262915	0.0173286	0.0114989	0.0131942	0.0160568	0.0140747	0.00787744	0.0071993	0.00911078	0.0103539	0.0180913	0.0131727	0.0173083	0.0181224	0.0191117	0.0181822	0.0177489	0.00936516	0.0139089	0.0186519	0.0185697	0.0266836	0.0281996	0.0260407	0.0348829	0.0349053	0.0218203	0.0257477	0.0319186	0.0363247
d'	0.0171036	0.0218478	0.0224577	0.0245078	0.0194571	0.0172138	0.0281091	0.0397339	0.0259862	0.0265057	0.0248087	0.0298246	0.0263774	0.0187194	0.0131045	0.0155407	0.0206828	0.0175816	0.00798572	0.0095083	0.0089706	0.00776185	0.0113624	0.00838555	0.0118288	0.0100394	0.00539392	0.0152628	0.0140416	0.00868671	0.0154135	0.0177744	0.0155882	0.0419615	0.0373049	0.0317441	0.0435077	0.0616564	0.0389163	0.0439014	0.0614905	0.0619513
akoo-	0.034887	0.0317228	0.0511653	0.0478773	0.0408806	0.0465084	0.0797987	0.050395	0.0319033	0.0326012	0.0235894	0.0323418	0.0292818	0.0162664	0.0104874	0.00904695	0.0124549	0.0121894	0.0054975	0.00510865	0.00807632	0.00735633	0.00976285	0.00682712	0.00786554	0.00880965	0.0058106	0.0154236	0.0168067	0.0109021	0.0148769	0.0179602	0.0206167	0.0238206	0.0269282	0.0205609	0.0255259	0.026432	0.0199313	0.0223924	0.0298848	0.0494256
akoo	0.0187163	0.0228321	0.026631	0.0331721	0.0436795	0.0642851	0.106679	0.061172	0.0406538	0.0369641	0.0105688	0.0226433	0.025929	0.00983653	0.00661842	0.00496492	0.00650782	0.00631339	0.00380565	0.00267569	0.00394178	0.00423363	0.00726634	0.005598	0.00666197	0.00771598	0.00617342	0.00795349	0.00902003	0.0126673	0.0152371	0.0161268	0.0242865	0.0325747	0.0340407	0.0317959	0.0439517	0.0386964	0.0273465	0.0301082	0.0409013	0.039054
</S>	0.00940673	0.00692387	0.00563694	0.00845068	0.00977293	0.0139506	0.0211277	0.0125979	0.00733318	0.00715058	0.00329701	0.00592575	0.00545212	0.00441559	0.00393094	0.00488561	0.00729628	0.00944914	0.0075029	0.00540616	0.00637077	0.00669272	0.00953303	0.00802028	0.0124414	0.00688171	0.00370079	0.00594271	0.00995037	0.0108312	0.0218681	0.0168517	0.0481032	0.0865044	0.116595	0.0751397	0.073305	0.0597525	0.0667188	0.0588674	0.0817816	0.0542346
