 	a87	a97	a87	a23	a50	a62	a34	a21	a85	a5	a18	a31	a0	a21	a47	a83	a38	a70	a99	a18	a99	a9	a87	a23	a99	a50	a24	a62	a0	a75	a25	a44	a13	a75	a12	a83	a88	a71	a25	a87	a23	a87	a23	a99	a97	</S>
cet	0.0639936	0.0861327	0.0714507	0.0475805	0.0309993	0.0244442	0.0267768	0.0329211	0.0324257	0.0335926	0.0134295	0.00804103	0.0195382	0.0115321	0.0136374	0.00888504	0.0117473	0.0135643	0.0132443	0.017638	0.0199818	0.0157159	0.0161032	0.0136004	0.0162797	0.0108212	0.0120151	0.0133823	0.0172723	0.0175604	0.0152121	0.0232044	0.0165587	0.00918505	0.0112593	0.0158792	0.011815	0.0142991	0.0151374	0.015296	0.0111797	0.0183098	0.0150358	0.0182585	0.0268061	0.028257
agrume	0.0226614	0.0216385	0.0338035	0.0307821	0.0358912	0.0307693	0.0355693	0.0546164	0.0465968	0.0439946	0.0447886	0.0336677	0.04335	0.0572372	0.0555192	0.0587667	0.0418366	0.0376006	0.0285359	0.03014	0.0257696	0.0141403	0.0161417	0.00878512	0.00998957	0.00735444	0.00785939	0.00650078	0.00764667	0.00963133	0.0089508	0.004844	0.00735501	0.00529197	0.00362154	0.0026646	0.00290792	0.00519502	0.00360558	0.0074129	0.00741137	0.00471038	0.00616573	0.00863121	0.00982724	0.00982031
est	0.0554491	0.038105	0.0384724	0.0330594	0.0211444	0.0160535	0.0152301	0.0191069	0.0211203	0.0334651	0.0164372	0.00870178	0.00831005	0.0140524	0.0176626	0.0245889	0.0308827	0.0335213	0.0228316	0.0296247	0.0407927	0.0123914	0.0221479	0.0129954	0.0102764	0.00710223	0.00627517	0.00334712	0.00525281	0.00480352	0.00516151	0.00638448	0.0055928	0.00630934	0.0104331	0.00963965	0.0170696	0.0213756	0.0129564	0.0220624	0.0508683	0.0421339	0.0464461	0.0459471	0.0446271	0.0297887
encore	0.0578314	0.0365654	0.0307004	0.0346429	0.0171823	0.00997217	0.0110234	0.010954	0.00880772	0.00939562	0.00419247	0.00831803	0.00435196	0.00566554	0.0124057	0.0192356	0.0127178	0.0145493	0.0159887	0.0147607	0.0221218	0.00976613	0.0178564	0.0144439	0.0150962	0.0154254	0.0310302	0.0119512	0.0113826	0.00959467	0.010273	0.0138346	0.0153218	0.00985032	0.0107669	0.00629267	0.0167681	0.0208966	0.0206523	0.0334097	0.0454797	0.0435272	0.0482566	0.062753	0.0572617	0.0867262
immature	0.0243712	0.0248743	0.01786	0.0220765	0.0181145	0.0174329	0.0224315	0.0223715	0.0183107	0.0239051	0.0239645	0.0308205	0.0238759	0.0241602	0.0369585	0.0509345	0.0396105	0.0391092	0.0454997	0.0408315	0.0389031	0.0254209	0.0283351	0.0183244	0.0127282	0.00925968	0.0111236	0.00874089	0.00959114	0.0104776	0.0087982	0.0104125	0.0102313	0.00879541	0.0102721	0.00920649	0.00620333	0.00777799	0.00936006	0.0104837	0.0154974	0.020737	0.0187851	0.0337495	0.0318977	0.0473745
celui-là	0.0201162	0.0124208	0.0116163	0.0190175	0.0158563	0.0205931	0.0251038	0.0317472	0.0281059	0.0499998	0.029656	0.0760126	0.0502499	0.0501984	0.0447256	0.0551088	0.0400694	0.0424667	0.0530685	0.0392452	0.0451945	0.0390712	0.0468503	0.0168754	0.0125602	0.00703559	0.0072201	0.00263694	0.00298231	0.00560037	0.00331398	0.00421737	0.00420348	0.00312501	0.00184113	0.00333343	0.00154653	0.00237319	0.0053125	0.00421237	0.00484457	0.00652258	0.00657314	0.0122608	0.0176417	0.0172734
est	0.0287812	0.0137771	0.0136433	0.0170036	0.00908562	0.00683978	0.00621726	0.006144	0.00374849	0.00874609	0.00591142	0.0121415	0.00777191	0.0107182	0.00843136	0.0214146	0.0171368	0.0218452	0.0124508	0.016395	0.0190506	0.0101034	0.0184362	0.0104103	0.0113666	0.0110461	0.0174108	0.0161355	0.021278	0.0244472	0.0273414	0.0267938	0.0182773	0.0308062	0.0269799	0.0177766	0.0220094	0.0304079	0.0252089	0.0263335	0.0403566	0.0523362	0.0436952	0.0472326	0.0533296	0.103227
déjà	0.0191926	0.0127196	0.0106182	0.0093901	0.00692621	0.00600016	0.00598232	0.00916217	0.00634941	0.00917238	0.0132986	0.018853	0.0157287	0.0211982	0.0200044	0.0194986	0.0176569	0.0148642	0.0114576	0.0188908	0.0112829	0.0139999	0.0145921	0.019046	0.0219246	0.0238381	0.0245543	0.0282243	0.0224327	0.0233898	0.0209439	0.0249863	0.0306994	0.0290012	0.0300585	0.0251153	0.0251394	0.0377766	0.0312781	0.0283296	0.0301426	0.0527649	0.0346103	0.0403839	0.0547272	0.0337937
mûr	0.0162423	0.0110019	0.013097	0.011069	0.00774113	0.0073988	0.00837084	0.00939228	0.00675566	0.00769944	0.0107054	0.0192977	0.0091638	0.0165684	0.0185249	0.0218248	0.0177295	0.0185285	0.0161308	0.0191122	0.0155981	0.025832	0.0255277	0.0331686	0.0352152	0.0427138	0.0395838	0.0344598	0.0221881	0.0215873	0.0198975	0.018568	0.0278379	0.0249139	0.0193693	0.0148053	0.0192008	0.0288433	0.0231106	0.0206494	0.027637	0.0505225	0.0237391	0.0283903	0.0404224	0.049864
</S>	0.0189347	0.0131564	0.00965175	0.00972517	0.00780353	0.00766793	0.00787079	0.00986644	0.00708554	0.0119085	0.0129807	0.027296	0.0242557	0.0234222	0.018177	0.033359	0.0344206	0.0220658	0.0220226	0.0363492	0.0270667	0.0249656	0.0231955	0.0152577	0.017677	0.0118062	0.0168798	0.0175243	0.0202587	0.0259577	0.0258646	0.0242405	0.0153093	0.0278468	0.0204169	0.0220801	0.0132995	0.0177645	0.0168836	0.0171645	0.0167626	0.0441821	0.0268132	0.0317245	0.0531966	0.0678421
