 	a66	a87	a23	a87	a23	a9	a53	a93	a96	a31	a88	a24	a31	a88	a9	a83	a9	a53	a56	a44	a70	a11	a0	a93	a90	a92	a5	a37	a26	a53	a44	a57	a3	a87	a23	a87	a85	</S>
une	0.031469	0.0438201	0.0341182	0.0515555	0.0535768	0.0314507	0.010649	0.00680569	0.013951	0.0157496	0.0255277	0.0163688	0.042265	0.0373705	0.0621726	0.0211792	0.0135364	0.0156863	0.0112274	0.0128882	0.00972944	0.0125386	0.0177144	0.0208275	0.0222816	0.0198696	0.0245331	0.0223502	0.0461521	0.0579935	0.0335261	0.0388881	0.0195164	0.0201048	0.0171259	0.0241145	0.0114692	0.0298976
longue	0.00439217	0.00525492	0.00762657	0.00766667	0.0125467	0.00883089	0.00526779	0.00543609	0.00839445	0.0134261	0.00824223	0.0328693	0.0135527	0.023293	0.0125513	0.0447571	0.0495955	0.0404842	0.0236233	0.0522152	0.0686584	0.0391185	0.0357238	0.0487125	0.0848004	0.0362517	0.0489637	0.0442553	0.0588895	0.0418759	0.0143374	0.0189504	0.0121156	0.0134119	0.0153454	0.0151818	0.0132231	0.0101584
maladie	0.0136303	0.00831144	0.013481	0.0156752	0.028496	0.0360128	0.0168442	0.0229079	0.0284942	0.0551477	0.0356441	0.118827	0.0457424	0.0491813	0.0288397	0.0362646	0.0317231	0.0185581	0.00756007	0.0129735	0.00923018	0.0123937	0.0182214	0.0218878	0.0221567	0.0103666	0.0144847	0.0346614	0.0347253	0.0254416	0.0224621	0.0172735	0.0139941	0.0267496	0.0281819	0.0178332	0.029554	0.0160676
l'	0.0580788	0.0366107	0.0323309	0.0301748	0.0268378	0.0233571	0.04413	0.0388808	0.0271094	0.0236978	0.0222933	0.0613021	0.0310246	0.016551	0.0350971	0.0285437	0.0282724	0.0241022	0.0320964	0.0298093	0.0319802	0.0431521	0.0209312	0.012904	0.0135867	0.00754839	0.00776255	0.0118068	0.0114242	0.0135959	0.0128431	0.0127075	0.0199983	0.0190055	0.0245205	0.0209223	0.0204897	0.0445207
a	0.0181699	0.0139992	0.0253996	0.0406391	0.0231955	0.0301356	0.036713	0.0496245	0.00939649	0.0192133	0.0438497	0.0619084	0.0751447	0.0523454	0.0773536	0.029957	0.0273396	0.0188825	0.0267996	0.0330181	0.0225702	0.0327994	0.0173587	0.0134277	0.0168157	0.0132857	0.00869879	0.00564541	0.00712305	0.00787555	0.0125788	0.0140916	0.017134	0.0146243	0.0234727	0.0172037	0.0155325	0.0266774
fait	0.0520667	0.0318885	0.0330461	0.0408989	0.0330038	0.0495461	0.0402961	0.053257	0.0249549	0.034732	0.0450435	0.060797	0.0743127	0.0541743	0.0871017	0.0237304	0.0109568	0.00768328	0.00771504	0.017283	0.0111136	0.0114357	0.0077735	0.00893547	0.00976726	0.00804138	0.00565852	0.0048075	0.00537787	0.00543693	0.0106681	0.0117977	0.0195791	0.0179477	0.0188345	0.0143103	0.0196399	0.0263874
échouer	0.0494643	0.0270453	0.0320059	0.0399506	0.0451745	0.0526506	0.0543365	0.0597798	0.0254612	0.0307425	0.0259303	0.0384985	0.0268989	0.0222585	0.0385893	0.00886323	0.00700072	0.00644922	0.00624229	0.0174173	0.00645404	0.0104584	0.00783779	0.00584739	0.0105749	0.00654605	0.00820346	0.00973263	0.0141441	0.0209744	0.0243958	0.0279038	0.0368144	0.0335732	0.0351914	0.0393608	0.0332956	0.0539322
à	0.0464729	0.0310502	0.0346121	0.0293813	0.0235511	0.0250207	0.0212619	0.0159452	0.0119321	0.0173284	0.00940559	0.0122628	0.00642955	0.00970792	0.0112035	0.00614981	0.00556482	0.00455086	0.00274022	0.00480909	0.00206118	0.00244165	0.00224307	0.00111201	0.00118477	0.00284691	0.0040405	0.0135864	0.0243149	0.0363429	0.0336412	0.0412768	0.0665798	0.0755289	0.0711132	0.0935365	0.0637635	0.135006
l'	0.0246601	0.0213025	0.0213163	0.0195118	0.011939	0.0135429	0.0114471	0.0114626	0.00816971	0.0170023	0.0136371	0.0172213	0.0155731	0.0242025	0.0294717	0.0356636	0.0259967	0.0177821	0.0148728	0.0142093	0.0122272	0.013356	0.0133479	0.0114091	0.00897303	0.0150621	0.0137469	0.0205451	0.0287966	0.0309736	0.0542076	0.0484758	0.0542885	0.0635955	0.0621094	0.0504852	0.0599271	0.0694886
école	0.0146616	0.0140531	0.0148814	0.0157695	0.0125585	0.00789669	0.00691506	0.00851831	0.00474322	0.00901203	0.0111679	0.020106	0.01459	0.0235622	0.0457354	0.0290485	0.0181527	0.0166869	0.015013	0.0129278	0.0148641	0.0158702	0.0131048	0.0110389	0.00652565	0.00828857	0.00695934	0.00661687	0.0143045	0.0215074	0.0476905	0.0551024	0.071353	0.0667434	0.0970012	0.0519432	0.0884198	0.0866665
</S>	0.0639183	0.0490476	0.0303042	0.0292354	0.0190455	0.0155728	0.00668051	0.0050611	0.00842365	0.00976236	0.00166231	0.00306775	0.00177281	0.00436012	0.00832161	0.00472117	0.00252765	0.00168985	0.00143414	0.00216686	0.00164929	0.00276204	0.00382949	0.00269673	0.00298547	0.00594533	0.00769135	0.0100577	0.0218048	0.0367436	0.0640311	0.0694811	0.0807543	0.0720537	0.092833	0.0644046	0.0712302	0.12027
