 	a66	a87	a23	a3	a87	a99	a54	a47	a6	a85	a47	a36	a44	a93	a75	a85	a92	a37	a75	a92	a37	a12	a96	a61	a21	a85	a36	a37	a26	a82	a57	a87	a23	a99	a97	</S>
les	0.0266183	0.032456	0.0452271	0.030709	0.0293938	0.0366148	0.0891526	0.0503095	0.0713265	0.0793644	0.0595684	0.0230625	0.0127615	0.00673513	0.00625618	0.00782104	0.0106737	0.00964275	0.0111243	0.043579	0.016009	0.0217569	0.0378386	0.0410468	0.0192572	0.00968294	0.0149365	0.0147205	0.0133185	0.0121973	0.0126649	0.0181611	0.0183031	0.0163476	0.0156801	0.0356821
habitants	0.00407112	0.00642771	0.0063959	0.010211	0.0137396	0.0145159	0.0379747	0.0481264	0.102791	0.08295	0.086131	0.089771	0.117193	0.0315855	0.0881265	0.0348278	0.0454271	0.0488871	0.0346589	0.0231374	0.0121501	0.00461666	0.00342216	0.0021815	0.00176616	0.00323548	0.00326695	0.00310618	0.00325888	0.00482142	0.00346238	0.00527531	0.00671621	0.00683348	0.00726224	0.00167701
de	0.0116718	0.0164018	0.00826949	0.0131212	0.0163945	0.0320662	0.042918	0.0774644	0.0442737	0.0511138	0.0291131	0.0601483	0.0743464	0.0342767	0.0567738	0.0571677	0.0657946	0.0343024	0.0343916	0.0185081	0.0291174	0.0171752	0.0150266	0.011759	0.00668953	0.00961007	0.0147718	0.0172101	0.0177349	0.0158139	0.0119953	0.0138137	0.0113503	0.0112301	0.015174	0.00301043
ce	0.0330534	0.0149918	0.00998596	0.0096189	0.00733443	0.0121781	0.00678409	0.0180766	0.019799	0.0242891	0.027112	0.0654896	0.0639412	0.0175627	0.0318253	0.0260107	0.0199584	0.0189605	0.0202357	0.0133183	0.03155	0.0267252	0.019807	0.0248689	0.020699	0.0210724	0.0298934	0.0477772	0.0415252	0.0416171	0.0355	0.0320339	0.0365747	0.0422723	0.0438916	0.0436664
vil	0.0351554	0.0268959	0.019988	0.0258604	0.0232556	0.0474419	0.0477339	0.0557785	0.0429939	0.0269032	0.0259712	0.0372125	0.0523882	0.0321874	0.0429529	0.0515751	0.0475202	0.0411008	0.055664	0.0192688	0.0239636	0.026219	0.0222795	0.0182844	0.0175142	0.00827235	0.0149074	0.0153656	0.0157516	0.0186637	0.00828966	0.00688899	0.0087502	0.0142068	0.0131567	0.00963845
lage	0.0390175	0.0304036	0.0251458	0.0334274	0.0258393	0.0402159	0.0352231	0.0296322	0.0266901	0.0136233	0.00797064	0.011704	0.0157294	0.0212543	0.03081	0.0402876	0.0510421	0.0453505	0.0603178	0.0396636	0.0615158	0.0552386	0.0609004	0.0436263	0.0266143	0.0147152	0.0186262	0.0143498	0.0161048	0.0149999	0.00874657	0.00674986	0.00666031	0.00949519	0.0100443	0.00826422
sont	0.0540158	0.045724	0.033936	0.0361304	0.0308305	0.0311245	0.0300777	0.024795	0.0196732	0.0169756	0.00883194	0.0112557	0.0116939	0.0107451	0.0158087	0.0360574	0.0423249	0.0278061	0.0442016	0.0514847	0.0643759	0.0383308	0.0412748	0.0341395	0.0198795	0.019432	0.0241944	0.0216666	0.0249567	0.0235117	0.0147325	0.0142296	0.0144922	0.0173135	0.0214798	0.0224977
partis	0.0227922	0.0208253	0.0176196	0.0210192	0.0271107	0.0226546	0.0247751	0.0121371	0.0145885	0.0141626	0.00781048	0.00795544	0.0104415	0.00871224	0.0134191	0.0240566	0.0423498	0.0322641	0.0460523	0.0459945	0.0862604	0.0481767	0.0528667	0.0499563	0.0321168	0.0258864	0.0302815	0.0361532	0.0354846	0.0281362	0.026349	0.0219874	0.0165025	0.0260809	0.0240719	0.0229486
à	0.0268225	0.0282116	0.0258382	0.0231579	0.0196949	0.016931	0.0224235	0.00940321	0.0123683	0.013434	0.00712659	0.00893978	0.0101335	0.00561536	0.00636019	0.0147664	0.0146776	0.00799813	0.0182033	0.0365665	0.0270428	0.0176335	0.0223066	0.0238122	0.0117644	0.0192139	0.0188496	0.0432045	0.0398393	0.0419819	0.0501292	0.0539338	0.0478434	0.0629367	0.0725869	0.118249
la	0.0390419	0.0389405	0.0324142	0.0282122	0.0276104	0.0244057	0.0291994	0.0124357	0.0126231	0.0165203	0.0105261	0.0169193	0.0171073	0.0154076	0.0201561	0.0313422	0.0304217	0.0196013	0.0324611	0.0526388	0.0409062	0.0248949	0.0278559	0.0277771	0.0199454	0.0177487	0.0258694	0.0253502	0.0305815	0.027151	0.023543	0.0257999	0.034271	0.0374874	0.0398728	0.0629609
chasse	0.0404753	0.036444	0.0339967	0.0349108	0.0350028	0.0341075	0.0393873	0.0221842	0.0148722	0.017789	0.0160769	0.0212411	0.0279521	0.0308579	0.0268847	0.0483049	0.0440704	0.0294579	0.0461425	0.0487173	0.0326898	0.0346267	0.0294886	0.0287523	0.0187006	0.0116646	0.0142201	0.0169057	0.0182152	0.0141174	0.0146388	0.013949	0.0146273	0.0179313	0.0244641	0.046133
</S>	0.0263704	0.0181999	0.0217322	0.0181778	0.0107015	0.0108451	0.0159413	0.00442856	0.00579891	0.00777334	0.00551792	0.00733159	0.00800447	0.00688122	0.0041877	0.00776353	0.00800306	0.00468505	0.00953877	0.0336425	0.012131	0.0144121	0.0167328	0.0282384	0.0231127	0.0314559	0.0408826	0.0512451	0.0541601	0.0576687	0.0566106	0.0644347	0.0437606	0.0691434	0.0517171	0.148769
