 	a87	a23	a87	a23	a30	a4	a93	a56	a44	a56	a76	a69	a4	a75	a21	a47	a31	a83	a9	a99	a87	a23	a87	a40	a36	a61	a88	a31	a24	a75	a85	a43	a11	a31	a0	a31	a75	a56	a96	a66	a24	a88	a9	a10	a87	a23	a87	a97	a87	</S>
le	0.0203307	0.0233927	0.0165589	0.0132427	0.0148895	0.022301	0.0239129	0.0384701	0.0381112	0.0582458	0.0491586	0.052474	0.0277651	0.0174264	0.0148103	0.0127795	0.00942972	0.00916844	0.0156057	0.0158997	0.0230466	0.0150089	0.0171075	0.0137172	0.014914	0.0159546	0.0179808	0.0148428	0.0125308	0.00984567	0.017804	0.0156253	0.0190517	0.012849	0.015466	0.0195601	0.0120279	0.0136792	0.0100204	0.0122148	0.0101935	0.0115502	0.014587	0.0180745	0.0203481	0.0237294	0.0191888	0.0179751	0.0174265	0.0497068
mari	0.00721318	0.00786531	0.0112009	0.0199201	0.0240285	0.0314767	0.034981	0.0442434	0.0355453	0.0468558	0.0211655	0.0219132	0.0348988	0.0425399	0.0352761	0.0473861	0.039357	0.0386338	0.0586264	0.0293069	0.0522222	0.0513367	0.0389196	0.024564	0.0169997	0.0260212	0.0324175	0.0122466	0.00922561	0.00652488	0.0125816	0.00813284	0.0107436	0.00743762	0.00499165	0.00397247	0.0111974	0.00466049	0.00336386	0.00275909	0.000829476	0.00103727	0.0011272	0.000970312	0.00211646	0.00157297	0.00184473	0.00223523	0.00323004	0.0122838
est	0.015117	0.0179503	0.0153522	0.0164753	0.0188954	0.0277188	0.0541623	0.0830665	0.0664121	0.0385496	0.0404984	0.0476836	0.023596	0.0164495	0.0208375	0.0160455	0.0145443	0.0183068	0.0210602	0.034321	0.0294413	0.0337311	0.0419964	0.0335796	0.0364333	0.0221331	0.020666	0.0272874	0.03284	0.0137513	0.013891	0.00961133	0.006748	0.00283679	0.00395705	0.00212472	0.00265768	0.00370612	0.00168579	0.00261096	0.00244454	0.00259439	0.00275245	0.0034031	0.00480406	0.00508962	0.00904726	0.0094994	0.00670545	0.00492848
mort	0.0126814	0.00677672	0.00654881	0.00574765	0.00583275	0.00386875	0.00637145	0.00952889	0.00976649	0.0061808	0.0107834	0.00845449	0.0155086	0.0139931	0.011409	0.0126591	0.0133828	0.0277437	0.0372401	0.0410889	0.0258255	0.0558203	0.0588762	0.107331	0.0912327	0.0595335	0.0446752	0.0284689	0.0370265	0.0342295	0.0105796	0.0201193	0.0151841	0.00862663	0.0144726	0.0114844	0.00592041	0.00837261	0.00386448	0.00597136	0.00424518	0.00823931	0.00732442	0.00997253	0.007372	0.00972954	0.0090224	0.00978922	0.00774483	0.0133789
et	0.0245817	0.0136628	0.0151018	0.0131987	0.0177592	0.0157815	0.0100796	0.0111783	0.0160842	0.0169483	0.0305371	0.0274656	0.0460444	0.0493281	0.0663796	0.0541703	0.0663034	0.0396044	0.0464298	0.0518008	0.0494708	0.0319805	0.0264096	0.0337361	0.0178901	0.0195561	0.013292	0.0108928	0.00843685	0.0113396	0.00852194	0.0102063	0.0131585	0.00671748	0.00979495	0.0069356	0.00566306	0.00583595	0.00366015	0.00401382	0.00358666	0.00243263	0.00409581	0.00417838	0.00511904	0.00761492	0.00653604	0.00808547	0.00833938	0.0200597
a	0.00988114	0.00613518	0.00498549	0.00340099	0.00307328	0.0033987	0.00252481	0.0037213	0.00788363	0.0113615	0.0186302	0.0139046	0.0242424	0.0239139	0.0257209	0.0326323	0.0483638	0.0433684	0.0516481	0.0587284	0.0430032	0.0478658	0.0435641	0.093125	0.0697291	0.0488995	0.0422247	0.0316828	0.0239385	0.018444	0.0152348	0.0171393	0.0147206	0.00788034	0.0083048	0.00453627	0.00360072	0.00348355	0.00264268	0.00268998	0.0025625	0.00147449	0.0024155	0.00388948	0.00477818	0.00777904	0.00615557	0.00879364	0.0081989	0.0137242
laissé	0.0169077	0.0111641	0.00912247	0.00585687	0.00751763	0.00790557	0.0076682	0.0103593	0.01862	0.0205598	0.0183311	0.0195003	0.0256546	0.0173097	0.0157743	0.0230536	0.0274165	0.0192494	0.0294102	0.0392992	0.0315688	0.0296559	0.0192002	0.0550797	0.0483162	0.0291111	0.0218989	0.0395526	0.0386471	0.0282233	0.0176003	0.0172942	0.0133534	0.00770771	0.0104851	0.0075243	0.00843423	0.00961467	0.00630897	0.00878402	0.0137395	0.00618951	0.0100505	0.0142621	0.0233423	0.0271833	0.0311859	0.0302335	0.0190806	0.0256917
sa	0.0205096	0.00834685	0.00916673	0.00613884	0.00769598	0.00864984	0.00949478	0.00888042	0.0129598	0.0143764	0.0142329	0.0111456	0.0198284	0.0144181	0.0123108	0.0146557	0.0159333	0.0200407	0.0391984	0.0272547	0.025141	0.0266129	0.0245435	0.0275942	0.032328	0.0199271	0.0204203	0.0581754	0.0463983	0.0273821	0.0280446	0.0201885	0.0149731	0.00941244	0.0150296	0.00953177	0.0116119	0.0112715	0.00631862	0.00993912	0.0124642	0.00697309	0.0138226	0.0199594	0.0298134	0.0320466	0.0450903	0.0463885	0.0263472	0.0270128
femme	0.0180365	0.0083575	0.0101341	0.00628242	0.00574932	0.00553509	0.00908819	0.00885427	0.00589053	0.00753066	0.00899356	0.00517906	0.00950004	0.00835762	0.00736015	0.00774041	0.0143254	0.0258724	0.0763863	0.028693	0.0373758	0.0411078	0.0497147	0.0358154	0.0281492	0.0387159	0.0338563	0.05007	0.0405772	0.037468	0.0282306	0.0233041	0.0162383	0.0127964	0.0162038	0.00621724	0.00628405	0.00578286	0.00472004	0.00678952	0.00929968	0.00785025	0.0145147	0.0110063	0.0208672	0.0260782	0.0246625	0.0413232	0.030651	0.0164633
dans	0.0159286	0.0103738	0.0121777	0.00938088	0.00577011	0.00500631	0.00687272	0.00711819	0.00553852	0.00595638	0.00723769	0.00512073	0.0144033	0.0118593	0.0117932	0.0102481	0.0147147	0.0195298	0.0305853	0.0238722	0.0294828	0.0312071	0.0276321	0.0283925	0.0187676	0.0153574	0.0120826	0.015934	0.0158754	0.0195118	0.0175687	0.0148023	0.0127287	0.0146427	0.0123605	0.0134475	0.016604	0.0149739	0.0127905	0.0161627	0.0197585	0.0119331	0.0222028	0.0479751	0.0442071	0.0642878	0.0400314	0.0465056	0.0528524	0.0564342
