 	a23	a87	a23	a20	a73	a26	a76	a90	a57	a76	a35	a24	a41	a36	a76	a94	a41	a27	a30	a87	a23	a20	a73	a35	a30	a41	a24	a41	a30	a2	a57	a87	</S>
si	0.0193982	0.0136488	0.020319	0.0802913	0.065643	0.0948391	0.0904393	0.0549712	0.0385467	0.0459316	0.056148	0.0937995	0.0395563	0.0324661	0.0654041	0.0160671	0.00729621	0.00583767	0.00473278	0.0075631	0.0157131	0.0126114	0.0063852	0.00661203	0.0072861	0.00447389	0.00371704	0.0059171	0.00941426	0.0153658	0.0154501	0.0154946	0.0286603
tu	0.00672744	0.00456701	0.00377353	0.00389956	0.00613314	0.0141259	0.0339795	0.0533411	0.0870994	0.0417796	0.0776359	0.0796918	0.0543525	0.0239603	0.068309	0.0241221	0.0234052	0.0174664	0.00826835	0.00903917	0.0076636	0.00499532	0.00752887	0.00881561	0.0116921	0.0104347	0.0148519	0.0304504	0.0324117	0.0645206	0.0894885	0.0478902	0.0275797
attends	0.0303034	0.0213562	0.0169933	0.01311	0.0172953	0.0144844	0.0165354	0.0171579	0.0286165	0.0260646	0.0437332	0.0502775	0.0433624	0.0313241	0.0531768	0.0367563	0.029373	0.0160404	0.00785286	0.00614303	0.00418628	0.00569138	0.00168054	0.00169707	0.0022628	0.00670406	0.0226176	0.033091	0.0400468	0.0607766	0.0761936	0.0886377	0.136458
encore	0.0532362	0.0252094	0.0150529	0.00820831	0.0114897	0.0150003	0.0230853	0.0333601	0.0528192	0.025112	0.029675	0.0362815	0.0417414	0.0348003	0.0270725	0.0318813	0.0255072	0.0199905	0.0223979	0.0198624	0.0192351	0.0350142	0.0259741	0.0167727	0.0133923	0.0270601	0.0448932	0.048407	0.0528022	0.0501715	0.0223717	0.0280264	0.064096
un	0.0313498	0.0381329	0.0279452	0.0118348	0.0247952	0.0190962	0.014752	0.0142382	0.0194873	0.0155072	0.0126659	0.01641	0.0163052	0.0204045	0.0157457	0.0353985	0.032408	0.027	0.0175251	0.0186076	0.0245026	0.051202	0.0347553	0.024218	0.020944	0.0511834	0.0729586	0.0469567	0.0491175	0.0477302	0.0281515	0.0569267	0.0617444
peu	0.0384589	0.029366	0.0279321	0.0223018	0.0182443	0.0215203	0.0221931	0.0155723	0.0230702	0.0175239	0.0233467	0.0201345	0.0316748	0.0276098	0.0226767	0.0187192	0.0180342	0.0234431	0.015436	0.0166138	0.0272376	0.045883	0.06573	0.0614015	0.0700219	0.0549225	0.0398961	0.0278659	0.0254267	0.0280718	0.0174266	0.0272181	0.0550263
il	0.0979835	0.0597495	0.0339742	0.0161306	0.0132279	0.0227935	0.0238188	0.0215801	0.0220059	0.0144587	0.0325326	0.0499065	0.0309109	0.0143567	0.0241198	0.0117407	0.00397326	0.00723042	0.00171841	0.00260835	0.00518924	0.0140499	0.0145125	0.0183048	0.0295334	0.0187567	0.0345671	0.0612902	0.0777912	0.0669009	0.0544587	0.0698487	0.0299761
va	0.0448926	0.0504088	0.049363	0.0242574	0.0113502	0.00960057	0.00791597	0.00485842	0.00493311	0.0033872	0.00579767	0.00686993	0.00430564	0.00351808	0.00407493	0.00541747	0.00349633	0.00495598	0.00354711	0.00654762	0.00630722	0.010138	0.0171875	0.0192888	0.0628276	0.0635977	0.0891151	0.112744	0.0993048	0.0483311	0.0767736	0.0783525	0.0565336
venir	0.0399599	0.062081	0.0441149	0.0277509	0.0202761	0.0116165	0.00756959	0.00483613	0.00671085	0.00311895	0.00342824	0.00415502	0.00337735	0.00278879	0.00181994	0.0029058	0.00230483	0.00237042	0.00336511	0.00506902	0.00774126	0.0129303	0.026202	0.0343201	0.0630944	0.101421	0.0747972	0.115856	0.0613718	0.0494975	0.0549384	0.0593308	0.0788801
</S>	0.0162869	0.020402	0.0158994	0.0119987	0.00644058	0.00546332	0.00507839	0.00329157	0.00606129	0.00274965	0.00306137	0.00214951	0.00289948	0.00199728	0.00150967	0.00194975	0.00207599	0.00206518	0.00311976	0.00576632	0.014251	0.018547	0.0546625	0.0798791	0.118339	0.111615	0.0378178	0.0617739	0.0458429	0.0696191	0.0609667	0.0743025	0.132117
