 	a66	a87	a23	a10	a54	a47	a36	a26	a93	a4	a54	a47	a7	a84	a57	a87	a23	a4	a44	a11	a62	a88	a50	a70	a13	a9	a99	a87	a23	a79	a44	a90	a79	a37	a6	a37	a36	a2	a57	a87	a23	a40	a7	a13	a83	a54	a79	a37	a44	a70	a83	a71	a27	a10	a87	a23	a87	</S>
dans	0.0242759	0.0416656	0.0627258	0.042471	0.0462474	0.0604913	0.0581889	0.0359755	0.0228632	0.0158035	0.00827541	0.00768413	0.0109093	0.0120935	0.0164034	0.0125985	0.0216887	0.0115471	0.0131994	0.016441	0.0193099	0.0229494	0.0174449	0.0310943	0.0220545	0.0334132	0.0188733	0.022924	0.0166095	0.0156775	0.0142088	0.0107799	0.00891126	0.0130095	0.00743515	0.00602529	0.00824707	0.00498581	0.00975317	0.0131867	0.0150944	0.00747709	0.00515734	0.00410659	0.00563405	0.00809799	0.00798122	0.00747174	0.0112684	0.00873342	0.00458668	0.00296765	0.00362676	0.00511914	0.00434204	0.0068411	0.00742997	0.0256226
ce	0.00968986	0.0105724	0.00825211	0.00626644	0.01256	0.00963616	0.00779113	0.0179088	0.0146939	0.014011	0.0207182	0.0138465	0.0153445	0.0164432	0.0253126	0.0189146	0.0181832	0.0320814	0.0132936	0.0164244	0.0321205	0.0210008	0.0230821	0.0259453	0.0244703	0.0263518	0.0275412	0.0311625	0.0205089	0.0221919	0.0279218	0.0352648	0.0302551	0.0231797	0.0227296	0.0196633	0.0242422	0.0119665	0.00925128	0.0130436	0.00559284	0.00435897	0.0113269	0.00608703	0.0079414	0.00695428	0.0129249	0.00983233	0.00720236	0.0127748	0.00984906	0.022474	0.0121256	0.015284	0.0204844	0.0221117	0.017403	0.021435
village	0.0187907	0.0193904	0.0246355	0.0214302	0.0308283	0.0672784	0.0428334	0.026559	0.0149832	0.0251741	0.0299523	0.0243839	0.0152936	0.0118523	0.0210717	0.0217248	0.0185159	0.0176761	0.0216878	0.0349257	0.0192263	0.0316325	0.011049	0.020832	0.0226728	0.0246605	0.00923712	0.0111257	0.010756	0.0160828	0.0110369	0.0114276	0.0172851	0.0209228	0.0149734	0.0162906	0.0217866	0.0189586	0.0200269	0.0147759	0.0119553	0.00943398	0.0134877	0.019548	0.00856546	0.0183635	0.0078306	0.00959065	0.00577031	0.00458192	0.00339326	0.00503044	0.00472105	0.00358144	0.0030279	0.00709976	0.00654427	0.0037278
que	0.0515699	0.0163782	0.00542135	0.00302298	0.00518917	0.00900355	0.00762238	0.0126797	0.00841235	0.0136918	0.0176796	0.0155584	0.0187897	0.0147671	0.014591	0.0129451	0.00946253	0.0103516	0.0078171	0.011186	0.00867356	0.0124774	0.0157344	0.0153454	0.0107976	0.026699	0.0196557	0.0159616	0.0174934	0.0179798	0.02211	0.0237856	0.0305636	0.0360211	0.0420175	0.0301046	0.0465445	0.0379402	0.0540016	0.0166645	0.00401859	0.00398193	0.00388107	0.00465111	0.00455573	0.00624358	0.00517207	0.00465582	0.00266106	0.00624681	0.00700139	0.00816843	0.0197962	0.0372725	0.0235865	0.0371289	0.0338689	0.0203988
tu	0.0183234	0.010648	0.00681526	0.00257381	0.00337447	0.00214534	0.00194056	0.00293624	0.00158942	0.00362425	0.00613449	0.0133133	0.0105141	0.0121941	0.0133232	0.015057	0.0120015	0.017662	0.0229794	0.0352372	0.0457574	0.0431945	0.0250171	0.0399549	0.0389075	0.0443571	0.0222174	0.0272563	0.0389406	0.0379851	0.0495972	0.04506	0.0524098	0.0514956	0.0345959	0.0431918	0.0211968	0.0152525	0.0178145	0.00961896	0.00452766	0.00554886	0.00620155	0.00604405	0.0107017	0.0107535	0.00321267	0.00445865	0.00660332	0.00492829	0.00194192	0.00255022	0.00251396	0.0020173	0.00220919	0.00267814	0.00364155	0.00325971
sois	0.0112276	0.00705085	0.00344823	0.00194943	0.00334344	0.00472642	0.00457854	0.00507834	0.00298026	0.00529404	0.00652424	0.00544952	0.00663292	0.00930567	0.0147019	0.0212345	0.0148685	0.0265285	0.0199838	0.0310648	0.0514032	0.0460104	0.0529395	0.0474697	0.0348337	0.0423993	0.0374201	0.030951	0.0446763	0.0441428	0.0606827	0.0538548	0.0604446	0.0486325	0.0276748	0.0279757	0.0180361	0.00875404	0.0141143	0.00723403	0.00322099	0.00196124	0.00146947	0.00101978	0.00283088	0.00293591	0.00159254	0.00104695	0.00105499	0.0014257	0.000814604	0.000722235	0.000781374	0.00206842	0.0021691	0.00269065	0.00385193	0.0027225
pauvre	0.00517242	0.00592296	0.00842486	0.0108808	0.00701391	0.00790919	0.00496937	0.010317	0.01634	0.0119847	0.0100916	0.00577287	0.00884224	0.0106306	0.0141048	0.0247613	0.0190201	0.0277578	0.0292696	0.0232748	0.0468796	0.0267649	0.0528607	0.0513033	0.0301082	0.0252298	0.0177697	0.0272241	0.0546556	0.0274017	0.0584665	0.0376447	0.0458062	0.0466627	0.0215171	0.0465237	0.0151487	0.0175086	0.0214461	0.0201403	0.0101356	0.00579734	0.00643408	0.00366772	0.00385916	0.00170885	0.000568599	0.000293414	0.000414133	0.00121278	0.000883203	0.000519697	0.000618492	0.00213709	0.00122521	0.00182553	0.00315802	0.00201814
ou	0.0107121	0.00762065	0.0052099	0.00355588	0.00456974	0.00433969	0.00600708	0.00580199	0.0051377	0.00919138	0.00758771	0.00789195	0.0102237	0.0128444	0.018347	0.0264212	0.0246979	0.0310823	0.0364739	0.0361773	0.0644505	0.0436384	0.0712803	0.0544558	0.0382069	0.037864	0.0326569	0.0322952	0.0375751	0.0302797	0.0470975	0.0251287	0.0309932	0.0293376	0.0149199	0.0173535	0.00932164	0.00583393	0.00564807	0.00704198	0.0041432	0.00476148	0.00360344	0.00141997	0.0048541	0.00370514	0.00271903	0.00309316	0.00401577	0.00710012	0.00730463	0.0104296	0.00491898	0.0080446	0.00598892	0.00543036	0.00668491	0.00251016
riche	0.024582	0.0191388	0.00855283	0.00522747	0.00429612	0.00322707	0.00347743	0.00327644	0.00423479	0.00531483	0.00607902	0.00635586	0.0060694	0.00709595	0.00865561	0.00981134	0.00898611	0.0142132	0.0132913	0.0158789	0.0326697	0.0224222	0.033909	0.0273061	0.0192666	0.02366	0.0183507	0.0256048	0.0220891	0.022762	0.0597184	0.0276514	0.0400171	0.0327247	0.021692	0.0179439	0.012801	0.00759772	0.0064756	0.00728027	0.00390853	0.00407418	0.0034311	0.00264931	0.00683121	0.0101367	0.00676692	0.0101957	0.0103343	0.0223951	0.0166724	0.0157503	0.0206069	0.0471078	0.0491004	0.0440561	0.0457888	0.0204875
on	0.0160264	0.00878708	0.00273085	0.00133669	0.00105349	0.00101114	0.00172903	0.00463811	0.00290124	0.00347846	0.00566269	0.00523164	0.0060059	0.0066574	0.010229	0.0131171	0.0124889	0.0232984	0.0198505	0.0266401	0.0440768	0.0325344	0.0374593	0.0343441	0.0274989	0.0351375	0.0265816	0.0267769	0.0280702	0.028788	0.0340329	0.025001	0.0330896	0.0331307	0.0339017	0.0245178	0.0210804	0.0116883	0.00982198	0.0108374	0.00476066	0.00524724	0.00634536	0.00397482	0.0103388	0.0103738	0.0104426	0.0154376	0.0150575	0.0228015	0.0154063	0.0195434	0.0112411	0.0235379	0.0249783	0.0305153	0.0200379	0.0187164
