 	a66	a87	a23	a21	a47	a75	a25	a56	a12	a62	a0	a31	a0	a31	a88	a24	a21	a85	a6	a36	a2	a57	a87	a23	a87	</S>
c'	0.0581245	0.118862	0.162147	0.088011	0.0528398	0.0598764	0.0183014	0.0124638	0.00921586	0.00564815	0.00400937	0.00521902	0.00456196	0.00602789	0.00872184	0.0176632	0.0400082	0.0234828	0.0307098	0.0659667	0.0382853	0.0293584	0.0274003	0.03003	0.0265496	0.0565163
est	0.0570345	0.0400694	0.0357746	0.0338515	0.0280506	0.0231214	0.0204853	0.016626	0.0143154	0.00931855	0.00868216	0.0153486	0.0341651	0.0401928	0.0607436	0.104698	0.0714499	0.0615379	0.0416478	0.0371609	0.0434531	0.0395564	0.0539457	0.0362647	0.0537941	0.0187118
lui	0.145745	0.112422	0.0921653	0.0707962	0.0397428	0.0259468	0.0223016	0.0170708	0.0135386	0.0112693	0.00972947	0.00969772	0.0172513	0.0172093	0.0226087	0.0297146	0.0250938	0.0353011	0.0238901	0.022446	0.0287062	0.0264533	0.037129	0.0265262	0.0586278	0.0586165
qui	0.0483205	0.0165203	0.0168318	0.0154655	0.0239512	0.0454545	0.129194	0.134165	0.0599108	0.0296292	0.0163815	0.0206016	0.024248	0.0333896	0.0276649	0.0493839	0.0412605	0.0248707	0.0251787	0.0226953	0.0226685	0.0362274	0.039226	0.0348819	0.0226509	0.0392272
a	0.121158	0.04416	0.0186732	0.01018	0.00467286	0.00487188	0.0115232	0.0133417	0.0204183	0.0320439	0.0431942	0.0511261	0.0488523	0.0428017	0.0548378	0.0788349	0.0967634	0.0465643	0.0485208	0.03381	0.0305349	0.0298659	0.03649	0.0266889	0.0301682	0.019904
mis	0.0625027	0.0394483	0.050132	0.0282557	0.0633746	0.10396	0.149493	0.151563	0.054361	0.035491	0.0150101	0.0194903	0.0276613	0.023295	0.0277502	0.0291208	0.0306594	0.0144395	0.0139959	0.0117435	0.00966546	0.00999055	0.00788515	0.00689144	0.00621723	0.00760264
fin	0.0236628	0.00651548	0.00449533	0.00383609	0.00540438	0.00780316	0.0144776	0.01974	0.0138363	0.0163326	0.0282396	0.0404494	0.0987183	0.0843454	0.136204	0.134104	0.112938	0.0653726	0.0440077	0.0196669	0.0346788	0.024814	0.0188399	0.0181112	0.0191663	0.00424022
à	0.0841678	0.0607143	0.050511	0.0464123	0.0393648	0.0293093	0.0156143	0.0136912	0.0143248	0.0141022	0.0186902	0.0170594	0.0246703	0.0299856	0.0493817	0.0649682	0.0544763	0.0555955	0.0369286	0.0389378	0.0466567	0.0455776	0.0402076	0.0449924	0.0384242	0.0252361
la	0.073242	0.0396762	0.0192849	0.014127	0.00600813	0.00793918	0.00988567	0.0102511	0.00999711	0.00949657	0.0102613	0.0105522	0.0137478	0.0181538	0.0237675	0.0397639	0.0561848	0.0618223	0.0572734	0.0748715	0.0681099	0.0694595	0.0789071	0.0771151	0.0793626	0.0607393
guerre	0.0431559	0.0181052	0.0178285	0.015696	0.011622	0.0139334	0.0156079	0.0137956	0.0135381	0.0222738	0.0250549	0.0307955	0.0322767	0.0401611	0.038988	0.0490129	0.0554765	0.0457505	0.0452645	0.0584915	0.0567547	0.0888086	0.0718615	0.0676867	0.0551306	0.0529297
</S>	0.0894771	0.0395111	0.0141073	0.00918111	0.00299192	0.00253746	0.00248025	0.00127902	0.00168447	0.00211461	0.00386469	0.00682632	0.00826881	0.0121148	0.0139983	0.0333732	0.0444119	0.0595606	0.0588029	0.0575389	0.0690631	0.0637837	0.0833152	0.0847092	0.11941	0.115594
