 	a23	a10	a40	a6	a36	a27	a26	a57	a87	a23	a30	a99	a53	a90	a44	a90	a44	a54	a20	a54	a44	a56	a34	a93	a53	a90	a20	a73	a84	a66	a79	a12	a34	a61	a96	a62	a83	a38	a44	a94	a18	a96	a66	a54	a7	a84	a57	a30	a87	a57	a38	a44	a57	a87	a23	a87	a23	a87	a23	a87	</S>
son	0.0197228	0.0145379	0.0138858	0.0208031	0.0646384	0.0945046	0.0773717	0.0676408	0.0438798	0.0345494	0.0233259	0.0191852	0.0113954	0.0100846	0.0176097	0.0112647	0.0144119	0.0206355	0.0197056	0.0264352	0.022865	0.0199973	0.0231013	0.0115351	0.0122337	0.012524	0.00723689	0.00904547	0.0118881	0.00967473	0.0103357	0.00510302	0.00616629	0.00526733	0.00813628	0.00793686	0.0157159	0.0143309	0.0243717	0.0102045	0.00797738	0.00998168	0.0125753	0.00951915	0.00756008	0.00832454	0.00439748	0.00463558	0.0035289	0.00599659	0.00393495	0.00386936	0.00573683	0.00468272	0.0050087	0.00710378	0.00314704	0.00297864	0.0051367	0.00330879	0.00733765
oncle	0.000539416	0.00122156	0.00987061	0.0306036	0.0490923	0.0593122	0.031387	0.0507731	0.066927	0.0642682	0.0630213	0.0883245	0.0472873	0.0904179	0.0601176	0.0336829	0.0311014	0.0199817	0.0193831	0.0410775	0.0133128	0.00549325	0.00863775	0.0173185	0.00770622	0.0141404	0.0109912	0.00676704	0.00706883	0.00549855	0.00593767	0.00796666	0.00406113	0.00364637	0.003548	0.00221624	0.00118119	0.000995696	0.00076576	0.00104109	0.000518437	0.0006053	0.000933757	0.00120003	0.000849541	0.000657699	0.000548702	0.000514187	0.00041904	0.000357108	0.000494841	0.000588299	0.000656779	0.000348316	0.000382745	0.000546251	0.000428198	0.000464408	0.000525774	0.000496855	0.00177919
est	0.0263064	0.0251855	0.022184	0.0259099	0.0203394	0.0276026	0.0176066	0.0164571	0.0119646	0.0151432	0.0169021	0.01754	0.0151896	0.0218182	0.0225334	0.0309739	0.0381182	0.0584599	0.030548	0.0444959	0.0318862	0.0185696	0.0218761	0.0244855	0.0240378	0.0210954	0.0209431	0.0308879	0.0222622	0.0193946	0.0142447	0.0155849	0.00978646	0.00946395	0.00764533	0.00772369	0.00694438	0.00351922	0.00307569	0.00366459	0.000981686	0.000849968	0.000713588	0.00137925	0.0018831	0.00114999	0.00156895	0.00296886	0.00402231	0.0034405	0.00779718	0.00720118	0.0131678	0.0101639	0.0144741	0.0155948	0.0193778	0.01608	0.0144137	0.023414	0.0169875
mort	0.0126339	0.00773573	0.00337998	0.00414746	0.00303908	0.0062099	0.00400666	0.00467928	0.00503316	0.00335559	0.00319321	0.00180652	0.00127126	0.00132012	0.00105	0.00125458	0.0019188	0.00212786	0.00280171	0.00910639	0.0113987	0.0415921	0.0235703	0.0266179	0.0219875	0.0301277	0.0366409	0.051381	0.0346392	0.0711773	0.0442224	0.0609264	0.0540046	0.063146	0.038383	0.0271439	0.0327227	0.021022	0.0241079	0.0249428	0.019767	0.0162134	0.015337	0.0108242	0.0112058	0.0129277	0.00488895	0.00493097	0.00319772	0.00381646	0.00303494	0.00267518	0.00442706	0.00430701	0.00664399	0.0072168	0.0120714	0.00878896	0.00795633	0.00800513	0.0119382
il	0.0367979	0.0322376	0.0152242	0.0169132	0.00938663	0.0137335	0.0168532	0.011743	0.0104789	0.0122168	0.0121161	0.00537133	0.00648888	0.00871458	0.00422863	0.0042747	0.0067311	0.00687833	0.00915219	0.0099644	0.0135574	0.0209652	0.0368049	0.0443122	0.0319266	0.0280474	0.0420349	0.0268746	0.0379671	0.0348378	0.0332137	0.0244549	0.0220195	0.0142521	0.0124886	0.0101019	0.0124711	0.0107862	0.0117461	0.00695044	0.00537618	0.00455695	0.00542132	0.00402121	0.00353898	0.005701	0.00490719	0.00483887	0.0055833	0.0051491	0.0138079	0.00978892	0.0140903	0.00809465	0.0151937	0.014725	0.0269639	0.0232717	0.0281978	0.0288812	0.0425727
y	0.0159091	0.0130075	0.00654192	0.00595289	0.00588452	0.00991999	0.0071159	0.00788387	0.00869014	0.00962189	0.0072737	0.00484388	0.00318625	0.00432495	0.00144351	0.00175861	0.00299278	0.00628358	0.00739461	0.00838672	0.0147711	0.0268444	0.0157265	0.0226457	0.021359	0.0271103	0.0475746	0.0345501	0.047564	0.0617389	0.0434575	0.0496382	0.0554576	0.0460206	0.0458504	0.0373503	0.0326173	0.0157779	0.0156447	0.010063	0.00555452	0.00483539	0.00410725	0.00605145	0.0079443	0.00938284	0.00753706	0.00463957	0.00524829	0.00279022	0.00824811	0.00844299	0.00927796	0.00626144	0.0108039	0.0089187	0.0148648	0.0167682	0.0142475	0.0173027	0.0165944
a	0.0321862	0.0260948	0.0144934	0.0131697	0.0134251	0.0206512	0.0121421	0.0123558	0.0199394	0.0220289	0.0179179	0.0138483	0.0136846	0.00792685	0.00385335	0.00561907	0.00756675	0.0137596	0.0124737	0.00750707	0.0113041	0.0114965	0.00900518	0.0110863	0.0103564	0.0107983	0.0184257	0.0131168	0.0296646	0.0417301	0.0349664	0.0375651	0.0362287	0.0258491	0.0289636	0.0200223	0.0245941	0.0166869	0.0169765	0.0155038	0.00799972	0.00702785	0.0057372	0.008492	0.00994908	0.00793479	0.00939477	0.00661974	0.00961419	0.00537701	0.0134793	0.01524	0.0125252	0.00844045	0.0152314	0.0123927	0.0225623	0.0196474	0.0234689	0.0280377	0.0358442
deux	0.0251036	0.0216085	0.0136814	0.0136086	0.0129	0.0251392	0.0114307	0.0094355	0.0089232	0.0121452	0.0133793	0.0108256	0.00900575	0.00703796	0.00372028	0.00537116	0.00992148	0.0145062	0.0189506	0.013322	0.0158902	0.0234277	0.0154407	0.0171358	0.015765	0.0233657	0.0381554	0.0191215	0.03676	0.0463355	0.0399604	0.0388264	0.0314433	0.0321938	0.038199	0.0249356	0.0230186	0.016599	0.0198558	0.0137057	0.00482457	0.00384669	0.00326858	0.00469929	0.00568433	0.00468714	0.0052297	0.00528166	0.00738213	0.00586662	0.00876641	0.0103493	0.0101144	0.0090789	0.0122546	0.00982002	0.014424	0.0134893	0.0151538	0.0209115	0.0347156
ans	0.0159492	0.0139572	0.0113566	0.0113885	0.0137424	0.0206234	0.0208219	0.0137462	0.0117663	0.0118067	0.0135562	0.0133814	0.0120498	0.00795846	0.00777779	0.0059476	0.00726524	0.00992294	0.011009	0.0121765	0.0138487	0.0321243	0.0260485	0.0225222	0.0308139	0.0576953	0.0672199	0.0339758	0.0447621	0.0300299	0.0192531	0.0130236	0.0142845	0.0125843	0.0147939	0.0128054	0.0125349	0.0107232	0.0152252	0.0135628	0.00605972	0.00553077	0.00692342	0.00848687	0.00736071	0.00687174	0.00578466	0.00538315	0.00691864	0.00389355	0.00844689	0.0103444	0.0118388	0.00963662	0.0177568	0.0112453	0.0205466	0.0236811	0.0232971	0.0300065	0.0259518
</S>	0.0474867	0.0345598	0.0187801	0.0209101	0.02852	0.0415009	0.0470081	0.0379549	0.038046	0.0515834	0.037195	0.0331974	0.0170706	0.0112297	0.0130488	0.00671586	0.00771816	0.0085955	0.0118166	0.00661566	0.0107064	0.00935044	0.0077769	0.00817482	0.0101126	0.0105719	0.011584	0.00902643	0.0151356	0.0169432	0.0118003	0.00928579	0.00632343	0.0047413	0.00561834	0.00365189	0.00642881	0.00531995	0.00939551	0.00513307	0.00313113	0.00349444	0.00373594	0.00454274	0.00428264	0.0034976	0.00384835	0.00346742	0.00542937	0.00372216	0.00603005	0.00867667	0.0119657	0.0133147	0.0258184	0.0156258	0.0320691	0.024092	0.0345312	0.0321334	0.0599573
