 	a66	a87	a23	a18	a82	a38	a75	a12	a61	a21	a85	a0	a43	a21	a31	a21	a12	a18	a75	a6	a0	a75	a47	a36	a75	a47	a5	a43	a27	a10	a87	a23	a10	</S>
cette	0.0760747	0.0912506	0.0574688	0.0755361	0.0381501	0.0293691	0.0403833	0.031732	0.0299614	0.0252529	0.0215989	0.0180667	0.0147025	0.0145549	0.0160965	0.0143456	0.0120966	0.0160213	0.00606345	0.0101881	0.0148831	0.00931517	0.00858704	0.0138925	0.0204202	0.0149576	0.0383003	0.0340281	0.0214615	0.0257105	0.0162677	0.0264054	0.037893	0.0789646
manière	0.00594675	0.00858786	0.0100025	0.0308104	0.0264526	0.0301562	0.0514629	0.0630875	0.06031	0.0554986	0.11286	0.106163	0.0777314	0.0781969	0.0756923	0.0645461	0.0421092	0.0210543	0.0341296	0.0148167	0.0107371	0.00314895	0.00350474	0.00240991	0.0020736	0.00124592	0.0013197	0.000419201	0.0010795	0.00131096	0.00045034	0.000440107	0.00100169	0.00124358
d'	0.0353261	0.0253025	0.0244279	0.0247303	0.0179749	0.0159074	0.0101569	0.0103434	0.0117585	0.0105931	0.0101107	0.0105431	0.00871345	0.00866007	0.0115333	0.0123955	0.0130475	0.0118345	0.00954637	0.0119273	0.0151768	0.0157458	0.0295969	0.0290216	0.0361176	0.0404395	0.0364683	0.0443743	0.057952	0.0685236	0.0793425	0.119413	0.0858512	0.0471441
enfoncer	0.115754	0.0764978	0.0402104	0.0364926	0.0232552	0.0278171	0.0183079	0.0245663	0.0391648	0.0488973	0.0371847	0.0390053	0.0414026	0.0316456	0.0348964	0.0321099	0.0320584	0.0284524	0.0244004	0.0281407	0.0245552	0.0199784	0.0177444	0.0174	0.0184137	0.0142504	0.015027	0.0105127	0.0183339	0.0105545	0.013592	0.0151254	0.0192325	0.00502005
la	0.152629	0.0733411	0.0276395	0.023381	0.0196174	0.0247304	0.015376	0.0272374	0.0166733	0.0146194	0.0238421	0.0341757	0.0330648	0.037658	0.0503145	0.0723619	0.0803225	0.0587066	0.0339432	0.0255764	0.0155103	0.0102575	0.00953743	0.00867873	0.00751536	0.0112674	0.00839534	0.0086049	0.0144942	0.0102861	0.0110184	0.0144883	0.0149123	0.0098239
pointe	0.0332041	0.0110679	0.00697461	0.00295237	0.00246688	0.00266681	0.00144721	0.0013892	0.0014104	0.00181831	0.00254991	0.00553478	0.00823118	0.0128046	0.0157814	0.0261065	0.0750894	0.157306	0.0879371	0.146942	0.0710764	0.0463792	0.0278544	0.0200845	0.0198676	0.0242685	0.0334377	0.0243591	0.0304187	0.0292722	0.0163675	0.0283065	0.0176779	0.00694959
abime	0.0568791	0.0261289	0.0127037	0.00679616	0.00306545	0.0030859	0.00154993	0.00143728	0.00131006	0.00217093	0.00195229	0.00501584	0.00680056	0.00775689	0.00918592	0.0142319	0.0303272	0.0613365	0.0231848	0.0772796	0.0471706	0.1001	0.0551751	0.0412791	0.0448813	0.0476123	0.0490114	0.0419589	0.0328627	0.0837898	0.0290446	0.0458668	0.0238662	0.00518216
la	0.0272351	0.0175836	0.0113179	0.00729306	0.0020675	0.00237424	0.00167093	0.00160658	0.000929159	0.000864953	0.00117148	0.00162576	0.001781	0.00198464	0.00220702	0.00394767	0.0099131	0.0205313	0.00623109	0.0264041	0.0186172	0.0332074	0.0424516	0.0388851	0.0657635	0.0589142	0.106617	0.0977896	0.0764429	0.0598743	0.069103	0.0820787	0.0794694	0.0220463
planche	0.058528	0.0403562	0.0288986	0.0193499	0.0129463	0.0138248	0.00744804	0.00570776	0.00544057	0.00499194	0.00356917	0.00422205	0.00457977	0.00600389	0.00552113	0.0124784	0.0227096	0.0418308	0.0186238	0.0563287	0.0608144	0.0464575	0.0507395	0.0564457	0.0538266	0.0413336	0.056018	0.0319711	0.0806825	0.0333752	0.0314332	0.0275159	0.0452953	0.0107322
</S>	0.0230978	0.0161671	0.00954241	0.00667963	0.00368822	0.00553445	0.00438492	0.0035251	0.00256909	0.00257432	0.00303916	0.00443273	0.00515887	0.00724015	0.00749539	0.0146059	0.0309883	0.0608921	0.0216666	0.0971696	0.0921147	0.106655	0.10534	0.0512299	0.0565834	0.0680324	0.0421693	0.0225999	0.0450128	0.0323788	0.0112462	0.0118383	0.018514	0.00583358
